date,ignore,open,high,low,close,volume
2015.09.14,00:00,1.79366,1.79502,1.79321,1.7944,131
2015.09.14,00:30,1.7944,1.79465,1.79171,1.79204,194
2015.09.14,01:00,1.79204,1.79652,1.7919,1.79651,931
2015.09.14,01:30,1.79656,1.79704,1.79419,1.79654,1445
2015.09.14,02:00,1.7966,1.79714,1.79446,1.79547,1751
2015.09.14,02:30,1.79547,1.79647,1.79343,1.79373,1560
2015.09.14,03:00,1.7937,1.79485,1.79028,1.7904,2132
2015.09.14,03:30,1.7905,1.79154,1.78804,1.79043,2215
2015.09.14,04:00,1.7904,1.79081,1.78745,1.79063,1879
2015.09.14,04:30,1.79061,1.79381,1.78998,1.7914,1602
2015.09.14,05:00,1.79143,1.79282,1.78961,1.78979,1706
2015.09.14,05:30,1.7898,1.79261,1.78917,1.79238,1530
2015.09.14,06:00,1.79239,1.79816,1.79177,1.79774,2032
2015.09.14,06:30,1.79774,1.79783,1.79644,1.79783,1414
2015.09.14,07:00,1.7978,1.80003,1.79547,1.79556,2053
2015.09.14,07:30,1.79558,1.79634,1.79452,1.79557,1383
2015.09.14,08:00,1.79557,1.79627,1.793,1.79315,2045
2015.09.14,08:30,1.79318,1.79676,1.79286,1.79581,2013
2015.09.14,09:00,1.79574,1.79778,1.79299,1.79715,3150
2015.09.14,09:30,1.79711,1.79751,1.79417,1.79577,3477
2015.09.14,10:00,1.79577,1.7972,1.79244,1.79378,4685
2015.09.14,10:30,1.79378,1.79394,1.79045,1.79312,3274
2015.09.14,11:00,1.79308,1.79426,1.78987,1.79144,3198
2015.09.14,11:30,1.79156,1.79355,1.79038,1.79072,2967
2015.09.14,12:00,1.79072,1.79079,1.7875,1.78944,3199
2015.09.14,12:30,1.78948,1.79149,1.78908,1.79032,2151
2015.09.14,13:00,1.79028,1.79028,1.78628,1.78742,2739
2015.09.14,13:30,1.78734,1.78797,1.78504,1.78721,2482
2015.09.14,14:00,1.78726,1.78886,1.78596,1.78847,2166
2015.09.14,14:30,1.78845,1.79235,1.78817,1.79118,2587
2015.09.14,15:00,1.79118,1.79273,1.78961,1.79217,3361
2015.09.14,15:30,1.7923,1.79489,1.7911,1.7912,2874
2015.09.14,16:00,1.7913,1.79352,1.791,1.79184,3011
2015.09.14,16:30,1.79184,1.79474,1.79179,1.79336,3866
2015.09.14,17:00,1.79336,1.79341,1.78771,1.78861,3195
2015.09.14,17:30,1.7886,1.78893,1.78116,1.7815,4399
2015.09.14,18:00,1.7815,1.78697,1.78121,1.78695,3723
2015.09.14,18:30,1.78714,1.78753,1.78457,1.78601,3053
2015.09.14,19:00,1.786,1.78743,1.7854,1.78653,2173
2015.09.14,19:30,1.78653,1.78658,1.78388,1.78601,2171
2015.09.14,20:00,1.78596,1.78829,1.78554,1.78664,2114
2015.09.14,20:30,1.78666,1.78673,1.78549,1.78648,1499
2015.09.14,21:00,1.78648,1.78747,1.78607,1.78707,1717
2015.09.14,21:30,1.78707,1.78779,1.78619,1.78655,1648
2015.09.14,22:00,1.7864,1.78752,1.78622,1.78708,1444
2015.09.14,22:30,1.78708,1.7889,1.78663,1.78882,1845
2015.09.14,23:00,1.78881,1.78889,1.78738,1.78759,1080
2015.09.14,23:30,1.78759,1.78765,1.78654,1.78681,2586
2015.09.15,00:00,1.78679,1.78782,1.78657,1.78738,1489
2015.09.15,00:30,1.7877,1.7882,1.78755,1.78784,612
2015.09.15,01:00,1.7879,1.78804,1.78606,1.78714,1537
2015.09.15,01:30,1.78707,1.78736,1.7849,1.78588,929
