date,ignore,open,high,low,close,volume
2017.01.23,00:00,0.71591,0.71722,0.71533,0.71635,366
2017.01.23,00:30,0.71629,0.71714,0.71628,0.71704,620
2017.01.23,01:00,0.71709,0.71872,0.71694,0.71833,1805
2017.01.23,01:30,0.71833,0.71878,0.71776,0.71868,2744
2017.01.23,02:00,0.71868,0.71875,0.71776,0.71828,2452
2017.01.23,02:30,0.71826,0.71882,0.71793,0.7183,2087
2017.01.23,03:00,0.7183,0.71846,0.7178,0.71806,2846
2017.01.23,03:30,0.71806,0.7197,0.71794,0.71946,3440
2017.01.23,04:00,0.71948,0.72059,0.71935,0.72,2596
2017.01.23,04:30,0.72002,0.72033,0.71959,0.71981,2601
2017.01.23,05:00,0.71985,0.72092,0.71978,0.72058,1790
2017.01.23,05:30,0.72058,0.72059,0.71964,0.72034,1801
2017.01.23,06:00,0.72034,0.72043,0.71978,0.71988,1419
2017.01.23,06:30,0.71988,0.72023,0.71906,0.7191,1863
2017.01.23,07:00,0.71909,0.71937,0.71903,0.71928,1653
2017.01.23,07:30,0.71928,0.7202,0.71906,0.72009,2163
2017.01.23,08:00,0.72008,0.72112,0.71978,0.72057,2261
2017.01.23,08:30,0.72058,0.72143,0.72035,0.72058,2686
2017.01.23,09:00,0.72058,0.72182,0.72047,0.72099,2928
2017.01.23,09:30,0.72099,0.72114,0.71945,0.71993,2960
2017.01.23,10:00,0.71992,0.72033,0.71861,0.7189,3536
2017.01.23,10:30,0.7189,0.71935,0.71839,0.71848,2559
2017.01.23,11:00,0.71847,0.71925,0.7184,0.7188,2056
2017.01.23,11:30,0.7188,0.7191,0.71801,0.71802,2997
2017.01.23,12:00,0.71802,0.71904,0.71802,0.71857,2305
2017.01.23,12:30,0.71857,0.71906,0.71838,0.71855,2567
2017.01.23,13:00,0.71854,0.71855,0.71762,0.71812,2629
2017.01.23,13:30,0.71812,0.71895,0.7181,0.71891,2458
2017.01.23,14:00,0.7189,0.71972,0.71863,0.71937,2928
2017.01.23,14:30,0.71937,0.7202,0.71935,0.72,2876
2017.01.23,15:00,0.72,0.72091,0.7189,0.72069,3333
2017.01.23,15:30,0.72069,0.72132,0.7204,0.72068,2746
2017.01.23,16:00,0.72068,0.72093,0.71902,0.72016,4996
2017.01.23,16:30,0.72013,0.72063,0.7191,0.72052,5885
2017.01.23,17:00,0.72052,0.72192,0.72052,0.72138,5194
2017.01.23,17:30,0.72138,0.72263,0.7213,0.72225,4951
2017.01.23,18:00,0.72224,0.72224,0.7204,0.72102,4213
2017.01.23,18:30,0.72103,0.72212,0.72097,0.72129,4668
2017.01.23,19:00,0.72129,0.7219,0.72098,0.72101,3267
2017.01.23,19:30,0.72102,0.72149,0.72062,0.72139,2210
2017.01.23,20:00,0.72138,0.72139,0.72092,0.72107,1850
2017.01.23,20:30,0.72107,0.72119,0.72081,0.72108,1700
2017.01.23,21:00,0.72106,0.72164,0.72102,0.72152,1386
2017.01.23,21:30,0.72154,0.72219,0.72145,0.72203,1385
2017.01.23,22:00,0.72203,0.72212,0.72183,0.72199,1035
2017.01.23,22:30,0.72197,0.7222,0.72163,0.72178,1308
2017.01.23,23:00,0.72179,0.72231,0.72175,0.72229,769
2017.01.23,23:30,0.72228,0.72371,0.72226,0.72312,1398
2017.01.24,00:00,0.72322,0.72568,0.7229,0.72499,782
2017.01.24,00:30,0.72499,0.72637,0.72474,0.72582,718
2017.01.24,01:00,0.72576,0.72576,0.72437,0.7245,1263
2017.01.24,01:30,0.72452,0.72453,0.72307,0.72339,3164
2017.01.24,02:00,0.7234,0.72352,0.72307,0.72338,2926
2017.01.24,02:30,0.72337,0.72424,0.72308,0.72406,2554
2017.01.24,03:00,0.72405,0.72409,0.72267,0.72318,2573
2017.01.24,03:30,0.7232,0.72411,0.72268,0.72389,2101
2017.01.24,04:00,0.72389,0.7259,0.72386,0.72507,1981
2017.01.24,04:30,0.72507,0.72532,0.72448,0.72449,1598
2017.01.24,05:00,0.72449,0.72512,0.72438,0.72499,1704
2017.01.24,05:30,0.72498,0.72512,0.72402,0.72407,1963
2017.01.24,06:00,0.72407,0.72415,0.72314,0.72317,1813
2017.01.24,06:30,0.72317,0.7236,0.72276,0.72316,2077
2017.01.24,07:00,0.72316,0.7238,0.72289,0.72306,1614
2017.01.24,07:30,0.72306,0.7236,0.72251,0.72299,1722
2017.01.24,08:00,0.72298,0.72323,0.72264,0.72296,1755
2017.01.24,08:30,0.72296,0.72305,0.72177,0.7219,1738
2017.01.24,09:00,0.72189,0.7223,0.72145,0.72217,2370
2017.01.24,09:30,0.72217,0.72236,0.72098,0.72123,2658
2017.01.24,10:00,0.72122,0.72265,0.7211,0.72213,2516
2017.01.24,10:30,0.72213,0.72309,0.72168,0.7229,2757
2017.01.24,11:00,0.72289,0.72317,0.72209,0.72217,2671
2017.01.24,11:30,0.72217,0.7231,0.72199,0.72293,3018
2017.01.24,12:00,0.72296,0.72324,0.72259,0.72301,2355
2017.01.24,12:30,0.72301,0.72304,0.72121,0.72132,2044
2017.01.24,13:00,0.7213,0.7229,0.72077,0.72212,2386
2017.01.24,13:30,0.72212,0.72417,0.72182,0.72395,2258
2017.01.24,14:00,0.72394,0.72415,0.72339,0.72339,2433
2017.01.24,14:30,0.72339,0.72363,0.7231,0.7232,2633
2017.01.24,15:00,0.7232,0.72382,0.72292,0.72381,2328
2017.01.24,15:30,0.72381,0.72483,0.7238,0.72419,2592
2017.01.24,16:00,0.72419,0.72514,0.72412,0.72462,2793
2017.01.24,16:30,0.72463,0.72645,0.72462,0.72632,3827
2017.01.24,17:00,0.72628,0.72759,0.72619,0.7269,4705
2017.01.24,17:30,0.7269,0.72691,0.726,0.7262,3586
2017.01.24,18:00,0.7262,0.72674,0.72552,0.72558,3650
2017.01.24,18:30,0.72558,0.7263,0.7252,0.72599,3336
2017.01.24,19:00,0.72599,0.72701,0.7259,0.72667,2600
2017.01.24,19:30,0.72668,0.7267,0.7259,0.72617,1909
2017.01.24,20:00,0.72621,0.72627,0.72549,0.72584,2264
2017.01.24,20:30,0.72584,0.72595,0.72509,0.72517,2366
2017.01.24,21:00,0.72516,0.72517,0.72407,0.7247,1737
2017.01.24,21:30,0.7247,0.72508,0.72449,0.72489,1327
2017.01.24,22:00,0.7249,0.72506,0.72426,0.72434,1752
2017.01.24,22:30,0.72436,0.72474,0.72433,0.72447,1567
2017.01.24,23:00,0.72447,0.72458,0.72435,0.72448,844
2017.01.24,23:30,0.72448,0.72473,0.7244,0.72469,499
2017.01.25,00:00,0.72441,0.72477,0.72392,0.72475,164
2017.01.25,00:30,0.72475,0.72543,0.72469,0.72516,399
2017.01.25,01:00,0.72515,0.72534,0.72468,0.72472,883
2017.01.25,01:30,0.72472,0.72552,0.72434,0.72515,1559
2017.01.25,02:00,0.72516,0.72598,0.72478,0.72525,2134
2017.01.25,02:30,0.7251,0.72548,0.72378,0.7252,3711
2017.01.25,03:00,0.7252,0.72542,0.72302,0.72395,3488
2017.01.25,03:30,0.72393,0.72453,0.7231,0.72344,2394
2017.01.25,04:00,0.72344,0.72478,0.72308,0.72405,2203
2017.01.25,04:30,0.72406,0.72478,0.72355,0.72437,2144
2017.01.25,05:00,0.72437,0.72461,0.72359,0.72417,1888
2017.01.25,05:30,0.72418,0.72455,0.72403,0.72451,1885
2017.01.25,06:00,0.72451,0.72518,0.72446,0.72496,1778
2017.01.25,06:30,0.72495,0.72495,0.72422,0.7243,1677
2017.01.25,07:00,0.72431,0.72436,0.72365,0.72374,1854
2017.01.25,07:30,0.72373,0.72395,0.72348,0.72354,1508
2017.01.25,08:00,0.72353,0.72381,0.72306,0.7234,1866
2017.01.25,08:30,0.72338,0.7234,0.72265,0.72288,1263
2017.01.25,09:00,0.72289,0.7234,0.72226,0.72307,2385
2017.01.25,09:30,0.72307,0.72442,0.72303,0.72374,2637
2017.01.25,10:00,0.72374,0.72438,0.72322,0.72409,3875
2017.01.25,10:30,0.7241,0.7241,0.72309,0.72344,3515
2017.01.25,11:00,0.72346,0.72469,0.72299,0.72387,3263
2017.01.25,11:30,0.72387,0.72513,0.72357,0.72473,3104
2017.01.25,12:00,0.72471,0.72511,0.72424,0.72463,2907
2017.01.25,12:30,0.72463,0.72557,0.72446,0.72557,1987
2017.01.25,13:00,0.72557,0.72583,0.72518,0.72548,1791
2017.01.25,13:30,0.72548,0.72592,0.72509,0.72538,1621
2017.01.25,14:00,0.72537,0.72846,0.72526,0.72779,3651
2017.01.25,14:30,0.72778,0.72794,0.72678,0.72679,2740
2017.01.25,15:00,0.72681,0.72723,0.72536,0.72542,2954
2017.01.25,15:30,0.72544,0.72562,0.72486,0.72523,2591
2017.01.25,16:00,0.72523,0.72533,0.72356,0.7238,2492
2017.01.25,16:30,0.72378,0.72461,0.72308,0.72427,4495
2017.01.25,17:00,0.72423,0.72581,0.72412,0.72577,3798
2017.01.25,17:30,0.72578,0.7265,0.72508,0.72592,4148
2017.01.25,18:00,0.72591,0.72643,0.72497,0.72535,4243
2017.01.25,18:30,0.72535,0.72719,0.72535,0.72651,3355
2017.01.25,19:00,0.72652,0.72685,0.7252,0.72523,2572
2017.01.25,19:30,0.72523,0.72531,0.72439,0.72517,2008
2017.01.25,20:00,0.72514,0.72536,0.72415,0.7249,2457
2017.01.25,20:30,0.7249,0.72532,0.7247,0.72489,1744
2017.01.25,21:00,0.72489,0.72508,0.7242,0.72505,1856
2017.01.25,21:30,0.72505,0.72586,0.72493,0.72586,1933
2017.01.25,22:00,0.72585,0.72687,0.72551,0.72656,2240
2017.01.25,22:30,0.72658,0.72741,0.72638,0.7274,1834
2017.01.25,23:00,0.7274,0.72743,0.72696,0.72698,964
2017.01.25,23:30,0.72697,0.7306,0.72449,0.72961,2242
2017.01.26,00:00,0.72951,0.73035,0.72937,0.73016,462
2017.01.26,00:30,0.73011,0.7311,0.72949,0.72949,797
2017.01.26,01:00,0.72948,0.73004,0.72903,0.7296,1062
2017.01.26,01:30,0.72951,0.73024,0.72947,0.72982,2262
2017.01.26,02:00,0.72982,0.73061,0.72948,0.72966,2820
2017.01.26,02:30,0.72967,0.72991,0.72929,0.72939,2039
2017.01.26,03:00,0.7294,0.72947,0.72845,0.72939,1797
2017.01.26,03:30,0.7294,0.72963,0.72828,0.72938,2208
2017.01.26,04:00,0.72941,0.72948,0.72864,0.7294,2004
2017.01.26,04:30,0.7294,0.72941,0.72857,0.72867,1365
2017.01.26,05:00,0.72868,0.72885,0.72818,0.72829,1143
2017.01.26,05:30,0.72826,0.72871,0.72795,0.72831,1090
2017.01.26,06:00,0.72828,0.72861,0.72819,0.72844,1034
2017.01.26,06:30,0.72842,0.72857,0.72827,0.72851,1002
2017.01.26,07:00,0.72852,0.72857,0.72826,0.72829,1351
2017.01.26,07:30,0.72829,0.72863,0.72801,0.72849,1186
2017.01.26,08:00,0.72848,0.72868,0.72806,0.7284,1922
2017.01.26,08:30,0.7284,0.72848,0.72753,0.72757,1211
2017.01.26,09:00,0.72758,0.72806,0.72695,0.72724,2257
2017.01.26,09:30,0.72726,0.72786,0.72698,0.72723,2631
2017.01.26,10:00,0.72722,0.72819,0.72688,0.72791,2824
2017.01.26,10:30,0.72795,0.72798,0.72706,0.72728,2473
2017.01.26,11:00,0.72728,0.72782,0.72696,0.72729,2310
2017.01.26,11:30,0.72729,0.72743,0.72513,0.7257,3550
2017.01.26,12:00,0.72571,0.72615,0.72527,0.7257,2854
2017.01.26,12:30,0.7257,0.72574,0.72498,0.7257,2209
2017.01.26,13:00,0.72568,0.72601,0.7253,0.72567,2083
2017.01.26,13:30,0.72565,0.72567,0.72496,0.72506,2248
2017.01.26,14:00,0.72506,0.72516,0.72319,0.72349,3094
2017.01.26,14:30,0.7235,0.72412,0.72302,0.72309,2352
2017.01.26,15:00,0.72309,0.72367,0.72269,0.72325,3173
2017.01.26,15:30,0.72323,0.72517,0.72323,0.72408,4151
2017.01.26,16:00,0.72407,0.72438,0.72327,0.72339,3125
2017.01.26,16:30,0.72339,0.72463,0.72277,0.72432,3728
2017.01.26,17:00,0.72432,0.72495,0.72376,0.7238,5060
2017.01.26,17:30,0.7238,0.72399,0.72245,0.72314,4710
2017.01.26,18:00,0.72314,0.72328,0.72213,0.72255,3088
2017.01.26,18:30,0.72254,0.72306,0.72223,0.72298,2908
2017.01.26,19:00,0.72298,0.72358,0.72277,0.72332,2090
2017.01.26,19:30,0.72333,0.72348,0.72303,0.72347,1493
2017.01.26,20:00,0.7235,0.72446,0.72347,0.72395,2481
2017.01.26,20:30,0.72395,0.725,0.72376,0.72464,2074
2017.01.26,21:00,0.72463,0.72485,0.72443,0.72478,1326
2017.01.26,21:30,0.72479,0.72549,0.72477,0.72504,1891
2017.01.26,22:00,0.72504,0.72546,0.72373,0.72533,1734
2017.01.26,22:30,0.72535,0.72549,0.72434,0.72447,2223
2017.01.26,23:00,0.72447,0.72462,0.72332,0.72364,1336
2017.01.26,23:30,0.7236,0.72436,0.72314,0.72425,1288
2017.01.27,00:00,0.72301,0.7242,0.72271,0.72367,550
2017.01.27,00:30,0.7236,0.72405,0.7235,0.72403,785
2017.01.27,01:00,0.72397,0.72459,0.7236,0.72433,1274
2017.01.27,01:30,0.72433,0.72437,0.72368,0.72425,1332
2017.01.27,02:00,0.72422,0.72445,0.72367,0.72409,1868
2017.01.27,02:30,0.72409,0.72462,0.72407,0.72417,2141
2017.01.27,03:00,0.72416,0.72457,0.72345,0.72374,3022
2017.01.27,03:30,0.72374,0.72488,0.72363,0.72434,2961
2017.01.27,04:00,0.72434,0.72517,0.72434,0.72494,2126
2017.01.27,04:30,0.72493,0.72502,0.72446,0.72486,1661
2017.01.27,05:00,0.72487,0.72497,0.72426,0.72435,1432
2017.01.27,05:30,0.72434,0.72485,0.72431,0.72458,1768
2017.01.27,06:00,0.72458,0.72503,0.72438,0.72485,1097
2017.01.27,06:30,0.72485,0.72516,0.72463,0.72466,1273
2017.01.27,07:00,0.72467,0.72506,0.72433,0.72496,1294
2017.01.27,07:30,0.72495,0.72508,0.72473,0.72482,1130
2017.01.27,08:00,0.72481,0.72484,0.72364,0.72452,1852
2017.01.27,08:30,0.72451,0.72475,0.72325,0.72327,2291
2017.01.27,09:00,0.72327,0.7242,0.72307,0.72416,2145
2017.01.27,09:30,0.72415,0.72465,0.72357,0.72463,2967
2017.01.27,10:00,0.72463,0.7255,0.72454,0.72492,2774
2017.01.27,10:30,0.72492,0.72505,0.72363,0.72393,2886
2017.01.27,11:00,0.72393,0.7254,0.72374,0.72503,2880
2017.01.27,11:30,0.72502,0.72582,0.72478,0.72557,2600
2017.01.27,12:00,0.72558,0.72645,0.72505,0.72506,2533
2017.01.27,12:30,0.72507,0.72524,0.72421,0.72458,2251
2017.01.27,13:00,0.72458,0.72518,0.72421,0.72486,1870
2017.01.27,13:30,0.72486,0.7255,0.72474,0.72536,1455
2017.01.27,14:00,0.72534,0.72583,0.72506,0.72573,2228
2017.01.27,14:30,0.72577,0.72596,0.72439,0.72457,2301
2017.01.27,15:00,0.72459,0.72575,0.7245,0.72547,2978
2017.01.27,15:30,0.72547,0.72708,0.72472,0.7266,6176
2017.01.27,16:00,0.72661,0.72836,0.72661,0.72756,4755
2017.01.27,16:30,0.72756,0.72796,0.72724,0.72742,4572
2017.01.27,17:00,0.72745,0.72803,0.72704,0.72801,4078
