date,ignore,open,high,low,close,volume
2017.02.06,00:00,0.76434,0.76826,0.76434,0.76806,387
2017.02.06,00:30,0.76807,0.76807,0.76731,0.76754,409
2017.02.06,01:00,0.76753,0.76777,0.76704,0.76728,2136
2017.02.06,01:30,0.76729,0.76758,0.76718,0.7674,1531
2017.02.06,02:00,0.76741,0.768,0.76719,0.76748,2420
2017.02.06,02:30,0.76714,0.76714,0.76579,0.76687,3441
2017.02.06,03:00,0.76687,0.7675,0.76679,0.76732,2949
2017.02.06,03:30,0.76732,0.7674,0.76635,0.76649,2193
2017.02.06,04:00,0.76641,0.7667,0.76583,0.76653,2444
2017.02.06,04:30,0.76654,0.76682,0.76621,0.76629,1775
2017.02.06,05:00,0.76629,0.7669,0.76627,0.76671,1412
2017.02.06,05:30,0.76671,0.7671,0.76649,0.76706,1260
2017.02.06,06:00,0.76706,0.76711,0.7665,0.76655,1183
2017.02.06,06:30,0.76659,0.76661,0.76608,0.76634,1244
2017.02.06,07:00,0.76634,0.76648,0.76615,0.76644,1003
2017.02.06,07:30,0.76644,0.76694,0.76628,0.76629,987
2017.02.06,08:00,0.7663,0.76676,0.76604,0.76643,1743
2017.02.06,08:30,0.76643,0.76667,0.7656,0.76569,1537
2017.02.06,09:00,0.7657,0.76592,0.76514,0.7655,2881
2017.02.06,09:30,0.76549,0.76617,0.76531,0.76531,2982
2017.02.06,10:00,0.7653,0.76621,0.76509,0.76581,3697
2017.02.06,10:30,0.76582,0.76648,0.76575,0.76628,2617
2017.02.06,11:00,0.76628,0.767,0.76623,0.76688,2614
2017.02.06,11:30,0.76688,0.7669,0.76633,0.76643,1932
2017.02.06,12:00,0.76643,0.7665,0.76559,0.76578,2255
2017.02.06,12:30,0.7658,0.76592,0.7656,0.76589,1570
2017.02.06,13:00,0.7659,0.76634,0.76581,0.76592,2482
2017.02.06,13:30,0.76593,0.76624,0.7656,0.76571,2608
2017.02.06,14:00,0.76571,0.76622,0.7654,0.7654,2003
2017.02.06,14:30,0.76541,0.76572,0.76497,0.76529,2544
2017.02.06,15:00,0.76529,0.76532,0.7646,0.76483,4213
2017.02.06,15:30,0.76482,0.76508,0.76391,0.76447,4279
2017.02.06,16:00,0.76447,0.76504,0.7641,0.76492,3639
2017.02.06,16:30,0.76491,0.76518,0.76319,0.76382,4212
2017.02.06,17:00,0.76382,0.76382,0.7629,0.76369,3948
2017.02.06,17:30,0.76366,0.76406,0.76346,0.76383,3460
2017.02.06,18:00,0.76384,0.76441,0.76339,0.76413,3353
2017.02.06,18:30,0.76413,0.76422,0.76387,0.76396,1934
2017.02.06,19:00,0.76394,0.76436,0.76382,0.7642,1607
2017.02.06,19:30,0.7642,0.76502,0.7642,0.76479,1700
2017.02.06,20:00,0.76479,0.76498,0.7644,0.76444,2048
2017.02.06,20:30,0.76444,0.76561,0.76439,0.76561,2562
2017.02.06,21:00,0.76561,0.76602,0.7653,0.76601,1946
2017.02.06,21:30,0.766,0.76633,0.7656,0.76569,2460
2017.02.06,22:00,0.7657,0.76595,0.76531,0.76594,2306
2017.02.06,22:30,0.76593,0.7662,0.76569,0.76573,2063
2017.02.06,23:00,0.76574,0.76638,0.76574,0.76611,917
2017.02.06,23:30,0.7661,0.76612,0.76575,0.76575,1281
2017.02.07,00:00,0.76561,0.76608,0.76545,0.76568,167
2017.02.07,00:30,0.76561,0.76585,0.76525,0.76561,1043
2017.02.07,01:00,0.76562,0.76588,0.76487,0.76537,1199
2017.02.07,01:30,0.76537,0.76543,0.76438,0.76448,1447
