date,ignore,open,high,low,close,volume
2019.01.28,00:00,74.747,74.86,74.747,74.853,1467
2019.01.28,00:30,74.853,74.892,74.816,74.82,675
2019.01.28,01:00,74.821,74.882,74.821,74.842,1630
2019.01.28,01:30,74.842,74.906,74.8,74.813,2010
2019.01.28,02:00,74.812,74.868,74.761,74.774,2148
2019.01.28,02:30,74.774,74.841,74.75,74.765,1802
2019.01.28,03:00,74.765,74.824,74.738,74.813,1729
2019.01.28,03:30,74.814,74.999,74.812,74.979,2582
2019.01.28,04:00,74.978,75.016,74.916,74.997,1853
2019.01.28,04:30,74.997,75.001,74.913,74.981,1150
2019.01.28,05:00,74.981,75.06,74.964,75.047,873
2019.01.28,05:30,75.047,75.122,75.043,75.109,1479
2019.01.28,06:00,75.109,75.141,75.067,75.13,849
2019.01.28,06:30,75.13,75.156,75.09,75.123,912
2019.01.28,07:00,75.123,75.155,75.107,75.138,718
2019.01.28,07:30,75.138,75.166,74.979,75.0,1616
2019.01.28,08:00,75.0,75.022,74.976,75.003,1682
2019.01.28,08:30,75.003,75.025,74.922,74.961,1208
2019.01.28,09:00,74.962,75.012,74.931,74.956,1591
2019.01.28,09:30,74.956,74.996,74.901,74.982,1447
2019.01.28,10:00,74.982,74.992,74.89,74.895,1643
2019.01.28,10:30,74.895,74.929,74.871,74.902,1307
2019.01.28,11:00,74.902,74.948,74.857,74.859,1488
2019.01.28,11:30,74.859,74.952,74.857,74.928,1133
2019.01.28,12:00,74.928,74.999,74.927,74.984,846
2019.01.28,12:30,74.984,75.051,74.984,74.99,1013
2019.01.28,13:00,74.99,75.008,74.909,74.922,1333
2019.01.28,13:30,74.922,74.935,74.827,74.844,1606
2019.01.28,14:00,74.843,74.897,74.827,74.87,1391
2019.01.28,14:30,74.87,74.875,74.816,74.865,1305
2019.01.28,15:00,74.865,74.891,74.816,74.841,1267
2019.01.28,15:30,74.841,74.857,74.788,74.828,1329
2019.01.28,16:00,74.828,74.829,74.692,74.722,2131
2019.01.28,16:30,74.723,74.747,74.666,74.734,2770
2019.01.28,17:00,74.733,74.814,74.71,74.744,2197
2019.01.28,17:30,74.744,74.76,74.656,74.679,2271
2019.01.28,18:00,74.675,74.717,74.617,74.703,2029
2019.01.28,18:30,74.701,74.705,74.607,74.611,1964
2019.01.28,19:00,74.611,74.653,74.571,74.643,1328
2019.01.28,19:30,74.643,74.68,74.621,74.662,1330
2019.01.28,20:00,74.66,74.688,74.637,74.663,588
2019.01.28,20:30,74.663,74.724,74.658,74.699,448
2019.01.28,21:00,74.699,74.717,74.634,74.664,626
2019.01.28,21:30,74.664,74.718,74.643,74.645,555
2019.01.28,22:00,74.646,74.706,74.629,74.687,600
2019.01.28,22:30,74.687,74.719,74.671,74.711,530
2019.01.28,23:00,74.711,74.733,74.703,74.708,198
2019.01.28,23:30,74.707,74.717,74.621,74.629,750
2019.01.29,00:00,74.631,74.685,74.584,74.609,4631
2019.01.29,00:30,74.612,74.665,74.584,74.614,2104
2019.01.29,01:00,74.614,74.627,74.582,74.619,427
2019.01.29,01:30,74.619,74.675,74.615,74.644,1172
2019.01.29,02:00,74.642,74.684,74.596,74.608,1680
2019.01.29,02:30,74.608,74.609,74.459,74.5,3072
2019.01.29,03:00,74.5,74.564,74.478,74.488,2267
2019.01.29,03:30,74.488,74.578,74.442,74.549,2783
2019.01.29,04:00,74.549,74.669,74.521,74.632,2775
2019.01.29,04:30,74.631,74.656,74.565,74.607,1161
2019.01.29,05:00,74.607,74.688,74.589,74.673,932
2019.01.29,05:30,74.673,74.723,74.634,74.694,1256
2019.01.29,06:00,74.694,74.72,74.639,74.717,1137
2019.01.29,06:30,74.717,74.843,74.717,74.788,1510
2019.01.29,07:00,74.788,74.802,74.729,74.795,1312
2019.01.29,07:30,74.792,74.85,74.785,74.803,1371
2019.01.29,08:00,74.803,74.919,74.803,74.885,1540
2019.01.29,08:30,74.884,74.912,74.839,74.863,1411
2019.01.29,09:00,74.863,74.901,74.824,74.826,1077
2019.01.29,09:30,74.826,74.867,74.785,74.8,1385
2019.01.29,10:00,74.801,74.909,74.8,74.885,1571
