date,ignore,open,high,low,close,volume
2015.03.16,00:00,1.00482,1.0072,1.00398,1.00578,930
2015.03.16,00:30,1.00578,1.0069,1.00561,1.00673,477
2015.03.16,01:00,1.00679,1.00693,1.00633,1.00653,471
2015.03.16,01:30,1.00654,1.00697,1.00619,1.0063,689
2015.03.16,02:00,1.00629,1.0064,1.00541,1.00546,541
2015.03.16,02:30,1.00541,1.00546,1.00455,1.00497,1311
2015.03.16,03:00,1.00498,1.00519,1.00313,1.00403,1150
2015.03.16,03:30,1.00403,1.00479,1.00335,1.00467,436
2015.03.16,04:00,1.00468,1.00495,1.00448,1.00468,547
2015.03.16,04:30,1.00468,1.00588,1.00442,1.00546,771
2015.03.16,05:00,1.00545,1.00604,1.00545,1.00569,375
2015.03.16,05:30,1.00571,1.00598,1.00506,1.00568,413
2015.03.16,06:00,1.00568,1.00584,1.00555,1.00561,577
2015.03.16,06:30,1.0056,1.00705,1.00533,1.00659,641
2015.03.16,07:00,1.00658,1.0071,1.00646,1.00664,640
2015.03.16,07:30,1.00668,1.00675,1.00561,1.00568,582
2015.03.16,08:00,1.00568,1.00706,1.00478,1.00619,1089
2015.03.16,08:30,1.0062,1.00657,1.0054,1.00615,833
2015.03.16,09:00,1.00614,1.00716,1.00425,1.00501,1324
2015.03.16,09:30,1.005,1.0063,1.00351,1.00405,1672
2015.03.16,10:00,1.00402,1.00539,1.00313,1.00515,2001
2015.03.16,10:30,1.00516,1.00629,1.00476,1.00517,1518
2015.03.16,11:00,1.00517,1.0058,1.00416,1.00424,1618
2015.03.16,11:30,1.00422,1.00453,1.00334,1.00386,1169
2015.03.16,12:00,1.0039,1.00478,1.00326,1.00413,1273
2015.03.16,12:30,1.00413,1.00459,1.00365,1.00394,1288
2015.03.16,13:00,1.00395,1.00428,1.00357,1.00368,965
2015.03.16,13:30,1.00367,1.00521,1.00364,1.00487,1246
2015.03.16,14:00,1.00486,1.00521,1.00416,1.0046,1667
2015.03.16,14:30,1.00455,1.00701,1.00392,1.00567,2262
2015.03.16,15:00,1.00559,1.00621,1.00377,1.00483,2562
2015.03.16,15:30,1.00483,1.00517,1.0023,1.00278,2541
2015.03.16,16:00,1.00278,1.00561,1.0026,1.00553,1658
2015.03.16,16:30,1.00551,1.00692,1.00503,1.00661,1389
2015.03.16,17:00,1.00661,1.00709,1.00571,1.00644,1225
2015.03.16,17:30,1.00645,1.00741,1.00548,1.00739,1315
2015.03.16,18:00,1.00738,1.00763,1.00508,1.00508,1210
2015.03.16,18:30,1.00499,1.0053,1.00433,1.00482,1057
2015.03.16,19:00,1.00482,1.00617,1.00409,1.0056,1008
2015.03.16,19:30,1.00567,1.00736,1.00545,1.00655,848
2015.03.16,20:00,1.00658,1.00822,1.00649,1.00771,749
2015.03.16,20:30,1.00772,1.00796,1.00692,1.00765,658
2015.03.16,21:00,1.00764,1.00787,1.0069,1.00749,440
2015.03.16,21:30,1.00751,1.00815,1.00741,1.00797,513
2015.03.16,22:00,1.00786,1.00825,1.0076,1.00787,370
2015.03.16,22:30,1.00786,1.00802,1.00731,1.00755,440
2015.03.16,23:00,1.00668,1.00811,1.00659,1.00801,204
2015.03.16,23:30,1.008,1.0082,1.00681,1.00797,218
2015.03.17,00:00,1.00814,1.00855,1.00739,1.0075,577
2015.03.17,00:30,1.00751,1.00764,1.00734,1.00746,147
2015.03.17,01:00,1.0074,1.00752,1.00696,1.00703,192
2015.03.17,01:30,1.00703,1.00775,1.00693,1.00764,203
2015.03.17,02:00,1.00766,1.0083,1.00765,1.00794,266
2015.03.17,02:30,1.00792,1.0085,1.00792,1.00841,250
2015.03.17,03:00,1.0083,1.00848,1.00807,1.00838,234
2015.03.17,03:30,1.00841,1.00866,1.00836,1.00849,208
2015.03.17,04:00,1.00845,1.00851,1.00811,1.00814,180
2015.03.17,04:30,1.00813,1.00827,1.00783,1.00818,151
2015.03.17,05:00,1.00817,1.00818,1.00758,1.00803,209
2015.03.17,05:30,1.00801,1.00808,1.00766,1.0078,198
2015.03.17,06:00,1.0078,1.00786,1.00772,1.0078,134
2015.03.17,06:30,1.00777,1.00807,1.00772,1.00803,186
2015.03.17,07:00,1.00796,1.00808,1.00795,1.00807,90
2015.03.17,07:30,1.00811,1.00848,1.00808,1.00836,225
2015.03.17,08:00,1.00844,1.00914,1.00843,1.00888,316
