date,ignore,open,high,low,close,volume
2018.08.13,00:00,83.832,83.995,83.832,83.956,996
2018.08.13,00:30,83.956,84.068,83.94,83.98,1931
2018.08.13,01:00,83.98,84.225,83.98,84.049,2183
2018.08.13,01:30,84.049,84.154,84.049,84.124,1273
2018.08.13,02:00,84.123,84.214,84.123,84.183,1332
2018.08.13,02:30,84.183,84.201,84.094,84.124,1224
2018.08.13,03:00,84.124,84.155,84.065,84.141,2197
2018.08.13,03:30,84.14,84.14,83.958,83.958,1930
2018.08.13,04:00,83.958,83.986,83.891,83.894,2478
2018.08.13,04:30,83.895,83.899,83.707,83.737,4143
2018.08.13,05:00,83.737,83.823,83.694,83.779,2674
2018.08.13,05:30,83.778,83.789,83.652,83.659,1519
2018.08.13,06:00,83.66,83.737,83.65,83.736,1033
2018.08.13,06:30,83.736,83.832,83.722,83.763,1629
2018.08.13,07:00,83.763,83.786,83.69,83.725,1311
2018.08.13,07:30,83.724,83.74,83.621,83.659,1420
2018.08.13,08:00,83.659,83.933,83.658,83.813,3329
2018.08.13,08:30,83.814,83.903,83.754,83.828,2704
2018.08.13,09:00,83.828,83.91,83.802,83.859,2369
2018.08.13,09:30,83.859,83.957,83.826,83.84,2867
2018.08.13,10:00,83.839,83.903,83.794,83.8,3466
2018.08.13,10:30,83.801,83.811,83.705,83.75,2837
2018.08.13,11:00,83.751,83.834,83.629,83.794,3012
2018.08.13,11:30,83.794,83.901,83.771,83.891,2177
2018.08.13,12:00,83.892,83.96,83.849,83.96,1786
2018.08.13,12:30,83.959,83.972,83.899,83.914,1918
2018.08.13,13:00,83.914,83.939,83.892,83.894,1510
2018.08.13,13:30,83.893,83.935,83.853,83.879,1540
2018.08.13,14:00,83.879,83.941,83.847,83.847,1789
2018.08.13,14:30,83.847,84.22,83.788,84.07,4050
2018.08.13,15:00,84.073,84.273,83.962,84.24,6080
2018.08.13,15:30,84.24,84.303,84.149,84.28,3807
2018.08.13,16:00,84.28,84.358,84.247,84.324,3149
2018.08.13,16:30,84.324,84.52,84.297,84.486,3954
2018.08.13,17:00,84.489,84.546,84.432,84.51,3068
2018.08.13,17:30,84.512,84.603,84.442,84.49,2825
2018.08.13,18:00,84.489,84.515,84.352,84.352,2755
2018.08.13,18:30,84.353,84.357,84.196,84.204,2463
2018.08.13,19:00,84.204,84.249,84.116,84.152,2082
2018.08.13,19:30,84.151,84.185,84.095,84.183,2174
2018.08.13,20:00,84.183,84.227,84.088,84.213,1861
2018.08.13,20:30,84.213,84.271,84.184,84.235,1446
2018.08.13,21:00,84.235,84.329,84.235,84.303,1236
2018.08.13,21:30,84.303,84.31,84.195,84.196,1199
2018.08.13,22:00,84.196,84.229,84.171,84.221,1187
2018.08.13,22:30,84.221,84.282,84.198,84.215,1462
2018.08.13,23:00,84.216,84.318,84.207,84.318,868
2018.08.13,23:30,84.316,84.322,84.251,84.259,1011
2018.08.14,00:00,84.246,84.324,84.236,84.324,1334
2018.08.14,00:30,84.314,84.362,84.282,84.338,3765
2018.08.14,01:00,84.338,84.361,84.304,84.345,1379
2018.08.14,01:30,84.345,84.364,84.323,84.337,577
2018.08.14,02:00,84.337,84.339,84.266,84.284,623
2018.08.14,02:30,84.284,84.297,84.222,84.234,988
2018.08.14,03:00,84.233,84.375,84.185,84.349,2215
2018.08.14,03:30,84.348,84.423,84.339,84.398,1451
2018.08.14,04:00,84.398,84.474,84.329,84.335,1658
2018.08.14,04:30,84.335,84.451,84.302,84.428,1540
2018.08.14,05:00,84.428,84.495,84.361,84.471,1683
2018.08.14,05:30,84.471,84.48,84.441,84.454,1169
2018.08.14,06:00,84.454,84.465,84.423,84.457,961
2018.08.14,06:30,84.458,84.55,84.455,84.519,1527
2018.08.14,07:00,84.519,84.53,84.492,84.518,805
