date,ignore,open,high,low,close,volume
2015.04.06,00:00,177.272,177.401,177.215,177.359,419
2015.04.06,00:30,177.358,177.374,177.155,177.2,248
2015.04.06,01:00,177.213,177.438,177.2,177.345,642
2015.04.06,01:30,177.345,177.4,177.297,177.345,323
2015.04.06,02:00,177.347,177.484,177.315,177.355,579
2015.04.06,02:30,177.356,177.425,177.293,177.328,404
2015.04.06,03:00,177.325,177.434,177.24,177.4,697
2015.04.06,03:30,177.399,177.572,177.331,177.529,766
2015.04.06,04:00,177.534,177.599,177.479,177.574,814
2015.04.06,04:30,177.574,177.624,177.53,177.541,554
2015.04.06,05:00,177.539,177.71,177.532,177.689,481
2015.04.06,05:30,177.689,177.752,177.643,177.674,465
2015.04.06,06:00,177.673,177.678,177.644,177.66,192
2015.04.06,06:30,177.657,177.706,177.497,177.508,744
2015.04.06,07:00,177.508,177.643,177.492,177.618,677
2015.04.06,07:30,177.618,177.628,177.578,177.581,505
2015.04.06,08:00,177.581,177.596,177.48,177.516,413
2015.04.06,08:30,177.515,177.602,177.513,177.565,393
2015.04.06,09:00,177.565,177.58,177.492,177.568,702
2015.04.06,09:30,177.57,177.606,177.533,177.557,589
2015.04.06,10:00,177.554,177.69,177.533,177.685,790
2015.04.06,10:30,177.688,177.698,177.626,177.664,749
2015.04.06,11:00,177.666,177.835,177.657,177.832,698
2015.04.06,11:30,177.832,177.844,177.747,177.779,595
2015.04.06,12:00,177.781,177.853,177.77,177.841,665
2015.04.06,12:30,177.84,177.852,177.765,177.8,690
2015.04.06,13:00,177.799,177.898,177.775,177.898,642
2015.04.06,13:30,177.895,178.001,177.895,177.926,587
2015.04.06,14:00,177.929,177.929,177.832,177.859,789
2015.04.06,14:30,177.857,177.962,177.852,177.859,1255
2015.04.06,15:00,177.879,177.917,177.736,177.887,1685
2015.04.06,15:30,177.886,177.945,177.657,177.817,1985
2015.04.06,16:00,177.82,177.999,177.8,177.937,1817
2015.04.06,16:30,177.939,178.089,177.924,178.072,1782
2015.04.06,17:00,178.068,178.142,177.967,178.093,2115
2015.04.06,17:30,178.093,178.187,177.999,178.184,2174
2015.04.06,18:00,178.188,178.269,178.131,178.233,1628
2015.04.06,18:30,178.233,178.233,178.02,178.075,1652
2015.04.06,19:00,178.073,178.094,177.89,177.992,1683
2015.04.06,19:30,177.992,178.053,177.939,178.035,987
2015.04.06,20:00,178.035,178.063,177.947,178.026,972
2015.04.06,20:30,178.029,178.038,177.89,178.024,905
2015.04.06,21:00,178.026,178.1,177.955,178.084,827
2015.04.06,21:30,178.084,178.103,178.033,178.064,697
2015.04.06,22:00,178.064,178.122,177.632,177.925,2121
2015.04.06,22:30,177.934,177.973,177.839,177.875,1592
2015.04.06,23:00,177.876,177.926,177.809,177.833,1053
2015.04.06,23:30,177.833,177.978,177.824,177.841,1808
2015.04.07,00:00,177.824,177.829,177.702,177.79,854
2015.04.07,00:30,177.79,177.905,177.751,177.899,1240
2015.04.07,01:00,177.898,177.922,177.844,177.849,1392
2015.04.07,01:30,177.849,177.944,177.836,177.896,987
2015.04.07,02:00,177.896,177.937,177.857,177.921,1326
2015.04.07,02:30,177.921,177.943,177.869,177.885,945
2015.04.07,03:00,177.885,177.902,177.826,177.845,656
2015.04.07,03:30,177.845,178.018,177.787,177.97,1542
2015.04.07,04:00,177.969,177.998,177.898,177.932,1419
2015.04.07,04:30,177.93,178.084,177.93,178.068,1473
2015.04.07,05:00,178.074,178.167,178.033,178.125,1359
2015.04.07,05:30,178.124,178.24,178.112,178.24,928
2015.04.07,06:00,178.242,178.253,178.089,178.147,1098
2015.04.07,06:30,178.146,178.27,178.119,178.234,1172
2015.04.07,07:00,178.238,178.345,178.169,178.335,890
2015.04.07,07:30,178.333,178.337,177.974,178.085,2070
2015.04.07,08:00,178.083,178.271,178.016,178.214,1651
2015.04.07,08:30,178.212,178.296,178.163,178.276,1551
2015.04.07,09:00,178.278,178.389,178.116,178.287,2319
2015.04.07,09:30,178.287,178.301,177.983,178.094,2285
2015.04.07,10:00,178.092,178.53,178.062,178.525,2349
2015.04.07,10:30,178.507,178.634,178.365,178.478,2391
2015.04.07,11:00,178.478,178.747,178.382,178.658,3138
2015.04.07,11:30,178.73,178.873,177.924,178.117,3511
2015.04.07,12:00,178.117,178.366,178.105,178.16,2629
2015.04.07,12:30,178.16,178.355,178.087,178.21,2176
2015.04.07,13:00,178.211,178.44,178.211,178.372,2003
2015.04.07,13:30,178.372,178.51,178.318,178.465,1888
2015.04.07,14:00,178.465,178.752,178.457,178.712,2348
2015.04.07,14:30,178.713,178.851,178.709,178.762,2290
2015.04.07,15:00,178.762,178.962,178.746,178.871,2899
2015.04.07,15:30,178.877,179.011,178.838,178.906,3045
2015.04.07,16:00,178.907,178.943,178.79,178.874,2564
2015.04.07,16:30,178.873,179.113,178.841,179.015,3243
2015.04.07,17:00,179.015,179.177,178.916,179.002,3597
2015.04.07,17:30,179.001,179.111,178.875,178.879,3094
