date,ignore,open,high,low,close,volume
2015.04.06,0:00,1.49179,1.49257,1.49065,1.49229,342
2015.04.06,0:30,1.49227,1.49238,1.49061,1.49117,216
2015.04.06,1:00,1.49123,1.49267,1.49012,1.49087,588
2015.04.06,1:30,1.49088,1.4921,1.49088,1.49189,339
2015.04.06,2:00,1.4919,1.49329,1.49179,1.49264,508
2015.04.06,2:30,1.49265,1.49298,1.49189,1.49195,465
2015.04.06,3:00,1.49195,1.49227,1.49104,1.49153,662
2015.04.06,3:30,1.49154,1.49203,1.49112,1.49146,576
2015.04.06,4:00,1.49146,1.49157,1.48977,1.49091,783
2015.04.06,4:30,1.4909,1.49128,1.49035,1.49042,436
2015.04.06,5:00,1.49048,1.49171,1.49026,1.49171,390
2015.04.06,5:30,1.4917,1.49221,1.49143,1.49209,366
2015.04.06,6:00,1.49204,1.49213,1.49192,1.49196,144
2015.04.06,6:30,1.49195,1.49221,1.49189,1.49203,457
2015.04.06,7:00,1.49203,1.49225,1.49183,1.49192,366
2015.04.06,7:30,1.49194,1.4921,1.49166,1.4917,307
2015.04.06,8:00,1.4917,1.49194,1.49167,1.49175,296
2015.04.06,8:30,1.49174,1.49179,1.49166,1.49172,220
2015.04.06,9:00,1.49169,1.49245,1.49167,1.49174,531
2015.04.06,9:30,1.49175,1.49215,1.49175,1.49206,453
2015.04.06,10:00,1.49206,1.49305,1.49177,1.49295,1016
2015.04.06,10:30,1.49294,1.49357,1.49285,1.49311,652
2015.04.06,11:00,1.49313,1.49429,1.49313,1.49413,578
2015.04.06,11:30,1.4941,1.49421,1.49367,1.49367,689
2015.04.06,12:00,1.49368,1.49407,1.49347,1.49365,817
2015.04.06,12:30,1.49365,1.49373,1.49282,1.49294,590
2015.04.06,13:00,1.49294,1.49397,1.49271,1.49397,807
2015.04.06,13:30,1.49396,1.49459,1.49387,1.49405,521
2015.04.06,14:00,1.49406,1.49459,1.49373,1.49459,1041
2015.04.06,14:30,1.49458,1.49491,1.49363,1.49369,1239
2015.04.06,15:00,1.49371,1.49475,1.49316,1.4947,1589
2015.04.06,15:30,1.4947,1.49536,1.49285,1.49481,1749
2015.04.06,16:00,1.4948,1.49674,1.4948,1.49584,1983
2015.04.06,16:30,1.49584,1.49678,1.4952,1.49666,1743
2015.04.06,17:00,1.49665,1.49721,1.4952,1.49713,1943
2015.04.06,17:30,1.49713,1.49776,1.49576,1.49774,1706
2015.04.06,18:00,1.49774,1.49806,1.49719,1.49781,1464
2015.04.06,18:30,1.49782,1.49783,1.49565,1.4958,1662
2015.04.06,19:00,1.49579,1.49579,1.49365,1.49446,1710
2015.04.06,19:30,1.49445,1.4948,1.49333,1.4943,847
2015.04.06,20:00,1.49427,1.49456,1.4933,1.49371,829
2015.04.06,20:30,1.4937,1.49372,1.49226,1.49302,736
2015.04.06,21:00,1.49294,1.49294,1.49197,1.49235,565
2015.04.06,21:30,1.49234,1.49251,1.49182,1.49198,493
2015.04.06,22:00,1.49197,1.49205,1.48696,1.48781,1984
2015.04.06,22:30,1.48773,1.48888,1.48741,1.48882,1570
2015.04.06,23:00,1.48888,1.48908,1.4881,1.48873,1125
2015.04.06,23:30,1.48874,1.48897,1.48782,1.48785,1326
2015.04.07,0:00,1.4877,1.48832,1.48736,1.48823,417
2015.04.07,0:30,1.48811,1.48899,1.48804,1.48891,820
2015.04.07,1:00,1.4889,1.48952,1.48878,1.48878,1429
2015.04.07,1:30,1.48877,1.48917,1.48837,1.48865,800
2015.04.07,2:00,1.48863,1.48936,1.48841,1.48921,927
2015.04.07,2:30,1.48921,1.48924,1.48881,1.48883,729
2015.04.07,3:00,1.48883,1.48897,1.48816,1.48855,474
2015.04.07,3:30,1.48857,1.48881,1.48795,1.48841,1096
2015.04.07,4:00,1.4884,1.48879,1.48787,1.48851,1112
2015.04.07,4:30,1.48852,1.48922,1.48836,1.48911,1031
2015.04.07,5:00,1.48911,1.49023,1.48906,1.48986,1062
2015.04.07,5:30,1.48986,1.4908,1.48963,1.49058,658
2015.04.07,6:00,1.49061,1.49066,1.48939,1.48969,833
2015.04.07,6:30,1.48971,1.49018,1.48942,1.48963,760
2015.04.07,7:00,1.48963,1.49092,1.48948,1.4909,837
2015.04.07,7:30,1.4909,1.49095,1.48873,1.48926,1575
2015.04.07,8:00,1.48927,1.49105,1.48887,1.49088,1528
2015.04.07,8:30,1.49089,1.49171,1.49084,1.49158,1275
2015.04.07,9:00,1.49158,1.49197,1.48971,1.49138,2285
2015.04.07,9:30,1.49139,1.4915,1.48892,1.48896,2292
2015.04.07,10:00,1.48897,1.49103,1.48879,1.49077,2402
2015.04.07,10:30,1.49077,1.49135,1.48867,1.48954,2360
2015.04.07,11:00,1.48954,1.49014,1.4879,1.4896,3046
2015.04.07,11:30,1.48961,1.49115,1.4829,1.48497,3425
2015.04.07,12:00,1.48496,1.48717,1.48465,1.48545,2430
2015.04.07,12:30,1.48546,1.48737,1.4847,1.48673,2007
2015.04.07,13:00,1.48672,1.48848,1.48672,1.4878,1775
2015.04.07,13:30,1.4878,1.48899,1.48716,1.48855,1567
2015.04.07,14:00,1.48854,1.49062,1.48837,1.48987,1902
2015.04.07,14:30,1.48987,1.4908,1.48883,1.48916,2024
2015.04.07,15:00,1.48919,1.49021,1.48715,1.488,2782
2015.04.07,15:30,1.48802,1.48906,1.48731,1.48826,2440
