date,ignore,open,high,low,close,volume
2015.10.19,00:00,1.56391,1.56455,1.56164,1.56395,2786
2015.10.19,00:30,1.56335,1.56398,1.56258,1.56336,4975
2015.10.19,01:00,1.56337,1.56362,1.5625,1.56316,3215
2015.10.19,01:30,1.56313,1.56429,1.56263,1.56269,1260
2015.10.19,02:00,1.5627,1.56466,1.56247,1.56396,954
2015.10.19,02:30,1.56398,1.56518,1.56304,1.56438,1645
2015.10.19,03:00,1.56432,1.56931,1.56411,1.56889,2381
2015.10.19,03:30,1.5688,1.56947,1.56773,1.56829,2530
2015.10.19,04:00,1.56829,1.56971,1.56757,1.56839,2099
2015.10.19,04:30,1.56837,1.57066,1.56746,1.56952,2866
2015.10.19,05:00,1.5693,1.56939,1.55963,1.5633,4586
2015.10.19,05:30,1.56325,1.5638,1.55996,1.56038,2239
2015.10.19,06:00,1.56045,1.56117,1.55785,1.56064,2424
2015.10.19,06:30,1.56064,1.56232,1.56031,1.56168,2273
2015.10.19,07:00,1.5617,1.5621,1.56082,1.56112,1623
2015.10.19,07:30,1.56111,1.56268,1.56088,1.56183,1604
2015.10.19,08:00,1.56183,1.56464,1.56139,1.56313,2200
2015.10.19,08:30,1.56312,1.56361,1.56215,1.56299,1636
2015.10.19,09:00,1.56296,1.5656,1.5627,1.56438,2869
2015.10.19,09:30,1.56437,1.56523,1.55991,1.5604,3474
2015.10.19,10:00,1.5604,1.56073,1.55635,1.55705,5411
2015.10.19,10:30,1.55703,1.55791,1.55586,1.55653,4515
2015.10.19,11:00,1.5565,1.5571,1.55464,1.55585,4448
2015.10.19,11:30,1.55586,1.55937,1.55505,1.55789,4076
2015.10.19,12:00,1.55789,1.5579,1.55553,1.55586,3975
2015.10.19,12:30,1.55586,1.55595,1.55334,1.55392,4385
2015.10.19,13:00,1.55391,1.55399,1.55034,1.55074,4426
2015.10.19,13:30,1.55073,1.55194,1.55019,1.55075,3195
2015.10.19,14:00,1.55074,1.55525,1.55057,1.55507,3915
2015.10.19,14:30,1.55506,1.55649,1.55431,1.55591,3680
2015.10.19,15:00,1.5559,1.55871,1.55587,1.55787,4785
2015.10.19,15:30,1.55786,1.55977,1.55763,1.55971,4377
2015.10.19,16:00,1.55972,1.56188,1.55946,1.56097,4481
2015.10.19,16:30,1.56096,1.5625,1.55974,1.56019,4514
2015.10.19,17:00,1.56019,1.56059,1.55806,1.5597,5256
2015.10.19,17:30,1.5597,1.56021,1.55812,1.5586,5281
2015.10.19,18:00,1.55868,1.56073,1.55798,1.56073,5346
2015.10.19,18:30,1.56071,1.56127,1.55945,1.56015,3895
2015.10.19,19:00,1.56016,1.56053,1.55911,1.55944,2770
2015.10.19,19:30,1.55944,1.56039,1.5586,1.55973,2267
2015.10.19,20:00,1.55968,1.56087,1.55933,1.56006,2230
