date,ignore,open,high,low,close,volume
2017.10.02,00:00,0.78325,0.78351,0.78325,0.78332,142
2017.10.02,00:30,0.78335,0.78352,0.78329,0.78338,154
2017.10.02,01:00,0.7834,0.78447,0.7834,0.78447,882
2017.10.02,01:30,0.78446,0.78475,0.78385,0.78448,624
2017.10.02,02:00,0.78449,0.78462,0.78425,0.78434,655
2017.10.02,02:30,0.78436,0.78447,0.78398,0.78415,929
2017.10.02,03:00,0.78414,0.7845,0.78373,0.78419,1038
2017.10.02,03:30,0.78418,0.78433,0.78371,0.78395,1283
2017.10.02,04:00,0.78395,0.78404,0.78304,0.78327,1542
2017.10.02,04:30,0.78327,0.7833,0.78223,0.78249,946
2017.10.02,05:00,0.78253,0.78271,0.78161,0.78186,1470
2017.10.02,05:30,0.78185,0.78256,0.78173,0.78197,905
2017.10.02,06:00,0.78199,0.78229,0.78166,0.78168,664
2017.10.02,06:30,0.78166,0.78254,0.78166,0.7825,751
2017.10.02,07:00,0.78249,0.7828,0.78236,0.78266,890
2017.10.02,07:30,0.78266,0.78292,0.78247,0.7828,591
2017.10.02,08:00,0.78281,0.78293,0.7815,0.78179,898
2017.10.02,08:30,0.78181,0.78223,0.78146,0.7819,883
2017.10.02,09:00,0.78191,0.78248,0.7816,0.78191,1866
2017.10.02,09:30,0.7819,0.78217,0.78102,0.7821,1919
2017.10.02,10:00,0.78212,0.78246,0.78063,0.78064,2261
2017.10.02,10:30,0.78065,0.78076,0.77953,0.78007,2738
2017.10.02,11:00,0.78006,0.7806,0.7798,0.78027,1675
2017.10.02,11:30,0.78028,0.7811,0.78027,0.78095,1738
2017.10.02,12:00,0.78093,0.78151,0.78066,0.78078,1647
2017.10.02,12:30,0.78079,0.78104,0.77998,0.78006,1301
2017.10.02,13:00,0.78009,0.78108,0.78001,0.78098,1412
2017.10.02,13:30,0.78099,0.78174,0.78098,0.78168,1124
2017.10.02,14:00,0.78168,0.78195,0.78133,0.78155,1448
2017.10.02,14:30,0.78156,0.78179,0.78116,0.78123,1461
2017.10.02,15:00,0.78125,0.782,0.78075,0.78179,2176
2017.10.02,15:30,0.7816,0.78263,0.78158,0.78233,2102
2017.10.02,16:00,0.78234,0.78251,0.78202,0.78228,1503
2017.10.02,16:30,0.78228,0.7831,0.78225,0.78263,2831
2017.10.02,17:00,0.78263,0.78388,0.78088,0.78359,4274
2017.10.02,17:30,0.78361,0.78398,0.78242,0.78245,2639
2017.10.02,18:00,0.78246,0.78269,0.78215,0.78244,2167
2017.10.02,18:30,0.78245,0.78255,0.78203,0.78236,1459
2017.10.02,19:00,0.78236,0.7829,0.78236,0.78278,1077
2017.10.02,19:30,0.78278,0.78309,0.78277,0.78292,1225
2017.10.02,20:00,0.7829,0.78297,0.78249,0.78258,974
2017.10.02,20:30,0.78256,0.78288,0.78235,0.78287,757
2017.10.02,21:00,0.78289,0.78357,0.78274,0.78353,1058
2017.10.02,21:30,0.78353,0.78364,0.78323,0.78329,996
2017.10.02,22:00,0.78328,0.78361,0.78293,0.78295,1110
2017.10.02,22:30,0.78294,0.78316,0.78264,0.78267,1202
2017.10.02,23:00,0.78268,0.78279,0.78245,0.78273,658
2017.10.02,23:30,0.78273,0.78273,0.78248,0.7825,563
2017.10.03,00:00,0.7825,0.78323,0.78244,0.78276,776
2017.10.03,00:30,0.78275,0.78323,0.78275,0.78311,1019
2017.10.03,01:00,0.78306,0.78316,0.78284,0.78307,1053
2017.10.03,01:30,0.78307,0.78328,0.78284,0.78323,1004
2017.10.03,02:00,0.78324,0.78348,0.78282,0.78282,990
2017.10.03,02:30,0.78282,0.78303,0.78247,0.78264,840
2017.10.03,03:00,0.78265,0.7832,0.78244,0.78299,1119
2017.10.03,03:30,0.78304,0.78307,0.78135,0.7815,1782
2017.10.03,04:00,0.78149,0.78156,0.78084,0.7811,2110
2017.10.03,04:30,0.78109,0.78208,0.78101,0.78126,2488
2017.10.03,05:00,0.78126,0.78189,0.78113,0.78167,1693
2017.10.03,05:30,0.78169,0.78219,0.78144,0.78154,1117
2017.10.03,06:00,0.78153,0.78198,0.78117,0.78129,1123
2017.10.03,06:30,0.78131,0.78164,0.77917,0.77975,3637
2017.10.03,07:00,0.77975,0.78044,0.77965,0.78014,1129
2017.10.03,07:30,0.78014,0.78049,0.78001,0.7801,1523
2017.10.03,08:00,0.78012,0.78012,0.77935,0.77949,1329
2017.10.03,08:30,0.77949,0.78016,0.77852,0.77912,2299
2017.10.03,09:00,0.77912,0.78079,0.77897,0.78045,2560
2017.10.03,09:30,0.78045,0.7814,0.78037,0.78132,2038
2017.10.03,10:00,0.78132,0.78228,0.78075,0.78155,2235
2017.10.03,10:30,0.78157,0.78205,0.78056,0.78114,2165
2017.10.03,11:00,0.78115,0.78158,0.78078,0.78087,1545
2017.10.03,11:30,0.78086,0.78116,0.78027,0.78027,1577
2017.10.03,12:00,0.78029,0.78074,0.7801,0.78068,1654
2017.10.03,12:30,0.78068,0.7811,0.7806,0.78097,943
2017.10.03,13:00,0.78098,0.78132,0.78087,0.78116,1325
2017.10.03,13:30,0.78118,0.78204,0.78118,0.78169,1704
2017.10.03,14:00,0.7817,0.78208,0.78166,0.78167,1161
2017.10.03,14:30,0.78167,0.78181,0.78117,0.78125,1017
2017.10.03,15:00,0.78125,0.78154,0.78097,0.78097,1597
2017.10.03,15:30,0.78097,0.78106,0.78019,0.78061,1766
2017.10.03,16:00,0.7806,0.78138,0.78045,0.78086,1355
2017.10.03,16:30,0.78087,0.78201,0.78077,0.78176,2133
2017.10.03,17:00,0.78175,0.78247,0.78166,0.78192,2378
2017.10.03,17:30,0.78191,0.78264,0.78177,0.78246,2387
2017.10.03,18:00,0.7825,0.78352,0.78245,0.78319,2053
2017.10.03,18:30,0.78318,0.78328,0.78254,0.78267,1007
2017.10.03,19:00,0.78266,0.78291,0.78236,0.78245,1333
2017.10.03,19:30,0.78242,0.78317,0.78225,0.78296,1296
2017.10.03,20:00,0.78296,0.78338,0.78292,0.78325,905
2017.10.03,20:30,0.78326,0.78327,0.78276,0.78284,684
2017.10.03,21:00,0.78285,0.78317,0.78282,0.78298,625
2017.10.03,21:30,0.78299,0.78347,0.78262,0.78345,795
2017.10.03,22:00,0.78344,0.78373,0.78324,0.78356,1085
2017.10.03,22:30,0.78358,0.78385,0.78335,0.78358,1099
2017.10.03,23:00,0.78358,0.78371,0.78345,0.78362,692
2017.10.03,23:30,0.78362,0.7837,0.78341,0.78343,430
2017.10.04,00:00,0.78345,0.78347,0.78312,0.78343,901
2017.10.04,00:30,0.78343,0.78357,0.78322,0.78326,2055
2017.10.04,01:00,0.78325,0.78346,0.78297,0.78303,648
2017.10.04,01:30,0.78304,0.78371,0.78299,0.78333,2313
2017.10.04,02:00,0.78334,0.78365,0.78307,0.78357,729
2017.10.04,02:30,0.78359,0.78364,0.783,0.78359,932
2017.10.04,03:00,0.78356,0.78527,0.78337,0.78488,2024
2017.10.04,03:30,0.7849,0.78635,0.78466,0.78587,2663
2017.10.04,04:00,0.78587,0.78619,0.78516,0.78526,1529
2017.10.04,04:30,0.78525,0.78633,0.78512,0.78625,1588
2017.10.04,05:00,0.78626,0.78749,0.78614,0.78648,2031
2017.10.04,05:30,0.78649,0.78658,0.78543,0.78613,1360
2017.10.04,06:00,0.78611,0.78634,0.78597,0.7862,904
2017.10.04,06:30,0.7862,0.78625,0.78566,0.78575,816
2017.10.04,07:00,0.78575,0.78612,0.78573,0.78597,721
2017.10.04,07:30,0.78597,0.786,0.78565,0.78587,752
2017.10.04,08:00,0.78587,0.78629,0.78569,0.78586,770
2017.10.04,08:30,0.78586,0.78668,0.78575,0.78668,976
2017.10.04,09:00,0.78668,0.78685,0.78575,0.78657,1830
2017.10.04,09:30,0.78656,0.78674,0.78538,0.78538,1680
2017.10.04,10:00,0.78537,0.7857,0.78495,0.78528,1659
2017.10.04,10:30,0.78529,0.78567,0.78518,0.78556,1091
2017.10.04,11:00,0.78557,0.78599,0.78486,0.78495,1252
2017.10.04,11:30,0.78497,0.78546,0.78493,0.78526,1171
2017.10.04,12:00,0.78525,0.78561,0.78504,0.7852,1003
2017.10.04,12:30,0.78522,0.78591,0.78521,0.78589,812
2017.10.04,13:00,0.78588,0.7868,0.78578,0.78659,1511
2017.10.04,13:30,0.78658,0.78714,0.78647,0.78688,1254
2017.10.04,14:00,0.78689,0.78692,0.78586,0.78586,1098
2017.10.04,14:30,0.78586,0.7867,0.78586,0.78654,1442
2017.10.04,15:00,0.78655,0.78679,0.78525,0.78548,2310
2017.10.04,15:30,0.78547,0.7855,0.78489,0.78548,1877
2017.10.04,16:00,0.78547,0.78559,0.78458,0.78482,1822
2017.10.04,16:30,0.78482,0.78543,0.78451,0.78531,2782
2017.10.04,17:00,0.78518,0.78518,0.78374,0.78505,3938
2017.10.04,17:30,0.78504,0.78566,0.78483,0.78546,3268
2017.10.04,18:00,0.78548,0.78575,0.78487,0.78537,2808
2017.10.04,18:30,0.78538,0.78576,0.78506,0.78557,1644
2017.10.04,19:00,0.78556,0.78565,0.78504,0.78536,1450
2017.10.04,19:30,0.78537,0.78545,0.78514,0.78524,736
2017.10.04,20:00,0.78523,0.78566,0.78488,0.78557,1181
2017.10.04,20:30,0.78557,0.78601,0.78557,0.78596,919
2017.10.04,21:00,0.78596,0.78607,0.78567,0.78603,819
2017.10.04,21:30,0.78603,0.78616,0.78585,0.78615,974
2017.10.04,22:00,0.78621,0.78626,0.78581,0.78625,1148
2017.10.04,22:30,0.78625,0.78647,0.78608,0.78614,1011
2017.10.04,23:00,0.78615,0.78633,0.78604,0.78624,657
2017.10.04,23:30,0.78624,0.78639,0.78603,0.78637,393
2017.10.05,00:00,0.78611,0.78645,0.78595,0.78608,556
2017.10.05,00:30,0.78607,0.7862,0.78567,0.78581,1222
2017.10.05,01:00,0.78578,0.78642,0.78577,0.78621,785
2017.10.05,01:30,0.78622,0.78627,0.78591,0.786,1220
2017.10.05,02:00,0.78601,0.78652,0.78588,0.78639,709
2017.10.05,02:30,0.78639,0.78639,0.78571,0.7861,678
2017.10.05,03:00,0.7861,0.78632,0.78547,0.78551,1068
2017.10.05,03:30,0.78546,0.78546,0.78283,0.78369,2897
