date,ignore,open,high,low,close,volume
2017.12.11,00:00,0.87744,0.87908,0.87717,0.87908,181
2017.12.11,00:30,0.87877,0.87931,0.87877,0.87923,233
2017.12.11,01:00,0.87923,0.88006,0.87875,0.87986,537
2017.12.11,01:30,0.87991,0.88029,0.87965,0.87982,541
2017.12.11,02:00,0.87981,0.88099,0.87967,0.88091,972
2017.12.11,02:30,0.88092,0.88141,0.88063,0.88119,918
2017.12.11,03:00,0.88118,0.88214,0.88118,0.88158,980
2017.12.11,03:30,0.88157,0.88166,0.88096,0.88101,703
2017.12.11,04:00,0.88102,0.88179,0.88094,0.88128,583
2017.12.11,04:30,0.88128,0.88141,0.88077,0.88136,456
2017.12.11,05:00,0.88137,0.88721,0.88135,0.88458,2070
2017.12.11,05:30,0.88457,0.88581,0.88441,0.88546,1064
2017.12.11,06:00,0.88548,0.88586,0.88467,0.88471,851
2017.12.11,06:30,0.88474,0.8857,0.88464,0.88527,736
2017.12.11,07:00,0.88527,0.88667,0.88525,0.88666,761
2017.12.11,07:30,0.88667,0.88737,0.88584,0.88667,997
2017.12.11,08:00,0.88667,0.88692,0.88568,0.88611,874
2017.12.11,08:30,0.88609,0.88704,0.88609,0.88694,609
2017.12.11,09:00,0.88696,0.88924,0.88639,0.88867,1675
2017.12.11,09:30,0.88874,0.88916,0.88843,0.88895,1168
2017.12.11,10:00,0.88894,0.88909,0.88816,0.88865,1528
2017.12.11,10:30,0.88865,0.88896,0.88793,0.88838,979
2017.12.11,11:00,0.88842,0.8892,0.88829,0.88913,839
2017.12.11,11:30,0.88913,0.88995,0.88906,0.8898,655
2017.12.11,12:00,0.88982,0.88987,0.8886,0.88881,639
2017.12.11,12:30,0.88881,0.88932,0.8884,0.88883,812
2017.12.11,13:00,0.88883,0.88918,0.8879,0.88842,1152
2017.12.11,13:30,0.8884,0.88952,0.8884,0.88909,661
2017.12.11,14:00,0.88909,0.88933,0.88855,0.88887,986
2017.12.11,14:30,0.88887,0.88946,0.8886,0.88902,1195
2017.12.11,15:00,0.88907,0.88974,0.88882,0.88882,1473
2017.12.11,15:30,0.88882,0.88903,0.88844,0.88876,1456
2017.12.11,16:00,0.88874,0.8889,0.88835,0.8887,1099
2017.12.11,16:30,0.88867,0.88948,0.88857,0.88942,1130
2017.12.11,17:00,0.88947,0.89012,0.88871,0.88898,1898
2017.12.11,17:30,0.88898,0.88951,0.88814,0.8894,1777
2017.12.11,18:00,0.88941,0.88959,0.88882,0.88931,1871
2017.12.11,18:30,0.88931,0.88958,0.88864,0.88871,1433
2017.12.11,19:00,0.88871,0.88905,0.88858,0.88891,1019
2017.12.11,19:30,0.88893,0.88954,0.88881,0.88891,805
2017.12.11,20:00,0.88889,0.88912,0.88864,0.88879,659
2017.12.11,20:30,0.88881,0.88889,0.88825,0.88862,367
2017.12.11,21:00,0.88862,0.88909,0.88847,0.88866,453
2017.12.11,21:30,0.88866,0.88898,0.88845,0.88863,553
2017.12.11,22:00,0.88863,0.88914,0.88859,0.88893,520
2017.12.11,22:30,0.88892,0.8891,0.8885,0.88867,510
2017.12.11,23:00,0.88866,0.88884,0.88831,0.88849,438
2017.12.11,23:30,0.88846,0.88873,0.88789,0.88794,485
2017.12.12,00:00,0.88794,0.88866,0.88779,0.88866,154
2017.12.12,00:30,0.88861,0.88864,0.88796,0.88818,482
2017.12.12,01:00,0.8882,0.88827,0.88785,0.88801,235
2017.12.12,01:30,0.88798,0.88808,0.88783,0.88786,277
2017.12.12,02:00,0.88787,0.8883,0.88739,0.88755,592
2017.12.12,02:30,0.88763,0.88866,0.88741,0.88862,802
2017.12.12,03:00,0.88861,0.88952,0.88855,0.88911,675
2017.12.12,03:30,0.88907,0.8901,0.88882,0.88985,671
2017.12.12,04:00,0.88985,0.88999,0.88921,0.88921,832
2017.12.12,04:30,0.88924,0.88979,0.88919,0.88937,713
2017.12.12,05:00,0.88935,0.89111,0.88935,0.89072,758
2017.12.12,05:30,0.89072,0.89091,0.89016,0.89058,573
2017.12.12,06:00,0.89058,0.89058,0.88985,0.89005,356
2017.12.12,06:30,0.89,0.89019,0.88987,0.8899,293
2017.12.12,07:00,0.88992,0.89021,0.88988,0.89013,364
2017.12.12,07:30,0.89009,0.89058,0.88988,0.89005,547
2017.12.12,08:00,0.89008,0.89075,0.89008,0.89029,541
2017.12.12,08:30,0.89029,0.89039,0.88997,0.89021,648
2017.12.12,09:00,0.89021,0.89179,0.89015,0.89164,1293
2017.12.12,09:30,0.89164,0.89175,0.89128,0.8916,979
2017.12.12,10:00,0.89158,0.89228,0.89118,0.89185,1479
2017.12.12,10:30,0.89185,0.89198,0.8908,0.89089,1988
2017.12.12,11:00,0.89091,0.8915,0.89061,0.89124,1281
2017.12.12,11:30,0.89123,0.89173,0.89107,0.8917,1456
2017.12.12,12:00,0.8917,0.89189,0.89091,0.89101,1348
2017.12.12,12:30,0.89098,0.89168,0.89086,0.89146,921
2017.12.12,13:00,0.89149,0.8917,0.89109,0.89113,880
2017.12.12,13:30,0.89114,0.89131,0.89057,0.89118,862
2017.12.12,14:00,0.89118,0.8915,0.89042,0.8908,921
2017.12.12,14:30,0.89079,0.89094,0.88979,0.89002,823
2017.12.12,15:00,0.89002,0.8915,0.88965,0.89102,1338
2017.12.12,15:30,0.89102,0.89219,0.89063,0.89182,2006
2017.12.12,16:00,0.89185,0.89236,0.89167,0.89174,1749
2017.12.12,16:30,0.89189,0.89264,0.89185,0.89261,1836
2017.12.12,17:00,0.89259,0.89361,0.89207,0.89349,2182
2017.12.12,17:30,0.89349,0.89349,0.89222,0.89224,1803
2017.12.12,18:00,0.89223,0.89241,0.89175,0.89213,1416
2017.12.12,18:30,0.89214,0.89256,0.8918,0.89252,1298
2017.12.12,19:00,0.89252,0.89377,0.8924,0.89373,1325
2017.12.12,19:30,0.89371,0.89371,0.89205,0.89219,1216
2017.12.12,20:00,0.8922,0.89281,0.89212,0.89256,925
2017.12.12,20:30,0.89258,0.89317,0.89258,0.89299,644
2017.12.12,21:00,0.893,0.89303,0.89222,0.89255,699
2017.12.12,21:30,0.89255,0.89323,0.89253,0.89288,884
2017.12.12,22:00,0.89287,0.89287,0.89234,0.89265,611
2017.12.12,22:30,0.89265,0.8929,0.89233,0.89279,645
2017.12.12,23:00,0.89277,0.89287,0.89219,0.89278,666
2017.12.12,23:30,0.89275,0.89282,0.89168,0.89175,686
2017.12.13,00:00,0.89185,0.89297,0.89128,0.89229,364
2017.12.13,00:30,0.8923,0.89271,0.89172,0.89246,844
2017.12.13,01:00,0.89249,0.89258,0.89216,0.89238,288
2017.12.13,01:30,0.89238,0.89276,0.89232,0.89275,344
2017.12.13,02:00,0.89276,0.8933,0.89274,0.89325,429
2017.12.13,02:30,0.89327,0.89394,0.89291,0.89383,698
2017.12.13,03:00,0.89383,0.89418,0.89331,0.89344,581
2017.12.13,03:30,0.89344,0.89379,0.89259,0.89308,445
2017.12.13,04:00,0.89309,0.89344,0.89278,0.89297,340
2017.12.13,04:30,0.89297,0.89351,0.89297,0.89345,441
2017.12.13,05:00,0.89344,0.89389,0.89295,0.89369,610
2017.12.13,05:30,0.89368,0.89451,0.89362,0.89384,1006
2017.12.13,06:00,0.89385,0.89396,0.89321,0.89356,612
2017.12.13,06:30,0.89356,0.89381,0.89298,0.89325,464
2017.12.13,07:00,0.89329,0.89354,0.89311,0.89349,333
2017.12.13,07:30,0.89353,0.89404,0.89242,0.89261,593
2017.12.13,08:00,0.8926,0.89318,0.89244,0.89274,482
2017.12.13,08:30,0.89272,0.89321,0.89252,0.89281,570
2017.12.13,09:00,0.89278,0.8929,0.89238,0.89254,553
2017.12.13,09:30,0.89253,0.89316,0.89253,0.89297,515
2017.12.13,10:00,0.89297,0.89379,0.89297,0.89374,805
2017.12.13,10:30,0.89375,0.89417,0.89364,0.89374,696
2017.12.13,11:00,0.89374,0.8938,0.89301,0.89326,446
2017.12.13,11:30,0.89326,0.89348,0.89271,0.89292,732
2017.12.13,12:00,0.8929,0.89351,0.89286,0.89324,597
2017.12.13,12:30,0.89323,0.89327,0.89268,0.8931,426
2017.12.13,13:00,0.89313,0.89314,0.89266,0.8927,408
2017.12.13,13:30,0.89271,0.89295,0.89241,0.89292,418
2017.12.13,14:00,0.89291,0.89335,0.8928,0.89296,852
2017.12.13,14:30,0.89296,0.89394,0.89288,0.89374,674
2017.12.13,15:00,0.89376,0.89392,0.89321,0.89321,1163
2017.12.13,15:30,0.89321,0.89654,0.89213,0.89638,3735
2017.12.13,16:00,0.89636,0.89834,0.89616,0.89827,1974
2017.12.13,16:30,0.89827,0.89945,0.89803,0.89888,1787
2017.12.13,17:00,0.89886,0.89982,0.89863,0.89954,1409
2017.12.13,17:30,0.89958,0.89995,0.89863,0.89898,2629
2017.12.13,18:00,0.89895,0.89974,0.8986,0.89922,2016
2017.12.13,18:30,0.89922,0.89968,0.89899,0.89926,1505
2017.12.13,19:00,0.89927,0.90029,0.89912,0.90006,991
2017.12.13,19:30,0.90004,0.90025,0.89936,0.89952,901
2017.12.13,20:00,0.89949,0.89986,0.89927,0.89936,623
2017.12.13,20:30,0.89935,0.90035,0.89916,0.89916,806
2017.12.13,21:00,0.89916,0.90119,0.89861,0.89985,3352
2017.12.13,21:30,0.89992,0.90023,0.89858,0.89909,2456
2017.12.13,22:00,0.89905,0.90004,0.89894,0.89966,1405
2017.12.13,22:30,0.89963,0.90073,0.89952,0.90035,956
2017.12.13,23:00,0.90032,0.90042,0.89979,0.8998,468
2017.12.13,23:30,0.89974,0.90018,0.8995,0.89989,586
2017.12.14,00:00,0.89989,0.9,0.8992,0.89963,316
2017.12.14,00:30,0.89963,0.8998,0.89903,0.89912,244
2017.12.14,01:00,0.89908,0.89974,0.89908,0.89937,509
2017.12.14,01:30,0.89935,0.90017,0.89848,0.89952,745
2017.12.14,02:00,0.89956,0.9,0.89893,0.89943,1005
2017.12.14,02:30,0.89943,0.89954,0.8971,0.89814,2045
2017.12.14,03:00,0.89817,0.89863,0.89741,0.89816,1419
2017.12.14,03:30,0.89813,0.89867,0.89745,0.89745,894
2017.12.14,04:00,0.89749,0.89822,0.89741,0.89766,1285
2017.12.14,04:30,0.89766,0.89784,0.89676,0.89704,1025
2017.12.14,05:00,0.89704,0.89759,0.89665,0.89673,909
2017.12.14,05:30,0.8967,0.8973,0.89654,0.89719,686
2017.12.14,06:00,0.89717,0.89754,0.89701,0.89745,604
2017.12.14,06:30,0.89745,0.89765,0.89717,0.8974,585
2017.12.14,07:00,0.89738,0.89774,0.89732,0.89738,653
2017.12.14,07:30,0.89738,0.89749,0.89678,0.89689,829
2017.12.14,08:00,0.89688,0.8974,0.89641,0.89718,891
2017.12.14,08:30,0.89717,0.89809,0.8971,0.8979,807
2017.12.14,09:00,0.89789,0.89845,0.89786,0.89802,835
2017.12.14,09:30,0.89802,0.8985,0.89742,0.89834,1569
2017.12.14,10:00,0.89836,0.89926,0.8982,0.89893,1504
2017.12.14,10:30,0.89893,0.90022,0.89833,0.89998,1714
2017.12.14,11:00,0.89998,0.90008,0.89823,0.89836,1166
2017.12.14,11:30,0.89837,0.89848,0.89746,0.89782,1056
2017.12.14,12:00,0.89783,0.89852,0.89775,0.89813,782
2017.12.14,12:30,0.89813,0.89832,0.89728,0.89756,1038
2017.12.14,13:00,0.89754,0.89818,0.89722,0.89733,1034
2017.12.14,13:30,0.89735,0.89785,0.89708,0.89751,772
2017.12.14,14:00,0.89748,0.89875,0.89719,0.8981,1423
2017.12.14,14:30,0.89805,0.89824,0.89686,0.89706,1447
2017.12.14,15:00,0.89705,0.89784,0.89657,0.89674,1351
2017.12.14,15:30,0.89666,0.89757,0.89617,0.89708,2321
2017.12.14,16:00,0.89708,0.89746,0.89654,0.89719,1988
2017.12.14,16:30,0.89718,0.89849,0.89714,0.89795,2707
2017.12.14,17:00,0.89793,0.89815,0.89626,0.89675,2192
2017.12.14,17:30,0.89675,0.89721,0.89607,0.89688,2198
2017.12.14,18:00,0.89687,0.89761,0.89635,0.89731,2191
2017.12.14,18:30,0.89728,0.89826,0.89719,0.89787,1735
2017.12.14,19:00,0.89787,0.89823,0.89642,0.89685,1387
2017.12.14,19:30,0.89683,0.89683,0.89429,0.89448,1977
2017.12.14,20:00,0.89448,0.89492,0.89069,0.891,2604
2017.12.14,20:30,0.89105,0.89258,0.89055,0.89148,1515
2017.12.14,21:00,0.89144,0.89199,0.89031,0.89152,1327
2017.12.14,21:30,0.89152,0.89198,0.89119,0.8916,949
2017.12.14,22:00,0.89162,0.89207,0.89156,0.8918,607
2017.12.14,22:30,0.89183,0.89187,0.89098,0.89131,641
2017.12.14,23:00,0.89131,0.89479,0.89125,0.89326,1067
2017.12.14,23:30,0.89326,0.89385,0.89284,0.89297,523
2017.12.15,00:00,0.89297,0.89325,0.8925,0.89291,434
2017.12.15,00:30,0.89291,0.8938,0.89266,0.89327,573
2017.12.15,01:00,0.89327,0.89388,0.89327,0.89372,683
2017.12.15,01:30,0.89364,0.89428,0.89355,0.89411,710
2017.12.15,02:00,0.89409,0.8941,0.89349,0.89394,909
2017.12.15,02:30,0.89395,0.89416,0.89272,0.89312,1031
2017.12.15,03:00,0.89312,0.89375,0.89306,0.89347,923
2017.12.15,03:30,0.89347,0.89383,0.89319,0.89356,695
2017.12.15,04:00,0.89357,0.89414,0.8934,0.89372,766
2017.12.15,04:30,0.89373,0.89415,0.89354,0.89355,923
2017.12.15,05:00,0.89354,0.89555,0.89354,0.89515,955
2017.12.15,05:30,0.8952,0.89556,0.89454,0.89542,911
2017.12.15,06:00,0.89541,0.8965,0.89478,0.89642,870
2017.12.15,06:30,0.89642,0.89775,0.89626,0.89696,960
2017.12.15,07:00,0.89697,0.89739,0.89656,0.89732,473
2017.12.15,07:30,0.89733,0.89762,0.89678,0.89704,658
2017.12.15,08:00,0.89704,0.89714,0.89614,0.89669,649
2017.12.15,08:30,0.89671,0.89681,0.89606,0.89611,601
2017.12.15,09:00,0.89611,0.89645,0.89577,0.896,807
2017.12.15,09:30,0.89601,0.89639,0.895,0.89527,1656
2017.12.15,10:00,0.89526,0.8965,0.89526,0.89647,1145
2017.12.15,10:30,0.89644,0.89682,0.89556,0.89557,1226
2017.12.15,11:00,0.89553,0.89607,0.89541,0.89541,918
2017.12.15,11:30,0.8954,0.89548,0.89435,0.8948,992
2017.12.15,12:00,0.89481,0.89547,0.89441,0.89524,1061
2017.12.15,12:30,0.89524,0.89612,0.89491,0.89603,1212
2017.12.15,13:00,0.89608,0.89699,0.89608,0.8968,1223
2017.12.15,13:30,0.89687,0.89722,0.8961,0.89709,1168
2017.12.15,14:00,0.89708,0.89754,0.89622,0.89633,1546
2017.12.15,14:30,0.89637,0.89748,0.8963,0.89742,1192
2017.12.15,15:00,0.89742,0.89758,0.89627,0.8966,1744
2017.12.15,15:30,0.89663,0.89762,0.89648,0.8973,2245
2017.12.15,16:00,0.8973,0.89793,0.89691,0.89701,2294
2017.12.15,16:30,0.89701,0.89867,0.89688,0.89847,2504
2017.12.15,17:00,0.89848,0.89894,0.89741,0.89753,2624
2017.12.15,17:30,0.89755,0.89896,0.89596,0.89873,3572
2017.12.15,18:00,0.89871,0.89951,0.8981,0.89832,2519
2017.12.15,18:30,0.89829,0.89949,0.89785,0.89939,1641
2017.12.15,19:00,0.89936,0.89975,0.89905,0.89962,1124
2017.12.15,19:30,0.8996,0.90062,0.89892,0.89897,1477
2017.12.15,20:00,0.89904,0.90036,0.89891,0.89982,1197
2017.12.15,20:30,0.89984,0.90079,0.89974,0.90039,1017
2017.12.15,21:00,0.9005,0.90151,0.89997,0.90129,693
2017.12.15,21:30,0.90128,0.90155,0.90087,0.90114,867
2017.12.15,22:00,0.90117,0.90141,0.90018,0.90038,676
2017.12.15,22:30,0.90038,0.90079,0.90011,0.90017,687
2017.12.15,23:00,0.90017,0.90107,0.89956,0.90095,474
2017.12.15,23:30,0.90091,0.90137,0.898,0.898,860
