date,ignore,open,high,low,close,volume
2018.07.02,00:00,83.935,84.255,83.931,84.21,5065
2018.07.02,00:30,84.21,84.21,84.011,84.056,2566
2018.07.02,01:00,84.062,84.2,84.062,84.151,4263
2018.07.02,01:30,84.151,84.237,84.136,84.215,4660
2018.07.02,02:00,84.215,84.256,84.197,84.217,812
2018.07.02,02:30,84.218,84.251,84.187,84.212,1360
2018.07.02,03:00,84.211,84.242,84.18,84.192,2550
2018.07.02,03:30,84.192,84.278,84.179,84.248,2647
2018.07.02,04:00,84.248,84.432,84.245,84.365,4598
2018.07.02,04:30,84.365,84.408,84.34,84.385,2155
2018.07.02,05:00,84.384,84.42,84.349,84.396,1936
2018.07.02,05:30,84.396,84.402,84.308,84.33,1594
2018.07.02,06:00,84.332,84.334,84.264,84.283,1107
2018.07.02,06:30,84.283,84.285,84.15,84.166,1920
2018.07.02,07:00,84.166,84.193,84.089,84.121,1789
2018.07.02,07:30,84.121,84.146,84.095,84.132,1100
2018.07.02,08:00,84.132,84.133,84.005,84.019,2125
2018.07.02,08:30,84.019,84.071,83.985,84.027,2136
2018.07.02,09:00,84.027,84.038,83.903,84.002,3452
2018.07.02,09:30,84.003,84.039,83.971,84.025,2169
2018.07.02,10:00,84.025,84.037,83.925,83.997,3021
2018.07.02,10:30,83.997,84.071,83.943,84.035,3804
2018.07.02,11:00,84.035,84.148,84.02,84.069,3304
2018.07.02,11:30,84.07,84.198,84.044,84.155,2673
2018.07.02,12:00,84.154,84.192,84.118,84.128,1863
2018.07.02,12:30,84.127,84.129,84.076,84.101,2098
2018.07.02,13:00,84.101,84.122,84.022,84.031,1796
2018.07.02,13:30,84.031,84.132,84.025,84.119,1972
2018.07.02,14:00,84.119,84.123,84.071,84.073,1521
2018.07.02,14:30,84.073,84.086,83.984,84.01,1530
2018.07.02,15:00,84.01,84.023,83.958,83.983,2064
2018.07.02,15:30,83.983,84.007,83.929,83.976,2196
2018.07.02,16:00,83.976,84.075,83.976,84.022,2877
2018.07.02,16:30,84.022,84.031,83.931,83.947,2904
2018.07.02,17:00,83.948,83.995,83.86,83.973,3941
2018.07.02,17:30,83.973,84.013,83.886,83.902,3447
2018.07.02,18:00,83.902,83.974,83.808,83.82,2782
2018.07.02,18:30,83.819,83.842,83.761,83.79,1792
2018.07.02,19:00,83.791,83.841,83.745,83.84,1508
2018.07.02,19:30,83.84,83.892,83.823,83.836,1341
2018.07.02,20:00,83.836,83.887,83.826,83.857,1322
2018.07.02,20:30,83.858,83.981,83.855,83.938,1439
2018.07.02,21:00,83.938,84.01,83.928,83.998,1480
2018.07.02,21:30,83.998,84.012,83.95,83.98,1152
2018.07.02,22:00,83.98,84.029,83.954,84.011,1247
2018.07.02,22:30,84.011,84.016,83.968,83.998,907
2018.07.02,23:00,83.997,84.066,83.988,84.059,1248
2018.07.02,23:30,84.059,84.102,84.052,84.071,1713
2018.07.03,00:00,84.042,84.098,83.996,84.032,3043
2018.07.03,00:30,84.034,84.07,83.998,84.05,9911
2018.07.03,01:00,84.051,84.097,84.036,84.096,682
2018.07.03,01:30,84.096,84.096,84.045,84.049,298
2018.07.03,02:00,84.049,84.062,84.033,84.033,341
2018.07.03,02:30,84.032,84.08,84.024,84.072,658
2018.07.03,03:00,84.072,84.146,84.06,84.099,1994
2018.07.03,03:30,84.099,84.172,84.08,84.126,2295
2018.07.03,04:00,84.126,84.264,84.126,84.148,3344
2018.07.03,04:30,84.148,84.158,83.861,83.998,5098
2018.07.03,05:00,83.998,84.134,83.931,84.061,4170
2018.07.03,05:30,84.061,84.119,83.995,84.021,2425
2018.07.03,06:00,84.021,84.041,83.912,84.007,2340
2018.07.03,06:30,84.007,84.01,83.947,83.978,1485
2018.07.03,07:00,83.978,84.012,83.947,84.004,1231
2018.07.03,07:30,84.004,84.035,83.959,83.985,1581
2018.07.03,08:00,83.985,84.041,83.926,84.041,2099
2018.07.03,08:30,84.041,84.186,84.032,84.158,4400
2018.07.03,09:00,84.158,84.251,84.141,84.207,3403
2018.07.03,09:30,84.207,84.262,84.177,84.24,3174
2018.07.03,10:00,84.241,84.348,84.196,84.218,4313
2018.07.03,10:30,84.217,84.329,84.182,84.317,4093
2018.07.03,11:00,84.318,84.354,84.218,84.273,3205
2018.07.03,11:30,84.273,84.33,84.245,84.252,3016
2018.07.03,12:00,84.252,84.303,84.203,84.265,2013
2018.07.03,12:30,84.265,84.35,84.248,84.326,1929
2018.07.03,13:00,84.326,84.43,84.324,84.415,1908
2018.07.03,13:30,84.415,84.421,84.339,84.34,1438
2018.07.03,14:00,84.34,84.34,84.256,84.268,1595
2018.07.03,14:30,84.267,84.336,84.26,84.312,1665
2018.07.03,15:00,84.312,84.329,84.043,84.068,3618
2018.07.03,15:30,84.068,84.199,84.04,84.189,3288
2018.07.03,16:00,84.19,84.219,84.15,84.179,2124
2018.07.03,16:30,84.179,84.254,84.137,84.15,3399
2018.07.03,17:00,84.15,84.168,84.017,84.017,4168
2018.07.03,17:30,84.017,84.059,83.924,84.033,4057
2018.07.03,18:00,84.033,84.053,83.96,84.002,3003
2018.07.03,18:30,84.002,84.046,83.971,84.045,2580
2018.07.03,19:00,84.045,84.071,83.993,84.019,2199
2018.07.03,19:30,84.019,84.049,83.951,83.965,1487
2018.07.03,20:00,83.965,84.032,83.959,84.022,902
2018.07.03,20:30,84.022,84.066,84.002,84.064,559
2018.07.03,21:00,84.065,84.12,84.055,84.093,638
2018.07.03,21:30,84.092,84.157,84.082,84.15,545
2018.07.03,22:00,84.151,84.156,84.12,84.148,517
2018.07.03,22:30,84.148,84.189,84.144,84.18,495
2018.07.03,23:00,84.18,84.182,84.141,84.151,652
2018.07.03,23:30,84.15,84.164,84.127,84.132,3320
2018.07.04,00:00,84.129,84.148,84.075,84.124,2392
2018.07.04,00:30,84.119,84.145,84.085,84.11,7794
2018.07.04,01:00,84.112,84.143,84.102,84.111,560
2018.07.04,01:30,84.111,84.115,84.045,84.066,436
2018.07.04,02:00,84.064,84.091,84.062,84.078,615
2018.07.04,02:30,84.077,84.077,83.98,84.003,990
2018.07.04,03:00,84.003,84.101,83.975,84.064,2199
2018.07.04,03:30,84.064,84.082,83.979,83.991,2018
2018.07.04,04:00,83.991,84.096,83.983,84.071,2759
2018.07.04,04:30,84.07,84.222,84.063,84.074,3956
2018.07.04,05:00,84.074,84.076,84.013,84.064,2241
2018.07.04,05:30,84.064,84.145,84.054,84.131,2007
2018.07.04,06:00,84.13,84.134,84.072,84.087,1617
2018.07.04,06:30,84.088,84.12,84.074,84.107,1240
2018.07.04,07:00,84.107,84.14,84.098,84.104,1082
2018.07.04,07:30,84.104,84.113,84.062,84.091,1038
2018.07.04,08:00,84.091,84.113,84.057,84.082,1552
2018.07.04,08:30,84.08,84.092,84.009,84.027,2025
2018.07.04,09:00,84.028,84.084,84.009,84.065,1743
2018.07.04,09:30,84.065,84.091,84.044,84.071,1532
2018.07.04,10:00,84.071,84.078,83.983,84.018,1697
2018.07.04,10:30,84.018,84.044,83.941,83.968,1723
2018.07.04,11:00,83.966,84.015,83.931,84.002,1856
2018.07.04,11:30,84.002,84.05,83.981,83.981,1371
2018.07.04,12:00,83.981,84.039,83.953,84.021,1429
2018.07.04,12:30,84.022,84.029,83.972,83.989,1148
2018.07.04,13:00,83.989,84.075,83.984,84.071,782
2018.07.04,13:30,84.071,84.125,84.052,84.09,789
2018.07.04,14:00,84.09,84.104,84.045,84.05,986
2018.07.04,14:30,84.051,84.063,84.012,84.047,1102
2018.07.04,15:00,84.048,84.063,84.003,84.016,1384
2018.07.04,15:30,84.018,84.056,84.005,84.043,1654
2018.07.04,16:00,84.043,84.104,84.038,84.088,2190
2018.07.04,16:30,84.088,84.101,84.019,84.066,1476
2018.07.04,17:00,84.066,84.102,84.03,84.096,1860
2018.07.04,17:30,84.098,84.102,84.007,84.015,1796
2018.07.04,18:00,84.015,84.085,84.015,84.067,1620
2018.07.04,18:30,84.067,84.081,84.049,84.072,585
2018.07.04,19:00,84.071,84.13,84.056,84.121,629
2018.07.04,19:30,84.121,84.133,84.08,84.129,586
2018.07.04,20:00,84.127,84.133,83.988,84.064,3905
2018.07.04,20:30,84.064,84.093,84.02,84.079,1893
2018.07.04,21:00,84.079,84.102,84.051,84.065,5923
2018.07.04,21:30,84.063,84.097,84.052,84.066,4059
2018.07.04,22:00,84.066,84.089,84.03,84.045,6510
2018.07.04,22:30,84.045,84.082,83.993,84.032,9316
2018.07.04,23:00,84.032,84.062,83.998,84.034,8360
2018.07.04,23:30,84.034,84.077,84.003,84.019,11320
2018.07.05,00:00,83.986,84.053,83.977,84.028,3939
2018.07.05,00:30,84.028,84.074,83.983,84.023,23744
2018.07.05,01:00,84.023,84.089,84.019,84.081,849
2018.07.05,01:30,84.081,84.081,84.055,84.064,380
2018.07.05,02:00,84.064,84.074,84.044,84.056,683
2018.07.05,02:30,84.056,84.109,84.046,84.095,676
2018.07.05,03:00,84.095,84.183,84.072,84.154,2066
2018.07.05,03:30,84.154,84.178,83.998,84.025,2600
2018.07.05,04:00,84.023,84.054,83.891,83.941,3644
2018.07.05,04:30,83.941,84.043,83.928,83.998,3595
2018.07.05,05:00,83.999,84.02,83.972,84.001,2529
2018.07.05,05:30,84.001,84.081,83.984,84.01,1692
2018.07.05,06:00,84.009,84.013,83.889,83.911,1926
2018.07.05,06:30,83.91,83.94,83.865,83.913,2093
2018.07.05,07:00,83.913,83.932,83.882,83.885,1501
2018.07.05,07:30,83.885,83.941,83.876,83.916,1178
2018.07.05,08:00,83.916,83.99,83.889,83.989,2056
2018.07.05,08:30,83.989,84.23,83.975,84.212,4482
2018.07.05,09:00,84.211,84.233,84.123,84.145,2125
2018.07.05,09:30,84.145,84.181,84.137,84.154,2293
2018.07.05,10:00,84.154,84.216,84.139,84.191,2478
2018.07.05,10:30,84.191,84.245,84.166,84.172,1636
2018.07.05,11:00,84.171,84.211,84.156,84.176,2332
