date,ignore,open,high,low,close,volume
2018.07.30,00:00,1.08837,1.08923,1.08837,1.08889,142
2018.07.30,00:30,1.08889,1.08913,1.08862,1.08892,342
2018.07.30,01:00,1.08889,1.08908,1.08883,1.08897,185
2018.07.30,01:30,1.08897,1.08912,1.08862,1.08866,185
2018.07.30,02:00,1.08866,1.089,1.08858,1.089,327
2018.07.30,02:30,1.089,1.08907,1.08849,1.08873,483
2018.07.30,03:00,1.08873,1.08905,1.08842,1.08855,1012
2018.07.30,03:30,1.08855,1.08871,1.08787,1.08796,771
2018.07.30,04:00,1.08796,1.08875,1.08766,1.08861,918
2018.07.30,04:30,1.08861,1.08867,1.08746,1.08762,1467
2018.07.30,05:00,1.08762,1.08772,1.0873,1.08734,929
2018.07.30,05:30,1.08734,1.0875,1.08678,1.08682,1061
2018.07.30,06:00,1.08681,1.08721,1.08674,1.08702,800
2018.07.30,06:30,1.08702,1.08758,1.08701,1.08756,554
2018.07.30,07:00,1.08756,1.08768,1.0874,1.08745,344
2018.07.30,07:30,1.08746,1.08795,1.08735,1.08761,481
2018.07.30,08:00,1.08761,1.08763,1.087,1.08706,868
2018.07.30,08:30,1.08706,1.08717,1.08642,1.08693,870
2018.07.30,09:00,1.08692,1.08712,1.08675,1.08703,926
2018.07.30,09:30,1.08703,1.08742,1.08655,1.08696,971
2018.07.30,10:00,1.08696,1.08765,1.08632,1.08648,1630
2018.07.30,10:30,1.08648,1.08719,1.0864,1.0868,1537
2018.07.30,11:00,1.0868,1.08745,1.08643,1.08735,1294
2018.07.30,11:30,1.08733,1.0877,1.08689,1.08766,1089
2018.07.30,12:00,1.08766,1.08834,1.08699,1.08709,1143
2018.07.30,12:30,1.08709,1.08718,1.08655,1.08662,1256
2018.07.30,13:00,1.08663,1.08689,1.08602,1.08635,1425
2018.07.30,13:30,1.08635,1.08674,1.08542,1.08662,1580
2018.07.30,14:00,1.08662,1.08711,1.0857,1.08685,1570
2018.07.30,14:30,1.08685,1.087,1.0863,1.08641,1188
2018.07.30,15:00,1.08641,1.0866,1.08598,1.08607,896
2018.07.30,15:30,1.08607,1.08614,1.0853,1.08572,1388
2018.07.30,16:00,1.08572,1.08607,1.0854,1.08558,1267
2018.07.30,16:30,1.08558,1.08583,1.08524,1.08535,1675
2018.07.30,17:00,1.08535,1.08558,1.08445,1.08472,2102
2018.07.30,17:30,1.08472,1.0851,1.08436,1.08444,1784
2018.07.30,18:00,1.08444,1.08466,1.08392,1.08442,1310
2018.07.30,18:30,1.08442,1.08472,1.08408,1.08465,759
2018.07.30,19:00,1.08464,1.08484,1.08425,1.08452,685
2018.07.30,19:30,1.08452,1.08472,1.08427,1.08442,1012
2018.07.30,20:00,1.08442,1.08482,1.08431,1.08453,582
