date,ignore,open,high,low,close,volume
2018.12.17,00:00,1.12607,1.12862,1.12592,1.12762,1370
2018.12.17,00:30,1.12762,1.12872,1.12652,1.12745,9836
2018.12.17,01:00,1.12768,1.12852,1.12694,1.12801,9722
2018.12.17,01:30,1.12801,1.12807,1.12719,1.1276,4041
2018.12.17,02:00,1.1276,1.12843,1.1276,1.12837,1163
2018.12.17,02:30,1.12837,1.1286,1.12791,1.12811,471
2018.12.17,03:00,1.12811,1.12854,1.1279,1.12806,535
2018.12.17,03:30,1.12805,1.12854,1.12787,1.1279,582
2018.12.17,04:00,1.1279,1.12856,1.12782,1.12848,477
2018.12.17,04:30,1.12848,1.12865,1.12811,1.1283,369
2018.12.17,05:00,1.12831,1.12846,1.12811,1.12822,375
2018.12.17,05:30,1.12822,1.12842,1.12812,1.12832,208
2018.12.17,06:00,1.12832,1.12867,1.12832,1.12851,249
2018.12.17,06:30,1.12851,1.12862,1.12837,1.12861,218
2018.12.17,07:00,1.12861,1.12872,1.12845,1.12852,220
2018.12.17,07:30,1.12852,1.12861,1.12821,1.12825,419
2018.12.17,08:00,1.12825,1.12842,1.12802,1.12842,521
2018.12.17,08:30,1.12842,1.12842,1.12814,1.1282,383
2018.12.17,09:00,1.12821,1.12865,1.12817,1.12847,943
2018.12.17,09:30,1.12848,1.12881,1.12838,1.12856,1295
2018.12.17,10:00,1.12855,1.12881,1.12799,1.12803,1621
2018.12.17,10:30,1.12803,1.12892,1.1279,1.1287,1660
2018.12.17,11:00,1.1287,1.12906,1.12835,1.12887,2054
2018.12.17,11:30,1.12886,1.12888,1.12807,1.12823,1468
2018.12.17,12:00,1.12823,1.12891,1.12814,1.12859,2044
2018.12.17,12:30,1.12859,1.12884,1.12828,1.12842,1317
2018.12.17,13:00,1.12842,1.12842,1.12782,1.1284,1151
2018.12.17,13:30,1.1284,1.12842,1.12744,1.12782,1086
2018.12.17,14:00,1.12782,1.12807,1.12661,1.12669,1720
2018.12.17,14:30,1.1267,1.12713,1.12578,1.12598,1471
2018.12.17,15:00,1.12601,1.12612,1.12496,1.12576,2291
2018.12.17,15:30,1.12575,1.12609,1.12539,1.12581,2965
2018.12.17,16:00,1.12583,1.12591,1.12512,1.12532,2072
2018.12.17,16:30,1.12532,1.12609,1.12532,1.12577,1792
2018.12.17,17:00,1.12577,1.12592,1.12473,1.12585,2373
2018.12.17,17:30,1.12585,1.1272,1.12551,1.12717,2397
2018.12.17,18:00,1.1272,1.12723,1.1265,1.12678,2387
2018.12.17,18:30,1.12678,1.12678,1.12617,1.1263,1526
2018.12.17,19:00,1.1263,1.12639,1.12593,1.12616,1186
