date,ignore,open,high,low,close,volume
2019.04.01,0:00,1.83081,1.83278,1.82799,1.832,464
2019.04.01,0:30,1.83178,1.83272,1.83076,1.83234,698
2019.04.01,1:00,1.83234,1.83345,1.83082,1.831,1241
2019.04.01,1:30,1.831,1.83266,1.83048,1.832,845
2019.04.01,2:00,1.832,1.83265,1.83077,1.83145,1086
2019.04.01,2:30,1.83145,1.83181,1.8296,1.8306,1866
2019.04.01,3:00,1.83061,1.8308,1.82917,1.83004,2075
2019.04.01,3:30,1.83,1.83068,1.82794,1.82864,2207
2019.04.01,4:00,1.82864,1.82989,1.82823,1.82869,2644
2019.04.01,4:30,1.82867,1.82908,1.82729,1.82836,2492
2019.04.01,5:00,1.82842,1.82893,1.82762,1.82805,1961
2019.04.01,5:30,1.82805,1.82904,1.82785,1.82872,1867
2019.04.01,6:00,1.82874,1.82949,1.82841,1.82936,1222
2019.04.01,6:30,1.82936,1.83154,1.82936,1.83139,1361
2019.04.01,7:00,1.83143,1.83152,1.83067,1.83106,1449
2019.04.01,7:30,1.83107,1.83179,1.8309,1.83173,1353
2019.04.01,8:00,1.83173,1.83274,1.83096,1.83261,2320
2019.04.01,8:30,1.83261,1.83381,1.83169,1.83173,2577
2019.04.01,9:00,1.83175,1.83326,1.83145,1.83219,3331
2019.04.01,9:30,1.83218,1.83566,1.83218,1.83393,4543
2019.04.01,10:00,1.83391,1.83422,1.83227,1.83295,4478
2019.04.01,10:30,1.83294,1.83498,1.83182,1.83197,4333
2019.04.01,11:00,1.83199,1.83382,1.83157,1.83321,5035
2019.04.01,11:30,1.8332,1.83674,1.8332,1.83647,5089
2019.04.01,12:00,1.83648,1.83693,1.83539,1.83678,3899
2019.04.01,12:30,1.83678,1.83993,1.83622,1.83938,4290
2019.04.01,13:00,1.83943,1.84082,1.83813,1.83953,3894
2019.04.01,13:30,1.83953,1.84183,1.83911,1.84158,3260
2019.04.01,14:00,1.84158,1.84266,1.84068,1.84147,4145
2019.04.01,14:30,1.84145,1.84168,1.8393,1.84152,3542
2019.04.01,15:00,1.84158,1.84272,1.8391,1.83934,3731
2019.04.01,15:30,1.83938,1.84207,1.83928,1.84062,4695
2019.04.01,16:00,1.84062,1.84106,1.83917,1.83964,4156
2019.04.01,16:30,1.83964,1.84073,1.83921,1.84002,4464
2019.04.01,17:00,1.8404,1.84104,1.83694,1.83874,5391
2019.04.01,17:30,1.83874,1.84618,1.83825,1.84506,4960
2019.04.01,18:00,1.84506,1.84568,1.84217,1.84276,4373
2019.04.01,18:30,1.84276,1.84688,1.84269,1.84664,3022
2019.04.01,19:00,1.84661,1.84783,1.84597,1.84608,2492
2019.04.01,19:30,1.84608,1.84623,1.84453,1.84512,1605
2019.04.01,20:00,1.84512,1.8465,1.84482,1.84648,1332
2019.04.01,20:30,1.84648,1.8467,1.84501,1.84527,1389
2019.04.01,21:00,1.84526,1.84602,1.84483,1.84535,1566
2019.04.01,21:30,1.84535,1.84587,1.84364,1.84515,1679
2019.04.01,22:00,1.84515,1.84583,1.84309,1.8435,1649
2019.04.01,22:30,1.8435,1.84418,1.84263,1.84345,1198
2019.04.01,23:00,1.84345,1.84404,1.84287,1.84336,601
