date,ignore,open,high,low,close,volume
2020.01.13,00:00,1.26723,1.2686,1.26692,1.26824,343
2020.01.13,00:30,1.2683,1.2686,1.26733,1.26778,582
2020.01.13,01:00,1.26775,1.26971,1.26764,1.26951,502
2020.01.13,01:30,1.26951,1.26971,1.26927,1.26931,327
2020.01.13,02:00,1.26931,1.26951,1.26884,1.26904,333
2020.01.13,02:30,1.26904,1.26936,1.26876,1.26882,295
2020.01.13,03:00,1.26882,1.26904,1.26856,1.26893,500
2020.01.13,03:30,1.26893,1.26918,1.26875,1.26888,390
2020.01.13,04:00,1.26888,1.26899,1.26815,1.26839,351
2020.01.13,04:30,1.26839,1.26883,1.26817,1.26817,362
2020.01.13,05:00,1.26817,1.26817,1.26771,1.26792,430
2020.01.13,05:30,1.26792,1.26823,1.2675,1.26818,376
2020.01.13,06:00,1.26818,1.26847,1.26806,1.26811,463
2020.01.13,06:30,1.26811,1.26851,1.26807,1.2681,412
2020.01.13,07:00,1.2681,1.26814,1.26723,1.26723,411
2020.01.13,07:30,1.26722,1.26805,1.26703,1.2678,427
2020.01.13,08:00,1.2678,1.26791,1.26698,1.26732,456
2020.01.13,08:30,1.26732,1.2679,1.26732,1.26754,457
2020.01.13,09:00,1.26747,1.26763,1.26604,1.26656,1308
2020.01.13,09:30,1.26656,1.26656,1.26496,1.26551,1924
2020.01.13,10:00,1.26551,1.26553,1.26353,1.26441,2067
2020.01.13,10:30,1.26441,1.26511,1.26362,1.26459,1769
2020.01.13,11:00,1.26464,1.26499,1.26278,1.26365,2113
2020.01.13,11:30,1.26371,1.26379,1.26132,1.26181,2667
2020.01.13,12:00,1.26181,1.26292,1.2607,1.26275,1904
2020.01.13,12:30,1.26275,1.26413,1.26252,1.26306,1528
2020.01.13,13:00,1.26306,1.26325,1.2616,1.2624,1466
2020.01.13,13:30,1.2624,1.26266,1.26012,1.26026,1672
2020.01.13,14:00,1.26023,1.26111,1.25974,1.26081,1738
2020.01.13,14:30,1.26081,1.26194,1.26066,1.26151,1398
2020.01.13,15:00,1.26151,1.26187,1.25995,1.26142,1775
2020.01.13,15:30,1.26142,1.26215,1.26118,1.26171,2103
2020.01.13,16:00,1.2617,1.26231,1.26131,1.26166,1979
2020.01.13,16:30,1.26166,1.26252,1.26053,1.26179,2680
2020.01.13,17:00,1.26176,1.26176,1.25983,1.26022,2051
2020.01.13,17:30,1.26022,1.26035,1.25923,1.25992,2174
2020.01.13,18:00,1.25993,1.25998,1.25853,1.25914,1570
2020.01.13,18:30,1.25915,1.26039,1.25908,1.25996,1285
2020.01.13,19:00,1.25993,1.2608,1.25973,1.26077,835
2020.01.13,19:30,1.26076,1.26122,1.26035,1.26042,964
2020.01.13,20:00,1.26041,1.26051,1.2599,1.26047,903
2020.01.13,20:30,1.26044,1.26111,1.26025,1.26106,770
2020.01.13,21:00,1.26105,1.26124,1.26087,1.26099,616
2020.01.13,21:30,1.26099,1.26194,1.26093,1.26173,540
2020.01.13,22:00,1.26173,1.26203,1.26141,1.26145,735
2020.01.13,22:30,1.26144,1.26173,1.26132,1.26145,647
2020.01.13,23:00,1.26144,1.26148,1.26083,1.26093,776
2020.01.13,23:30,1.26095,1.26129,1.26054,1.26054,505
2020.01.14,00:00,1.26045,1.26096,1.25899,1.26016,460
2020.01.14,00:30,1.26016,1.26076,1.25997,1.26029,1415
2020.01.14,01:00,1.26026,1.26112,1.26007,1.26101,612
2020.01.14,01:30,1.26101,1.26126,1.26065,1.26071,396
2020.01.14,02:00,1.26072,1.2614,1.26062,1.26094,629
2020.01.14,02:30,1.26094,1.26117,1.26051,1.26114,662
2020.01.14,03:00,1.26111,1.26186,1.2609,1.26186,895
2020.01.14,03:30,1.26179,1.26187,1.26115,1.26145,1054
2020.01.14,04:00,1.26145,1.26185,1.26094,1.26183,548
2020.01.14,04:30,1.26183,1.26226,1.26149,1.26203,513
2020.01.14,05:00,1.26203,1.26239,1.26166,1.26166,374
2020.01.14,05:30,1.26166,1.26183,1.26132,1.26137,426
2020.01.14,06:00,1.26138,1.26214,1.26119,1.26198,469
2020.01.14,06:30,1.26214,1.26214,1.26154,1.26163,348
2020.01.14,07:00,1.26163,1.2619,1.26135,1.2617,356
2020.01.14,07:30,1.2617,1.26206,1.26122,1.26128,380
2020.01.14,08:00,1.26128,1.26164,1.26094,1.26124,523
2020.01.14,08:30,1.26124,1.26145,1.26082,1.26082,511
2020.01.14,09:00,1.26082,1.26082,1.25873,1.25907,1102
2020.01.14,09:30,1.25907,1.25974,1.25831,1.25893,1366
2020.01.14,10:00,1.25897,1.25931,1.2568,1.25792,2080
2020.01.14,10:30,1.25789,1.25818,1.25582,1.25704,2293
2020.01.14,11:00,1.25702,1.25739,1.25641,1.25711,1593
2020.01.14,11:30,1.25711,1.258,1.25709,1.25771,1372
2020.01.14,12:00,1.25771,1.25782,1.25662,1.25694,1240
2020.01.14,12:30,1.25694,1.25804,1.25684,1.25776,1453
2020.01.14,13:00,1.25776,1.25841,1.25641,1.25654,1892
2020.01.14,13:30,1.25649,1.25876,1.25615,1.25732,2711
2020.01.14,14:00,1.25732,1.25785,1.25657,1.25729,2110
2020.01.14,14:30,1.2573,1.25755,1.25495,1.256,1755
2020.01.14,15:00,1.25601,1.25802,1.25586,1.25766,2063
2020.01.14,15:30,1.25766,1.26024,1.25658,1.2599,2646
2020.01.14,16:00,1.25992,1.2613,1.25954,1.26028,2342
2020.01.14,16:30,1.26028,1.26048,1.25841,1.25904,3112
2020.01.14,17:00,1.25903,1.26008,1.25877,1.25995,2735
2020.01.14,17:30,1.25995,1.26006,1.25879,1.25959,2866
2020.01.14,18:00,1.25957,1.25981,1.25888,1.25898,1789
2020.01.14,18:30,1.25895,1.25999,1.25847,1.25946,1265
2020.01.14,19:00,1.25946,1.26025,1.25899,1.26018,1030
2020.01.14,19:30,1.26018,1.26061,1.25973,1.26041,1027
2020.01.14,20:00,1.26041,1.26101,1.26022,1.26024,1080
2020.01.14,20:30,1.26024,1.26044,1.25887,1.2593,1989
2020.01.14,21:00,1.25929,1.25971,1.25905,1.25964,1569
2020.01.14,21:30,1.25964,1.2608,1.2596,1.25989,782
2020.01.14,22:00,1.25988,1.26005,1.25952,1.25962,728
2020.01.14,22:30,1.25962,1.25976,1.25934,1.25941,750
2020.01.14,23:00,1.25941,1.25998,1.2594,1.25987,432
2020.01.14,23:30,1.25986,1.25999,1.259,1.259,494
2020.01.15,00:00,1.25843,1.25977,1.25841,1.25907,308
2020.01.15,00:30,1.25907,1.25934,1.25862,1.25915,1109
2020.01.15,01:00,1.25903,1.25957,1.25895,1.25913,318
2020.01.15,01:30,1.25924,1.2598,1.25901,1.25925,601
2020.01.15,02:00,1.25926,1.25977,1.25924,1.25965,580
2020.01.15,02:30,1.25966,1.25966,1.25859,1.25877,623
2020.01.15,03:00,1.25877,1.25936,1.25874,1.25925,521
2020.01.15,03:30,1.25925,1.25967,1.25917,1.25944,497
2020.01.15,04:00,1.25944,1.25959,1.25897,1.25923,506
2020.01.15,04:30,1.25923,1.25968,1.25902,1.25966,433
2020.01.15,05:00,1.25956,1.25985,1.25926,1.25927,394
2020.01.15,05:30,1.25931,1.25995,1.25929,1.25995,393
2020.01.15,06:00,1.25995,1.26033,1.2599,1.26009,406
2020.01.15,06:30,1.26009,1.26015,1.25983,1.26001,398
2020.01.15,07:00,1.26001,1.26063,1.25989,1.26026,362
2020.01.15,07:30,1.26026,1.2606,1.25999,1.26038,625
2020.01.15,08:00,1.26038,1.26143,1.26023,1.26103,588
2020.01.15,08:30,1.26103,1.26121,1.26034,1.26096,624
2020.01.15,09:00,1.26093,1.26102,1.2599,1.2605,882
2020.01.15,09:30,1.2605,1.26131,1.2589,1.25916,1257
2020.01.15,10:00,1.25915,1.25946,1.25776,1.25814,1971
2020.01.15,10:30,1.25814,1.25825,1.25638,1.25741,1998
2020.01.15,11:00,1.25745,1.2578,1.25654,1.2569,1672
2020.01.15,11:30,1.2569,1.2569,1.25426,1.25528,2507
2020.01.15,12:00,1.25527,1.25543,1.25445,1.25474,1502
2020.01.15,12:30,1.25472,1.25649,1.25448,1.25631,1243
2020.01.15,13:00,1.25626,1.25717,1.25563,1.25641,2222
2020.01.15,13:30,1.25641,1.25679,1.25557,1.25671,1738
2020.01.15,14:00,1.2567,1.25671,1.25446,1.25522,1588
2020.01.15,14:30,1.25522,1.25596,1.25476,1.25546,1408
2020.01.15,15:00,1.25546,1.25579,1.25436,1.25465,1835
2020.01.15,15:30,1.25465,1.25493,1.25282,1.25363,2529
2020.01.15,16:00,1.25364,1.25542,1.25357,1.25531,2117
2020.01.15,16:30,1.2553,1.25757,1.25498,1.25757,2710
2020.01.15,17:00,1.25757,1.25757,1.25501,1.25517,2259
2020.01.15,17:30,1.25516,1.25683,1.25469,1.25658,2285
2020.01.15,18:00,1.25659,1.25687,1.25472,1.25549,1936
2020.01.15,18:30,1.25551,1.25551,1.2545,1.25497,1360
2020.01.15,19:00,1.25495,1.25597,1.25479,1.25545,1627
2020.01.15,19:30,1.25545,1.25574,1.2547,1.25572,933
2020.01.15,20:00,1.25571,1.25646,1.25549,1.25643,1078
2020.01.15,20:30,1.25643,1.25643,1.25563,1.2557,996
2020.01.15,21:00,1.2557,1.25591,1.25516,1.25561,1048
2020.01.15,21:30,1.25561,1.25575,1.2547,1.25516,893
2020.01.15,22:00,1.25516,1.25535,1.25495,1.25518,555
2020.01.15,22:30,1.25518,1.25571,1.25472,1.25561,835
2020.01.15,23:00,1.25566,1.25655,1.25517,1.25649,416
2020.01.15,23:30,1.25648,1.25698,1.25631,1.25689,512
2020.01.16,00:00,1.25679,1.25854,1.25658,1.25804,357
2020.01.16,00:30,1.25776,1.25794,1.25697,1.25705,347
2020.01.16,01:00,1.25705,1.25726,1.25661,1.25699,371
2020.01.16,01:30,1.2568,1.25698,1.25624,1.25654,435
2020.01.16,02:00,1.25654,1.25745,1.25631,1.25673,650
2020.01.16,02:30,1.25673,1.25716,1.25664,1.25705,480
2020.01.16,03:00,1.25706,1.25747,1.25693,1.25736,458
2020.01.16,03:30,1.25736,1.25775,1.25706,1.25775,370
2020.01.16,04:00,1.25775,1.25798,1.25745,1.25754,538
2020.01.16,04:30,1.25753,1.25807,1.25744,1.258,379
2020.01.16,05:00,1.25801,1.25829,1.25768,1.25807,525
2020.01.16,05:30,1.25807,1.2584,1.25783,1.25827,486
2020.01.16,06:00,1.25827,1.25876,1.25808,1.25866,378
