date,ignore,open,high,low,close,volume
2020.08.10,00:00,1.33874,1.33893,1.33725,1.33794,153
2020.08.10,00:30,1.33773,1.33813,1.33605,1.33714,189
2020.08.10,01:00,1.33716,1.33935,1.33714,1.33907,427
2020.08.10,01:30,1.33914,1.33915,1.33834,1.33884,564
2020.08.10,02:00,1.33879,1.3392,1.33841,1.33916,1078
2020.08.10,02:30,1.33915,1.33919,1.33848,1.33876,886
2020.08.10,03:00,1.33875,1.33887,1.33721,1.33769,729
2020.08.10,03:30,1.3377,1.33779,1.33706,1.33756,556
2020.08.10,04:00,1.33755,1.33821,1.33721,1.33782,836
2020.08.10,04:30,1.33782,1.33794,1.33738,1.33775,943
2020.08.10,05:00,1.33775,1.33803,1.33704,1.33735,543
2020.08.10,05:30,1.33735,1.33773,1.33705,1.33754,555
2020.08.10,06:00,1.33754,1.33805,1.33735,1.33735,510
2020.08.10,06:30,1.33731,1.33762,1.33726,1.33741,318
2020.08.10,07:00,1.3374,1.33764,1.33734,1.3375,378
2020.08.10,07:30,1.3375,1.33799,1.33743,1.33777,330
2020.08.10,08:00,1.33777,1.33794,1.33741,1.33769,344
2020.08.10,08:30,1.33769,1.33806,1.33741,1.33755,428
2020.08.10,09:00,1.33756,1.3378,1.33675,1.33759,588
2020.08.10,09:30,1.33758,1.33858,1.33749,1.33842,854
2020.08.10,10:00,1.33842,1.33937,1.33832,1.33875,908
2020.08.10,10:30,1.33875,1.33901,1.33841,1.33893,674
2020.08.10,11:00,1.33893,1.33944,1.33856,1.33911,690
2020.08.10,11:30,1.33911,1.33935,1.33778,1.33785,702
2020.08.10,12:00,1.33785,1.33824,1.33748,1.33796,640
2020.08.10,12:30,1.33796,1.33886,1.33795,1.33868,549
2020.08.10,13:00,1.33867,1.33874,1.33814,1.33823,418
2020.08.10,13:30,1.33824,1.33919,1.33808,1.33881,541
2020.08.10,14:00,1.33881,1.33924,1.33866,1.33906,392
2020.08.10,14:30,1.33903,1.33903,1.33786,1.33831,415
2020.08.10,15:00,1.33832,1.33848,1.33758,1.33813,584
2020.08.10,15:30,1.33813,1.33826,1.33696,1.33715,394
2020.08.10,16:00,1.33715,1.33757,1.33654,1.33671,632
2020.08.10,16:30,1.33671,1.33671,1.33336,1.33373,1346
2020.08.10,17:00,1.33373,1.33502,1.3337,1.33463,1443
2020.08.10,17:30,1.33463,1.33518,1.3341,1.33491,1654
2020.08.10,18:00,1.33491,1.33572,1.3343,1.33534,1055
2020.08.10,18:30,1.33533,1.33562,1.33469,1.33511,875
2020.08.10,19:00,1.3351,1.33536,1.33463,1.33521,724
2020.08.10,19:30,1.33521,1.33571,1.33448,1.33462,692
2020.08.10,20:00,1.33462,1.33493,1.33408,1.3341,680
2020.08.10,20:30,1.3341,1.3351,1.33404,1.33506,589
2020.08.10,21:00,1.33506,1.33544,1.33458,1.33541,957
2020.08.10,21:30,1.33541,1.33552,1.33502,1.33521,968
2020.08.10,22:00,1.33521,1.33575,1.33456,1.33483,929
2020.08.10,22:30,1.33483,1.3352,1.33466,1.33518,738
2020.08.10,23:00,1.33515,1.33552,1.3349,1.33527,434
2020.08.10,23:30,1.33527,1.33581,1.33494,1.33496,661
2020.08.11,00:00,1.33496,1.33555,1.33489,1.33519,336
2020.08.11,00:30,1.33519,1.33523,1.33492,1.33502,518
2020.08.11,01:00,1.33502,1.33553,1.33486,1.33542,309
2020.08.11,01:30,1.33544,1.33596,1.3349,1.33596,339
2020.08.11,02:00,1.33596,1.33606,1.33549,1.33572,572
2020.08.11,02:30,1.33572,1.33573,1.33512,1.33535,467
2020.08.11,03:00,1.33535,1.33551,1.33454,1.33514,937
2020.08.11,03:30,1.33515,1.3355,1.33466,1.33506,586
2020.08.11,04:00,1.33506,1.33523,1.3341,1.33437,601
2020.08.11,04:30,1.33437,1.33437,1.333,1.33334,783
2020.08.11,05:00,1.33338,1.33348,1.33274,1.33322,631
2020.08.11,05:30,1.3332,1.33348,1.33298,1.3333,432
2020.08.11,06:00,1.3333,1.33357,1.33305,1.33307,430
2020.08.11,06:30,1.33307,1.33327,1.33228,1.33252,559
2020.08.11,07:00,1.33252,1.33273,1.33225,1.33234,502
2020.08.11,07:30,1.33233,1.33293,1.33231,1.33285,385
2020.08.11,08:00,1.33284,1.3329,1.33218,1.3324,409
2020.08.11,08:30,1.33241,1.33316,1.33235,1.33284,666
2020.08.11,09:00,1.33284,1.33489,1.33227,1.33469,1008
2020.08.11,09:30,1.33469,1.33522,1.33382,1.3339,815
2020.08.11,10:00,1.3339,1.33453,1.33322,1.33354,1065
2020.08.11,10:30,1.33354,1.33354,1.33269,1.33279,1001
2020.08.11,11:00,1.3328,1.33304,1.33115,1.33134,1275
2020.08.11,11:30,1.33133,1.33169,1.33053,1.33054,923
2020.08.11,12:00,1.33054,1.33066,1.32999,1.3304,1060
2020.08.11,12:30,1.33039,1.33041,1.32915,1.32939,980
2020.08.11,13:00,1.32939,1.3297,1.3287,1.32881,800
2020.08.11,13:30,1.32881,1.32949,1.32851,1.32927,658
2020.08.11,14:00,1.32925,1.32936,1.32809,1.32825,622
2020.08.11,14:30,1.32825,1.32926,1.32716,1.32918,814
2020.08.11,15:00,1.32918,1.32934,1.3271,1.32751,965
2020.08.11,15:30,1.32751,1.3298,1.32702,1.32952,1563
2020.08.11,16:00,1.32952,1.33112,1.32931,1.32983,1843
2020.08.11,16:30,1.32983,1.33087,1.32947,1.32983,2125
2020.08.11,17:00,1.32984,1.33185,1.32975,1.33106,1675
2020.08.11,17:30,1.33104,1.33135,1.32962,1.32983,1481
2020.08.11,18:00,1.32983,1.33014,1.32885,1.33009,1455
2020.08.11,18:30,1.33009,1.33024,1.32885,1.32975,1351
2020.08.11,19:00,1.32975,1.32975,1.32789,1.3279,803
2020.08.11,19:30,1.3279,1.32848,1.32746,1.32793,963
2020.08.11,20:00,1.32793,1.3285,1.32746,1.32748,1396
2020.08.11,20:30,1.32748,1.32797,1.32719,1.32751,1048
2020.08.11,21:00,1.32751,1.32822,1.32714,1.32799,1167
2020.08.11,21:30,1.32799,1.32923,1.3279,1.32826,1617
2020.08.11,22:00,1.32826,1.33035,1.32825,1.32981,1793
2020.08.11,22:30,1.32981,1.33163,1.32956,1.33092,1780
2020.08.11,23:00,1.33098,1.33178,1.33009,1.33029,688
2020.08.11,23:30,1.33024,1.33044,1.32917,1.32996,839
2020.08.12,00:00,1.32997,1.33092,1.32915,1.33052,668
2020.08.12,00:30,1.33027,1.33046,1.32945,1.32981,559
2020.08.12,01:00,1.32982,1.33013,1.32924,1.32984,481
2020.08.12,01:30,1.32985,1.33008,1.32929,1.32997,468
2020.08.12,02:00,1.32998,1.33118,1.32991,1.33085,690
2020.08.12,02:30,1.33089,1.33113,1.33024,1.33112,730
