date,ignore,open,high,low,close,volume
2020.08.31,00:00,0.89186,0.89226,0.89139,0.89178,172
2020.08.31,00:30,0.89178,0.89182,0.89131,0.89161,300
2020.08.31,01:00,0.89159,0.89224,0.89153,0.8922,2876
2020.08.31,01:30,0.89223,0.8923,0.89195,0.89225,560
2020.08.31,02:00,0.89224,0.89229,0.89184,0.89208,454
2020.08.31,02:30,0.89207,0.89239,0.89187,0.89225,469
2020.08.31,03:00,0.89225,0.89256,0.89195,0.89205,1020
2020.08.31,03:30,0.89205,0.89237,0.89199,0.8922,811
2020.08.31,04:00,0.8922,0.89254,0.89212,0.89229,784
2020.08.31,04:30,0.89229,0.8924,0.89208,0.89215,674
2020.08.31,05:00,0.89215,0.89236,0.89206,0.89229,499
2020.08.31,05:30,0.89229,0.89245,0.89212,0.89221,493
2020.08.31,06:00,0.89221,0.89234,0.89207,0.89212,451
2020.08.31,06:30,0.89212,0.89221,0.8917,0.89178,369
2020.08.31,07:00,0.89182,0.89215,0.89176,0.89212,336
2020.08.31,07:30,0.89212,0.8923,0.89198,0.89226,443
2020.08.31,08:00,0.89226,0.8924,0.89212,0.89234,445
2020.08.31,08:30,0.89234,0.89237,0.89187,0.89212,450
2020.08.31,09:00,0.89212,0.89286,0.89201,0.89285,694
2020.08.31,09:30,0.89285,0.89314,0.8923,0.89279,982
2020.08.31,10:00,0.8928,0.89349,0.89246,0.89339,1462
2020.08.31,10:30,0.89339,0.89366,0.89306,0.89328,1515
2020.08.31,11:00,0.89328,0.89423,0.89328,0.89347,1331
2020.08.31,11:30,0.89347,0.89438,0.8932,0.8943,1430
2020.08.31,12:00,0.8943,0.89514,0.89389,0.89494,1248
2020.08.31,12:30,0.89494,0.89543,0.89485,0.89511,1071
2020.08.31,13:00,0.89511,0.89511,0.89449,0.8946,805
2020.08.31,13:30,0.89462,0.8955,0.8945,0.89515,1138
2020.08.31,14:00,0.89515,0.89555,0.89467,0.895,1336
2020.08.31,14:30,0.895,0.8956,0.89491,0.89552,1081
2020.08.31,15:00,0.89552,0.89657,0.89548,0.89641,1153
2020.08.31,15:30,0.89641,0.89665,0.89538,0.89572,959
2020.08.31,16:00,0.89575,0.89609,0.89526,0.89588,1342
2020.08.31,16:30,0.89588,0.89603,0.89525,0.89531,1613
2020.08.31,17:00,0.89531,0.89544,0.89421,0.89443,1744
2020.08.31,17:30,0.89445,0.89495,0.89286,0.89324,2850
2020.08.31,18:00,0.89326,0.89421,0.89291,0.89371,2343
2020.08.31,18:30,0.89371,0.89399,0.89316,0.89341,1565
2020.08.31,19:00,0.89342,0.89351,0.8928,0.89287,1174
2020.08.31,19:30,0.89287,0.89321,0.8927,0.89281,1007
2020.08.31,20:00,0.89281,0.89318,0.89274,0.89305,645
2020.08.31,20:30,0.89304,0.89319,0.89274,0.89289,469
2020.08.31,21:00,0.89287,0.89304,0.89262,0.89276,645
2020.08.31,21:30,0.89276,0.8929,0.89216,0.89219,741
2020.08.31,22:00,0.8922,0.89276,0.8922,0.89264,1034
2020.08.31,22:30,0.89264,0.89283,0.89217,0.89283,1057
2020.08.31,23:00,0.89286,0.89298,0.89242,0.89284,644
2020.08.31,23:30,0.89282,0.89301,0.89261,0.89278,509
2020.09.01,00:00,0.89278,0.89281,0.89219,0.89259,297
2020.09.01,00:30,0.8926,0.89297,0.89237,0.89293,689
2020.09.01,01:00,0.89293,0.89317,0.8926,0.89311,652
2020.09.01,01:30,0.8931,0.89328,0.89296,0.89313,221
2020.09.01,02:00,0.89311,0.8933,0.89307,0.89315,286
2020.09.01,02:30,0.89315,0.89341,0.89312,0.89316,308
2020.09.01,03:00,0.89316,0.89369,0.89315,0.89344,722
2020.09.01,03:30,0.89344,0.89379,0.89327,0.89376,585
2020.09.01,04:00,0.89376,0.89396,0.89357,0.89367,736
2020.09.01,04:30,0.89368,0.89413,0.8934,0.89352,1085
2020.09.01,05:00,0.8935,0.89389,0.89321,0.8938,839
2020.09.01,05:30,0.8938,0.89454,0.89372,0.89414,1432
2020.09.01,06:00,0.89415,0.89451,0.89399,0.89437,745
2020.09.01,06:30,0.89436,0.89445,0.89413,0.89414,554
2020.09.01,07:00,0.89414,0.89438,0.89407,0.89415,478
2020.09.01,07:30,0.89416,0.89438,0.89409,0.8942,563
2020.09.01,08:00,0.8942,0.89435,0.8938,0.8938,619
2020.09.01,08:30,0.8938,0.89411,0.89366,0.8938,698
2020.09.01,09:00,0.89379,0.89398,0.89339,0.89382,1123
2020.09.01,09:30,0.89381,0.89409,0.89341,0.89343,1261
2020.09.01,10:00,0.89343,0.89398,0.8927,0.89314,2058
2020.09.01,10:30,0.89314,0.89347,0.89193,0.89252,1976
2020.09.01,11:00,0.89252,0.89269,0.89172,0.89202,1698
2020.09.01,11:30,0.89198,0.89258,0.8917,0.89219,1976
2020.09.01,12:00,0.8922,0.8922,0.8905,0.89061,1589
2020.09.01,12:30,0.89061,0.8912,0.89057,0.89089,1336
2020.09.01,13:00,0.89091,0.89095,0.88967,0.8903,1398
2020.09.01,13:30,0.89031,0.89088,0.8901,0.89042,1305
2020.09.01,14:00,0.89043,0.89043,0.88935,0.88971,1321
2020.09.01,14:30,0.88971,0.89015,0.88953,0.88988,1349
2020.09.01,15:00,0.88986,0.89028,0.88923,0.89012,1237
2020.09.01,15:30,0.89012,0.89055,0.88994,0.89011,1344
2020.09.01,16:00,0.89011,0.89161,0.88998,0.89086,2251
2020.09.01,16:30,0.89085,0.89132,0.8903,0.89097,2583
2020.09.01,17:00,0.89097,0.89127,0.88981,0.8905,2867
2020.09.01,17:30,0.8905,0.89069,0.88943,0.88965,2441
2020.09.01,18:00,0.88965,0.89,0.88884,0.88992,1940
2020.09.01,18:30,0.88992,0.89083,0.88979,0.89066,1198
2020.09.01,19:00,0.89066,0.89139,0.89054,0.89125,1036
2020.09.01,19:30,0.89125,0.8919,0.89096,0.89107,1361
2020.09.01,20:00,0.89107,0.89129,0.89003,0.89025,1600
2020.09.01,20:30,0.89025,0.89025,0.88967,0.89018,1303
2020.09.01,21:00,0.89017,0.89036,0.88999,0.89001,981
2020.09.01,21:30,0.89001,0.89018,0.88972,0.88986,966
2020.09.01,22:00,0.88986,0.89032,0.88979,0.89014,921
2020.09.01,22:30,0.89015,0.89021,0.88985,0.89009,811
2020.09.01,23:00,0.8901,0.89028,0.89005,0.89021,413
2020.09.01,23:30,0.89021,0.89021,0.88978,0.8899,434
2020.09.02,00:00,0.88999,0.89024,0.88931,0.88969,620
2020.09.02,00:30,0.88973,0.8903,0.88966,0.88996,1148
2020.09.02,01:00,0.88996,0.89011,0.88972,0.88998,303
2020.09.02,01:30,0.88998,0.89009,0.88979,0.8898,327
2020.09.02,02:00,0.88992,0.89002,0.8898,0.88983,426
2020.09.02,02:30,0.88986,0.89011,0.8897,0.88971,506
2020.09.02,03:00,0.8897,0.88991,0.88956,0.88957,670
2020.09.02,03:30,0.88957,0.88982,0.88946,0.88977,642
2020.09.02,04:00,0.88977,0.88988,0.88936,0.88961,1031
