date,ignore,open,high,low,close,volume
2020.11.02,0:00,121.703,121.877,121.7,121.828,482
2020.11.02,0:30,121.805,121.837,121.773,121.817,1986
2020.11.02,1:00,121.816,121.897,121.787,121.833,958
2020.11.02,1:30,121.833,121.867,121.7,121.746,978
2020.11.02,2:00,121.746,121.906,121.746,121.827,1590
2020.11.02,2:30,121.833,121.969,121.831,121.943,1272
2020.11.02,3:00,121.943,121.943,121.87,121.901,1451
2020.11.02,3:30,121.901,121.942,121.867,121.901,1002
2020.11.02,4:00,121.9,121.922,121.793,121.816,934
2020.11.02,4:30,121.815,121.882,121.814,121.868,867
2020.11.02,5:00,121.868,121.874,121.825,121.845,574
2020.11.02,5:30,121.844,121.851,121.818,121.85,498
2020.11.02,6:00,121.85,121.858,121.831,121.852,459
2020.11.02,6:30,121.855,121.872,121.792,121.802,796
2020.11.02,7:00,121.801,121.875,121.8,121.849,720
2020.11.02,7:30,121.849,121.868,121.816,121.84,692
2020.11.02,8:00,121.839,121.935,121.829,121.85,803
2020.11.02,8:30,121.852,121.955,121.847,121.955,1006
2020.11.02,9:00,121.959,121.981,121.922,121.948,1213
2020.11.02,9:30,121.947,121.991,121.858,121.94,1645
2020.11.02,10:00,121.937,122.066,121.883,122.013,2300
2020.11.02,10:30,122.013,122.07,121.965,122.047,1907
2020.11.02,11:00,122.049,122.111,122.014,122.089,1721
2020.11.02,11:30,122.089,122.15,121.982,121.993,1857
2020.11.02,12:00,121.994,122.043,121.906,121.907,1582
2020.11.02,12:30,121.911,122.009,121.886,121.964,1219
2020.11.02,13:00,121.966,122.001,121.936,121.984,1266
2020.11.02,13:30,121.984,122.062,121.972,122.027,1438
2020.11.02,14:00,122.028,122.034,121.919,121.928,1146
2020.11.02,14:30,121.928,121.94,121.861,121.898,1107
2020.11.02,15:00,121.898,121.932,121.88,121.883,1254
2020.11.02,15:30,121.881,121.884,121.787,121.794,1485
2020.11.02,16:00,121.794,121.827,121.727,121.817,1481
2020.11.02,16:30,121.817,121.913,121.811,121.881,1829
2020.11.02,17:00,121.879,122.012,121.879,121.946,2151
2020.11.02,17:30,121.946,121.979,121.872,121.941,1704
2020.11.02,18:00,121.941,121.989,121.89,121.966,1278
2020.11.02,18:30,121.966,121.966,121.892,121.926,1094
2020.11.02,19:00,121.926,121.974,121.925,121.952,914
2020.11.02,19:30,121.952,121.953,121.874,121.917,756
2020.11.02,20:00,121.917,121.944,121.89,121.906,859
2020.11.02,20:30,121.906,121.907,121.845,121.876,706
2020.11.02,21:00,121.876,121.919,121.858,121.917,664
2020.11.02,21:30,121.918,121.954,121.91,121.929,606
2020.11.02,22:00,121.93,121.958,121.921,121.941,624
2020.11.02,22:30,121.942,121.985,121.91,121.968,672
2020.11.02,23:00,121.963,121.997,121.92,121.932,368
2020.11.02,23:30,121.932,121.942,121.898,121.919,410
2020.11.03,0:00,121.919,121.983,121.795,121.931,564
2020.11.03,0:30,121.893,121.952,121.822,121.905,352
2020.11.03,1:00,121.907,121.941,121.883,121.924,484
2020.11.03,1:30,121.924,121.943,121.896,121.901,322
2020.11.03,2:00,121.9,121.996,121.876,121.996,570
2020.11.03,2:30,121.996,122.012,121.957,121.989,493
2020.11.03,3:00,121.99,121.994,121.949,121.975,763
2020.11.03,3:30,121.973,122.043,121.968,122.018,667
2020.11.03,4:00,122.017,122.025,121.951,121.977,709
2020.11.03,4:30,121.977,122.012,121.954,122.001,557
2020.11.03,5:00,122.001,122.003,121.956,121.997,481
2020.11.03,5:30,121.997,122.02,121.954,122.014,818
2020.11.03,6:00,122.014,122.04,122.002,122.019,355
2020.11.03,6:30,122.019,122.038,122.011,122.014,285
2020.11.03,7:00,122.015,122.076,122.01,122.072,452
2020.11.03,7:30,122.072,122.089,122.038,122.042,646
2020.11.03,8:00,122.042,122.054,122.028,122.044,548
2020.11.03,8:30,122.044,122.131,121.993,121.997,692
2020.11.03,9:00,121.997,121.997,121.802,121.959,1546
2020.11.03,9:30,121.958,122.058,121.947,122.039,1349
2020.11.03,10:00,122.037,122.238,121.995,122.232,1833
2020.11.03,10:30,122.232,122.24,122.138,122.208,1462
2020.11.03,11:00,122.208,122.475,122.203,122.43,1764
2020.11.03,11:30,122.43,122.473,122.359,122.466,1571
2020.11.03,12:00,122.465,122.469,122.39,122.421,1049
2020.11.03,12:30,122.42,122.464,122.379,122.461,983
2020.11.03,13:00,122.462,122.633,122.457,122.623,1657
2020.11.03,13:30,122.623,122.75,122.603,122.637,1684
2020.11.03,14:00,122.636,122.676,122.564,122.592,1417
2020.11.03,14:30,122.592,122.592,122.446,122.458,1131
2020.11.03,15:00,122.459,122.594,122.459,122.588,1541
2020.11.03,15:30,122.588,122.641,122.462,122.486,1654
2020.11.03,16:00,122.486,122.56,122.454,122.554,1712
2020.11.03,16:30,122.555,122.661,122.553,122.582,2233
2020.11.03,17:00,122.582,122.659,122.528,122.561,2339
2020.11.03,17:30,122.562,122.688,122.478,122.644,2444
2020.11.03,18:00,122.644,122.706,122.583,122.585,1979
2020.11.03,18:30,122.584,122.587,122.489,122.514,1656
2020.11.03,19:00,122.516,122.576,122.511,122.556,1209
2020.11.03,19:30,122.556,122.559,122.339,122.356,1366
2020.11.03,20:00,122.356,122.411,122.338,122.369,1470
2020.11.03,20:30,122.369,122.405,122.331,122.355,1620
2020.11.03,21:00,122.362,122.423,122.353,122.418,1007
2020.11.03,21:30,122.419,122.434,122.39,122.43,971
2020.11.03,22:00,122.43,122.43,122.329,122.354,952
2020.11.03,22:30,122.355,122.391,122.347,122.375,830
2020.11.03,23:00,122.375,122.491,122.354,122.458,740
2020.11.03,23:30,122.458,122.524,122.336,122.346,838
2020.11.04,0:00,122.356,122.484,122.182,122.459,249
2020.11.04,0:30,122.449,122.636,122.428,122.632,1272
2020.11.04,1:00,122.632,122.986,122.586,122.942,2541
2020.11.04,1:30,122.943,123.068,122.905,122.958,2247
2020.11.04,2:00,122.961,123.024,122.494,122.739,4594
2020.11.04,2:30,122.739,122.786,122.246,122.337,4420
2020.11.04,3:00,122.341,122.696,122.151,122.223,5026
2020.11.04,3:30,122.227,122.424,122.153,122.217,4020
2020.11.04,4:00,122.222,122.227,122.026,122.069,4325
2020.11.04,4:30,122.067,122.51,122.026,122.222,5848
2020.11.04,5:00,122.221,122.689,122.212,122.387,4654
2020.11.04,5:30,122.387,122.426,122.135,122.299,2936
2020.11.04,6:00,122.299,122.401,122.205,122.37,2445
2020.11.04,6:30,122.366,122.374,122.126,122.178,3312
2020.11.04,7:00,122.168,122.39,122.133,122.33,2826
2020.11.04,7:30,122.329,122.377,122.184,122.346,2197
