date,ignore,open,high,low,close,volume
2015.01.26,00:00,0.74346,0.74347,0.74166,0.74234,682
2015.01.26,00:30,0.74233,0.74323,0.74228,0.74254,708
2015.01.26,01:00,0.74257,0.7427,0.74177,0.74189,821
2015.01.26,01:30,0.7419,0.74305,0.74038,0.74299,1138
2015.01.26,02:00,0.74298,0.74555,0.74255,0.74442,1690
2015.01.26,02:30,0.74446,0.74472,0.7436,0.74397,890
2015.01.26,03:00,0.74395,0.74565,0.74379,0.74443,623
2015.01.26,03:30,0.74441,0.74489,0.7441,0.74443,435
2015.01.26,04:00,0.74442,0.74463,0.74396,0.74427,497
2015.01.26,04:30,0.74428,0.74453,0.74348,0.74374,730
2015.01.26,05:00,0.74374,0.74479,0.74374,0.74479,496
2015.01.26,05:30,0.74483,0.74525,0.74468,0.7451,471
2015.01.26,06:00,0.74509,0.74542,0.745,0.74503,330
2015.01.26,06:30,0.74502,0.74508,0.74477,0.74479,290
2015.01.26,07:00,0.7448,0.74557,0.74474,0.74506,504
2015.01.26,07:30,0.74507,0.74568,0.74486,0.74514,580
2015.01.26,08:00,0.74517,0.74585,0.74517,0.74558,757
2015.01.26,08:30,0.74559,0.74678,0.74544,0.74661,833
2015.01.26,09:00,0.7466,0.74761,0.7453,0.7458,1249
2015.01.26,09:30,0.74581,0.74764,0.74497,0.74707,1281
2015.01.26,10:00,0.74709,0.74873,0.74625,0.74756,1687
2015.01.26,10:30,0.74756,0.74883,0.74716,0.74804,1573
2015.01.26,11:00,0.74815,0.74993,0.7479,0.74949,1766
2015.01.26,11:30,0.74948,0.75033,0.74917,0.74939,1267
2015.01.26,12:00,0.74942,0.74955,0.74825,0.74854,970
2015.01.26,12:30,0.74855,0.74873,0.74788,0.74807,817
2015.01.26,13:00,0.74807,0.74866,0.74763,0.74793,1051
2015.01.26,13:30,0.74797,0.74835,0.74749,0.74753,754
2015.01.26,14:00,0.74752,0.74798,0.74734,0.7477,767
2015.01.26,14:30,0.7477,0.74905,0.74769,0.749,840
2015.01.26,15:00,0.74898,0.75004,0.74864,0.74953,1201
2015.01.26,15:30,0.74956,0.75048,0.74916,0.74991,1305
2015.01.26,16:00,0.74992,0.75016,0.74867,0.74878,1054
2015.01.26,16:30,0.74876,0.74936,0.74841,0.74868,1159
2015.01.26,17:00,0.74872,0.74934,0.74814,0.74817,1260
2015.01.26,17:30,0.74814,0.74859,0.7477,0.74777,1049
2015.01.26,18:00,0.74781,0.74897,0.74763,0.74811,1194
2015.01.26,18:30,0.74814,0.74859,0.74795,0.74815,1185
2015.01.26,19:00,0.74816,0.74851,0.74759,0.74762,897
2015.01.26,19:30,0.7476,0.74766,0.74691,0.74721,833
2015.01.26,20:00,0.74723,0.74759,0.74675,0.74688,824
2015.01.26,20:30,0.74687,0.74709,0.74656,0.74658,801
2015.01.26,21:00,0.74656,0.74721,0.7464,0.74718,788
2015.01.26,21:30,0.74719,0.74726,0.7468,0.74721,572
2015.01.26,22:00,0.7472,0.7472,0.74664,0.74677,639
2015.01.26,22:30,0.74678,0.74703,0.7457,0.74582,696
2015.01.26,23:00,0.74578,0.74602,0.74453,0.74478,932
2015.01.26,23:30,0.74476,0.74522,0.74462,0.74495,615
2015.01.27,00:00,0.7451,0.74546,0.74484,0.74538,441
2015.01.27,00:30,0.74537,0.7454,0.74478,0.74487,406
2015.01.27,01:00,0.74486,0.74534,0.74462,0.7452,342
2015.01.27,01:30,0.74518,0.7457,0.74514,0.74559,371
2015.01.27,02:00,0.74558,0.74558,0.74496,0.74509,363
2015.01.27,02:30,0.74507,0.74518,0.74441,0.74441,527
2015.01.27,03:00,0.74442,0.74472,0.74427,0.74453,444
2015.01.27,03:30,0.74452,0.74532,0.74428,0.74477,707
2015.01.27,04:00,0.74478,0.74519,0.7447,0.7448,566
2015.01.27,04:30,0.74481,0.74486,0.74427,0.74439,534
2015.01.27,05:00,0.74437,0.74458,0.74413,0.74455,351
2015.01.27,05:30,0.74456,0.74463,0.7442,0.74424,316
2015.01.27,06:00,0.74427,0.74452,0.74419,0.74452,335
2015.01.27,06:30,0.74453,0.74475,0.74424,0.74473,344
2015.01.27,07:00,0.74479,0.74484,0.74396,0.74417,570
2015.01.27,07:30,0.74419,0.7442,0.74388,0.74389,476
2015.01.27,08:00,0.74391,0.7443,0.74383,0.74392,548
2015.01.27,08:30,0.74393,0.74419,0.74345,0.74417,736
2015.01.27,09:00,0.74419,0.74555,0.74401,0.74537,897
2015.01.27,09:30,0.74538,0.74612,0.74538,0.74598,844
2015.01.27,10:00,0.74599,0.74786,0.74537,0.74776,1529
2015.01.27,10:30,0.74774,0.75059,0.74719,0.75022,1294
2015.01.27,11:00,0.75018,0.75056,0.74879,0.74903,2272
2015.01.27,11:30,0.74973,0.7511,0.7492,0.75019,2066
2015.01.27,12:00,0.75018,0.75018,0.74855,0.74888,1961
2015.01.27,12:30,0.74889,0.74979,0.74811,0.74835,2270
2015.01.27,13:00,0.74835,0.74843,0.74711,0.74743,1568
2015.01.27,13:30,0.74741,0.74802,0.74668,0.74755,1223
2015.01.27,14:00,0.74757,0.74791,0.74661,0.74761,1360
2015.01.27,14:30,0.74763,0.74773,0.74621,0.74724,1874
2015.01.27,15:00,0.74725,0.74814,0.74661,0.74697,2151
2015.01.27,15:30,0.74691,0.74791,0.74645,0.74687,2777
2015.01.27,16:00,0.74689,0.74911,0.74647,0.74819,2935
2015.01.27,16:30,0.74821,0.7497,0.7482,0.74908,2234
2015.01.27,17:00,0.74911,0.74931,0.748,0.74821,1908
2015.01.27,17:30,0.74821,0.75044,0.74808,0.74985,2405
2015.01.27,18:00,0.74977,0.74979,0.74837,0.74843,1675
2015.01.27,18:30,0.74843,0.74883,0.74756,0.74816,1381
2015.01.27,19:00,0.74818,0.74858,0.74695,0.74703,1486
2015.01.27,19:30,0.74705,0.74745,0.74613,0.74684,1585
2015.01.27,20:00,0.74684,0.74752,0.74679,0.74698,970
2015.01.27,20:30,0.74698,0.7473,0.74648,0.74722,1062
2015.01.27,21:00,0.74721,0.74761,0.74679,0.74727,1005
2015.01.27,21:30,0.74726,0.74828,0.74717,0.74802,841
2015.01.27,22:00,0.748,0.74826,0.74773,0.74798,872
