date,ignore,open,high,low,close,volume
2016.02.22,00:00,74.796,74.853,74.716,74.772,751
2016.02.22,00:30,74.773,74.84,74.654,74.66,1768
2016.02.22,01:00,74.66,74.671,74.508,74.596,2341
2016.02.22,01:30,74.596,74.596,74.48,74.53,2290
2016.02.22,02:00,74.527,74.813,74.513,74.756,4560
2016.02.22,02:30,74.756,74.934,74.679,74.906,4888
2016.02.22,03:00,74.9,75.001,74.86,74.971,4807
2016.02.22,03:30,74.971,75.122,74.971,75.071,4114
2016.02.22,04:00,75.058,75.086,74.947,74.98,4069
2016.02.22,04:30,74.982,75.124,74.957,75.116,3601
2016.02.22,05:00,75.116,75.186,75.097,75.14,3119
2016.02.22,05:30,75.139,75.184,75.09,75.093,2392
2016.02.22,06:00,75.091,75.144,75.015,75.094,2803
2016.02.22,06:30,75.094,75.149,75.069,75.14,2710
2016.02.22,07:00,75.139,75.315,75.108,75.28,3080
2016.02.22,07:30,75.28,75.29,75.19,75.214,3228
2016.02.22,08:00,75.214,75.236,75.18,75.196,3171
2016.02.22,08:30,75.196,75.235,75.102,75.102,2992
2016.02.22,09:00,75.104,75.152,75.006,75.095,3563
2016.02.22,09:30,75.094,75.214,75.091,75.198,4152
2016.02.22,10:00,75.196,75.462,75.193,75.406,5253
2016.02.22,10:30,75.409,75.42,75.203,75.204,4589
2016.02.22,11:00,75.206,75.258,75.136,75.144,4289
2016.02.22,11:30,75.145,75.351,75.133,75.302,3718
2016.02.22,12:00,75.302,75.524,75.301,75.411,4211
2016.02.22,12:30,75.411,75.458,75.346,75.428,2403
2016.02.22,13:00,75.427,75.544,75.416,75.54,3079
2016.02.22,13:30,75.538,75.548,75.461,75.489,3153
2016.02.22,14:00,75.489,75.49,75.411,75.443,3233
2016.02.22,14:30,75.443,75.47,75.367,75.388,3410
2016.02.22,15:00,75.389,75.668,75.382,75.605,3283
2016.02.22,15:30,75.605,75.847,75.578,75.778,3890
2016.02.22,16:00,75.776,75.978,75.767,75.906,3844
2016.02.22,16:30,75.903,75.988,75.842,75.944,4756
2016.02.22,17:00,75.944,75.991,75.82,75.848,4501
2016.02.22,17:30,75.849,75.899,75.8,75.838,3340
2016.02.22,18:00,75.838,75.917,75.791,75.89,3718
2016.02.22,18:30,75.891,76.01,75.866,75.995,2635
2016.02.22,19:00,75.995,76.091,75.961,76.055,2427
2016.02.22,19:30,76.055,76.106,75.953,75.988,2179
2016.02.22,20:00,75.986,75.999,75.914,75.934,2271
2016.02.22,20:30,75.934,76.02,75.917,75.924,1766
2016.02.22,21:00,75.925,75.931,75.729,75.796,2562
2016.02.22,21:30,75.796,75.798,75.652,75.705,2783
2016.02.22,22:00,75.707,75.787,75.639,75.773,1897
2016.02.22,22:30,75.776,75.806,75.725,75.763,2191
2016.02.22,23:00,75.764,75.767,75.648,75.709,852
2016.02.22,23:30,75.703,75.703,75.621,75.624,2079
2016.02.23,00:00,75.583,75.663,75.578,75.638,534
2016.02.23,00:30,75.638,75.69,75.626,75.626,866
2016.02.23,01:00,75.626,75.842,75.626,75.842,1805
2016.02.23,01:30,75.842,75.862,75.736,75.802,3042
2016.02.23,02:00,75.802,75.844,75.673,75.77,4615
2016.02.23,02:30,75.77,75.773,75.423,75.525,5191
2016.02.23,03:00,75.525,75.532,75.22,75.381,4904
