date,ignore,open,high,low,close,volume
2016.07.11,00:00,1.30413,1.30563,1.30307,1.30454,191
2016.07.11,00:30,1.3045,1.30545,1.30445,1.3046,254
2016.07.11,01:00,1.3046,1.30623,1.3046,1.3057,1054
2016.07.11,01:30,1.30571,1.30579,1.30374,1.30385,1896
2016.07.11,02:00,1.30384,1.30452,1.30373,1.30429,1187
2016.07.11,02:30,1.30429,1.30546,1.30416,1.30492,1607
2016.07.11,03:00,1.30492,1.30572,1.30429,1.3051,1868
2016.07.11,03:30,1.30504,1.30644,1.30476,1.30613,2995
2016.07.11,04:00,1.30613,1.30642,1.3051,1.30531,1881
2016.07.11,04:30,1.30528,1.30603,1.30513,1.30538,2110
2016.07.11,05:00,1.30538,1.30559,1.30428,1.30458,1288
2016.07.11,05:30,1.30458,1.30501,1.30406,1.30422,1316
2016.07.11,06:00,1.30423,1.3043,1.30385,1.3039,1053
2016.07.11,06:30,1.3039,1.30468,1.3039,1.30405,1040
2016.07.11,07:00,1.30406,1.30416,1.30315,1.30336,1254
2016.07.11,07:30,1.30336,1.30374,1.30289,1.30349,1443
2016.07.11,08:00,1.30351,1.30462,1.30349,1.3042,1930
2016.07.11,08:30,1.3042,1.30546,1.30389,1.30538,1620
2016.07.11,09:00,1.30536,1.30567,1.30415,1.30487,3035
2016.07.11,09:30,1.30487,1.30606,1.30414,1.3045,3514
2016.07.11,10:00,1.30452,1.30711,1.30451,1.30706,4361
2016.07.11,10:30,1.30706,1.30867,1.30672,1.30832,3937
2016.07.11,11:00,1.30831,1.30881,1.3072,1.30846,3381
2016.07.11,11:30,1.30844,1.30955,1.308,1.30948,2858
2016.07.11,12:00,1.30948,1.30959,1.3083,1.30868,2701
2016.07.11,12:30,1.30868,1.30879,1.30819,1.30844,2700
2016.07.11,13:00,1.30844,1.30953,1.30771,1.30901,2863
2016.07.11,13:30,1.30901,1.30948,1.30753,1.30765,3225
2016.07.11,14:00,1.30765,1.30841,1.30648,1.30655,3242
2016.07.11,14:30,1.30655,1.30707,1.30546,1.3065,2968
2016.07.11,15:00,1.30651,1.30772,1.30577,1.30636,3295
2016.07.11,15:30,1.30636,1.30702,1.30555,1.30575,3153
2016.07.11,16:00,1.30575,1.30746,1.30507,1.30724,4437
