date,ignore,open,high,low,close,volume
2016.10.31,00:00,104.563,104.659,104.563,104.642,2816
2016.10.31,00:30,104.642,104.68,104.6,104.611,2227
2016.10.31,01:00,104.611,104.675,104.602,104.643,1184
2016.10.31,01:30,104.643,104.663,104.552,104.565,1628
2016.10.31,02:00,104.567,104.834,104.52,104.833,3802
2016.10.31,02:30,104.831,104.936,104.753,104.774,3940
2016.10.31,03:00,104.776,104.798,104.678,104.782,3013
2016.10.31,03:30,104.782,104.809,104.725,104.794,2444
2016.10.31,04:00,104.794,104.881,104.754,104.875,2812
2016.10.31,04:30,104.873,104.893,104.839,104.856,1649
2016.10.31,05:00,104.856,104.916,104.801,104.825,1963
2016.10.31,05:30,104.822,104.832,104.752,104.769,2063
2016.10.31,06:00,104.769,104.838,104.764,104.774,1776
2016.10.31,06:30,104.772,104.819,104.73,104.809,1796
2016.10.31,07:00,104.808,104.834,104.751,104.766,1789
2016.10.31,07:30,104.766,104.792,104.697,104.749,2430
2016.10.31,08:00,104.747,104.833,104.742,104.832,1956
2016.10.31,08:30,104.833,104.877,104.789,104.817,1510
2016.10.31,09:00,104.817,104.912,104.816,104.912,1914
2016.10.31,09:30,104.911,104.965,104.884,104.914,2345
2016.10.31,10:00,104.913,104.991,104.902,104.962,2777
2016.10.31,10:30,104.962,104.984,104.917,104.942,2158
2016.10.31,11:00,104.942,104.99,104.908,104.909,2196
2016.10.31,11:30,104.91,105.036,104.896,105.019,2262
2016.10.31,12:00,105.019,105.042,104.951,104.963,2301
2016.10.31,12:30,104.962,104.983,104.927,104.98,2454
2016.10.31,13:00,104.979,105.04,104.947,105.031,2462
2016.10.31,13:30,105.031,105.077,105.017,105.035,2321
2016.10.31,14:00,105.035,105.051,104.942,104.998,2286
2016.10.31,14:30,104.998,105.047,104.953,105.017,2535
2016.10.31,15:00,105.016,105.055,104.971,105.014,2324
2016.10.31,15:30,105.015,105.052,104.918,104.989,3914
2016.10.31,16:00,104.989,105.065,104.961,105.033,3299
2016.10.31,16:30,105.034,105.139,105.011,105.093,2952
2016.10.31,17:00,105.094,105.12,105.05,105.107,2894
2016.10.31,17:30,105.11,105.229,105.066,105.067,3792
2016.10.31,18:00,105.067,105.143,104.995,105.133,4655
2016.10.31,18:30,105.134,105.157,105.069,105.069,2905
2016.10.31,19:00,105.069,105.088,104.965,104.967,2295
2016.10.31,19:30,104.967,104.99,104.921,104.981,2315
2016.10.31,20:00,104.981,104.99,104.8,104.838,2507
2016.10.31,20:30,104.84,104.933,104.825,104.924,2074
2016.10.31,21:00,104.926,104.927,104.847,104.889,1864
2016.10.31,21:30,104.891,104.891,104.816,104.869,1866
2016.10.31,22:00,104.868,104.881,104.789,104.802,1357
2016.10.31,22:30,104.802,104.841,104.776,104.812,1623
2016.10.31,23:00,104.813,104.84,104.786,104.811,1243
2016.10.31,23:30,104.809,104.812,104.725,104.761,773
2016.11.01,00:00,104.76,104.816,104.76,104.8,1873
2016.11.01,00:30,104.798,104.849,104.795,104.843,1958
2016.11.01,01:00,104.843,104.903,104.823,104.86,1650
2016.11.01,01:30,104.859,104.869,104.791,104.82,1379
2016.11.01,02:00,104.819,104.854,104.691,104.758,2629
2016.11.01,02:30,104.758,104.788,104.663,104.763,2898
2016.11.01,03:00,104.773,104.829,104.746,104.775,2661
2016.11.01,03:30,104.774,104.86,104.77,104.827,1997
2016.11.01,04:00,104.827,104.834,104.736,104.8,1925
2016.11.01,04:30,104.799,104.84,104.678,104.815,2624
2016.11.01,05:00,104.814,104.965,104.799,104.911,2745
2016.11.01,05:30,104.91,104.95,104.826,104.865,3302
2016.11.01,06:00,104.865,104.89,104.78,104.788,2693
2016.11.01,06:30,104.788,104.896,104.768,104.872,2007
2016.11.01,07:00,104.871,104.894,104.816,104.824,2036
2016.11.01,07:30,104.823,104.844,104.77,104.836,1658
2016.11.01,08:00,104.836,104.861,104.741,104.761,2222
2016.11.01,08:30,104.761,104.856,104.759,104.815,1999
2016.11.01,09:00,104.813,104.949,104.813,104.913,2996
2016.11.01,09:30,104.913,104.943,104.879,104.929,2794
2016.11.01,10:00,104.928,105.094,104.916,105.073,3888
2016.11.01,10:30,105.073,105.114,105.021,105.05,3313
2016.11.01,11:00,105.048,105.053,104.959,104.982,3586
2016.11.01,11:30,104.982,104.982,104.866,104.932,3390
2016.11.01,12:00,104.932,105.029,104.913,105.017,2740
2016.11.01,12:30,105.018,105.024,104.962,104.966,2183
2016.11.01,13:00,104.966,104.991,104.88,104.931,2751
2016.11.01,13:30,104.933,104.95,104.802,104.827,3096
2016.11.01,14:00,104.827,104.926,104.781,104.89,3794
2016.11.01,14:30,104.89,104.956,104.876,104.889,3136
2016.11.01,15:00,104.89,104.896,104.801,104.817,3622
2016.11.01,15:30,104.816,104.835,104.697,104.816,4892
2016.11.01,16:00,104.859,104.886,104.55,104.556,6395
2016.11.01,16:30,104.556,104.641,104.51,104.625,5321
2016.11.01,17:00,104.627,104.637,104.501,104.554,3590
2016.11.01,17:30,104.555,104.579,104.45,104.579,4581
2016.11.01,18:00,104.579,104.611,104.247,104.258,5419
2016.11.01,18:30,104.257,104.323,104.212,104.278,4509
2016.11.01,19:00,104.277,104.373,104.209,104.327,4422
2016.11.01,19:30,104.327,104.328,104.147,104.197,3910
2016.11.01,20:00,104.196,104.2,103.794,103.954,5636
2016.11.01,20:30,103.956,104.066,103.919,103.959,4863
2016.11.01,21:00,103.96,104.099,103.91,104.086,3709
2016.11.01,21:30,104.089,104.122,104.042,104.052,3641
2016.11.01,22:00,104.051,104.119,104.05,104.068,1656
2016.11.01,22:30,104.068,104.155,104.056,104.14,1271
2016.11.01,23:00,104.122,104.15,104.052,104.074,272
2016.11.01,23:30,104.075,104.075,103.957,104.063,1382
2016.11.02,00:00,104.062,104.062,103.984,104.018,1106
2016.11.02,00:30,104.018,104.021,103.958,103.987,1945
2016.11.02,01:00,103.987,104.04,103.986,104.006,1383
2016.11.02,01:30,104.007,104.115,104.002,104.076,1568
2016.11.02,02:00,104.088,104.123,103.956,104.083,3184
2016.11.02,02:30,104.082,104.162,104.055,104.062,2926
2016.11.02,03:00,104.061,104.087,103.909,103.932,3877
2016.11.02,03:30,103.932,103.974,103.844,103.883,4106
2016.11.02,04:00,103.882,103.889,103.735,103.767,3857
2016.11.02,04:30,103.766,103.776,103.659,103.704,3092
2016.11.02,05:00,103.705,103.776,103.674,103.756,2590
2016.11.02,05:30,103.755,103.85,103.702,103.78,2695
2016.11.02,06:00,103.778,103.851,103.755,103.757,2581
2016.11.02,06:30,103.757,103.77,103.619,103.677,2492
2016.11.02,07:00,103.679,103.794,103.679,103.785,2211
2016.11.02,07:30,103.784,103.898,103.762,103.832,2867
2016.11.02,08:00,103.831,103.846,103.747,103.792,2231
2016.11.02,08:30,103.792,103.866,103.788,103.855,2471
2016.11.02,09:00,103.855,103.928,103.791,103.796,3367
2016.11.02,09:30,103.795,103.8,103.632,103.653,3700
2016.11.02,10:00,103.651,103.652,103.469,103.541,6083
2016.11.02,10:30,103.541,103.667,103.469,103.654,3933
2016.11.02,11:00,103.654,103.713,103.615,103.617,3719
2016.11.02,11:30,103.618,103.634,103.436,103.521,4543
2016.11.02,12:00,103.521,103.555,103.475,103.481,3057
