date,ignore,open,high,low,close,volume
2016.11.28,00:00,0.95004,0.95301,0.94983,0.95282,361
2016.11.28,00:30,0.95286,0.95294,0.95102,0.95142,549
2016.11.28,01:00,0.95151,0.95305,0.95144,0.9526,999
2016.11.28,01:30,0.9526,0.95275,0.9517,0.95255,866
2016.11.28,02:00,0.95255,0.95288,0.95219,0.95237,1154
2016.11.28,02:30,0.95239,0.95361,0.95234,0.95287,1419
2016.11.28,03:00,0.95286,0.9529,0.95192,0.95194,1602
2016.11.28,03:30,0.95194,0.95298,0.95172,0.95294,1606
2016.11.28,04:00,0.95297,0.9538,0.95229,0.95372,2096
2016.11.28,04:30,0.95371,0.95458,0.95328,0.95443,1947
2016.11.28,05:00,0.95445,0.9546,0.95293,0.95317,1281
2016.11.28,05:30,0.95318,0.95455,0.95318,0.954,1115
2016.11.28,06:00,0.95402,0.95527,0.95373,0.95504,1221
2016.11.28,06:30,0.95503,0.95514,0.95451,0.9546,1074
2016.11.28,07:00,0.95458,0.95516,0.95435,0.95504,769
2016.11.28,07:30,0.95502,0.95539,0.95401,0.95404,1230
2016.11.28,08:00,0.95406,0.95489,0.95378,0.95465,1235
2016.11.28,08:30,0.95465,0.95538,0.95435,0.95514,1219
2016.11.28,09:00,0.95514,0.95547,0.9546,0.95541,1457
2016.11.28,09:30,0.95541,0.95633,0.9553,0.95633,1833
2016.11.28,10:00,0.95636,0.95676,0.95573,0.95621,1911
2016.11.28,10:30,0.95621,0.95636,0.95534,0.95534,1903
2016.11.28,11:00,0.95534,0.95559,0.95482,0.95546,2210
2016.11.28,11:30,0.95547,0.9555,0.95428,0.95457,1726
2016.11.28,12:00,0.95456,0.95457,0.95232,0.95289,1496
2016.11.28,12:30,0.95287,0.95335,0.95236,0.95296,1465
2016.11.28,13:00,0.95296,0.95335,0.95279,0.9529,1746
2016.11.28,13:30,0.95291,0.95309,0.95246,0.95273,1855
2016.11.28,14:00,0.95274,0.95282,0.95177,0.95226,1860
2016.11.28,14:30,0.95227,0.95234,0.95013,0.95021,2165
2016.11.28,15:00,0.95021,0.95121,0.94807,0.94926,2474
2016.11.28,15:30,0.94927,0.94931,0.94794,0.94817,2128
2016.11.28,16:00,0.94815,0.94824,0.94654,0.94786,2294
2016.11.28,16:30,0.94783,0.94928,0.94783,0.9491,2347
2016.11.28,17:00,0.94911,0.94925,0.94736,0.94769,2235
2016.11.28,17:30,0.94769,0.94921,0.94737,0.94837,2403
2016.11.28,18:00,0.94839,0.94861,0.94756,0.94818,2371
2016.11.28,18:30,0.94818,0.94837,0.94602,0.94612,1850
2016.11.28,19:00,0.94616,0.94682,0.94594,0.94667,1352
2016.11.28,19:30,0.94667,0.94711,0.94625,0.9467,1314
2016.11.28,20:00,0.94659,0.94739,0.94659,0.94732,1061
2016.11.28,20:30,0.94734,0.94839,0.94734,0.94839,733
2016.11.28,21:00,0.94839,0.94909,0.94827,0.94886,886
2016.11.28,21:30,0.94886,0.94894,0.94818,0.94839,976
2016.11.28,22:00,0.94839,0.94894,0.94812,0.94868,979
2016.11.28,22:30,0.94868,0.94879,0.94795,0.94867,891
2016.11.28,23:00,0.94867,0.94874,0.94804,0.94812,578
2016.11.28,23:30,0.9481,0.94867,0.94773,0.9484,930
2016.11.29,00:00,0.94795,0.94868,0.94777,0.94859,307
2016.11.29,00:30,0.9486,0.94904,0.94846,0.9488,317
2016.11.29,01:00,0.94897,0.94925,0.94839,0.94893,760
2016.11.29,01:30,0.94891,0.94961,0.94887,0.94943,656
2016.11.29,02:00,0.94944,0.94949,0.94853,0.94873,968
2016.11.29,02:30,0.94873,0.94951,0.94863,0.94911,1033
2016.11.29,03:00,0.94911,0.94915,0.94778,0.94858,1072
2016.11.29,03:30,0.94858,0.94929,0.94802,0.94914,859
2016.11.29,04:00,0.94914,0.9496,0.94891,0.94952,776
2016.11.29,04:30,0.94951,0.9499,0.94929,0.9495,959
2016.11.29,05:00,0.94949,0.94966,0.94862,0.94939,969
2016.11.29,05:30,0.94939,0.95036,0.94937,0.95009,1046
2016.11.29,06:00,0.9501,0.95073,0.94988,0.95057,902
2016.11.29,06:30,0.95057,0.95103,0.94981,0.95081,1188
2016.11.29,07:00,0.95081,0.95097,0.95034,0.95081,884
2016.11.29,07:30,0.95081,0.95148,0.95068,0.95131,1004
2016.11.29,08:00,0.95128,0.95159,0.9507,0.951,797
2016.11.29,08:30,0.95098,0.95113,0.95039,0.95093,1220
2016.11.29,09:00,0.95094,0.95122,0.9506,0.95093,1487
2016.11.29,09:30,0.95096,0.9517,0.95079,0.95154,1578
2016.11.29,10:00,0.95157,0.95372,0.95138,0.95362,1662
2016.11.29,10:30,0.95362,0.95362,0.95264,0.95301,1662
2016.11.29,11:00,0.95301,0.95315,0.95194,0.95247,1748
2016.11.29,11:30,0.95248,0.95376,0.95237,0.95337,1513
2016.11.29,12:00,0.95336,0.95351,0.9526,0.95319,1614
2016.11.29,12:30,0.95321,0.95414,0.95316,0.9541,1524
2016.11.29,13:00,0.9541,0.95475,0.95405,0.95447,1471
2016.11.29,13:30,0.95447,0.95472,0.95381,0.95438,1413
2016.11.29,14:00,0.95438,0.95526,0.95396,0.95526,1874
2016.11.29,14:30,0.95526,0.95556,0.95433,0.95468,2040
2016.11.29,15:00,0.95471,0.95485,0.95284,0.95284,2069
2016.11.29,15:30,0.95296,0.9546,0.95209,0.95331,2962
2016.11.29,16:00,0.9533,0.95578,0.95263,0.95514,2605
2016.11.29,16:30,0.95513,0.95614,0.95464,0.95469,2672
2016.11.29,17:00,0.95464,0.95795,0.95464,0.95716,3115
2016.11.29,17:30,0.95712,0.95803,0.95637,0.95644,2573
2016.11.29,18:00,0.95654,0.95725,0.95564,0.95605,2569
2016.11.29,18:30,0.95605,0.95668,0.95585,0.95609,1918
2016.11.29,19:00,0.95612,0.95669,0.95566,0.9562,1990
2016.11.29,19:30,0.9562,0.9566,0.95574,0.95622,1639
2016.11.29,20:00,0.95627,0.957,0.95596,0.95616,1497
2016.11.29,20:30,0.95615,0.95648,0.95547,0.95613,1256
2016.11.29,21:00,0.95613,0.9562,0.95563,0.95594,1375
2016.11.29,21:30,0.95594,0.95678,0.95586,0.95663,1350
2016.11.29,22:00,0.95663,0.95689,0.95607,0.95672,1365
2016.11.29,22:30,0.95672,0.95733,0.95672,0.95726,1185
2016.11.29,23:00,0.95725,0.9579,0.95693,0.95768,632
2016.11.29,23:30,0.95768,0.95797,0.9564,0.9564,742
2016.11.30,00:00,0.95644,0.95797,0.95644,0.95752,200
2016.11.30,00:30,0.95753,0.95794,0.95736,0.95752,359
2016.11.30,01:00,0.95756,0.95831,0.95756,0.95793,662
2016.11.30,01:30,0.95795,0.95837,0.95767,0.95816,467
2016.11.30,02:00,0.95817,0.95937,0.95807,0.95907,960
2016.11.30,02:30,0.95907,0.95923,0.95792,0.95919,942
2016.11.30,03:00,0.95919,0.95936,0.95869,0.95905,1066
2016.11.30,03:30,0.95905,0.96094,0.95901,0.96054,978
2016.11.30,04:00,0.96056,0.96114,0.96042,0.96073,822
2016.11.30,04:30,0.96073,0.96107,0.96039,0.96054,804
2016.11.30,05:00,0.96054,0.96101,0.96021,0.96052,1417
2016.11.30,05:30,0.96052,0.9608,0.96028,0.96063,973
2016.11.30,06:00,0.96063,0.96075,0.9598,0.96003,997
2016.11.30,06:30,0.96002,0.96014,0.95896,0.95998,1197
2016.11.30,07:00,0.95998,0.96033,0.95951,0.96005,945
2016.11.30,07:30,0.96001,0.9602,0.95951,0.95951,742
2016.11.30,08:00,0.95951,0.95964,0.95893,0.95954,1140
2016.11.30,08:30,0.95957,0.96004,0.95882,0.95926,1148
2016.11.30,09:00,0.95918,0.96057,0.95906,0.96044,1232
2016.11.30,09:30,0.96045,0.96189,0.96016,0.96185,1442
2016.11.30,10:00,0.96187,0.96313,0.96115,0.96247,2285
2016.11.30,10:30,0.96247,0.96253,0.96071,0.96094,2480
2016.11.30,11:00,0.9609,0.96166,0.95913,0.95921,2336
2016.11.30,11:30,0.95923,0.95988,0.95909,0.95913,1778
2016.11.30,12:00,0.95911,0.96048,0.95895,0.95974,1624
2016.11.30,12:30,0.95977,0.9598,0.9578,0.958,2086
2016.11.30,13:00,0.95798,0.958,0.95599,0.95605,1843
2016.11.30,13:30,0.95604,0.95626,0.95383,0.95393,1884
2016.11.30,14:00,0.95393,0.95441,0.95223,0.95265,2149
2016.11.30,14:30,0.9526,0.95472,0.95199,0.95394,2137
2016.11.30,15:00,0.95393,0.95511,0.95291,0.95412,2371
2016.11.30,15:30,0.95414,0.95438,0.95236,0.95311,2601
2016.11.30,16:00,0.9531,0.95382,0.95071,0.95342,3065
2016.11.30,16:30,0.95346,0.95346,0.95146,0.95215,3250
2016.11.30,17:00,0.9521,0.95348,0.95137,0.95285,3206
2016.11.30,17:30,0.95293,0.95373,0.95247,0.95307,3217
2016.11.30,18:00,0.95303,0.95385,0.94985,0.95204,3846
2016.11.30,18:30,0.95205,0.95247,0.95024,0.95034,2948
2016.11.30,19:00,0.95033,0.95092,0.94987,0.95003,2090
2016.11.30,19:30,0.95004,0.95043,0.94939,0.94945,1804
2016.11.30,20:00,0.94945,0.95094,0.94945,0.9507,1724
2016.11.30,20:30,0.95071,0.95134,0.95062,0.95084,1396
2016.11.30,21:00,0.95084,0.95176,0.95051,0.95053,1572
2016.11.30,21:30,0.95053,0.95145,0.94999,0.95025,1415
2016.11.30,22:00,0.95027,0.95113,0.94992,0.95094,1335
2016.11.30,22:30,0.95094,0.9517,0.95068,0.95068,1266
2016.11.30,23:00,0.95069,0.9511,0.95043,0.9506,733
2016.11.30,23:30,0.95059,0.9515,0.95032,0.95116,945
2016.12.01,00:00,0.95064,0.95132,0.9501,0.95116,280
2016.12.01,00:30,0.95117,0.9518,0.95099,0.95145,330
2016.12.01,01:00,0.95145,0.95176,0.95047,0.95079,860
2016.12.01,01:30,0.95075,0.95101,0.9498,0.95003,1166
2016.12.01,02:00,0.95002,0.95121,0.94973,0.95044,1375
2016.12.01,02:30,0.95044,0.95113,0.95017,0.95062,1101
2016.12.01,03:00,0.95061,0.95143,0.9491,0.94943,1442
2016.12.01,03:30,0.94945,0.95018,0.94906,0.94951,1257
2016.12.01,04:00,0.94949,0.94961,0.94872,0.94886,1042
2016.12.01,04:30,0.94886,0.94957,0.94866,0.9493,964
2016.12.01,05:00,0.94929,0.94952,0.9485,0.94893,955
2016.12.01,05:30,0.94891,0.94963,0.94884,0.94919,922
2016.12.01,06:00,0.9492,0.95031,0.94907,0.95025,834
2016.12.01,06:30,0.95026,0.95053,0.95006,0.95045,788
2016.12.01,07:00,0.95045,0.95054,0.94983,0.95017,1225
2016.12.01,07:30,0.95019,0.95034,0.94962,0.94981,1019
2016.12.01,08:00,0.9498,0.95069,0.94923,0.95052,1307
2016.12.01,08:30,0.95051,0.95063,0.94972,0.95002,1010
2016.12.01,09:00,0.95004,0.95019,0.9495,0.95004,1310
2016.12.01,09:30,0.95004,0.95006,0.94909,0.94932,1810
2016.12.01,10:00,0.94933,0.9504,0.9493,0.95006,1782
2016.12.01,10:30,0.95007,0.9518,0.94989,0.95167,1817
2016.12.01,11:00,0.95167,0.95204,0.95029,0.95029,1870
2016.12.01,11:30,0.95029,0.95079,0.94985,0.95029,1694
2016.12.01,12:00,0.95028,0.9504,0.94939,0.95033,1628
2016.12.01,12:30,0.95033,0.95049,0.94924,0.94952,1542
