date,ignore,open,high,low,close,volume
2017.01.16,0:00,121.153,121.659,121.153,121.407,1398
2017.01.16,0:30,121.407,121.58,121.405,121.529,1750
2017.01.16,1:00,121.529,121.664,121.323,121.388,5654
2017.01.16,1:30,121.387,121.415,121.297,121.386,3627
2017.01.16,2:00,121.385,121.498,121.35,121.454,4591
2017.01.16,2:30,121.455,121.64,121.409,121.52,4250
2017.01.16,3:00,121.521,121.567,121.436,121.479,4534
2017.01.16,3:30,121.479,121.527,121.384,121.411,4951
2017.01.16,4:00,121.413,121.424,121.181,121.181,5053
2017.01.16,4:30,121.179,121.222,121.095,121.179,5725
2017.01.16,5:00,121.179,121.214,121.136,121.191,4217
2017.01.16,5:30,121.191,121.207,121.092,121.107,4460
2017.01.16,6:00,121.107,121.218,121.094,121.218,4170
2017.01.16,6:30,121.218,121.241,121.139,121.139,4204
2017.01.16,7:00,121.138,121.193,121.005,121.073,5124
2017.01.16,7:30,121.074,121.15,121.057,121.09,4790
2017.01.16,8:00,121.091,121.147,120.982,120.99,5897
2017.01.16,8:30,120.989,121.028,120.769,120.849,5912
2017.01.16,9:00,120.849,120.898,120.755,120.801,6137
2017.01.16,9:30,120.803,121.121,120.802,121.073,5403
2017.01.16,10:00,121.07,121.073,120.789,120.808,7351
2017.01.16,10:30,120.808,120.987,120.785,120.875,6075
2017.01.16,11:00,120.878,121.054,120.867,120.962,6062
2017.01.16,11:30,120.962,121.17,120.961,120.985,5858
2017.01.16,12:00,120.987,120.991,120.881,120.963,5016
2017.01.16,12:30,120.964,120.997,120.897,120.963,4224
2017.01.16,13:00,120.963,121.037,120.913,120.947,4601
2017.01.16,13:30,120.946,120.971,120.844,120.87,4724
2017.01.16,14:00,120.869,120.933,120.843,120.908,3908
2017.01.16,14:30,120.908,120.937,120.865,120.879,4116
2017.01.16,15:00,120.883,120.972,120.87,120.92,3876
2017.01.16,15:30,120.921,120.947,120.889,120.915,3541
2017.01.16,16:00,120.915,120.961,120.889,120.89,4259
2017.01.16,16:30,120.887,120.964,120.869,120.903,4012
2017.01.16,17:00,120.903,120.914,120.818,120.9,4177
2017.01.16,17:30,120.9,121.031,120.854,121.002,4308
2017.01.16,18:00,121.002,121.04,120.881,120.91,4371
