date,ignore,open,high,low,close,volume
2017.05.08,00:00,0.73174,0.73277,0.7314,0.73268,686
2017.05.08,00:30,0.73268,0.73298,0.73164,0.73221,763
2017.05.08,01:00,0.7322,0.73299,0.7318,0.73277,1695
2017.05.08,01:30,0.73278,0.7332,0.73265,0.73304,1255
2017.05.08,02:00,0.73304,0.73352,0.73296,0.73319,1362
2017.05.08,02:30,0.73319,0.73397,0.7331,0.73391,2058
2017.05.08,03:00,0.73391,0.73393,0.73246,0.73259,3065
2017.05.08,03:30,0.73259,0.73329,0.73259,0.73281,2215
2017.05.08,04:00,0.73281,0.733,0.73241,0.73248,2042
2017.05.08,04:30,0.73249,0.73249,0.73088,0.73118,2706
2017.05.08,05:00,0.73119,0.73145,0.73108,0.73135,1434
2017.05.08,05:30,0.73135,0.73203,0.73127,0.73194,1673
2017.05.08,06:00,0.73195,0.73214,0.73156,0.73177,1625
2017.05.08,06:30,0.73178,0.73224,0.73157,0.73205,1395
2017.05.08,07:00,0.73204,0.73275,0.73196,0.73261,1205
2017.05.08,07:30,0.73262,0.73297,0.73245,0.73272,1922
2017.05.08,08:00,0.73272,0.73295,0.73247,0.73268,1503
2017.05.08,08:30,0.73265,0.73326,0.73216,0.73277,2726
2017.05.08,09:00,0.73276,0.73315,0.73227,0.73256,2982
2017.05.08,09:30,0.73256,0.7335,0.73227,0.73309,2653
2017.05.08,10:00,0.73311,0.73384,0.73268,0.73334,3813
2017.05.08,10:30,0.73334,0.73398,0.73261,0.73377,3332
2017.05.08,11:00,0.73377,0.73568,0.73372,0.73463,3093
2017.05.08,11:30,0.73463,0.73498,0.73424,0.73483,2376
2017.05.08,12:00,0.73484,0.73519,0.73452,0.73461,2658
2017.05.08,12:30,0.73461,0.7363,0.73451,0.73617,2876
2017.05.08,13:00,0.73617,0.73653,0.73579,0.73597,2627
2017.05.08,13:30,0.736,0.73621,0.73513,0.73542,2016
2017.05.08,14:00,0.73542,0.73619,0.73526,0.73559,2217
2017.05.08,14:30,0.73558,0.7356,0.73518,0.7353,2348
2017.05.08,15:00,0.73529,0.73562,0.73505,0.73544,3055
2017.05.08,15:30,0.73543,0.73547,0.73444,0.73506,3140
2017.05.08,16:00,0.73506,0.73583,0.73495,0.7358,3102
2017.05.08,16:30,0.73581,0.73704,0.73541,0.73648,4739
2017.05.08,17:00,0.73647,0.73712,0.73629,0.73656,3627
2017.05.08,17:30,0.73656,0.73723,0.73622,0.73645,3730
2017.05.08,18:00,0.73645,0.73685,0.73606,0.7361,3549
2017.05.08,18:30,0.73611,0.73688,0.7361,0.73687,2699
2017.05.08,19:00,0.73687,0.73723,0.73656,0.73708,1793
2017.05.08,19:30,0.73708,0.73722,0.73658,0.73717,2022
