date,ignore,open,high,low,close,volume
2018.07.02,00:00,111.575,111.838,111.415,111.777,1200
2018.07.02,00:30,111.777,111.777,111.305,111.614,2602
2018.07.02,01:00,111.638,111.775,111.638,111.716,7505
2018.07.02,01:30,111.716,111.784,111.705,111.745,2658
2018.07.02,02:00,111.745,111.791,111.733,111.775,882
2018.07.02,02:30,111.777,111.833,111.76,111.808,848
2018.07.02,03:00,111.808,111.832,111.75,111.768,1573
2018.07.02,03:30,111.768,111.847,111.747,111.831,1481
2018.07.02,04:00,111.83,111.977,111.815,111.9,2996
2018.07.02,04:30,111.899,111.923,111.881,111.896,1169
2018.07.02,05:00,111.894,111.977,111.866,111.964,1310
2018.07.02,05:30,111.962,111.974,111.874,111.907,870
2018.07.02,06:00,111.907,111.907,111.859,111.866,412
2018.07.02,06:30,111.866,111.874,111.749,111.771,939
2018.07.02,07:00,111.771,111.797,111.669,111.701,1330
2018.07.02,07:30,111.702,111.723,111.653,111.665,876
2018.07.02,08:00,111.665,111.665,111.525,111.545,2166
2018.07.02,08:30,111.545,111.616,111.479,111.513,1892
2018.07.02,09:00,111.513,111.597,111.485,111.583,1907
2018.07.02,09:30,111.585,111.655,111.583,111.639,2116
2018.07.02,10:00,111.636,111.645,111.527,111.601,3831
2018.07.02,10:30,111.601,111.618,111.471,111.595,5043
2018.07.02,11:00,111.594,111.684,111.564,111.587,4413
2018.07.02,11:30,111.587,111.812,111.587,111.74,3491
2018.07.02,12:00,111.739,111.783,111.598,111.62,3103
2018.07.02,12:30,111.62,111.644,111.571,111.604,2476
2018.07.02,13:00,111.604,111.622,111.556,111.575,1848
2018.07.02,13:30,111.575,111.633,111.561,111.573,2395
2018.07.02,14:00,111.573,111.573,111.496,111.504,1594
2018.07.02,14:30,111.504,111.526,111.44,111.465,1276
2018.07.02,15:00,111.465,111.486,111.419,111.469,2439
2018.07.02,15:30,111.47,111.475,111.349,111.361,2729
2018.07.02,16:00,111.361,111.383,111.314,111.364,3169
2018.07.02,16:30,111.363,111.366,111.253,111.256,3403
2018.07.02,17:00,111.256,111.333,111.182,111.193,3698
2018.07.02,17:30,111.193,111.417,111.19,111.315,4153
2018.07.02,18:00,111.315,111.38,111.259,111.301,3544
2018.07.02,18:30,111.302,111.322,111.262,111.313,2358
2018.07.02,19:00,111.311,111.378,111.291,111.375,2000
2018.07.02,19:30,111.375,111.384,111.32,111.332,1747
2018.07.02,20:00,111.332,111.421,111.318,111.392,1209
2018.07.02,20:30,111.392,111.482,111.388,111.464,1684
2018.07.02,21:00,111.464,111.486,111.443,111.452,1629
2018.07.02,21:30,111.452,111.475,111.417,111.453,893
2018.07.02,22:00,111.453,111.501,111.436,111.49,1489
2018.07.02,22:30,111.49,111.513,111.467,111.513,1120
2018.07.02,23:00,111.51,111.595,111.493,111.542,1260
2018.07.02,23:30,111.54,111.615,111.539,111.592,1685
2018.07.03,00:00,111.557,111.647,111.462,111.536,3179
2018.07.03,00:30,111.536,111.583,111.457,111.508,5969
2018.07.03,01:00,111.525,111.588,111.509,111.583,579
2018.07.03,01:30,111.583,111.585,111.533,111.537,217
2018.07.03,02:00,111.539,111.595,111.534,111.584,270
2018.07.03,02:30,111.584,111.616,111.572,111.611,687
2018.07.03,03:00,111.612,111.659,111.586,111.614,2048
2018.07.03,03:30,111.614,111.656,111.573,111.613,1550
2018.07.03,04:00,111.613,111.733,111.603,111.606,2526
2018.07.03,04:30,111.606,111.614,111.343,111.459,3431
2018.07.03,05:00,111.459,111.582,111.385,111.54,2240
2018.07.03,05:30,111.54,111.568,111.454,111.481,2166
2018.07.03,06:00,111.482,111.504,111.396,111.466,1348
2018.07.03,06:30,111.466,111.48,111.419,111.443,1017
2018.07.03,07:00,111.443,111.495,111.418,111.478,1013
2018.07.03,07:30,111.478,111.488,111.427,111.443,1444
2018.07.03,08:00,111.443,111.482,111.394,111.482,1542
2018.07.03,08:30,111.478,111.642,111.463,111.613,3393
2018.07.03,09:00,111.614,111.694,111.572,111.653,3405
2018.07.03,09:30,111.653,111.713,111.63,111.666,4228
2018.07.03,10:00,111.667,111.833,111.666,111.71,6863
2018.07.03,10:30,111.71,111.918,111.67,111.912,5309
2018.07.03,11:00,111.913,111.938,111.709,111.731,4503
2018.07.03,11:30,111.733,111.807,111.676,111.683,3941
2018.07.03,12:00,111.683,111.703,111.63,111.667,2351
2018.07.03,12:30,111.667,111.787,111.65,111.683,2763
2018.07.03,13:00,111.685,111.725,111.583,111.605,2501
2018.07.03,13:30,111.605,111.611,111.555,111.591,1754
2018.07.03,14:00,111.591,111.598,111.472,111.547,1420
2018.07.03,14:30,111.547,111.67,111.535,111.658,1489
2018.07.03,15:00,111.655,111.67,111.471,111.52,3423
2018.07.03,15:30,111.52,111.557,111.432,111.497,2833
2018.07.03,16:00,111.497,111.518,111.468,111.489,2337
2018.07.03,16:30,111.489,111.545,111.453,111.479,3513
2018.07.03,17:00,111.48,111.513,111.418,111.493,2877
2018.07.03,17:30,111.494,111.529,111.362,111.449,3941
2018.07.03,18:00,111.45,111.465,111.409,111.443,2438
2018.07.03,18:30,111.443,111.464,111.357,111.392,2347
2018.07.03,19:00,111.393,111.452,111.366,111.384,2498
2018.07.03,19:30,111.384,111.402,111.318,111.356,1673
2018.07.03,20:00,111.356,111.437,111.335,111.437,902
2018.07.03,20:30,111.437,111.469,111.424,111.449,377
2018.07.03,21:00,111.449,111.495,111.449,111.462,346
2018.07.03,21:30,111.462,111.481,111.456,111.466,440
2018.07.03,22:00,111.466,111.473,111.386,111.412,376
2018.07.03,22:30,111.412,111.431,111.402,111.41,309
2018.07.03,23:00,111.41,111.432,111.381,111.414,203
2018.07.03,23:30,111.414,111.432,111.376,111.378,1458
2018.07.04,00:00,111.378,111.409,111.33,111.386,2816
2018.07.04,00:30,111.381,111.461,111.325,111.396,7452
2018.07.04,01:00,111.398,111.442,111.391,111.412,269
2018.07.04,01:30,111.412,111.416,111.329,111.383,326
2018.07.04,02:00,111.383,111.405,111.367,111.379,539
2018.07.04,02:30,111.379,111.379,111.276,111.295,596
2018.07.04,03:00,111.295,111.386,111.263,111.373,1088
2018.07.04,03:30,111.373,111.4,111.279,111.313,1132
2018.07.04,04:00,111.313,111.376,111.301,111.356,1579
2018.07.04,04:30,111.356,111.475,111.345,111.384,3184
2018.07.04,05:00,111.384,111.384,111.319,111.37,1595
2018.07.04,05:30,111.37,111.4,111.332,111.387,1300
2018.07.04,06:00,111.387,111.389,111.343,111.366,1008
2018.07.04,06:30,111.368,111.392,111.358,111.386,822
2018.07.04,07:00,111.39,111.402,111.343,111.355,597
2018.07.04,07:30,111.357,111.366,111.304,111.327,820
2018.07.04,08:00,111.326,111.363,111.31,111.335,988
2018.07.04,08:30,111.335,111.349,111.278,111.303,1045
2018.07.04,09:00,111.304,111.356,111.283,111.344,1636
2018.07.04,09:30,111.344,111.373,111.324,111.358,2506
2018.07.04,10:00,111.358,111.384,111.313,111.377,2251
2018.07.04,10:30,111.377,111.459,111.349,111.358,2849
2018.07.04,11:00,111.358,111.378,111.258,111.281,3263
2018.07.04,11:30,111.281,111.352,111.261,111.263,1954
2018.07.04,12:00,111.263,111.314,111.246,111.286,1896
2018.07.04,12:30,111.286,111.291,111.218,111.247,1250
2018.07.04,13:00,111.247,111.281,111.237,111.267,982
2018.07.04,13:30,111.267,111.287,111.25,111.272,1410
2018.07.04,14:00,111.272,111.289,111.243,111.249,1203
2018.07.04,14:30,111.249,111.289,111.248,111.269,771
2018.07.04,15:00,111.269,111.33,111.258,111.305,1432
2018.07.04,15:30,111.305,111.344,111.298,111.342,1734
2018.07.04,16:00,111.342,111.374,111.332,111.353,1842
2018.07.04,16:30,111.353,111.361,111.246,111.318,1883
2018.07.04,17:00,111.318,111.318,111.235,111.27,1799
2018.07.04,17:30,111.27,111.308,111.217,111.303,2111
2018.07.04,18:00,111.301,111.318,111.22,111.244,1408
2018.07.04,18:30,111.244,111.244,111.184,111.194,722
2018.07.04,19:00,111.194,111.324,111.182,111.301,1183
2018.07.04,19:30,111.301,111.331,111.276,111.305,781
2018.07.04,20:00,111.305,111.323,111.261,111.303,1340
2018.07.04,20:30,111.305,111.386,111.289,111.34,7437
2018.07.04,21:00,111.338,111.372,111.317,111.342,6718
2018.07.04,21:30,111.34,111.359,111.304,111.317,3027
2018.07.04,22:00,111.317,111.374,111.292,111.341,3925
2018.07.04,22:30,111.341,111.372,111.299,111.318,6976
2018.07.04,23:00,111.317,111.343,111.229,111.268,8331
2018.07.04,23:30,111.268,111.317,111.162,111.162,12598
2018.07.05,00:00,111.122,111.284,111.121,111.248,1666
2018.07.05,00:30,111.253,111.289,111.12,111.189,8158
2018.07.05,01:00,111.189,111.336,111.16,111.32,860
2018.07.05,01:30,111.32,111.32,111.288,111.294,187
2018.07.05,02:00,111.294,111.321,111.283,111.298,319
2018.07.05,02:30,111.298,111.356,111.286,111.34,404
2018.07.05,03:00,111.343,111.425,111.306,111.391,1371
2018.07.05,03:30,111.39,111.422,111.24,111.277,2681
2018.07.05,04:00,111.277,111.288,111.107,111.146,3349
2018.07.05,04:30,111.146,111.187,111.071,111.095,2937
2018.07.05,05:00,111.095,111.163,111.07,111.135,1535
2018.07.05,05:30,111.135,111.202,111.112,111.162,830
2018.07.05,06:00,111.162,111.169,111.036,111.058,1383
2018.07.05,06:30,111.058,111.07,111.001,111.055,2381
2018.07.05,07:00,111.053,111.089,111.03,111.038,1502
2018.07.05,07:30,111.038,111.12,111.034,111.087,1284
2018.07.05,08:00,111.087,111.15,111.04,111.145,1932
2018.07.05,08:30,111.144,111.531,111.141,111.524,4164
2018.07.05,09:00,111.524,111.566,111.455,111.465,2929
2018.07.05,09:30,111.464,111.571,111.463,111.515,4061
2018.07.05,10:00,111.516,111.608,111.477,111.516,4570
2018.07.05,10:30,111.517,111.61,111.511,111.536,3001
2018.07.05,11:00,111.536,111.543,111.389,111.405,3626
2018.07.05,11:30,111.404,111.448,111.38,111.409,3047
2018.07.05,12:00,111.409,111.425,111.341,111.38,1873
2018.07.05,12:30,111.38,111.513,111.379,111.452,2665
2018.07.05,13:00,111.45,111.486,111.43,111.463,1848
2018.07.05,13:30,111.463,111.512,111.443,111.498,1818
2018.07.05,14:00,111.498,111.568,111.473,111.547,2169
2018.07.05,14:30,111.547,111.631,111.533,111.623,1822
2018.07.05,15:00,111.623,111.665,111.503,111.506,3838
2018.07.05,15:30,111.506,111.541,111.469,111.484,3116
2018.07.05,16:00,111.484,111.488,111.373,111.421,2815
2018.07.05,16:30,111.421,111.489,111.372,111.408,3752
2018.07.05,17:00,111.408,111.473,111.387,111.41,5043
2018.07.05,17:30,111.41,111.481,111.362,111.461,3909
2018.07.05,18:00,111.461,111.489,111.411,111.454,3729
2018.07.05,18:30,111.454,111.503,111.404,111.418,2556
2018.07.05,19:00,111.418,111.466,111.412,111.418,2455
2018.07.05,19:30,111.419,111.445,111.403,111.415,1737
2018.07.05,20:00,111.415,111.444,111.389,111.405,1093
2018.07.05,20:30,111.404,111.42,111.316,111.353,1435
2018.07.05,21:00,111.358,111.434,111.223,111.362,3703
2018.07.05,21:30,111.361,111.363,111.292,111.323,1381
2018.07.05,22:00,111.323,111.365,111.31,111.352,987
2018.07.05,22:30,111.352,111.391,111.345,111.369,749
2018.07.05,23:00,111.37,111.397,111.343,111.365,282
2018.07.05,23:30,111.365,111.393,111.188,111.188,1269
2018.07.06,00:00,111.203,111.453,111.027,111.408,2546
2018.07.06,00:30,111.408,111.452,111.166,111.351,7774
2018.07.06,01:00,111.351,111.412,111.274,111.37,534
2018.07.06,01:30,111.368,111.395,111.364,111.383,199
2018.07.06,02:00,111.383,111.4,111.364,111.375,227
2018.07.06,02:30,111.375,111.383,111.295,111.313,396
2018.07.06,03:00,111.313,111.344,111.284,111.316,1242
2018.07.06,03:30,111.316,111.451,111.308,111.418,1539
2018.07.06,04:00,111.418,111.42,111.316,111.341,1421
2018.07.06,04:30,111.342,111.398,111.328,111.362,2673
2018.07.06,05:00,111.364,111.386,111.304,111.376,1890
2018.07.06,05:30,111.376,111.402,111.336,111.34,1561
2018.07.06,06:00,111.34,111.344,111.3,111.335,1186
2018.07.06,06:30,111.334,111.376,111.318,111.376,873
2018.07.06,07:00,111.376,111.467,111.259,111.433,2070
2018.07.06,07:30,111.435,111.486,111.367,111.369,1527
2018.07.06,08:00,111.369,111.483,111.338,111.48,1790
2018.07.06,08:30,111.48,111.51,111.432,111.501,1266
2018.07.06,09:00,111.501,111.612,111.483,111.517,2375
2018.07.06,09:30,111.517,111.543,111.466,111.494,2885
2018.07.06,10:00,111.495,111.518,111.349,111.365,3514
2018.07.06,10:30,111.365,111.42,111.31,111.355,3494
2018.07.06,11:00,111.355,111.458,111.338,111.433,1708
2018.07.06,11:30,111.433,111.48,111.381,111.471,1903
2018.07.06,12:00,111.471,111.508,111.429,111.442,2532
2018.07.06,12:30,111.442,111.481,111.418,111.477,2064
2018.07.06,13:00,111.477,111.506,111.456,111.477,1489
2018.07.06,13:30,111.477,111.491,111.417,111.419,1467
2018.07.06,14:00,111.419,111.472,111.404,111.442,1261
2018.07.06,14:30,111.442,111.46,111.431,111.445,821
2018.07.06,15:00,111.445,111.52,111.378,111.423,2619
2018.07.06,15:30,111.423,111.687,111.382,111.632,9107
2018.07.06,16:00,111.633,111.75,111.62,111.708,4654
2018.07.06,16:30,111.708,111.752,111.645,111.665,5402
2018.07.06,17:00,111.665,111.704,111.577,111.626,3449
2018.07.06,17:30,111.626,111.709,111.597,111.66,3766
2018.07.06,18:00,111.66,111.66,111.589,111.591,2612
2018.07.06,18:30,111.591,111.621,111.561,111.571,2847
2018.07.06,19:00,111.571,111.667,111.565,111.634,1875
2018.07.06,19:30,111.634,111.655,111.603,111.62,1806
2018.07.06,20:00,111.62,111.639,111.599,111.603,731
2018.07.06,20:30,111.603,111.62,111.576,111.576,875
2018.07.06,21:00,111.576,111.612,111.559,111.569,788
2018.07.06,21:30,111.569,111.575,111.539,111.547,647
2018.07.06,22:00,111.55,111.552,111.501,111.528,760
2018.07.06,22:30,111.528,111.532,111.478,111.486,714
2018.07.06,23:00,111.486,111.495,111.447,111.454,970
2018.07.06,23:30,111.454,111.605,111.444,111.584,1156
