date,ignore,open,high,low,close,volume
2019.07.01,00:00,1.48743,1.48743,1.48462,1.4868,1170
2019.07.01,00:30,1.48678,1.48761,1.48652,1.48699,955
2019.07.01,01:00,1.48701,1.48739,1.4862,1.48723,1423
2019.07.01,01:30,1.48723,1.48782,1.48716,1.48772,912
2019.07.01,02:00,1.48773,1.48782,1.48736,1.48751,1414
2019.07.01,02:30,1.48751,1.48774,1.48703,1.48703,1144
2019.07.01,03:00,1.48703,1.48716,1.48637,1.48707,1593
2019.07.01,03:30,1.48707,1.48733,1.48657,1.48659,1792
2019.07.01,04:00,1.48658,1.48674,1.486,1.48626,2471
2019.07.01,04:30,1.48626,1.48657,1.48572,1.4864,2852
2019.07.01,05:00,1.4864,1.48713,1.48638,1.48693,1552
2019.07.01,05:30,1.48692,1.48709,1.48656,1.48656,1195
2019.07.01,06:00,1.48657,1.48662,1.48608,1.48621,1339
2019.07.01,06:30,1.48623,1.48687,1.48607,1.4867,1004
2019.07.01,07:00,1.48671,1.48691,1.48638,1.48639,1230
2019.07.01,07:30,1.4864,1.48674,1.48633,1.48635,1061
2019.07.01,08:00,1.48635,1.48647,1.48382,1.48403,3217
2019.07.01,08:30,1.48403,1.48459,1.48375,1.48427,2325
2019.07.01,09:00,1.48427,1.48442,1.48361,1.48427,2147
2019.07.01,09:30,1.48434,1.48448,1.4833,1.48382,2629
2019.07.01,10:00,1.48382,1.48386,1.48228,1.48237,4497
2019.07.01,10:30,1.48235,1.48292,1.48185,1.48255,3744
2019.07.01,11:00,1.48253,1.4838,1.48241,1.48369,3097
2019.07.01,11:30,1.48368,1.48473,1.48348,1.48409,2708
2019.07.01,12:00,1.48408,1.48457,1.48385,1.48417,2395
2019.07.01,12:30,1.48417,1.48425,1.48363,1.48388,1919
2019.07.01,13:00,1.48388,1.48456,1.48378,1.48452,1556
2019.07.01,13:30,1.48452,1.48527,1.48434,1.48519,2236
2019.07.01,14:00,1.48519,1.48741,1.48488,1.48611,3666
2019.07.01,14:30,1.48612,1.4864,1.48565,1.48595,1964
2019.07.01,15:00,1.48594,1.48703,1.48578,1.48686,2581
2019.07.01,15:30,1.48686,1.48739,1.48553,1.48608,2404
2019.07.01,16:00,1.48608,1.48682,1.48512,1.48557,2478
2019.07.01,16:30,1.4856,1.4861,1.48507,1.48513,3221
2019.07.01,17:00,1.48491,1.4864,1.48414,1.48592,5039
2019.07.01,17:30,1.48591,1.48612,1.48346,1.48378,3492
2019.07.01,18:00,1.48378,1.48459,1.48205,1.48452,4159
2019.07.01,18:30,1.48453,1.48459,1.48357,1.48385,3175
2019.07.01,19:00,1.48384,1.48435,1.48314,1.48331,2031
2019.07.01,19:30,1.4833,1.48394,1.48296,1.48383,2214
2019.07.01,20:00,1.48383,1.48433,1.48254,1.48255,2249
2019.07.01,20:30,1.48255,1.48307,1.48226,1.48294,2266
2019.07.01,21:00,1.48294,1.48302,1.48185,1.48201,2298
2019.07.01,21:30,1.48198,1.48292,1.48184,1.48288,1915
2019.07.01,22:00,1.48287,1.48288,1.48226,1.48255,1387
2019.07.01,22:30,1.48255,1.48264,1.48222,1.48238,1266
2019.07.01,23:00,1.48239,1.48256,1.48186,1.48196,714
2019.07.01,23:30,1.48197,1.48213,1.48169,1.48194,714
2019.07.02,00:00,1.48192,1.48261,1.48187,1.48208,380
2019.07.02,00:30,1.48207,1.48245,1.48193,1.48228,595
2019.07.02,01:00,1.48229,1.48258,1.48115,1.4812,545
2019.07.02,01:30,1.48121,1.48179,1.48119,1.48176,654
2019.07.02,02:00,1.48177,1.48234,1.48176,1.48212,876
