date,ignore,open,high,low,close,volume
2020.06.29,00:00,1.06293,1.06373,1.06266,1.06344,147
2020.06.29,00:30,1.06344,1.06384,1.06326,1.06356,163
2020.06.29,01:00,1.06356,1.06375,1.06337,1.06365,366
2020.06.29,01:30,1.06366,1.06387,1.06361,1.06379,296
2020.06.29,02:00,1.06379,1.06387,1.06353,1.06353,275
2020.06.29,02:30,1.06353,1.06394,1.06353,1.06382,300
2020.06.29,03:00,1.06382,1.06395,1.06353,1.06373,646
2020.06.29,03:30,1.06373,1.06413,1.06368,1.06412,595
2020.06.29,04:00,1.06414,1.06483,1.06413,1.0647,901
2020.06.29,04:30,1.0647,1.06477,1.06454,1.06459,658
2020.06.29,05:00,1.0646,1.06477,1.0645,1.06472,462
2020.06.29,05:30,1.06473,1.06518,1.06468,1.06507,614
2020.06.29,06:00,1.06507,1.0652,1.06475,1.06482,444
2020.06.29,06:30,1.06482,1.06488,1.06451,1.06464,476
2020.06.29,07:00,1.06463,1.06488,1.06462,1.06488,455
2020.06.29,07:30,1.06488,1.06502,1.06452,1.06469,702
2020.06.29,08:00,1.06469,1.06528,1.06468,1.06525,676
2020.06.29,08:30,1.06531,1.06577,1.06504,1.06535,792
2020.06.29,09:00,1.06537,1.066,1.0652,1.06596,956
2020.06.29,09:30,1.06595,1.066,1.06524,1.06557,958
2020.06.29,10:00,1.06557,1.06614,1.06552,1.06578,1291
2020.06.29,10:30,1.06581,1.06612,1.06526,1.06527,1148
2020.06.29,11:00,1.06527,1.06534,1.06463,1.06474,865
2020.06.29,11:30,1.06474,1.06557,1.06473,1.06537,708
2020.06.29,12:00,1.06537,1.0656,1.06497,1.06541,877
2020.06.29,12:30,1.06541,1.06582,1.06522,1.06564,864
2020.06.29,13:00,1.06564,1.06583,1.06521,1.06555,1032
2020.06.29,13:30,1.06555,1.06589,1.06553,1.06575,923
2020.06.29,14:00,1.06575,1.06632,1.06565,1.06611,803
2020.06.29,14:30,1.06611,1.06677,1.06602,1.06653,682
2020.06.29,15:00,1.06654,1.06695,1.06634,1.06686,914
2020.06.29,15:30,1.06686,1.06718,1.06659,1.06698,715
2020.06.29,16:00,1.06699,1.06735,1.0669,1.06727,714
2020.06.29,16:30,1.06725,1.0676,1.06649,1.06745,1786
2020.06.29,17:00,1.06745,1.06787,1.06688,1.06748,2120
2020.06.29,17:30,1.06748,1.06863,1.06743,1.06821,2239
2020.06.29,18:00,1.0682,1.06856,1.06792,1.06824,1519
2020.06.29,18:30,1.06824,1.0684,1.06795,1.06797,1085
2020.06.29,19:00,1.06797,1.0688,1.06792,1.06876,947
2020.06.29,19:30,1.06876,1.06957,1.06869,1.06915,904
2020.06.29,20:00,1.06915,1.06918,1.06849,1.06884,815
2020.06.29,20:30,1.06883,1.06938,1.0687,1.06908,667
2020.06.29,21:00,1.06908,1.06928,1.06887,1.06905,510
2020.06.29,21:30,1.06905,1.06927,1.06874,1.06879,491
2020.06.29,22:00,1.06881,1.06913,1.06877,1.06898,505
2020.06.29,22:30,1.06897,1.06921,1.06885,1.06917,544
2020.06.29,23:00,1.06917,1.06922,1.06894,1.06914,557
2020.06.29,23:30,1.06913,1.06936,1.06908,1.06919,713
2020.06.30,00:00,1.06917,1.06944,1.06821,1.06908,335
2020.06.30,00:30,1.06845,1.06928,1.06835,1.06889,370
2020.06.30,01:00,1.06891,1.06962,1.0689,1.06948,294
2020.06.30,01:30,1.06949,1.06976,1.06937,1.06965,318
2020.06.30,02:00,1.06965,1.06971,1.06947,1.06966,300
2020.06.30,02:30,1.06966,1.06986,1.06957,1.06961,518
2020.06.30,03:00,1.06961,1.06977,1.06933,1.06959,455
2020.06.30,03:30,1.06961,1.0698,1.06931,1.06949,583
2020.06.30,04:00,1.06949,1.06973,1.06947,1.06965,462
2020.06.30,04:30,1.06965,1.06972,1.06948,1.06955,353
2020.06.30,05:00,1.06955,1.0697,1.06926,1.06931,343
2020.06.30,05:30,1.06931,1.06946,1.06919,1.06941,381
2020.06.30,06:00,1.06941,1.06972,1.06937,1.06972,295
2020.06.30,06:30,1.06972,1.06972,1.06921,1.06923,335
2020.06.30,07:00,1.06923,1.06954,1.0692,1.06954,340
2020.06.30,07:30,1.06954,1.06955,1.06921,1.06928,412
2020.06.30,08:00,1.06927,1.06953,1.06924,1.06925,292
2020.06.30,08:30,1.06925,1.06926,1.06878,1.06906,501
2020.06.30,09:00,1.06907,1.06916,1.06819,1.06846,958
2020.06.30,09:30,1.06848,1.06848,1.06758,1.06782,928
