date,ignore,open,high,low,close,volume
2020.09.21,0:00,1.76833,1.77272,1.76833,1.77238,209
2020.09.21,0:30,1.77238,1.77289,1.77066,1.77181,355
2020.09.21,1:00,1.77196,1.77484,1.77093,1.77391,931
2020.09.21,1:30,1.77391,1.77394,1.77276,1.77278,1115
2020.09.21,2:00,1.77279,1.77348,1.77274,1.77319,683
2020.09.21,2:30,1.77319,1.77326,1.77245,1.77288,713
2020.09.21,3:00,1.77288,1.77377,1.77209,1.77209,1049
2020.09.21,3:30,1.77209,1.77245,1.77155,1.77211,1060
2020.09.21,4:00,1.77211,1.7736,1.77203,1.77253,1414
2020.09.21,4:30,1.77244,1.77316,1.77207,1.77274,1143
2020.09.21,5:00,1.77273,1.77274,1.77067,1.77119,1443
2020.09.21,5:30,1.77117,1.77117,1.77011,1.7709,1148
2020.09.21,6:00,1.77084,1.77114,1.77018,1.77064,1198
2020.09.21,6:30,1.77063,1.7712,1.77044,1.7706,827
2020.09.21,7:00,1.7706,1.77066,1.76979,1.7701,779
2020.09.21,7:30,1.77011,1.77027,1.76962,1.76992,628
2020.09.21,8:00,1.76992,1.7702,1.76914,1.77019,868
2020.09.21,8:30,1.77017,1.77079,1.77001,1.7704,1115
2020.09.21,9:00,1.7704,1.77071,1.76917,1.77035,1684
2020.09.21,9:30,1.77035,1.77211,1.77021,1.77112,1589
2020.09.21,10:00,1.77112,1.7713,1.76851,1.7693,2855
2020.09.21,10:30,1.76928,1.77138,1.76888,1.77019,3191
2020.09.21,11:00,1.77019,1.77043,1.76544,1.76602,3311
2020.09.21,11:30,1.76594,1.76594,1.76314,1.76429,3348
2020.09.21,12:00,1.76431,1.76769,1.76416,1.76582,2685
2020.09.21,12:30,1.76582,1.7687,1.76564,1.76858,2579
2020.09.21,13:00,1.76858,1.76989,1.76652,1.76963,2468
2020.09.21,13:30,1.76965,1.77026,1.76803,1.76997,2051
2020.09.21,14:00,1.76997,1.77254,1.76941,1.77205,2195
2020.09.21,14:30,1.77205,1.77208,1.76996,1.77091,1934
2020.09.21,15:00,1.77091,1.77312,1.77056,1.77291,2392
2020.09.21,15:30,1.77291,1.77439,1.77217,1.77242,2730
2020.09.21,16:00,1.77242,1.77259,1.7709,1.77204,3409
2020.09.21,16:30,1.77206,1.77589,1.77137,1.77532,4785
2020.09.21,17:00,1.7753,1.77654,1.77426,1.77607,3970
2020.09.21,17:30,1.77612,1.7776,1.77463,1.77542,3982
2020.09.21,18:00,1.77533,1.77655,1.77401,1.77476,2918
2020.09.21,18:30,1.77476,1.77525,1.7737,1.77386,3017
2020.09.21,19:00,1.77387,1.77617,1.77325,1.77569,2389
2020.09.21,19:30,1.77568,1.77615,1.77436,1.77444,2363
2020.09.21,20:00,1.77442,1.77502,1.77269,1.77376,2531
2020.09.21,20:30,1.77376,1.77452,1.77311,1.77355,1636
2020.09.21,21:00,1.77352,1.77404,1.77281,1.77296,1829
2020.09.21,21:30,1.773,1.77535,1.77287,1.77527,1832
2020.09.21,22:00,1.77529,1.77554,1.77343,1.7738,2445
2020.09.21,22:30,1.7738,1.77486,1.77324,1.7745,2499
2020.09.21,23:00,1.7745,1.77456,1.77347,1.7745,954
2020.09.21,23:30,1.7745,1.7745,1.77309,1.77397,715
2020.09.22,0:00,1.77334,1.77377,1.77128,1.77367,373
2020.09.22,0:30,1.77367,1.77483,1.77307,1.77331,834
2020.09.22,1:00,1.77331,1.77422,1.77312,1.7742,974
2020.09.22,1:30,1.7742,1.77432,1.77355,1.77372,869
2020.09.22,2:00,1.77372,1.77412,1.77318,1.77358,653
2020.09.22,2:30,1.77351,1.77382,1.77299,1.77312,614
2020.09.22,3:00,1.77312,1.77328,1.77159,1.77176,1375
2020.09.22,3:30,1.77192,1.7775,1.77166,1.77651,2279
2020.09.22,4:00,1.77652,1.77961,1.77569,1.77663,2260
2020.09.22,4:30,1.77666,1.77702,1.77548,1.77566,1961
2020.09.22,5:00,1.77566,1.7766,1.77494,1.77605,1261
2020.09.22,5:30,1.77605,1.77697,1.77561,1.77635,861
2020.09.22,6:00,1.77633,1.77647,1.77451,1.77474,1155
2020.09.22,6:30,1.77472,1.77526,1.77417,1.77486,726
2020.09.22,7:00,1.77487,1.77532,1.77459,1.775,708
2020.09.22,7:30,1.77502,1.77575,1.77468,1.77565,708
2020.09.22,8:00,1.77567,1.77577,1.77486,1.77532,969
2020.09.22,8:30,1.77532,1.77568,1.77445,1.77481,1167
2020.09.22,9:00,1.77483,1.77687,1.77398,1.77653,2387
2020.09.22,9:30,1.77651,1.77835,1.77599,1.77599,2431
2020.09.22,10:00,1.77598,1.77687,1.77381,1.7755,3307
2020.09.22,10:30,1.7755,1.77566,1.76967,1.7749,4317
2020.09.22,11:00,1.77493,1.78231,1.77447,1.77995,3561
2020.09.22,11:30,1.77994,1.78144,1.77751,1.77881,3184
2020.09.22,12:00,1.77881,1.77934,1.77414,1.77427,2231
2020.09.22,12:30,1.77427,1.77479,1.77237,1.77304,1900
2020.09.22,13:00,1.77303,1.77452,1.77252,1.77367,1784
2020.09.22,13:30,1.77367,1.77898,1.77351,1.77873,3049
2020.09.22,14:00,1.77873,1.77954,1.7772,1.77904,1961
2020.09.22,14:30,1.77904,1.77963,1.77413,1.77501,2515
2020.09.22,15:00,1.77498,1.77673,1.77289,1.7758,2873
2020.09.22,15:30,1.7758,1.77622,1.773,1.77404,2862
2020.09.22,16:00,1.77397,1.77449,1.77012,1.77111,2466
2020.09.22,16:30,1.77109,1.77324,1.77048,1.77199,4170
2020.09.22,17:00,1.77194,1.77359,1.77051,1.77139,3435
2020.09.22,17:30,1.77139,1.77419,1.77133,1.77244,4129
2020.09.22,18:00,1.77245,1.77546,1.77237,1.77467,3566
2020.09.22,18:30,1.77469,1.77535,1.77264,1.77406,3203
2020.09.22,19:00,1.77403,1.77503,1.77352,1.77408,2512
2020.09.22,19:30,1.7741,1.77764,1.77333,1.77736,2188
2020.09.22,20:00,1.77736,1.77857,1.77676,1.77688,1778
2020.09.22,20:30,1.77683,1.77693,1.7756,1.77573,1315
2020.09.22,21:00,1.77569,1.77717,1.77552,1.7765,1335
2020.09.22,21:30,1.7765,1.77708,1.77615,1.77664,1262
2020.09.22,22:00,1.77675,1.77705,1.77629,1.77653,1518
2020.09.22,22:30,1.77651,1.77697,1.77545,1.77557,1588
2020.09.22,23:00,1.77557,1.77663,1.77547,1.7764,552
2020.09.22,23:30,1.7764,1.77669,1.77433,1.77452,613
2020.09.23,0:00,1.77511,1.77622,1.77436,1.7754,227
2020.09.23,0:30,1.77533,1.77674,1.77523,1.77668,643
2020.09.23,1:00,1.77668,1.77717,1.77578,1.77662,883
2020.09.23,1:30,1.77662,1.77664,1.77612,1.77612,372
2020.09.23,2:00,1.77612,1.77654,1.77574,1.77605,547
2020.09.23,2:30,1.77605,1.77645,1.77529,1.77633,870
2020.09.23,3:00,1.77622,1.77764,1.77607,1.77729,1241
2020.09.23,3:30,1.77726,1.78307,1.77709,1.78278,2149
2020.09.23,4:00,1.78278,1.78433,1.78257,1.78355,2167
2020.09.23,4:30,1.78354,1.78399,1.78215,1.78259,1599
2020.09.23,5:00,1.78253,1.78375,1.78134,1.78303,1926
2020.09.23,5:30,1.78303,1.78449,1.78285,1.78412,1388
2020.09.23,6:00,1.78412,1.78423,1.78319,1.78338,1272
2020.09.23,6:30,1.78326,1.78494,1.78322,1.7847,956
2020.09.23,7:00,1.7847,1.7869,1.78439,1.78529,1097
2020.09.23,7:30,1.78529,1.78571,1.7844,1.78463,890
2020.09.23,8:00,1.78463,1.78471,1.78394,1.78434,919
2020.09.23,8:30,1.78433,1.78446,1.78297,1.7834,1179
2020.09.23,9:00,1.78329,1.78371,1.77964,1.78152,2511
2020.09.23,9:30,1.78149,1.78283,1.77997,1.78095,2118
2020.09.23,10:00,1.78095,1.78256,1.78042,1.7813,3310
2020.09.23,10:30,1.78128,1.78258,1.78067,1.7821,2813
2020.09.23,11:00,1.78224,1.78352,1.78116,1.78224,2401
2020.09.23,11:30,1.78224,1.7837,1.78181,1.78285,2312
2020.09.23,12:00,1.78283,1.78668,1.78213,1.78552,3057
2020.09.23,12:30,1.78553,1.78813,1.78477,1.78585,2374
2020.09.23,13:00,1.78592,1.786,1.7839,1.78449,1819
2020.09.23,13:30,1.78442,1.78573,1.78438,1.78455,1438
2020.09.23,14:00,1.7845,1.78599,1.78393,1.78588,1729
2020.09.23,14:30,1.78588,1.78863,1.78555,1.78786,2001
2020.09.23,15:00,1.78784,1.79067,1.78698,1.79054,2579
2020.09.23,15:30,1.79045,1.79312,1.78925,1.79229,2542
2020.09.23,16:00,1.79228,1.79448,1.79046,1.79184,2678
2020.09.23,16:30,1.79185,1.79377,1.7904,1.79352,3565
2020.09.23,17:00,1.79352,1.79592,1.79255,1.79448,3277
2020.09.23,17:30,1.79446,1.79753,1.79427,1.79626,3770
2020.09.23,18:00,1.79632,1.79657,1.79467,1.79568,3373
2020.09.23,18:30,1.7957,1.79777,1.79513,1.7974,2789
2020.09.23,19:00,1.79745,1.79925,1.79653,1.79842,2624
2020.09.23,19:30,1.79839,1.79871,1.79616,1.79645,2459
2020.09.23,20:00,1.79645,1.79675,1.79506,1.79618,1911
2020.09.23,20:30,1.79618,1.7968,1.79603,1.79623,2120
2020.09.23,21:00,1.79623,1.79679,1.7949,1.79504,2716
2020.09.23,21:30,1.79504,1.79723,1.79493,1.79666,2849
