date,ignore,open,high,low,close,volume
2020.10.12,00:00,76.46,76.511,76.408,76.442,221
2020.10.12,00:30,76.442,76.469,76.385,76.426,372
2020.10.12,01:00,76.422,76.445,76.386,76.413,1153
2020.10.12,01:30,76.413,76.42,76.349,76.377,451
2020.10.12,02:00,76.378,76.384,76.331,76.335,546
2020.10.12,02:30,76.334,76.374,76.28,76.308,618
2020.10.12,03:00,76.308,76.321,76.189,76.235,1032
2020.10.12,03:30,76.236,76.274,76.196,76.248,906
2020.10.12,04:00,76.246,76.316,76.181,76.25,1381
2020.10.12,04:30,76.249,76.368,76.238,76.349,1047
2020.10.12,05:00,76.35,76.353,76.262,76.266,746
2020.10.12,05:30,76.266,76.284,76.233,76.234,680
2020.10.12,06:00,76.235,76.261,76.201,76.247,715
2020.10.12,06:30,76.251,76.274,76.229,76.251,526
2020.10.12,07:00,76.251,76.26,76.212,76.251,536
2020.10.12,07:30,76.251,76.251,76.181,76.247,557
2020.10.12,08:00,76.247,76.317,76.232,76.29,618
2020.10.12,08:30,76.288,76.293,76.251,76.26,684
2020.10.12,09:00,76.259,76.291,76.214,76.235,879
2020.10.12,09:30,76.235,76.24,76.186,76.212,732
2020.10.12,10:00,76.213,76.269,76.195,76.224,1387
2020.10.12,10:30,76.224,76.325,76.217,76.318,1098
2020.10.12,11:00,76.318,76.348,76.298,76.301,964
2020.10.12,11:30,76.301,76.327,76.217,76.23,1001
2020.10.12,12:00,76.23,76.251,76.152,76.155,864
2020.10.12,12:30,76.155,76.156,76.009,76.073,1157
2020.10.12,13:00,76.074,76.109,76.045,76.08,956
2020.10.12,13:30,76.08,76.089,76.053,76.075,987
2020.10.12,14:00,76.073,76.074,76.015,76.048,1253
2020.10.12,14:30,76.048,76.075,76.002,76.044,932
2020.10.12,15:00,76.044,76.095,76.022,76.056,1038
2020.10.12,15:30,76.055,76.096,76.019,76.025,994
2020.10.12,16:00,76.025,76.025,75.947,75.986,930
2020.10.12,16:30,75.986,75.987,75.92,75.966,1492
2020.10.12,17:00,75.971,76.012,75.938,75.977,1141
2020.10.12,17:30,75.977,75.984,75.915,75.937,1224
2020.10.12,18:00,75.936,75.951,75.868,75.886,1107
2020.10.12,18:30,75.886,75.923,75.87,75.898,816
2020.10.12,19:00,75.899,75.957,75.881,75.942,889
2020.10.12,19:30,75.941,76.016,75.934,75.985,934
2020.10.12,20:00,75.985,75.989,75.939,75.966,770
2020.10.12,20:30,75.966,75.983,75.945,75.98,521
2020.10.12,21:00,75.98,76.004,75.965,75.966,605
2020.10.12,21:30,75.967,75.982,75.946,75.982,703
2020.10.12,22:00,75.98,75.991,75.956,75.989,773
2020.10.12,22:30,75.989,75.991,75.938,75.963,970
2020.10.12,23:00,75.963,75.986,75.938,75.977,393
