date,ignore,open,high,low,close,volume
2021.05.24,00:00,1.57375,1.57606,1.57375,1.576,290
2021.05.24,00:30,1.576,1.57631,1.57493,1.57493,280
2021.05.24,01:00,1.57496,1.57628,1.57496,1.57555,873
2021.05.24,01:30,1.57563,1.57625,1.57542,1.57622,496
2021.05.24,02:00,1.57622,1.57629,1.57547,1.57553,592
2021.05.24,02:30,1.5757,1.57671,1.57557,1.57665,542
2021.05.24,03:00,1.57664,1.57671,1.57493,1.57557,1857
2021.05.24,03:30,1.57557,1.57695,1.57542,1.5764,1372
2021.05.24,04:00,1.57641,1.57862,1.57601,1.57805,2526
2021.05.24,04:30,1.57805,1.57813,1.5771,1.57745,2608
2021.05.24,05:00,1.57745,1.57806,1.57692,1.57742,1418
2021.05.24,05:30,1.57752,1.57753,1.57628,1.57631,1196
2021.05.24,06:00,1.57631,1.57703,1.57605,1.57613,1556
2021.05.24,06:30,1.57613,1.57678,1.57604,1.57647,764
2021.05.24,07:00,1.57647,1.57673,1.57594,1.57618,471
2021.05.24,07:30,1.57619,1.57658,1.57566,1.5758,440
2021.05.24,08:00,1.57579,1.57591,1.57442,1.57457,807
2021.05.24,08:30,1.57456,1.57546,1.57454,1.57514,1005
2021.05.24,09:00,1.57512,1.57558,1.57461,1.5748,1637
2021.05.24,09:30,1.5748,1.57604,1.57434,1.57571,1651
2021.05.24,10:00,1.57571,1.57641,1.57536,1.57575,2627
2021.05.24,10:30,1.57575,1.57612,1.57492,1.57591,2135
2021.05.24,11:00,1.57589,1.57792,1.57575,1.57763,2031
2021.05.24,11:30,1.57758,1.5803,1.5775,1.57997,3523
2021.05.24,12:00,1.57997,1.58134,1.57994,1.58121,2200
2021.05.24,12:30,1.5812,1.58204,1.5796,1.57962,2284
2021.05.24,13:00,1.57963,1.58103,1.57939,1.58053,1909
2021.05.24,13:30,1.58053,1.58132,1.5802,1.58089,1330
2021.05.24,14:00,1.58088,1.58128,1.58058,1.581,1572
2021.05.24,14:30,1.58099,1.58128,1.57994,1.58013,1992
2021.05.24,15:00,1.58017,1.58052,1.57964,1.57966,1887
2021.05.24,15:30,1.57962,1.57978,1.57786,1.57802,1503
2021.05.24,16:00,1.57801,1.57843,1.57738,1.57815,2257
2021.05.24,16:30,1.57815,1.57843,1.57679,1.57694,3461
2021.05.24,17:00,1.57694,1.5776,1.57662,1.57727,2598
2021.05.24,17:30,1.57729,1.57738,1.57656,1.57667,2626
2021.05.24,18:00,1.57663,1.57746,1.57646,1.57699,1796
2021.05.24,18:30,1.57701,1.57736,1.57649,1.57732,2278
2021.05.24,19:00,1.57733,1.57749,1.57667,1.57697,1325
2021.05.24,19:30,1.57696,1.57742,1.57662,1.57723,872
2021.05.24,20:00,1.57723,1.57735,1.57563,1.57566,1160
2021.05.24,20:30,1.57565,1.57612,1.57558,1.57599,851
2021.05.24,21:00,1.57601,1.57606,1.575,1.57519,672
2021.05.24,21:30,1.57518,1.5752,1.57441,1.57491,924
2021.05.24,22:00,1.57493,1.57495,1.57454,1.57462,1092
2021.05.24,22:30,1.57462,1.57514,1.57451,1.57498,1522
2021.05.24,23:00,1.57497,1.57544,1.57493,1.57524,873
2021.05.24,23:30,1.57523,1.57573,1.57513,1.57534,1018
2021.05.25,00:00,1.57521,1.57558,1.57351,1.57439,295
2021.05.25,00:30,1.57436,1.57572,1.57422,1.5752,315
2021.05.25,01:00,1.5752,1.57545,1.57497,1.57519,759
2021.05.25,01:30,1.57521,1.57574,1.57478,1.57551,341
2021.05.25,02:00,1.57532,1.57555,1.57501,1.57534,566
2021.05.25,02:30,1.57533,1.57583,1.57503,1.57575,543
2021.05.25,03:00,1.57582,1.5764,1.57528,1.57571,1794
2021.05.25,03:30,1.57571,1.57625,1.57539,1.57589,1728
2021.05.25,04:00,1.57589,1.5771,1.57539,1.57703,2314
2021.05.25,04:30,1.57699,1.57738,1.57629,1.57688,2143
2021.05.25,05:00,1.57688,1.57696,1.57616,1.57638,1452
2021.05.25,05:30,1.57638,1.57654,1.57595,1.57624,1142
2021.05.25,06:00,1.57625,1.57626,1.57572,1.57602,1186
2021.05.25,06:30,1.576,1.57636,1.57574,1.57587,754
2021.05.25,07:00,1.57598,1.57655,1.57579,1.57634,736
2021.05.25,07:30,1.57634,1.57642,1.57568,1.57594,492
2021.05.25,08:00,1.57595,1.57673,1.57587,1.57642,803
2021.05.25,08:30,1.57643,1.5772,1.57613,1.57643,1458
2021.05.25,09:00,1.57643,1.57656,1.57458,1.57496,2377
2021.05.25,09:30,1.57495,1.57611,1.57446,1.57562,3372
2021.05.25,10:00,1.5756,1.57768,1.57548,1.57678,3362
2021.05.25,10:30,1.57678,1.57864,1.57678,1.5782,3222
2021.05.25,11:00,1.57818,1.57896,1.57787,1.57822,2916
2021.05.25,11:30,1.57822,1.57841,1.57721,1.57825,1958
2021.05.25,12:00,1.57823,1.57893,1.57798,1.57835,1805
2021.05.25,12:30,1.57834,1.57872,1.57774,1.57823,1558
2021.05.25,13:00,1.5782,1.57948,1.57779,1.57902,1722
2021.05.25,13:30,1.57902,1.57947,1.57853,1.57882,1809
