date,ignore,open,high,low,close,volume
2021.05.31,00:00,1.05981,1.06296,1.05981,1.06196,122
2021.05.31,00:30,1.06278,1.06311,1.06175,1.06257,159
2021.05.31,01:00,1.06246,1.06352,1.0624,1.06333,272
2021.05.31,01:30,1.06333,1.06353,1.06311,1.06343,232
2021.05.31,02:00,1.06341,1.0645,1.0634,1.06425,317
2021.05.31,02:30,1.06424,1.06431,1.06405,1.06415,301
2021.05.31,03:00,1.06415,1.06517,1.06415,1.06507,832
2021.05.31,03:30,1.06508,1.06508,1.06452,1.06503,875
2021.05.31,04:00,1.06503,1.06558,1.06481,1.06486,1434
2021.05.31,04:30,1.06486,1.06524,1.06466,1.06504,983
2021.05.31,05:00,1.06506,1.06532,1.06464,1.06521,659
2021.05.31,05:30,1.06524,1.06524,1.06457,1.0646,351
2021.05.31,06:00,1.06458,1.06461,1.06428,1.06437,456
2021.05.31,06:30,1.06441,1.06485,1.06419,1.06475,431
2021.05.31,07:00,1.06478,1.0651,1.06441,1.06448,394
2021.05.31,07:30,1.06458,1.06465,1.06418,1.0643,345
2021.05.31,08:00,1.06432,1.06482,1.06427,1.06481,348
2021.05.31,08:30,1.06481,1.06503,1.06429,1.06469,512
2021.05.31,09:00,1.0647,1.06524,1.06455,1.06509,792
2021.05.31,09:30,1.06509,1.06538,1.06491,1.06529,723
2021.05.31,10:00,1.0653,1.06574,1.06529,1.06563,1048
2021.05.31,10:30,1.06561,1.06572,1.0653,1.06563,1130
2021.05.31,11:00,1.06563,1.06583,1.06546,1.06549,774
2021.05.31,11:30,1.06551,1.06573,1.06538,1.06556,1022
2021.05.31,12:00,1.06556,1.0656,1.06517,1.06542,1083
2021.05.31,12:30,1.06542,1.0657,1.06527,1.06558,1033
2021.05.31,13:00,1.06557,1.06562,1.06506,1.06525,873
2021.05.31,13:30,1.06525,1.06533,1.06496,1.06504,791
2021.05.31,14:00,1.06507,1.06544,1.06501,1.06528,502
2021.05.31,14:30,1.06532,1.06532,1.06473,1.0649,432
2021.05.31,15:00,1.06488,1.06497,1.06467,1.06483,410
2021.05.31,15:30,1.06484,1.06487,1.0647,1.06483,85
2021.05.31,16:00,1.06448,1.06471,1.06444,1.06457,385
2021.05.31,16:30,1.06458,1.06478,1.06451,1.0646,835
2021.05.31,17:00,1.06459,1.06462,1.06434,1.06437,663
2021.05.31,17:30,1.06439,1.06439,1.0629,1.06314,1159
2021.05.31,18:00,1.06313,1.06351,1.06281,1.06281,961
2021.05.31,18:30,1.06278,1.06304,1.06251,1.06258,676
2021.05.31,19:00,1.06258,1.0629,1.06242,1.06242,552
2021.05.31,19:30,1.06242,1.06298,1.06242,1.06257,477
2021.05.31,20:00,1.06259,1.06303,1.06238,1.06282,393
2021.05.31,20:30,1.06286,1.06329,1.06234,1.06291,505
2021.05.31,21:00,1.06282,1.06321,1.06232,1.06249,503
2021.05.31,21:30,1.06247,1.06287,1.06237,1.06284,200
2021.05.31,22:00,1.06277,1.06304,1.06206,1.06228,404
2021.05.31,22:30,1.06225,1.06294,1.06177,1.06282,785
2021.05.31,23:00,1.06282,1.06282,1.06197,1.06213,838
2021.05.31,23:30,1.06225,1.0629,1.06118,1.06189,787
2021.06.01,00:00,1.06094,1.06362,1.06087,1.06213,304
2021.06.01,00:30,1.06244,1.06281,1.06203,1.06274,244
2021.06.01,01:00,1.06273,1.06341,1.06235,1.06316,425
2021.06.01,01:30,1.06316,1.06343,1.06294,1.06337,402
2021.06.01,02:00,1.06337,1.06391,1.06329,1.06385,353
2021.06.01,02:30,1.06385,1.06401,1.06375,1.06397,186
2021.06.01,03:00,1.064,1.06438,1.06384,1.06428,612
2021.06.01,03:30,1.06428,1.06448,1.06399,1.06447,407
2021.06.01,04:00,1.06447,1.06566,1.06444,1.06535,729
2021.06.01,04:30,1.06536,1.06577,1.06531,1.06567,881
2021.06.01,05:00,1.06567,1.06578,1.0655,1.06558,570
2021.06.01,05:30,1.06558,1.06593,1.06555,1.06577,404
2021.06.01,06:00,1.06576,1.06592,1.06565,1.06581,328
2021.06.01,06:30,1.06582,1.06612,1.06564,1.06573,375
2021.06.01,07:00,1.06571,1.06603,1.06538,1.06583,371
2021.06.01,07:30,1.06587,1.06593,1.06339,1.06409,991
2021.06.01,08:00,1.0641,1.06464,1.0639,1.06464,446
2021.06.01,08:30,1.06461,1.06476,1.0639,1.06405,572
2021.06.01,09:00,1.06404,1.06409,1.06356,1.06379,740
2021.06.01,09:30,1.06382,1.06412,1.06361,1.06403,1101
2021.06.01,10:00,1.06404,1.06508,1.06387,1.06492,1350
2021.06.01,10:30,1.06492,1.06595,1.0649,1.06535,1208
2021.06.01,11:00,1.06535,1.06544,1.06467,1.06492,1280
2021.06.01,11:30,1.06491,1.06556,1.0647,1.0655,893
2021.06.01,12:00,1.0655,1.06576,1.06497,1.06509,968
2021.06.01,12:30,1.06508,1.06554,1.065,1.0653,931
2021.06.01,13:00,1.06531,1.06564,1.06516,1.06546,748
2021.06.01,13:30,1.06553,1.06572,1.06513,1.06544,935
2021.06.01,14:00,1.06543,1.0657,1.06504,1.06508,1121
2021.06.01,14:30,1.06506,1.0659,1.06492,1.06581,906
2021.06.01,15:00,1.06581,1.06606,1.06556,1.06595,1070
2021.06.01,15:30,1.06596,1.06677,1.06588,1.06656,1137
2021.06.01,16:00,1.06663,1.06745,1.06639,1.06745,1297
2021.06.01,16:30,1.06747,1.068,1.06738,1.0678,1887
2021.06.01,17:00,1.06777,1.06857,1.06748,1.06855,2615
2021.06.01,17:30,1.06854,1.06924,1.06843,1.06906,2391
2021.06.01,18:00,1.06906,1.06952,1.06894,1.06943,1734
2021.06.01,18:30,1.06944,1.07012,1.06934,1.06991,1371
2021.06.01,19:00,1.06993,1.06996,1.06892,1.06913,1436
2021.06.01,19:30,1.06912,1.06942,1.06889,1.06902,1137
2021.06.01,20:00,1.06903,1.06916,1.06877,1.06909,725
2021.06.01,20:30,1.06909,1.06928,1.06904,1.06912,859
2021.06.01,21:00,1.0691,1.06975,1.06907,1.06966,656
2021.06.01,21:30,1.06965,1.06992,1.06952,1.06963,682
2021.06.01,22:00,1.0696,1.06974,1.06935,1.06958,637
2021.06.01,22:30,1.06959,1.06964,1.06898,1.06913,636
2021.06.01,23:00,1.0691,1.06919,1.06889,1.06891,360
2021.06.01,23:30,1.06893,1.06917,1.06788,1.06788,640
2021.06.02,00:00,1.06848,1.0686,1.06589,1.068,260
2021.06.02,00:30,1.068,1.0687,1.0672,1.06792,558
2021.06.02,01:00,1.06796,1.0688,1.06796,1.0688,332
2021.06.02,01:30,1.06881,1.06911,1.06864,1.06864,233
2021.06.02,02:00,1.06864,1.06882,1.06841,1.0687,227
2021.06.02,02:30,1.06869,1.06924,1.06868,1.06921,330
2021.06.02,03:00,1.0692,1.07021,1.06917,1.07007,1050
2021.06.02,03:30,1.07007,1.07022,1.06925,1.06931,783
2021.06.02,04:00,1.0693,1.06956,1.0688,1.06894,628
2021.06.02,04:30,1.06906,1.07014,1.06856,1.06867,1281
2021.06.02,05:00,1.06869,1.06892,1.06784,1.06784,527
2021.06.02,05:30,1.06784,1.06812,1.06773,1.06798,422
2021.06.02,06:00,1.06798,1.06862,1.06794,1.06854,316
2021.06.02,06:30,1.06854,1.06861,1.06827,1.06831,290
2021.06.02,07:00,1.06835,1.06873,1.06811,1.06825,482
2021.06.02,07:30,1.06823,1.06881,1.0681,1.06873,488
2021.06.02,08:00,1.06873,1.06912,1.0686,1.06879,587
2021.06.02,08:30,1.06877,1.06968,1.06865,1.06966,596
2021.06.02,09:00,1.06963,1.07005,1.06907,1.06916,1325
2021.06.02,09:30,1.06917,1.06949,1.06891,1.06934,1184
2021.06.02,10:00,1.06933,1.06964,1.06919,1.06961,1362
2021.06.02,10:30,1.06961,1.06991,1.06932,1.06968,807
2021.06.02,11:00,1.06968,1.06968,1.06825,1.06836,958
2021.06.02,11:30,1.06836,1.06896,1.06799,1.06858,926
2021.06.02,12:00,1.06857,1.0693,1.06855,1.06918,804
2021.06.02,12:30,1.0692,1.06954,1.06888,1.0694,968
2021.06.02,13:00,1.06941,1.06996,1.06935,1.06967,725
2021.06.02,13:30,1.06968,1.07041,1.06966,1.07034,1015
2021.06.02,14:00,1.07033,1.07052,1.06985,1.06999,1524
2021.06.02,14:30,1.06999,1.07005,1.06888,1.06898,883
2021.06.02,15:00,1.06897,1.0693,1.06862,1.06875,1050
2021.06.02,15:30,1.06874,1.06906,1.06859,1.06864,890
2021.06.02,16:00,1.06864,1.06916,1.06815,1.06904,834
2021.06.02,16:30,1.06907,1.06944,1.06849,1.0692,1844
2021.06.02,17:00,1.06921,1.06945,1.06887,1.06904,1586
2021.06.02,17:30,1.06906,1.06971,1.06871,1.0696,973
2021.06.02,18:00,1.06957,1.06984,1.06944,1.06982,1274
2021.06.02,18:30,1.06979,1.06997,1.06963,1.06991,572
2021.06.02,19:00,1.06991,1.07116,1.06983,1.07106,613
2021.06.02,19:30,1.07106,1.07124,1.07059,1.07076,595
2021.06.02,20:00,1.0708,1.07114,1.07076,1.07103,658
2021.06.02,20:30,1.07103,1.07157,1.07094,1.07132,831
2021.06.02,21:00,1.07131,1.07162,1.07122,1.07133,887
2021.06.02,21:30,1.07132,1.07164,1.07086,1.07086,741
2021.06.02,22:00,1.07083,1.07125,1.07083,1.07122,527
2021.06.02,22:30,1.07122,1.07144,1.07118,1.0713,764
2021.06.02,23:00,1.07127,1.07157,1.07121,1.07137,448
2021.06.02,23:30,1.07135,1.07163,1.07079,1.07117,557
2021.06.03,00:00,1.07109,1.0711,1.06951,1.07078,187
2021.06.03,00:30,1.07077,1.07091,1.06957,1.07072,227
2021.06.03,01:00,1.07072,1.07118,1.07072,1.07078,238
2021.06.03,01:30,1.07076,1.07099,1.0707,1.07081,197
2021.06.03,02:00,1.07081,1.07091,1.07068,1.07077,167
2021.06.03,02:30,1.07077,1.07085,1.0703,1.0705,212
2021.06.03,03:00,1.07052,1.07074,1.07025,1.0704,668
2021.06.03,03:30,1.0704,1.07081,1.07034,1.07056,551
2021.06.03,04:00,1.07064,1.07066,1.07004,1.07056,726
2021.06.03,04:30,1.07055,1.07117,1.07029,1.07111,748
2021.06.03,05:00,1.07112,1.07145,1.07097,1.07136,667
2021.06.03,05:30,1.07142,1.07156,1.0711,1.0715,789
2021.06.03,06:00,1.0715,1.07177,1.07132,1.07138,551
2021.06.03,06:30,1.07138,1.07147,1.07126,1.07144,453
2021.06.03,07:00,1.07144,1.0716,1.07129,1.07155,303
2021.06.03,07:30,1.07161,1.07177,1.07139,1.07157,328
2021.06.03,08:00,1.07157,1.07168,1.07138,1.07161,385
2021.06.03,08:30,1.07161,1.07172,1.07117,1.07161,536
2021.06.03,09:00,1.0716,1.07182,1.07129,1.0714,976
2021.06.03,09:30,1.07138,1.07142,1.07047,1.0708,1182
2021.06.03,10:00,1.0708,1.07085,1.07019,1.07058,1336
2021.06.03,10:30,1.07056,1.0707,1.0702,1.07055,1020
2021.06.03,11:00,1.07051,1.07111,1.07041,1.07101,830
2021.06.03,11:30,1.07102,1.07102,1.07043,1.07052,939
2021.06.03,12:00,1.07052,1.07076,1.07037,1.07073,712
2021.06.03,12:30,1.07069,1.07082,1.07046,1.07046,664
2021.06.03,13:00,1.07045,1.07057,1.07022,1.07029,1196
2021.06.03,13:30,1.07028,1.07083,1.07013,1.07076,1028
2021.06.03,14:00,1.07076,1.07079,1.07012,1.07046,1161
2021.06.03,14:30,1.07046,1.07064,1.07029,1.07045,1101
2021.06.03,15:00,1.07046,1.07173,1.07026,1.07136,2051
2021.06.03,15:30,1.07136,1.07174,1.07105,1.0713,1997
2021.06.03,16:00,1.07131,1.07149,1.0707,1.07102,1379
2021.06.03,16:30,1.07101,1.07168,1.07089,1.07127,2101
2021.06.03,17:00,1.0712,1.07167,1.07096,1.07097,1816
2021.06.03,17:30,1.07099,1.07137,1.07026,1.07115,1570
2021.06.03,18:00,1.07116,1.07131,1.07037,1.07069,1356
2021.06.03,18:30,1.07068,1.07138,1.07061,1.07103,1007
2021.06.03,19:00,1.07103,1.07188,1.07093,1.07171,864
2021.06.03,19:30,1.07171,1.07231,1.07166,1.07218,979
2021.06.03,20:00,1.07218,1.07288,1.07189,1.07287,1082
2021.06.03,20:30,1.07287,1.07305,1.07263,1.07277,785
2021.06.03,21:00,1.07278,1.07323,1.07253,1.07301,581
2021.06.03,21:30,1.073,1.07305,1.07227,1.07247,818
2021.06.03,22:00,1.072,1.07304,1.0718,1.07276,765
2021.06.03,22:30,1.07277,1.07283,1.0722,1.07244,949
2021.06.03,23:00,1.07244,1.07246,1.07209,1.07213,442
2021.06.03,23:30,1.07213,1.07227,1.07095,1.07095,721
2021.06.04,00:00,1.07059,1.07193,1.06911,1.07183,247
2021.06.04,00:30,1.07183,1.07215,1.07152,1.07172,206
2021.06.04,01:00,1.07171,1.07235,1.07153,1.0718,333
2021.06.04,01:30,1.0718,1.07195,1.07145,1.0716,272
2021.06.04,02:00,1.07156,1.07161,1.07128,1.0715,259
2021.06.04,02:30,1.0715,1.07206,1.07128,1.07191,422
2021.06.04,03:00,1.07193,1.07289,1.07178,1.07197,1101
2021.06.04,03:30,1.07197,1.07218,1.07172,1.07207,807
2021.06.04,04:00,1.07206,1.07206,1.0716,1.07174,653
2021.06.04,04:30,1.07176,1.07244,1.07143,1.07217,1042
2021.06.04,05:00,1.0722,1.07223,1.0716,1.07162,754
2021.06.04,05:30,1.07161,1.07183,1.07129,1.07164,671
2021.06.04,06:00,1.07164,1.07172,1.07119,1.07151,417
2021.06.04,06:30,1.0715,1.07161,1.07128,1.07146,350
2021.06.04,07:00,1.07147,1.07157,1.07125,1.07152,472
2021.06.04,07:30,1.07154,1.07169,1.07122,1.07125,484
2021.06.04,08:00,1.07126,1.07127,1.07083,1.0709,471
2021.06.04,08:30,1.07091,1.07132,1.07082,1.07113,646
2021.06.04,09:00,1.07113,1.07212,1.07105,1.07205,952
2021.06.04,09:30,1.07205,1.07206,1.07129,1.07154,947
2021.06.04,10:00,1.07154,1.07231,1.07117,1.07156,1269
2021.06.04,10:30,1.07156,1.07161,1.07118,1.07133,807
2021.06.04,11:00,1.0713,1.07192,1.07113,1.07174,879
2021.06.04,11:30,1.07174,1.07174,1.071,1.07114,741
2021.06.04,12:00,1.07111,1.07132,1.07098,1.07116,710
2021.06.04,12:30,1.07117,1.07141,1.07101,1.0714,393
2021.06.04,13:00,1.0714,1.07153,1.07047,1.07065,533
2021.06.04,13:30,1.07065,1.0708,1.07038,1.07078,482
2021.06.04,14:00,1.07078,1.07102,1.07067,1.07091,597
2021.06.04,14:30,1.07091,1.07162,1.07086,1.07153,677
2021.06.04,15:00,1.07152,1.07206,1.0713,1.07163,1630
2021.06.04,15:30,1.07153,1.07356,1.07056,1.07306,4088
2021.06.04,16:00,1.07307,1.07369,1.07285,1.07322,2353
2021.06.04,16:30,1.07323,1.07412,1.07303,1.07381,2071
2021.06.04,17:00,1.07387,1.07447,1.07328,1.07334,1599
2021.06.04,17:30,1.07334,1.07443,1.0733,1.07417,1574
2021.06.04,18:00,1.07417,1.07464,1.07398,1.07448,949
2021.06.04,18:30,1.07448,1.07471,1.07441,1.07463,876
2021.06.04,19:00,1.07463,1.07528,1.07438,1.07518,631
2021.06.04,19:30,1.0752,1.0756,1.07508,1.07517,528
2021.06.04,20:00,1.07517,1.0752,1.07447,1.0745,564
2021.06.04,20:30,1.07448,1.0749,1.07445,1.0748,463
2021.06.04,21:00,1.0748,1.07489,1.07467,1.07473,355
2021.06.04,21:30,1.07473,1.0748,1.07312,1.07349,754
2021.06.04,22:00,1.07351,1.07385,1.07343,1.07384,435
2021.06.04,22:30,1.07384,1.07394,1.07376,1.07382,279
2021.06.04,23:00,1.0738,1.07425,1.07368,1.0742,251
2021.06.04,23:30,1.07417,1.07417,1.07331,1.07354,236
