date,ignore,open,high,low,close,volume
2021.10.11,00:00,1.67053,1.67114,1.66963,1.67107,273
2021.10.11,00:30,1.6708,1.67224,1.67044,1.67178,239
2021.10.11,01:00,1.67133,1.67202,1.66928,1.67125,536
2021.10.11,01:30,1.67127,1.67252,1.67097,1.67246,448
2021.10.11,02:00,1.67244,1.67244,1.67101,1.67112,526
2021.10.11,02:30,1.67113,1.67154,1.67066,1.67091,594
2021.10.11,03:00,1.67097,1.67123,1.6688,1.66909,924
2021.10.11,03:30,1.66905,1.66905,1.66734,1.66825,879
2021.10.11,04:00,1.66825,1.66829,1.66743,1.66755,608
2021.10.11,04:30,1.6676,1.66795,1.66647,1.66795,1021
2021.10.11,05:00,1.66795,1.66805,1.66724,1.6679,676
2021.10.11,05:30,1.66787,1.66864,1.66755,1.66843,549
2021.10.11,06:00,1.66843,1.66922,1.66843,1.66911,643
2021.10.11,06:30,1.66911,1.66971,1.6691,1.66927,710
2021.10.11,07:00,1.66927,1.66954,1.66881,1.66933,434
2021.10.11,07:30,1.66933,1.67004,1.66912,1.66946,455
2021.10.11,08:00,1.66946,1.66985,1.66907,1.66938,722
2021.10.11,08:30,1.6694,1.6694,1.66787,1.66801,708
2021.10.11,09:00,1.66797,1.66949,1.66729,1.66937,1450
2021.10.11,09:30,1.66937,1.66988,1.66816,1.66871,1401
2021.10.11,10:00,1.66868,1.66941,1.66732,1.66795,1807
2021.10.11,10:30,1.66791,1.66837,1.66525,1.66569,1444
2021.10.11,11:00,1.66569,1.66643,1.66521,1.66589,1343
2021.10.11,11:30,1.66589,1.66589,1.66391,1.66395,1296
2021.10.11,12:00,1.66395,1.66431,1.66213,1.66289,1413
2021.10.11,12:30,1.66289,1.66385,1.66287,1.66351,1072
2021.10.11,13:00,1.6635,1.66554,1.66345,1.66553,980
2021.10.11,13:30,1.6655,1.66724,1.66521,1.66663,1021
2021.10.11,14:00,1.66663,1.66804,1.66602,1.66744,1303
2021.10.11,14:30,1.66744,1.66795,1.66677,1.66729,1036
2021.10.11,15:00,1.66729,1.66792,1.66659,1.6669,1343
2021.10.11,15:30,1.6669,1.66735,1.66644,1.66708,1508
2021.10.11,16:00,1.66708,1.66738,1.66584,1.66648,1318
2021.10.11,16:30,1.66648,1.66692,1.66476,1.66479,1901
2021.10.11,17:00,1.66479,1.66504,1.66273,1.66279,1394
2021.10.11,17:30,1.66279,1.66341,1.66245,1.66305,1316
2021.10.11,18:00,1.66305,1.66338,1.66239,1.66284,1140
2021.10.11,18:30,1.66284,1.66313,1.66198,1.66293,790
