date,ignore,open,high,low,close,volume
2015.02.09,00:00,1.41049,1.41077,1.40911,1.40961,1206
2015.02.09,00:30,1.40961,1.40979,1.40833,1.40843,1525
2015.02.09,01:00,1.40843,1.41093,1.40832,1.41083,2931
2015.02.09,01:30,1.41082,1.41106,1.40986,1.41089,3077
2015.02.09,02:00,1.41083,1.41107,1.41009,1.41042,1977
2015.02.09,02:30,1.41042,1.41061,1.40885,1.40937,1967
2015.02.09,03:00,1.40936,1.40989,1.40897,1.40979,1351
2015.02.09,03:30,1.40974,1.41056,1.40972,1.41016,1632
2015.02.09,04:00,1.41015,1.41081,1.41,1.4106,1383
2015.02.09,04:30,1.4106,1.4106,1.40988,1.41009,1083
2015.02.09,05:00,1.41008,1.41034,1.40969,1.40976,832
2015.02.09,05:30,1.40975,1.40982,1.40951,1.40971,737
2015.02.09,06:00,1.4097,1.41069,1.40969,1.41029,924
2015.02.09,06:30,1.41022,1.41085,1.40978,1.40987,566
2015.02.09,07:00,1.40988,1.41043,1.4098,1.41039,609
2015.02.09,07:30,1.41037,1.41063,1.40995,1.41061,738
2015.02.09,08:00,1.41062,1.4121,1.41042,1.41108,1088
2015.02.09,08:30,1.41114,1.41274,1.41111,1.4123,1264
2015.02.09,09:00,1.41231,1.41399,1.41201,1.41289,1732
2015.02.09,09:30,1.4129,1.41665,1.41281,1.41334,2029
2015.02.09,10:00,1.4133,1.41399,1.40573,1.40622,2617
2015.02.09,10:30,1.40625,1.40969,1.40611,1.40832,2255
2015.02.09,11:00,1.40832,1.409,1.40659,1.40714,2286
2015.02.09,11:30,1.40712,1.40756,1.40564,1.4062,2272
2015.02.09,12:00,1.40623,1.40933,1.40508,1.40842,2774
2015.02.09,12:30,1.40843,1.41134,1.40703,1.40706,2229
2015.02.09,13:00,1.40707,1.40882,1.40693,1.40851,2245
2015.02.09,13:30,1.40851,1.40978,1.40722,1.40961,2100
2015.02.09,14:00,1.4096,1.41011,1.40692,1.40692,2220
2015.02.09,14:30,1.40692,1.40773,1.40431,1.40694,2716
2015.02.09,15:00,1.40694,1.40703,1.40451,1.40488,2723
2015.02.09,15:30,1.40489,1.40511,1.40296,1.40352,2195
2015.02.09,16:00,1.40353,1.40524,1.40331,1.40424,2142
2015.02.09,16:30,1.40423,1.40723,1.40384,1.40408,2433
2015.02.09,17:00,1.40408,1.40674,1.40391,1.40659,2551
2015.02.09,17:30,1.40665,1.40959,1.40542,1.40939,2299
2015.02.09,18:00,1.40938,1.40972,1.40449,1.40619,2290
2015.02.09,18:30,1.40619,1.40894,1.40606,1.40826,1976
2015.02.09,19:00,1.40825,1.4084,1.40647,1.40684,1905
2015.02.09,19:30,1.40684,1.4069,1.40359,1.40389,1587
