date,ignore,open,high,low,close,volume
2015.03.16,0:00,127.285,127.478,127.278,127.475,1221
2015.03.16,0:30,127.473,127.527,127.365,127.425,945
2015.03.16,1:00,127.425,127.455,127.249,127.304,1108
2015.03.16,1:30,127.305,127.305,127.145,127.179,1246
2015.03.16,2:00,127.182,127.4,127.18,127.38,2174
2015.03.16,2:30,127.383,127.434,127.351,127.428,1635
2015.03.16,3:00,127.428,127.734,127.39,127.633,2459
2015.03.16,3:30,127.633,127.754,127.629,127.665,2087
2015.03.16,4:00,127.663,127.667,127.589,127.649,1253
2015.03.16,4:30,127.648,127.726,127.594,127.63,1400
2015.03.16,5:00,127.63,127.631,127.525,127.6,937
2015.03.16,5:30,127.599,127.661,127.575,127.653,1365
2015.03.16,6:00,127.653,127.694,127.605,127.608,1093
2015.03.16,6:30,127.609,127.643,127.441,127.466,1632
2015.03.16,7:00,127.46,127.531,127.4,127.508,1471
2015.03.16,7:30,127.508,127.63,127.468,127.53,1956
2015.03.16,8:00,127.538,127.826,127.523,127.591,2185
2015.03.16,8:30,127.593,127.704,127.586,127.642,1824
2015.03.16,9:00,127.64,127.64,127.314,127.524,2806
2015.03.16,9:30,127.524,127.77,127.418,127.674,3134
2015.03.16,10:00,127.675,127.922,127.643,127.783,3720
2015.03.16,10:30,127.781,127.875,127.697,127.839,3251
2015.03.16,11:00,127.845,127.915,127.758,127.827,3350
2015.03.16,11:30,127.828,127.924,127.799,127.85,2472
2015.03.16,12:00,127.849,127.968,127.836,127.909,2306
2015.03.16,12:30,127.91,127.934,127.706,127.724,2317
2015.03.16,13:00,127.721,127.796,127.673,127.733,2436
2015.03.16,13:30,127.732,127.771,127.665,127.712,2593
2015.03.16,14:00,127.714,127.912,127.697,127.841,2974
2015.03.16,14:30,127.843,128.011,127.758,127.88,3654
2015.03.16,15:00,127.884,128.191,127.852,128.124,4033
2015.03.16,15:30,128.124,128.558,128.003,128.422,4575
2015.03.16,16:00,128.424,128.661,128.289,128.316,4242
2015.03.16,16:30,128.323,128.333,128.133,128.147,3686
2015.03.16,17:00,128.148,128.37,128.133,128.291,3440
2015.03.16,17:30,128.291,128.42,128.251,128.274,3404
2015.03.16,18:00,128.276,128.401,128.272,128.391,2657
2015.03.16,18:30,128.394,128.746,128.361,128.721,3040
2015.03.16,19:00,128.721,128.79,128.456,128.515,2501
2015.03.16,19:30,128.517,128.623,128.456,128.53,1904
2015.03.16,20:00,128.528,128.569,128.472,128.521,1823
2015.03.16,20:30,128.523,128.559,128.373,128.47,1859
2015.03.16,21:00,128.474,128.53,128.432,128.484,1470
2015.03.16,21:30,128.484,128.526,128.346,128.36,1793
2015.03.16,22:00,128.36,128.401,128.257,128.264,1191
2015.03.16,22:30,128.264,128.343,128.17,128.187,1478
2015.03.16,23:00,128.262,128.346,128.214,128.259,698
2015.03.16,23:30,128.259,128.289,128.214,128.25,832
2015.03.17,0:00,128.279,128.298,128.2,128.266,1823
2015.03.17,0:30,128.268,128.284,128.227,128.274,1059
2015.03.17,1:00,128.271,128.384,128.263,128.377,1238
2015.03.17,1:30,128.377,128.388,128.302,128.31,1281
2015.03.17,2:00,128.31,128.353,128.225,128.262,1934
2015.03.17,2:30,128.263,128.364,128.215,128.234,2093
2015.03.17,3:00,128.24,128.258,128.165,128.169,1597
2015.03.17,3:30,128.166,128.233,128.151,128.23,1299
2015.03.17,4:00,128.23,128.329,128.216,128.317,1691
2015.03.17,4:30,128.313,128.392,128.294,128.389,1534
2015.03.17,5:00,128.389,128.407,128.248,128.307,1484
2015.03.17,5:30,128.307,128.342,128.16,128.186,1594
2015.03.17,6:00,128.185,128.252,128.17,128.227,965
2015.03.17,6:30,128.228,128.288,128.194,128.235,1017
2015.03.17,7:00,128.237,128.25,128.204,128.237,936
2015.03.17,7:30,128.239,128.239,128.122,128.17,1426
2015.03.17,8:00,128.173,128.215,128.081,128.13,1557
2015.03.17,8:30,128.131,128.557,128.129,128.367,2569
2015.03.17,9:00,128.366,128.605,128.248,128.55,3237
2015.03.17,9:30,128.552,128.855,128.491,128.824,3212
2015.03.17,10:00,128.821,128.829,128.641,128.641,3348
2015.03.17,10:30,128.64,128.656,128.458,128.498,2818
2015.03.17,11:00,128.499,128.613,128.288,128.479,2917
2015.03.17,11:30,128.481,128.696,128.472,128.644,3217
2015.03.17,12:00,128.649,128.792,128.529,128.779,3100
2015.03.17,12:30,128.777,128.787,128.675,128.694,2696
2015.03.17,13:00,128.694,128.703,128.503,128.51,2218
2015.03.17,13:30,128.509,128.702,128.45,128.663,2273
2015.03.17,14:00,128.665,128.926,128.632,128.883,2896
2015.03.17,14:30,128.868,128.898,128.556,128.69,3081
2015.03.17,15:00,128.697,128.974,128.648,128.888,3393
2015.03.17,15:30,128.89,128.958,128.77,128.954,3283
2015.03.17,16:00,128.953,129.152,128.849,128.878,3303
2015.03.17,16:30,128.876,128.885,128.734,128.779,3107
2015.03.17,17:00,128.78,128.78,128.54,128.707,3627
2015.03.17,17:30,128.707,128.757,128.591,128.626,3139
2015.03.17,18:00,128.626,128.687,128.4,128.504,3485
2015.03.17,18:30,128.506,128.587,128.477,128.586,2549
2015.03.17,19:00,128.585,128.63,128.527,128.53,2077
