date,ignore,open,high,low,close,volume
2015.04.06,00:00,90.763,90.812,90.741,90.77,304
2015.04.06,00:30,90.77,90.789,90.692,90.699,172
2015.04.06,01:00,90.698,90.762,90.635,90.716,1001
2015.04.06,01:30,90.716,90.753,90.661,90.716,606
2015.04.06,02:00,90.714,90.841,90.714,90.807,1142
2015.04.06,02:30,90.811,90.841,90.773,90.799,780
2015.04.06,03:00,90.804,90.952,90.779,90.937,1359
2015.04.06,03:30,90.937,90.937,90.848,90.891,1615
2015.04.06,04:00,90.891,90.915,90.679,90.765,1556
2015.04.06,04:30,90.766,90.832,90.741,90.743,987
2015.04.06,05:00,90.744,90.749,90.647,90.73,1010
2015.04.06,05:30,90.729,90.789,90.701,90.704,715
2015.04.06,06:00,90.703,90.749,90.694,90.732,336
2015.04.06,06:30,90.732,90.816,90.732,90.766,1050
2015.04.06,07:00,90.764,90.816,90.747,90.79,890
2015.04.06,07:30,90.792,90.82,90.756,90.778,531
2015.04.06,08:00,90.778,90.784,90.738,90.765,470
2015.04.06,08:30,90.765,90.846,90.765,90.803,616
2015.04.06,09:00,90.804,90.877,90.794,90.824,862
2015.04.06,09:30,90.823,90.913,90.823,90.9,642
2015.04.06,10:00,90.898,90.995,90.885,90.962,728
2015.04.06,10:30,90.961,90.991,90.883,90.921,700
2015.04.06,11:00,90.92,90.961,90.905,90.92,613
2015.04.06,11:30,90.919,90.922,90.822,90.873,434
2015.04.06,12:00,90.873,90.888,90.781,90.797,548
2015.04.06,12:30,90.798,90.873,90.793,90.862,493
2015.04.06,13:00,90.863,90.882,90.819,90.825,571
2015.04.06,13:30,90.824,90.864,90.804,90.847,486
2015.04.06,14:00,90.849,90.911,90.793,90.905,932
2015.04.06,14:30,90.905,90.96,90.884,90.886,1466
2015.04.06,15:00,90.885,90.927,90.762,90.787,1506
2015.04.06,15:30,90.788,90.834,90.725,90.781,1957
2015.04.06,16:00,90.784,90.925,90.771,90.854,2127
2015.04.06,16:30,90.854,90.932,90.826,90.861,1857
2015.04.06,17:00,90.861,90.997,90.835,90.989,2417
2015.04.06,17:30,90.995,91.196,90.979,91.176,2371
2015.04.06,18:00,91.178,91.2,91.121,91.181,1894
2015.04.06,18:30,91.18,91.184,91.079,91.151,1984
2015.04.06,19:00,91.15,91.15,91.024,91.078,1731
2015.04.06,19:30,91.077,91.143,91.069,91.132,1154
2015.04.06,20:00,91.133,91.145,91.061,91.094,936
2015.04.06,20:30,91.092,91.112,90.903,90.929,1396
2015.04.06,21:00,90.929,91.035,90.919,91.016,1315
2015.04.06,21:30,91.015,91.066,90.987,91.0,1151
2015.04.06,22:00,91.001,91.023,90.688,90.791,2982
2015.04.06,22:30,90.795,90.874,90.777,90.868,2386
2015.04.06,23:00,90.872,90.873,90.785,90.804,1370
2015.04.06,23:30,90.804,90.824,90.682,90.733,2032
2015.04.07,00:00,90.731,90.83,90.639,90.798,830
2015.04.07,00:30,90.798,90.903,90.758,90.843,1228
2015.04.07,01:00,90.841,90.842,90.774,90.783,1421
2015.04.07,01:30,90.782,90.816,90.739,90.757,1162
2015.04.07,02:00,90.758,90.78,90.692,90.763,1280
2015.04.07,02:30,90.762,90.766,90.651,90.674,1261
2015.04.07,03:00,90.674,90.674,90.547,90.601,759
2015.04.07,03:30,90.606,90.672,90.547,90.655,1871
2015.04.07,04:00,90.655,90.799,90.64,90.764,1710
2015.04.07,04:30,90.763,91.039,90.763,90.878,1821
2015.04.07,05:00,90.88,91.129,90.873,91.043,1731
2015.04.07,05:30,91.043,91.084,91.011,91.075,1113
2015.04.07,06:00,91.077,91.091,90.922,90.985,1212
2015.04.07,06:30,90.985,91.017,90.927,90.942,1483
2015.04.07,07:00,90.942,91.742,90.86,91.695,1514
2015.04.07,07:30,91.696,92.033,91.659,91.899,3553
2015.04.07,08:00,91.901,92.178,91.893,92.091,2362
2015.04.07,08:30,92.091,92.114,92.034,92.088,2166
2015.04.07,09:00,92.087,92.09,91.934,91.961,2629
2015.04.07,09:30,91.961,91.969,91.701,91.744,2724
2015.04.07,10:00,91.745,92.004,91.712,91.999,2888
2015.04.07,10:30,91.999,92.137,91.961,91.988,2855
2015.04.07,11:00,91.986,92.053,91.883,92.039,2807
2015.04.07,11:30,92.039,92.052,91.878,91.907,3164
2015.04.07,12:00,91.908,92.072,91.893,92.045,2478
2015.04.07,12:30,92.044,92.097,92.015,92.087,2453
2015.04.07,13:00,92.087,92.167,92.059,92.103,2046
2015.04.07,13:30,92.104,92.144,92.055,92.096,969
2015.04.07,14:00,92.094,92.131,92.025,92.05,1102
2015.04.07,14:30,92.054,92.07,91.943,91.946,1422
2015.04.07,15:00,91.946,91.997,91.729,91.813,2485
2015.04.07,15:30,91.813,91.828,91.721,91.796,1814
2015.04.07,16:00,91.798,91.958,91.795,91.914,1588
2015.04.07,16:30,91.913,92.024,91.873,91.875,1753
2015.04.07,17:00,91.872,92.004,91.836,91.984,1949
2015.04.07,17:30,91.984,92.106,91.938,92.043,1916
2015.04.07,18:00,92.045,92.085,91.931,92.009,1969
2015.04.07,18:30,92.008,92.046,91.958,92.015,1421
2015.04.07,19:00,92.016,92.049,91.967,91.976,1162
2015.04.07,19:30,91.977,92.033,91.952,91.988,930
2015.04.07,20:00,91.982,92.054,91.98,92.026,658
2015.04.07,20:30,92.028,92.048,91.979,92.021,776
2015.04.07,21:00,92.021,92.035,91.92,91.968,1167
2015.04.07,21:30,91.971,91.985,91.895,91.919,721
2015.04.07,22:00,91.918,91.955,91.876,91.904,692
2015.04.07,22:30,91.904,91.935,91.871,91.884,1070
2015.04.07,23:00,91.88,91.915,91.81,91.831,976
2015.04.07,23:30,91.827,91.881,91.778,91.794,1755
2015.04.08,00:00,91.791,91.861,91.788,91.86,772
2015.04.08,00:30,91.86,91.97,91.851,91.876,1299
2015.04.08,01:00,91.876,91.97,91.867,91.942,1503
2015.04.08,01:30,91.938,91.938,91.876,91.895,901
2015.04.08,02:00,91.894,91.922,91.873,91.897,945
2015.04.08,02:30,91.898,91.923,91.861,91.883,1276
2015.04.08,03:00,91.855,91.945,91.855,91.88,969
2015.04.08,03:30,91.885,91.963,91.878,91.911,871
2015.04.08,04:00,91.91,92.068,91.91,92.037,1120
2015.04.08,04:30,92.036,92.054,91.809,91.834,1138
2015.04.08,05:00,91.833,91.89,91.83,91.868,830
