date,ignore,open,high,low,close,volume
2015.08.24,00:00,191.044,191.255,191.002,191.21,699
2015.08.24,00:30,191.211,191.382,191.2,191.343,1176
2015.08.24,01:00,191.349,191.404,191.175,191.267,2272
2015.08.24,01:30,191.263,191.284,190.582,190.587,3227
2015.08.24,02:00,190.588,190.665,189.988,190.528,5764
2015.08.24,02:30,190.528,191.101,190.528,190.796,5174
2015.08.24,03:00,190.796,191.076,190.638,190.794,5119
2015.08.24,03:30,190.792,190.978,190.531,190.566,4455
2015.08.24,04:00,190.566,190.703,190.197,190.303,6190
2015.08.24,04:30,190.301,190.482,189.866,190.172,7664
2015.08.24,05:00,190.173,190.2,189.87,189.959,5570
2015.08.24,05:30,189.959,190.136,189.372,189.544,7261
2015.08.24,06:00,189.544,189.635,189.32,189.59,6063
2015.08.24,06:30,189.592,189.945,189.535,189.79,5929
2015.08.24,07:00,189.794,190.175,189.769,189.983,4392
2015.08.24,07:30,189.98,190.091,189.87,189.977,3641
2015.08.24,08:00,189.977,190.024,189.64,189.785,5008
2015.08.24,08:30,189.787,189.896,189.363,189.619,5105
2015.08.24,09:00,189.62,189.926,189.571,189.783,7008
2015.08.24,09:30,189.783,189.791,189.084,189.084,6762
2015.08.24,10:00,189.085,189.773,189.081,189.662,7557
2015.08.24,10:30,189.662,189.662,188.421,188.653,9102
2015.08.24,11:00,188.65,189.027,188.646,188.975,7149
2015.08.24,11:30,188.974,189.699,188.895,189.602,6748
2015.08.24,12:00,189.602,189.652,189.355,189.49,4810
2015.08.24,12:30,189.49,189.552,189.188,189.212,4932
2015.08.24,13:00,189.211,189.289,188.637,188.755,6362
2015.08.24,13:30,188.76,188.955,188.616,188.782,6352
2015.08.24,14:00,188.785,188.883,188.502,188.859,6036
2015.08.24,14:30,188.859,188.868,188.122,188.5,8261
2015.08.24,15:00,188.506,189.156,188.311,189.113,8582
2015.08.24,15:30,189.111,189.198,188.649,188.649,9014
2015.08.24,16:00,188.645,188.688,183.194,185.151,11907
2015.08.24,16:30,185.146,186.729,184.927,185.85,11631
2015.08.24,17:00,185.85,187.476,185.758,187.37,10114
2015.08.24,17:30,187.37,187.426,186.596,186.897,10016
2015.08.24,18:00,186.896,186.931,185.416,186.106,10061
2015.08.24,18:30,186.1,186.854,185.921,186.643,6446
2015.08.24,19:00,186.641,187.323,186.379,187.256,7123
2015.08.24,19:30,187.256,187.753,187.079,187.589,7414
2015.08.24,20:00,187.587,188.1,187.568,187.84,7648
2015.08.24,20:30,187.846,187.846,187.402,187.431,5865
2015.08.24,21:00,187.436,187.596,186.98,187.346,6256
2015.08.24,21:30,187.346,187.649,186.706,186.706,6984
2015.08.24,22:00,186.702,187.173,186.665,187.036,6481
2015.08.24,22:30,187.038,187.636,186.962,186.962,6791
2015.08.24,23:00,186.962,187.166,186.848,186.913,3256
