date,ignore,open,high,low,close,volume
2015.11.02,00:00,1.05683,1.05683,1.05329,1.05355,2856
2015.11.02,00:30,1.05345,1.05437,1.05227,1.0543,3476
2015.11.02,01:00,1.05425,1.05481,1.05303,1.05442,3732
2015.11.02,01:30,1.05442,1.05463,1.0533,1.05348,4313
2015.11.02,02:00,1.05353,1.05472,1.05343,1.05382,2492
2015.11.02,02:30,1.05384,1.05526,1.05344,1.05459,1938
2015.11.02,03:00,1.05456,1.05491,1.05264,1.05284,2046
2015.11.02,03:30,1.05284,1.05413,1.05176,1.05289,2465
2015.11.02,04:00,1.05291,1.05373,1.0526,1.05308,1663
2015.11.02,04:30,1.05311,1.05365,1.05271,1.05297,1722
2015.11.02,05:00,1.05298,1.05347,1.05265,1.05274,1877
2015.11.02,05:30,1.05274,1.05329,1.05266,1.05272,1449
2015.11.02,06:00,1.05272,1.0536,1.05272,1.05342,1521
2015.11.02,06:30,1.05342,1.05405,1.05332,1.05376,1295
2015.11.02,07:00,1.05375,1.05482,1.05366,1.05416,2019
2015.11.02,07:30,1.05416,1.05437,1.05347,1.05433,1909
2015.11.02,08:00,1.05431,1.0548,1.05395,1.05467,1894
2015.11.02,08:30,1.05477,1.05521,1.05416,1.0551,2920
2015.11.02,09:00,1.05513,1.05515,1.05404,1.0541,1976
2015.11.02,09:30,1.05409,1.05647,1.05361,1.05629,2307
2015.11.02,10:00,1.05628,1.05745,1.05604,1.05726,2582
2015.11.02,10:30,1.05726,1.05807,1.0567,1.05718,2457
2015.11.02,11:00,1.05715,1.05904,1.05688,1.05882,3200
2015.11.02,11:30,1.05886,1.05915,1.05749,1.05826,3298
2015.11.02,12:00,1.05825,1.05859,1.05725,1.0575,2807
2015.11.02,12:30,1.05754,1.05863,1.05723,1.05745,2614
2015.11.02,13:00,1.05745,1.05834,1.05688,1.05702,2037
2015.11.02,13:30,1.05702,1.05756,1.05694,1.05742,1157
2015.11.02,14:00,1.05742,1.05758,1.05693,1.05715,2066
2015.11.02,14:30,1.05716,1.05784,1.05676,1.05715,1963
2015.11.02,15:00,1.05719,1.05818,1.05718,1.05805,1677
2015.11.02,15:30,1.05806,1.05806,1.05656,1.05658,1355
2015.11.02,16:00,1.05659,1.05717,1.056,1.05669,1908
2015.11.02,16:30,1.05665,1.05685,1.05592,1.05666,2116
2015.11.02,17:00,1.05649,1.05674,1.0557,1.05601,3596
2015.11.02,17:30,1.05609,1.05661,1.05556,1.05645,3614
2015.11.02,18:00,1.05644,1.05811,1.05641,1.05807,3208
2015.11.02,18:30,1.05807,1.05872,1.05766,1.05836,1693
2015.11.02,19:00,1.05837,1.05898,1.05837,1.05863,1707
2015.11.02,19:30,1.05862,1.05907,1.05833,1.05833,2293
2015.11.02,20:00,1.05833,1.05922,1.05815,1.05892,1918
2015.11.02,20:30,1.05892,1.05935,1.05871,1.05927,1540
2015.11.02,21:00,1.05932,1.06032,1.05909,1.05979,1760
2015.11.02,21:30,1.05977,1.05992,1.05898,1.05935,1261
2015.11.02,22:00,1.05925,1.05962,1.05909,1.0595,1809
2015.11.02,22:30,1.05952,1.06009,1.05926,1.06008,1836
2015.11.02,23:00,1.06009,1.0611,1.05981,1.06081,1353
2015.11.02,23:30,1.06085,1.0611,1.05893,1.05899,3046
2015.11.03,00:00,1.05896,1.05985,1.05863,1.05898,319
2015.11.03,00:30,1.05898,1.05956,1.0585,1.05885,2189
2015.11.03,01:00,1.05885,1.05951,1.05875,1.05902,3743
2015.11.03,01:30,1.05901,1.05987,1.05814,1.05919,2260
2015.11.03,02:00,1.05919,1.05979,1.0585,1.05896,2433
2015.11.03,02:30,1.05896,1.05932,1.05788,1.05928,1957
2015.11.03,03:00,1.05922,1.05983,1.05742,1.05836,2731
2015.11.03,03:30,1.05836,1.05896,1.058,1.05824,2123
2015.11.03,04:00,1.0582,1.05921,1.05794,1.0582,1753
2015.11.03,04:30,1.05818,1.05952,1.05734,1.05864,1947
2015.11.03,05:00,1.05864,1.06007,1.0528,1.05968,2336
2015.11.03,05:30,1.06073,1.06674,1.05717,1.06628,5808
2015.11.03,06:00,1.06628,1.06842,1.06591,1.06623,4174
2015.11.03,06:30,1.06625,1.06849,1.06582,1.0675,2443
2015.11.03,07:00,1.0675,1.06763,1.06683,1.06721,1389
2015.11.03,07:30,1.0672,1.06762,1.06632,1.06692,1702
2015.11.03,08:00,1.06694,1.06757,1.06591,1.06681,1758
2015.11.03,08:30,1.0668,1.06777,1.06637,1.06752,1834
2015.11.03,09:00,1.06752,1.07091,1.06734,1.07076,2835
2015.11.03,09:30,1.07076,1.07097,1.06832,1.06883,2242
2015.11.03,10:00,1.06884,1.06968,1.06752,1.06886,2760
2015.11.03,10:30,1.06885,1.06893,1.06687,1.06697,2630
2015.11.03,11:00,1.06699,1.06959,1.06697,1.06786,2718
2015.11.03,11:30,1.06785,1.06928,1.06764,1.06897,2485
2015.11.03,12:00,1.06907,1.06953,1.06843,1.06856,2257
2015.11.03,12:30,1.0686,1.06944,1.06809,1.06841,1998
2015.11.03,13:00,1.06847,1.06944,1.06789,1.06856,2134
2015.11.03,13:30,1.06855,1.06936,1.06804,1.06881,2120
2015.11.03,14:00,1.06883,1.0697,1.06851,1.0695,2737
2015.11.03,14:30,1.06946,1.06976,1.06874,1.06911,1918
2015.11.03,15:00,1.06911,1.06964,1.06855,1.06862,3051
2015.11.03,15:30,1.06862,1.07318,1.06855,1.07226,3679
2015.11.03,16:00,1.07228,1.07328,1.07196,1.07269,3012
2015.11.03,16:30,1.07276,1.07496,1.07246,1.07449,3993
2015.11.03,17:00,1.07449,1.07538,1.07346,1.0747,3893
2015.11.03,17:30,1.0747,1.0748,1.07353,1.07364,3320
2015.11.03,18:00,1.07362,1.07449,1.07318,1.07351,3218
2015.11.03,18:30,1.07351,1.07469,1.07319,1.07401,2913
2015.11.03,19:00,1.07408,1.07495,1.07372,1.07398,2664
2015.11.03,19:30,1.07397,1.07449,1.07362,1.07387,2728
2015.11.03,20:00,1.07391,1.07414,1.07353,1.07394,2316
2015.11.03,20:30,1.07395,1.07481,1.07298,1.07355,2717
2015.11.03,21:00,1.07355,1.07402,1.07287,1.07319,2080
2015.11.03,21:30,1.07319,1.07449,1.07305,1.0737,1958
2015.11.03,22:00,1.0737,1.0741,1.07286,1.07327,1465
2015.11.03,22:30,1.07328,1.07385,1.07302,1.07374,1927
2015.11.03,23:00,1.07384,1.07384,1.07237,1.07278,984
2015.11.03,23:30,1.07278,1.07949,1.07175,1.07836,3991
2015.11.04,00:00,1.07836,1.07858,1.07691,1.07774,829
2015.11.04,00:30,1.07758,1.07884,1.07747,1.07871,1594
2015.11.04,01:00,1.07871,1.07882,1.0779,1.07808,2105
2015.11.04,01:30,1.07808,1.07954,1.07808,1.07878,3229
2015.11.04,02:00,1.07878,1.07919,1.07806,1.07885,1902
2015.11.04,02:30,1.07884,1.08201,1.07884,1.08116,3138
2015.11.04,03:00,1.08114,1.08331,1.08111,1.08268,2999
2015.11.04,03:30,1.08271,1.08408,1.08271,1.08322,2806
2015.11.04,04:00,1.08322,1.08366,1.08247,1.08301,2695
2015.11.04,04:30,1.08301,1.08344,1.08245,1.08314,2184
2015.11.04,05:00,1.08314,1.08406,1.0826,1.08285,1776
2015.11.04,05:30,1.08286,1.08335,1.08205,1.08239,1782
