date,ignore,open,high,low,close,volume
2016.07.04,00:00,0.72373,0.72621,0.72338,0.72606,360
2016.07.04,00:30,0.72595,0.72706,0.72537,0.72571,697
2016.07.04,01:00,0.72577,0.72742,0.72574,0.7271,2358
2016.07.04,01:30,0.7271,0.72778,0.7271,0.72738,1446
2016.07.04,02:00,0.72738,0.72779,0.72689,0.72728,1311
2016.07.04,02:30,0.72727,0.72761,0.72707,0.72708,966
2016.07.04,03:00,0.72707,0.72762,0.72706,0.72741,1469
2016.07.04,03:30,0.72741,0.7282,0.72741,0.7278,1395
2016.07.04,04:00,0.72782,0.7285,0.72766,0.7282,1540
2016.07.04,04:30,0.72822,0.73014,0.72783,0.73002,2360
2016.07.04,05:00,0.73003,0.73021,0.72911,0.72913,2145
2016.07.04,05:30,0.72912,0.72961,0.72876,0.72906,1628
2016.07.04,06:00,0.72905,0.72972,0.72888,0.72923,1286
2016.07.04,06:30,0.72923,0.7294,0.72847,0.72871,1397
2016.07.04,07:00,0.72871,0.72901,0.7285,0.72876,1010
2016.07.04,07:30,0.72879,0.72897,0.72836,0.72895,793
2016.07.04,08:00,0.72892,0.72955,0.72856,0.72921,1369
2016.07.04,08:30,0.72922,0.73064,0.72922,0.73012,1634
2016.07.04,09:00,0.73013,0.73213,0.73013,0.73138,2299
2016.07.04,09:30,0.73139,0.73188,0.73115,0.73165,2002
2016.07.04,10:00,0.7317,0.73229,0.73119,0.73147,2827
2016.07.04,10:30,0.73146,0.73263,0.73143,0.73194,2278
2016.07.04,11:00,0.73192,0.73291,0.7318,0.73234,2646
2016.07.04,11:30,0.73234,0.73274,0.73153,0.73193,3058
2016.07.04,12:00,0.7319,0.73306,0.73182,0.7329,2084
2016.07.04,12:30,0.7329,0.73382,0.73275,0.73301,2086
2016.07.04,13:00,0.73301,0.73373,0.73298,0.73351,2010
2016.07.04,13:30,0.73352,0.73357,0.73271,0.73308,2059
2016.07.04,14:00,0.73313,0.73369,0.73293,0.73332,1861
2016.07.04,14:30,0.73331,0.73362,0.7327,0.73273,1926
2016.07.04,15:00,0.73272,0.73288,0.73231,0.73252,1849
2016.07.04,15:30,0.73255,0.73263,0.73198,0.73212,1847
2016.07.04,16:00,0.73215,0.73265,0.73194,0.73254,2449
2016.07.04,16:30,0.73256,0.7328,0.73125,0.73164,2476
2016.07.04,17:00,0.73164,0.73246,0.73119,0.73233,2262
2016.07.04,17:30,0.73233,0.7331,0.73202,0.73245,2390
2016.07.04,18:00,0.73246,0.73252,0.73186,0.73251,2672
2016.07.04,18:30,0.73251,0.73317,0.73196,0.73204,1811
2016.07.04,19:00,0.73205,0.73219,0.7315,0.73193,1052
2016.07.04,19:30,0.73194,0.73227,0.73171,0.7319,780
2016.07.04,20:00,0.7319,0.73207,0.73147,0.73181,673
2016.07.04,20:30,0.73175,0.73202,0.73156,0.73179,896
2016.07.04,21:00,0.73179,0.73193,0.73156,0.73179,844
2016.07.04,21:30,0.73179,0.73195,0.73164,0.73182,653
2016.07.04,22:00,0.73182,0.73209,0.73171,0.73196,305
2016.07.04,22:30,0.73196,0.73205,0.73136,0.73138,509
2016.07.04,23:00,0.73139,0.73154,0.73122,0.73122,1084
2016.07.04,23:30,0.73126,0.73161,0.73117,0.73147,754
2016.07.05,00:00,0.731,0.73178,0.73076,0.73082,529
