date,ignore,open,high,low,close,volume
2018.11.05,00:00,113.127,113.211,113.127,113.206,2170
2018.11.05,00:30,113.206,113.227,113.197,113.208,1320
2018.11.05,01:00,113.213,113.22,113.12,113.12,1162
2018.11.05,01:30,113.12,113.157,113.114,113.132,554
2018.11.05,02:00,113.133,113.208,113.104,113.197,2142
2018.11.05,02:30,113.197,113.237,113.173,113.208,1651
2018.11.05,03:00,113.208,113.236,113.165,113.188,1761
2018.11.05,03:30,113.188,113.212,113.104,113.136,1959
2018.11.05,04:00,113.136,113.226,113.122,113.205,1565
2018.11.05,04:30,113.206,113.216,113.15,113.192,1130
2018.11.05,05:00,113.192,113.192,113.147,113.176,789
2018.11.05,05:30,113.176,113.204,113.166,113.19,1108
2018.11.05,06:00,113.19,113.194,113.161,113.168,611
2018.11.05,06:30,113.168,113.229,113.167,113.229,788
2018.11.05,07:00,113.229,113.28,113.195,113.275,1155
2018.11.05,07:30,113.275,113.298,113.243,113.246,1295
2018.11.05,08:00,113.246,113.334,113.238,113.319,994
2018.11.05,08:30,113.321,113.327,113.261,113.305,791
2018.11.05,09:00,113.305,113.307,113.226,113.23,958
2018.11.05,09:30,113.23,113.24,113.179,113.186,976
2018.11.05,10:00,113.184,113.211,113.159,113.198,1439
2018.11.05,10:30,113.199,113.218,113.162,113.216,959
2018.11.05,11:00,113.217,113.245,113.204,113.244,872
2018.11.05,11:30,113.244,113.275,113.232,113.267,979
2018.11.05,12:00,113.267,113.28,113.223,113.229,797
2018.11.05,12:30,113.229,113.241,113.194,113.231,844
2018.11.05,13:00,113.231,113.255,113.219,113.25,896
2018.11.05,13:30,113.25,113.288,113.246,113.254,1005
2018.11.05,14:00,113.254,113.275,113.215,113.242,953
2018.11.05,14:30,113.244,113.318,113.233,113.317,1633
2018.11.05,15:00,113.317,113.333,113.255,113.281,1220
2018.11.05,15:30,113.281,113.281,113.202,113.211,1541
2018.11.05,16:00,113.209,113.218,113.149,113.163,947
2018.11.05,16:30,113.162,113.195,113.122,113.147,2216
2018.11.05,17:00,113.148,113.194,113.071,113.116,2416
2018.11.05,17:30,113.115,113.218,113.112,113.199,2128
2018.11.05,18:00,113.199,113.223,113.159,113.172,1487
2018.11.05,18:30,113.172,113.228,113.164,113.215,1071
2018.11.05,19:00,113.217,113.222,113.179,113.194,608
2018.11.05,19:30,113.193,113.194,113.143,113.165,498
2018.11.05,20:00,113.165,113.212,113.16,113.163,788
2018.11.05,20:30,113.163,113.2,113.162,113.163,537
2018.11.05,21:00,113.163,113.257,113.134,113.252,703
2018.11.05,21:30,113.252,113.252,113.209,113.209,706
2018.11.05,22:00,113.21,113.235,113.19,113.199,751
2018.11.05,22:30,113.199,113.214,113.179,113.214,478
2018.11.05,23:00,113.214,113.22,113.187,113.194,300
2018.11.05,23:30,113.193,113.205,113.185,113.187,395
2018.11.06,00:00,113.18,113.226,113.159,113.19,1072
2018.11.06,00:30,113.191,113.222,113.166,113.197,1178
2018.11.06,01:00,113.197,113.228,113.197,113.207,402
2018.11.06,01:30,113.207,113.258,113.205,113.258,622
2018.11.06,02:00,113.258,113.302,113.228,113.297,1448
2018.11.06,02:30,113.297,113.314,113.228,113.265,1564
2018.11.06,03:00,113.265,113.279,113.234,113.274,1072
2018.11.06,03:30,113.274,113.283,113.25,113.276,1299
2018.11.06,04:00,113.275,113.312,113.272,113.286,941
2018.11.06,04:30,113.286,113.293,113.259,113.285,716
2018.11.06,05:00,113.285,113.3,113.261,113.29,599
2018.11.06,05:30,113.29,113.299,113.262,113.29,656
2018.11.06,06:00,113.29,113.324,113.278,113.312,776
2018.11.06,06:30,113.312,113.356,113.307,113.34,612
2018.11.06,07:00,113.34,113.353,113.319,113.335,597
2018.11.06,07:30,113.335,113.35,113.313,113.326,709
2018.11.06,08:00,113.327,113.424,113.327,113.404,1479
2018.11.06,08:30,113.403,113.424,113.398,113.413,653
2018.11.06,09:00,113.412,113.443,113.348,113.376,1028
2018.11.06,09:30,113.376,113.397,113.332,113.332,874
2018.11.06,10:00,113.332,113.332,113.237,113.288,1566
2018.11.06,10:30,113.289,113.298,113.246,113.262,1406
2018.11.06,11:00,113.262,113.263,113.168,113.191,1410
2018.11.06,11:30,113.191,113.216,113.174,113.187,1301
2018.11.06,12:00,113.187,113.19,113.097,113.12,2127
2018.11.06,12:30,113.12,113.138,113.107,113.127,1290
2018.11.06,13:00,113.127,113.19,113.122,113.158,941
2018.11.06,13:30,113.158,113.165,113.117,113.146,991
2018.11.06,14:00,113.146,113.206,113.136,113.174,1003
2018.11.06,14:30,113.174,113.197,113.152,113.177,919
2018.11.06,15:00,113.177,113.177,113.106,113.12,1228
2018.11.06,15:30,113.12,113.192,113.115,113.181,1858
2018.11.06,16:00,113.181,113.254,113.178,113.247,1145
2018.11.06,16:30,113.249,113.299,113.243,113.256,2128
2018.11.06,17:00,113.256,113.304,113.239,113.266,1867
2018.11.06,17:30,113.266,113.371,113.266,113.369,1975
2018.11.06,18:00,113.372,113.404,113.347,113.36,1710
2018.11.06,18:30,113.36,113.394,113.344,113.383,1409
2018.11.06,19:00,113.383,113.418,113.358,113.414,1023
2018.11.06,19:30,113.414,113.482,113.381,113.477,975
2018.11.06,20:00,113.476,113.491,113.452,113.482,1003
2018.11.06,20:30,113.482,113.5,113.463,113.475,700
2018.11.06,21:00,113.475,113.48,113.336,113.349,932
2018.11.06,21:30,113.349,113.404,113.336,113.398,726
2018.11.06,22:00,113.397,113.458,113.388,113.433,1074
2018.11.06,22:30,113.433,113.464,113.414,113.455,638
2018.11.06,23:00,113.455,113.464,113.437,113.44,215
2018.11.06,23:30,113.439,113.483,113.418,113.424,436
2018.11.07,00:00,113.416,113.447,113.276,113.403,1347
2018.11.07,00:30,113.4,113.449,113.388,113.445,834
2018.11.07,01:00,113.443,113.455,113.407,113.417,1211
2018.11.07,01:30,113.417,113.434,113.333,113.338,1365
2018.11.07,02:00,113.338,113.364,113.265,113.33,2457
2018.11.07,02:30,113.329,113.344,112.96,113.061,4705
2018.11.07,03:00,113.061,113.717,112.992,113.55,7068
2018.11.07,03:30,113.55,113.608,113.406,113.551,4601
2018.11.07,04:00,113.55,113.815,113.543,113.733,3732
2018.11.07,04:30,113.733,113.739,113.419,113.419,4720
2018.11.07,05:00,113.419,113.484,113.332,113.423,3022
2018.11.07,05:30,113.422,113.422,113.19,113.244,3245
2018.11.07,06:00,113.244,113.303,113.178,113.178,2051
2018.11.07,06:30,113.178,113.236,113.153,113.202,1688
2018.11.07,07:00,113.203,113.288,113.172,113.255,1535
2018.11.07,07:30,113.255,113.294,113.103,113.142,1681
2018.11.07,08:00,113.14,113.246,113.128,113.172,1541
2018.11.07,08:30,113.172,113.208,113.112,113.201,1194
