date,ignore,open,high,low,close,volume
2019.01.14,00:00,0.67124,0.67205,0.67071,0.67092,2764
2019.01.14,00:30,0.67093,0.67124,0.67063,0.67064,121
2019.01.14,01:00,0.67068,0.67147,0.67068,0.67115,510
2019.01.14,01:30,0.67115,0.67161,0.67074,0.67079,437
2019.01.14,02:00,0.67079,0.67145,0.67066,0.67121,527
2019.01.14,02:30,0.67121,0.67152,0.67108,0.6715,335
2019.01.14,03:00,0.6715,0.67181,0.67135,0.67166,455
2019.01.14,03:30,0.67167,0.67183,0.67065,0.67065,748
2019.01.14,04:00,0.67065,0.67103,0.67065,0.67085,567
2019.01.14,04:30,0.67085,0.67098,0.66992,0.67,591
2019.01.14,05:00,0.67,0.67002,0.66896,0.66929,1466
2019.01.14,05:30,0.66929,0.66942,0.66901,0.66941,795
2019.01.14,06:00,0.66941,0.66944,0.66871,0.66917,498
2019.01.14,06:30,0.66918,0.66919,0.66882,0.66887,501
2019.01.14,07:00,0.66887,0.66907,0.6687,0.66898,297
2019.01.14,07:30,0.66898,0.6691,0.66879,0.66909,856
2019.01.14,08:00,0.66909,0.66932,0.66835,0.66835,1221
2019.01.14,08:30,0.66835,0.66885,0.66823,0.66867,1092
2019.01.14,09:00,0.66867,0.66923,0.66836,0.66883,1866
2019.01.14,09:30,0.66883,0.66896,0.66844,0.66863,1486
2019.01.14,10:00,0.66863,0.66881,0.66825,0.66873,1500
2019.01.14,10:30,0.66873,0.66901,0.66804,0.66814,1420
2019.01.14,11:00,0.66814,0.66885,0.66806,0.66881,1410
2019.01.14,11:30,0.66882,0.669,0.66862,0.66867,1498
2019.01.14,12:00,0.66866,0.66928,0.66847,0.66922,1904
2019.01.14,12:30,0.66923,0.66998,0.66899,0.66967,1392
2019.01.14,13:00,0.66967,0.66977,0.66938,0.66942,1359
2019.01.14,13:30,0.66942,0.6695,0.66879,0.66902,1539
2019.01.14,14:00,0.66902,0.66927,0.66884,0.66918,1398
2019.01.14,14:30,0.66918,0.66983,0.66907,0.66922,1772
2019.01.14,15:00,0.66922,0.66968,0.66899,0.66945,1911
2019.01.14,15:30,0.66945,0.66998,0.66933,0.66984,1738
2019.01.14,16:00,0.66984,0.67007,0.66934,0.66964,1321
2019.01.14,16:30,0.66966,0.67009,0.66928,0.66965,2074
2019.01.14,17:00,0.66967,0.66977,0.66889,0.6692,1949
2019.01.14,17:30,0.66918,0.66978,0.66874,0.6697,2626
2019.01.14,18:00,0.66969,0.66987,0.66903,0.66925,2351
2019.01.14,18:30,0.66925,0.66954,0.66911,0.66935,1191
2019.01.14,19:00,0.66938,0.66959,0.66926,0.66928,1076
2019.01.14,19:30,0.66928,0.6693,0.66863,0.66904,934
2019.01.14,20:00,0.66903,0.66993,0.6689,0.66993,424
2019.01.14,20:30,0.66993,0.67024,0.66979,0.66987,406
2019.01.14,21:00,0.66987,0.66988,0.6694,0.66953,486
2019.01.14,21:30,0.66954,0.6696,0.66926,0.6693,517
2019.01.14,22:00,0.66928,0.66946,0.66907,0.66915,550
2019.01.14,22:30,0.66915,0.66924,0.66879,0.66897,442
2019.01.14,23:00,0.66897,0.66917,0.6688,0.66912,304
2019.01.14,23:30,0.66912,0.66913,0.6688,0.66888,308
2019.01.15,00:00,0.66889,0.66916,0.66778,0.66874,228
2019.01.15,00:30,0.66873,0.66923,0.6682,0.66859,422
2019.01.15,01:00,0.66859,0.66936,0.66859,0.66927,738
2019.01.15,01:30,0.66927,0.6697,0.66922,0.66954,688
2019.01.15,02:00,0.66954,0.67006,0.66938,0.67003,913
2019.01.15,02:30,0.67003,0.67043,0.66994,0.67038,403
2019.01.15,03:00,0.67038,0.67042,0.66997,0.67021,869
2019.01.15,03:30,0.67021,0.67065,0.66979,0.67008,1302
2019.01.15,04:00,0.67008,0.6703,0.66983,0.66991,726
2019.01.15,04:30,0.66991,0.67004,0.66945,0.6699,737
2019.01.15,05:00,0.66989,0.67066,0.66978,0.67052,906
2019.01.15,05:30,0.67051,0.67055,0.67015,0.67045,711
2019.01.15,06:00,0.67045,0.67062,0.67019,0.67059,670
2019.01.15,06:30,0.67059,0.67073,0.67049,0.67067,393
2019.01.15,07:00,0.67067,0.67099,0.67057,0.67087,796
2019.01.15,07:30,0.67087,0.6716,0.67079,0.67154,555
2019.01.15,08:00,0.67154,0.67174,0.6713,0.67136,858
2019.01.15,08:30,0.67136,0.67154,0.67108,0.67153,701
2019.01.15,09:00,0.67153,0.67165,0.67115,0.67116,967
2019.01.15,09:30,0.67116,0.67151,0.67076,0.67145,1179
2019.01.15,10:00,0.67145,0.6723,0.6713,0.67181,1742
2019.01.15,10:30,0.6718,0.67211,0.67168,0.67189,1436
2019.01.15,11:00,0.67189,0.67242,0.67186,0.67225,2240
2019.01.15,11:30,0.67225,0.67246,0.67165,0.67179,1725
2019.01.15,12:00,0.6718,0.67255,0.67173,0.67253,1659
2019.01.15,12:30,0.67252,0.6733,0.6725,0.67316,1926
2019.01.15,13:00,0.67315,0.67381,0.67277,0.67297,1575
2019.01.15,13:30,0.67296,0.67316,0.67254,0.67263,1505
2019.01.15,14:00,0.67263,0.6727,0.67203,0.67206,1771
2019.01.15,14:30,0.67205,0.67208,0.6715,0.67197,1293
2019.01.15,15:00,0.67197,0.67242,0.67155,0.67155,2169
2019.01.15,15:30,0.67161,0.67225,0.67147,0.67219,2464
2019.01.15,16:00,0.6722,0.67251,0.6721,0.67234,2108
2019.01.15,16:30,0.67233,0.67364,0.67227,0.67353,2144
2019.01.15,17:00,0.67353,0.6736,0.67196,0.67241,3109
2019.01.15,17:30,0.67243,0.673,0.67198,0.67291,2135
2019.01.15,18:00,0.67291,0.67356,0.67281,0.67316,3779
2019.01.15,18:30,0.67317,0.67339,0.67273,0.67313,1800
2019.01.15,19:00,0.67315,0.6737,0.67313,0.67342,1700
2019.01.15,19:30,0.67341,0.67345,0.67243,0.67253,1176
2019.01.15,20:00,0.67254,0.6727,0.67229,0.67249,873
2019.01.15,20:30,0.67249,0.67289,0.67249,0.67252,821
2019.01.15,21:00,0.67252,0.67297,0.67236,0.67266,948
2019.01.15,21:30,0.67267,0.67323,0.67235,0.67314,3088
2019.01.15,22:00,0.67313,0.67344,0.6728,0.67281,1966
2019.01.15,22:30,0.67283,0.67305,0.6727,0.67285,1038
2019.01.15,23:00,0.67285,0.67313,0.67263,0.67301,464
2019.01.15,23:30,0.673,0.67325,0.67258,0.67279,503
2019.01.16,00:00,0.67299,0.67317,0.67268,0.67278,490
2019.01.16,00:30,0.67279,0.67324,0.67276,0.67297,358
2019.01.16,01:00,0.67297,0.67331,0.67292,0.67293,668
2019.01.16,01:30,0.67295,0.67388,0.67281,0.67322,1047
2019.01.16,02:00,0.67323,0.6738,0.67313,0.67361,673
2019.01.16,02:30,0.67362,0.67393,0.67336,0.67358,615
2019.01.16,03:00,0.67358,0.67386,0.67258,0.67258,962
2019.01.16,03:30,0.6726,0.67295,0.67224,0.67249,1077
2019.01.16,04:00,0.67249,0.67284,0.67226,0.67278,620
2019.01.16,04:30,0.67278,0.6729,0.67224,0.67273,524
2019.01.16,05:00,0.67273,0.67299,0.67258,0.67297,585
2019.01.16,05:30,0.67297,0.67303,0.67241,0.67301,557
2019.01.16,06:00,0.67301,0.67331,0.67271,0.67328,759
2019.01.16,06:30,0.67328,0.67334,0.67286,0.67295,732
2019.01.16,07:00,0.67295,0.67421,0.67287,0.67416,518
2019.01.16,07:30,0.67416,0.67476,0.67407,0.67456,873
2019.01.16,08:00,0.67456,0.67459,0.67426,0.67438,792
2019.01.16,08:30,0.67438,0.67485,0.67425,0.67473,820
2019.01.16,09:00,0.67471,0.67502,0.67449,0.67462,1267
2019.01.16,09:30,0.67463,0.67488,0.67448,0.67481,974
2019.01.16,10:00,0.67481,0.67481,0.67332,0.67364,1670
2019.01.16,10:30,0.67364,0.6737,0.67239,0.67243,1530
2019.01.16,11:00,0.67242,0.67277,0.67191,0.67209,1574
2019.01.16,11:30,0.6721,0.67214,0.67019,0.67037,1620
2019.01.16,12:00,0.67034,0.67052,0.66991,0.67,1138
2019.01.16,12:30,0.67002,0.67006,0.66905,0.66926,1179
2019.01.16,13:00,0.66927,0.66935,0.66763,0.66866,1905
2019.01.16,13:30,0.66866,0.66985,0.66826,0.66947,1385
