date,ignore,open,high,low,close,volume
2019.11.25,00:00,1.09863,1.0997,1.09838,1.09928,695
2019.11.25,00:30,1.09928,1.09997,1.09928,1.09995,370
2019.11.25,01:00,1.09994,1.09994,1.09963,1.0998,657
2019.11.25,01:30,1.0998,1.09991,1.09961,1.09971,412
2019.11.25,02:00,1.0997,1.0997,1.09924,1.09937,850
2019.11.25,02:30,1.09937,1.09944,1.09927,1.09934,504
2019.11.25,03:00,1.09934,1.09943,1.09921,1.09932,1148
2019.11.25,03:30,1.09932,1.09938,1.09908,1.09911,1668
2019.11.25,04:00,1.09911,1.09914,1.09894,1.09906,3306
2019.11.25,04:30,1.09906,1.09917,1.09859,1.09875,1768
2019.11.25,05:00,1.09875,1.09882,1.09827,1.0983,391
2019.11.25,05:30,1.0983,1.09847,1.09821,1.09825,201
2019.11.25,06:00,1.09825,1.09849,1.09824,1.09836,362
2019.11.25,06:30,1.09836,1.09864,1.09833,1.09845,506
2019.11.25,07:00,1.09845,1.09897,1.0984,1.09882,1805
2019.11.25,07:30,1.09882,1.10004,1.09881,1.09983,1493
2019.11.25,08:00,1.09983,1.09983,1.09947,1.09948,641
2019.11.25,08:30,1.09948,1.09963,1.0992,1.09923,493
2019.11.25,09:00,1.09923,1.09959,1.09909,1.09933,1016
2019.11.25,09:30,1.09933,1.09976,1.09933,1.09961,1010
2019.11.25,10:00,1.0996,1.09999,1.09928,1.09934,1307
2019.11.25,10:30,1.09934,1.09978,1.09892,1.09893,1064
2019.11.25,11:00,1.09893,1.0994,1.09838,1.0986,1268
2019.11.25,11:30,1.0986,1.09882,1.0984,1.09862,1065
2019.11.25,12:00,1.09863,1.09887,1.09819,1.09837,694
2019.11.25,12:30,1.09837,1.09884,1.09827,1.09861,713
2019.11.25,13:00,1.09861,1.09879,1.09831,1.09872,478
2019.11.25,13:30,1.09871,1.09932,1.09859,1.09928,548
2019.11.25,14:00,1.09928,1.09962,1.09908,1.09944,1019
2019.11.25,14:30,1.09944,1.09955,1.09873,1.09888,798
2019.11.25,15:00,1.09888,1.09891,1.0984,1.09882,1510
2019.11.25,15:30,1.09882,1.09943,1.09862,1.09936,1103
2019.11.25,16:00,1.09936,1.09939,1.09867,1.09898,1232
2019.11.25,16:30,1.099,1.09902,1.0975,1.09816,2381
2019.11.25,17:00,1.09815,1.09872,1.09789,1.09872,1303
2019.11.25,17:30,1.09872,1.0996,1.09806,1.0981,1440
2019.11.25,18:00,1.0981,1.09818,1.09694,1.09697,1250
2019.11.25,18:30,1.09697,1.09732,1.09689,1.09693,1240
2019.11.25,19:00,1.09693,1.09723,1.09669,1.09722,827
2019.11.25,19:30,1.09722,1.09745,1.09696,1.09697,825
2019.11.25,20:00,1.09696,1.09723,1.09693,1.09715,541
2019.11.25,20:30,1.09715,1.0973,1.09701,1.0972,702
2019.11.25,21:00,1.0972,1.09742,1.09708,1.0974,605
2019.11.25,21:30,1.0974,1.09775,1.09737,1.09775,506
2019.11.25,22:00,1.09775,1.09781,1.09752,1.09772,699
2019.11.25,22:30,1.09772,1.09796,1.09762,1.0977,771
2019.11.25,23:00,1.0977,1.09777,1.09746,1.0975,204
2019.11.25,23:30,1.0975,1.09764,1.09717,1.09717,432
2019.11.26,00:00,1.09708,1.09733,1.09671,1.09679,464
2019.11.26,00:30,1.09679,1.09753,1.09679,1.09745,362
2019.11.26,01:00,1.09739,1.09763,1.09739,1.09748,553
2019.11.26,01:30,1.09749,1.09759,1.09735,1.09746,605
2019.11.26,02:00,1.09746,1.09793,1.09746,1.09787,596
2019.11.26,02:30,1.09787,1.09791,1.09765,1.09778,542
2019.11.26,03:00,1.09776,1.09779,1.09741,1.09749,690
2019.11.26,03:30,1.09749,1.09839,1.09737,1.09778,1486
2019.11.26,04:00,1.09778,1.09779,1.09748,1.09757,450
2019.11.26,04:30,1.09757,1.09762,1.09747,1.0975,331
2019.11.26,05:00,1.0975,1.09782,1.09747,1.09776,475
2019.11.26,05:30,1.09775,1.09785,1.09752,1.09755,500
2019.11.26,06:00,1.09755,1.09765,1.09749,1.09765,370
2019.11.26,06:30,1.09765,1.0977,1.09727,1.09744,490
2019.11.26,07:00,1.09744,1.09768,1.09739,1.0976,304
2019.11.26,07:30,1.09759,1.09775,1.09757,1.09762,441
2019.11.26,08:00,1.09763,1.09784,1.09762,1.09765,241
2019.11.26,08:30,1.09765,1.09776,1.09757,1.09769,272
2019.11.26,09:00,1.09769,1.09888,1.09769,1.09864,957
2019.11.26,09:30,1.09864,1.09957,1.09862,1.09956,918
2019.11.26,10:00,1.09956,1.09986,1.09895,1.09969,1301
2019.11.26,10:30,1.09969,1.09995,1.0991,1.09948,1449
2019.11.26,11:00,1.09947,1.09968,1.09898,1.09943,1139
2019.11.26,11:30,1.09943,1.09943,1.09869,1.0988,811
2019.11.26,12:00,1.0988,1.09897,1.0986,1.09886,806
2019.11.26,12:30,1.09886,1.09891,1.09852,1.09853,672
2019.11.26,13:00,1.09853,1.09855,1.0982,1.09823,573
2019.11.26,13:30,1.09823,1.09854,1.0981,1.09849,634
2019.11.26,14:00,1.09849,1.0985,1.09817,1.09846,516
2019.11.26,14:30,1.09846,1.09911,1.09844,1.09887,744
2019.11.26,15:00,1.09889,1.09927,1.09837,1.09838,918
2019.11.26,15:30,1.09839,1.09858,1.09833,1.09833,846
2019.11.26,16:00,1.09832,1.09869,1.09797,1.09862,1229
2019.11.26,16:30,1.09863,1.09888,1.09795,1.09807,2041
2019.11.26,17:00,1.09807,1.09859,1.09801,1.09809,1383
2019.11.26,17:30,1.09809,1.09967,1.09802,1.09962,1346
2019.11.26,18:00,1.09962,1.1,1.09924,1.0993,1299
2019.11.26,18:30,1.0993,1.0993,1.0986,1.09877,1274
2019.11.26,19:00,1.09877,1.09919,1.09867,1.09915,855
2019.11.26,19:30,1.09915,1.09949,1.09872,1.09926,755
2019.11.26,20:00,1.09928,1.09954,1.09913,1.09943,676
2019.11.26,20:30,1.09943,1.09943,1.0991,1.09928,476
2019.11.26,21:00,1.09928,1.09944,1.09902,1.09905,806
2019.11.26,21:30,1.09905,1.09909,1.0988,1.09891,612
2019.11.26,22:00,1.09891,1.09897,1.09863,1.09883,791
2019.11.26,22:30,1.09882,1.09913,1.09874,1.09908,602
2019.11.26,23:00,1.09908,1.09937,1.09902,1.0993,345
2019.11.26,23:30,1.0993,1.09946,1.09858,1.09858,534
2019.11.27,00:00,1.09858,1.09922,1.0984,1.09898,440
2019.11.27,00:30,1.09898,1.09953,1.09869,1.09952,2336
2019.11.27,01:00,1.09952,1.09952,1.09919,1.09942,402
2019.11.27,01:30,1.09942,1.09965,1.09934,1.09958,152
2019.11.27,02:00,1.09958,1.09962,1.09937,1.09947,545
2019.11.27,02:30,1.09944,1.09947,1.09927,1.09928,573
2019.11.27,03:00,1.09928,1.09961,1.09917,1.09941,385
2019.11.27,03:30,1.09941,1.09945,1.09919,1.09926,541
2019.11.27,04:00,1.09926,1.09935,1.09907,1.09914,438
2019.11.27,04:30,1.09915,1.09937,1.09909,1.09935,428
2019.11.27,05:00,1.09934,1.09942,1.09907,1.0991,403
2019.11.27,05:30,1.0991,1.09922,1.09889,1.09891,251
2019.11.27,06:00,1.09891,1.09905,1.0988,1.09895,401
2019.11.27,06:30,1.09895,1.0991,1.09889,1.09908,1225
2019.11.27,07:00,1.09908,1.09917,1.09897,1.09899,221
2019.11.27,07:30,1.09899,1.09906,1.09868,1.09884,241
2019.11.27,08:00,1.09884,1.09903,1.09877,1.09887,466
2019.11.27,08:30,1.09887,1.09916,1.09862,1.09873,305
2019.11.27,09:00,1.09873,1.09946,1.09849,1.09939,842
2019.11.27,09:30,1.09939,1.09942,1.09867,1.09925,915
2019.11.27,10:00,1.09925,1.09927,1.09856,1.09864,1185
2019.11.27,10:30,1.09864,1.09873,1.09806,1.0982,1184
2019.11.27,11:00,1.0982,1.0984,1.09795,1.09819,971
2019.11.27,11:30,1.09819,1.09852,1.0981,1.09848,824
2019.11.27,12:00,1.09848,1.09862,1.09813,1.09854,726
2019.11.27,12:30,1.09854,1.09861,1.09812,1.09816,969
2019.11.27,13:00,1.09816,1.09853,1.09811,1.09848,805
2019.11.27,13:30,1.09848,1.09861,1.0982,1.09832,654
2019.11.27,14:00,1.09832,1.09845,1.09809,1.09821,925
2019.11.27,14:30,1.09821,1.09884,1.09819,1.09844,798
2019.11.27,15:00,1.09844,1.09901,1.09844,1.09877,932
2019.11.27,15:30,1.09877,1.09938,1.09858,1.09888,1906
2019.11.27,16:00,1.09892,1.09913,1.09848,1.09871,1659
2019.11.27,16:30,1.09866,1.09894,1.09847,1.09881,1928
2019.11.27,17:00,1.09881,1.09932,1.09881,1.09913,1760
2019.11.27,17:30,1.09913,1.09941,1.09861,1.09879,1376
2019.11.27,18:00,1.09878,1.09914,1.09838,1.09913,1386
2019.11.27,18:30,1.09913,1.09992,1.099,1.09969,1124
2019.11.27,19:00,1.09969,1.10003,1.09957,1.09988,581
2019.11.27,19:30,1.09987,1.09987,1.09945,1.09965,636
2019.11.27,20:00,1.09965,1.09983,1.09946,1.09961,841
2019.11.27,20:30,1.09961,1.09977,1.09939,1.09939,368
2019.11.27,21:00,1.09939,1.09969,1.09932,1.09958,964
2019.11.27,21:30,1.09958,1.09994,1.0995,1.09985,913
2019.11.27,22:00,1.09987,1.09994,1.09964,1.09975,643
2019.11.27,22:30,1.09975,1.09975,1.09916,1.09938,2029
2019.11.27,23:00,1.09938,1.09965,1.09925,1.09953,709
2019.11.27,23:30,1.09953,1.09958,1.09868,1.09882,579
2019.11.28,00:00,1.09881,1.09939,1.09853,1.09896,615
2019.11.28,00:30,1.09911,1.09927,1.09874,1.09905,2629
2019.11.28,01:00,1.09905,1.0994,1.09847,1.09849,598
2019.11.28,01:30,1.09849,1.09897,1.09848,1.09896,329
2019.11.28,02:00,1.09896,1.0993,1.09874,1.0988,562
2019.11.28,02:30,1.0988,1.09921,1.09872,1.09906,693
2019.11.28,03:00,1.09906,1.09907,1.09877,1.09887,360
2019.11.28,03:30,1.09886,1.09917,1.09861,1.09912,425
2019.11.28,04:00,1.09912,1.0994,1.09909,1.09919,2372
