date,ignore,open,high,low,close,volume
2020.04.13,00:00,112.187,112.234,111.912,112.233,139
2020.04.13,00:30,112.189,112.314,112.064,112.221,187
2020.04.13,01:00,112.221,112.347,112.083,112.222,804
2020.04.13,01:30,112.226,112.24,112.183,112.19,670
2020.04.13,02:00,112.189,112.242,112.12,112.124,1027
2020.04.13,02:30,112.122,112.188,112.108,112.153,1257
2020.04.13,03:00,112.157,112.185,112.072,112.133,1382
2020.04.13,03:30,112.134,112.144,111.99,112.005,1149
2020.04.13,04:00,112.003,112.011,111.837,111.837,1202
2020.04.13,04:30,111.837,111.922,111.793,111.911,777
2020.04.13,05:00,111.907,111.94,111.848,111.883,788
2020.04.13,05:30,111.883,111.903,111.836,111.839,734
2020.04.13,06:00,111.839,111.892,111.806,111.891,701
2020.04.13,06:30,111.89,111.943,111.878,111.913,502
2020.04.13,07:00,111.913,111.913,111.848,111.874,671
2020.04.13,07:30,111.874,111.875,111.722,111.76,903
2020.04.13,08:00,111.758,111.816,111.748,111.794,605
2020.04.13,08:30,111.8,111.817,111.76,111.788,780
2020.04.13,09:00,111.784,111.831,111.742,111.82,959
2020.04.13,09:30,111.815,111.96,111.787,111.954,1254
2020.04.13,10:00,111.953,111.969,111.853,111.87,1175
2020.04.13,10:30,111.867,111.905,111.771,111.845,904
2020.04.13,11:00,111.845,111.865,111.749,111.791,1234
2020.04.13,11:30,111.791,111.811,111.717,111.725,853
2020.04.13,12:00,111.722,111.782,111.717,111.76,522
2020.04.13,12:30,111.76,111.77,111.709,111.741,483
2020.04.13,13:00,111.742,111.79,111.599,111.633,1217
2020.04.13,13:30,111.638,111.705,111.638,111.685,778
2020.04.13,14:00,111.685,111.723,111.633,111.65,855
2020.04.13,14:30,111.653,111.699,111.607,111.637,1005
2020.04.13,15:00,111.64,111.701,111.601,111.613,1052
2020.04.13,15:30,111.612,111.673,111.598,111.635,1100
2020.04.13,16:00,111.635,111.636,111.508,111.508,1065
2020.04.13,16:30,111.51,111.552,111.414,111.447,1583
2020.04.13,17:00,111.444,111.465,111.392,111.393,1401
2020.04.13,17:30,111.393,111.408,111.245,111.29,1283
2020.04.13,18:00,111.289,111.303,111.196,111.257,1026
2020.04.13,18:30,111.257,111.262,111.19,111.203,831
2020.04.13,19:00,111.201,111.323,111.196,111.263,798
2020.04.13,19:30,111.263,111.303,111.247,111.289,899
2020.04.13,20:00,111.289,111.289,111.202,111.224,757
2020.04.13,20:30,111.224,111.273,111.202,111.27,938
2020.04.13,21:00,111.27,111.295,111.222,111.255,813
2020.04.13,21:30,111.254,111.289,111.212,111.256,834
2020.04.13,22:00,111.258,111.3,111.227,111.245,963
2020.04.13,22:30,111.245,111.348,111.244,111.317,821
2020.04.13,23:00,111.317,111.401,111.31,111.367,559
2020.04.13,23:30,111.367,111.39,111.307,111.369,597
2020.04.14,00:00,111.328,111.438,111.192,111.338,410
2020.04.14,00:30,111.324,111.373,111.232,111.269,771
2020.04.14,01:00,111.263,111.343,111.244,111.307,599
2020.04.14,01:30,111.312,111.372,111.31,111.337,451
2020.04.14,02:00,111.344,111.376,111.315,111.366,545
2020.04.14,02:30,111.366,111.379,111.298,111.313,684
2020.04.14,03:00,111.313,111.394,111.293,111.382,1445
2020.04.14,03:30,111.381,111.428,111.34,111.407,1206
2020.04.14,04:00,111.407,111.423,111.336,111.386,1006
2020.04.14,04:30,111.386,111.557,111.352,111.545,1309
2020.04.14,05:00,111.545,111.584,111.52,111.535,1294
2020.04.14,05:30,111.537,111.663,111.512,111.658,998
2020.04.14,06:00,111.658,111.673,111.606,111.618,829
2020.04.14,06:30,111.618,111.631,111.578,111.591,596
2020.04.14,07:00,111.591,111.722,111.585,111.708,782
2020.04.14,07:30,111.708,111.708,111.624,111.632,847
2020.04.14,08:00,111.632,111.634,111.543,111.592,783
2020.04.14,08:30,111.592,111.656,111.59,111.611,967
2020.04.14,09:00,111.611,111.652,111.509,111.549,1265
2020.04.14,09:30,111.552,111.586,111.48,111.521,776
2020.04.14,10:00,111.521,111.609,111.508,111.561,1030
2020.04.14,10:30,111.561,111.63,111.525,111.6,790
2020.04.14,11:00,111.6,111.6,111.376,111.417,888
2020.04.14,11:30,111.42,111.513,111.409,111.434,813
2020.04.14,12:00,111.437,111.446,111.336,111.427,935
2020.04.14,12:30,111.427,111.561,111.381,111.521,1017
2020.04.14,13:00,111.521,111.564,111.489,111.536,760
2020.04.14,13:30,111.536,111.565,111.473,111.495,1068
2020.04.14,14:00,111.495,111.531,111.458,111.529,755
2020.04.14,14:30,111.532,111.583,111.473,111.534,1091
2020.04.14,15:00,111.533,111.639,111.531,111.603,1259
2020.04.14,15:30,111.603,111.728,111.596,111.713,1194
2020.04.14,16:00,111.717,111.725,111.625,111.628,1175
2020.04.14,16:30,111.628,111.654,111.487,111.499,1389
