date,ignore,open,high,low,close,volume
2020.04.27,0:00,1.93569,1.93712,1.93412,1.93554,148
2020.04.27,0:30,1.93513,1.93726,1.9349,1.93566,237
2020.04.27,1:00,1.93566,1.93614,1.93306,1.93562,438
2020.04.27,1:30,1.93562,1.93684,1.93457,1.93527,418
2020.04.27,2:00,1.93522,1.9355,1.93268,1.93285,516
2020.04.27,2:30,1.93285,1.93392,1.93241,1.93274,551
2020.04.27,3:00,1.93278,1.93364,1.93073,1.93092,828
2020.04.27,3:30,1.93092,1.93235,1.92819,1.93,1176
2020.04.27,4:00,1.92998,1.93071,1.92537,1.92543,1339
2020.04.27,4:30,1.92543,1.92807,1.92466,1.9258,1766
2020.04.27,5:00,1.9258,1.92629,1.92441,1.92598,994
2020.04.27,5:30,1.92598,1.92661,1.92522,1.92646,562
2020.04.27,6:00,1.92646,1.92692,1.92513,1.92635,671
2020.04.27,6:30,1.92635,1.92758,1.92582,1.92756,643
2020.04.27,7:00,1.92756,1.92756,1.9265,1.92664,421
2020.04.27,7:30,1.92664,1.93114,1.92623,1.92698,1124
2020.04.27,8:00,1.92698,1.92797,1.92321,1.92472,798
2020.04.27,8:30,1.92472,1.92622,1.92411,1.92585,1031
2020.04.27,9:00,1.92597,1.92771,1.92516,1.92614,1412
2020.04.27,9:30,1.92614,1.927,1.92391,1.92465,1413
2020.04.27,10:00,1.92478,1.92617,1.92392,1.92585,2063
2020.04.27,10:30,1.92583,1.92633,1.92479,1.92597,1528
2020.04.27,11:00,1.92601,1.92921,1.92545,1.92651,1621
2020.04.27,11:30,1.92651,1.92709,1.92455,1.92548,1698
2020.04.27,12:00,1.92558,1.92605,1.92431,1.92492,1476
2020.04.27,12:30,1.92492,1.92528,1.92296,1.92429,1402
2020.04.27,13:00,1.92435,1.92525,1.9239,1.92429,1303
2020.04.27,13:30,1.92426,1.92671,1.92372,1.92591,1375
2020.04.27,14:00,1.92591,1.92713,1.92579,1.92676,1449
2020.04.27,14:30,1.92676,1.92719,1.9244,1.92554,1412
2020.04.27,15:00,1.92554,1.92607,1.92357,1.92521,1478
2020.04.27,15:30,1.92522,1.92524,1.92336,1.92364,1607
2020.04.27,16:00,1.92363,1.92373,1.92039,1.92168,1328
2020.04.27,16:30,1.92167,1.92462,1.92125,1.92263,1943
2020.04.27,17:00,1.92257,1.92451,1.92189,1.92199,1959
2020.04.27,17:30,1.922,1.9229,1.91944,1.91966,2179
2020.04.27,18:00,1.9197,1.92184,1.9194,1.92184,1620
2020.04.27,18:30,1.92184,1.92296,1.92103,1.92277,845
2020.04.27,19:00,1.92277,1.92347,1.92214,1.92274,1506
2020.04.27,19:30,1.92274,1.92311,1.92172,1.92184,1130
2020.04.27,20:00,1.92184,1.92279,1.92167,1.92233,851
2020.04.27,20:30,1.92233,1.92285,1.92164,1.92203,610
2020.04.27,21:00,1.92203,1.92298,1.92184,1.92295,1189
2020.04.27,21:30,1.92296,1.92324,1.92111,1.92136,1068
2020.04.27,22:00,1.9213,1.92205,1.92105,1.92147,686
2020.04.27,22:30,1.92146,1.92266,1.92091,1.92241,801
2020.04.27,23:00,1.92232,1.92409,1.92214,1.92341,429
2020.04.27,23:30,1.92341,1.92447,1.92198,1.92198,1023
2020.04.28,0:00,1.92262,1.92287,1.91639,1.92282,453
2020.04.28,0:30,1.92299,1.92389,1.91896,1.92212,1369
2020.04.28,1:00,1.92208,1.92323,1.92054,1.92209,452
2020.04.28,1:30,1.92209,1.92462,1.92182,1.92351,500
2020.04.28,2:00,1.92357,1.92717,1.92357,1.92667,675
2020.04.28,2:30,1.92667,1.92755,1.92566,1.92569,515
2020.04.28,3:00,1.92569,1.92632,1.92432,1.925,789
2020.04.28,3:30,1.92497,1.9254,1.92359,1.92365,862
2020.04.28,4:00,1.92365,1.92429,1.92283,1.92348,946
2020.04.28,4:30,1.92348,1.92816,1.92339,1.92796,1147
2020.04.28,5:00,1.92796,1.92867,1.92656,1.9277,774
2020.04.28,5:30,1.9277,1.92828,1.92641,1.92776,455
2020.04.28,6:00,1.9278,1.92877,1.92682,1.92682,666
2020.04.28,6:30,1.92682,1.9272,1.92561,1.92692,675
2020.04.28,7:00,1.92692,1.92789,1.92626,1.92643,604
2020.04.28,7:30,1.92643,1.92732,1.92577,1.92658,538
2020.04.28,8:00,1.92666,1.92679,1.92399,1.92462,685
2020.04.28,8:30,1.92462,1.925,1.92247,1.92398,1135
2020.04.28,9:00,1.92402,1.92483,1.92244,1.9227,1013
2020.04.28,9:30,1.9227,1.92335,1.92131,1.92221,1019
2020.04.28,10:00,1.92223,1.9238,1.91965,1.92018,1951
2020.04.28,10:30,1.91991,1.92288,1.91946,1.92216,2230
2020.04.28,11:00,1.92214,1.924,1.92184,1.92251,1706
2020.04.28,11:30,1.92251,1.92405,1.92158,1.92307,1813
2020.04.28,12:00,1.92307,1.92323,1.92021,1.92267,2193
2020.04.28,12:30,1.92267,1.92413,1.92033,1.92284,2362
2020.04.28,13:00,1.92274,1.92375,1.92157,1.92304,1395
2020.04.28,13:30,1.92304,1.92338,1.92113,1.92193,1785
2020.04.28,14:00,1.92197,1.9237,1.92012,1.9206,1926
2020.04.28,14:30,1.9206,1.92213,1.92025,1.92105,1378
2020.04.28,15:00,1.92112,1.92239,1.92071,1.92118,1724
2020.04.28,15:30,1.9212,1.92235,1.92007,1.92032,1737
2020.04.28,16:00,1.92032,1.92134,1.91904,1.92085,1825
2020.04.28,16:30,1.92085,1.92113,1.9185,1.91965,1844
2020.04.28,17:00,1.91965,1.91978,1.91676,1.91714,1751
2020.04.28,17:30,1.91714,1.91839,1.91503,1.9164,2702
2020.04.28,18:00,1.91649,1.91751,1.91431,1.91441,2106
2020.04.28,18:30,1.91441,1.91515,1.91309,1.9137,1305
2020.04.28,19:00,1.9137,1.9148,1.91317,1.9134,1671
2020.04.28,19:30,1.91351,1.91401,1.91231,1.91296,1068
2020.04.28,20:00,1.91295,1.91383,1.91112,1.9118,1164
2020.04.28,20:30,1.91178,1.91296,1.91119,1.91284,1332
2020.04.28,21:00,1.91284,1.91351,1.91215,1.91303,1355
2020.04.28,21:30,1.91306,1.91374,1.91252,1.91278,1155
2020.04.28,22:00,1.91277,1.9135,1.91264,1.91327,1226
2020.04.28,22:30,1.91327,1.91417,1.91249,1.91383,1274
2020.04.28,23:00,1.91384,1.91438,1.91319,1.91379,778
2020.04.28,23:30,1.9139,1.91397,1.91263,1.91353,847
2020.04.29,0:00,1.91421,1.91434,1.91154,1.91434,243
2020.04.29,0:30,1.91434,1.91482,1.91346,1.91379,244
2020.04.29,1:00,1.91379,1.91417,1.91261,1.91364,359
