date,ignore,open,high,low,close,volume
2020.06.15,00:00,1.52775,1.52982,1.5276,1.52929,339
2020.06.15,00:30,1.52929,1.53002,1.52885,1.52941,187
2020.06.15,01:00,1.52941,1.53253,1.52877,1.53202,723
2020.06.15,01:30,1.53202,1.5328,1.53163,1.5324,577
2020.06.15,02:00,1.5324,1.53312,1.53182,1.5326,549
2020.06.15,02:30,1.53257,1.53457,1.53222,1.53411,1435
2020.06.15,03:00,1.53403,1.5343,1.53269,1.53321,2177
2020.06.15,03:30,1.53319,1.5344,1.53275,1.53373,1972
2020.06.15,04:00,1.53373,1.53404,1.53325,1.53325,1380
2020.06.15,04:30,1.53325,1.53332,1.53246,1.53294,1522
2020.06.15,05:00,1.53294,1.53363,1.53254,1.53314,1668
2020.06.15,05:30,1.53314,1.5338,1.53297,1.53371,1485
2020.06.15,06:00,1.53369,1.53404,1.53277,1.53292,1020
2020.06.15,06:30,1.53292,1.53405,1.53287,1.53405,989
2020.06.15,07:00,1.53405,1.53432,1.53375,1.53432,951
2020.06.15,07:30,1.53432,1.53477,1.53364,1.53451,1192
2020.06.15,08:00,1.53451,1.53542,1.53447,1.5354,2305
2020.06.15,08:30,1.53538,1.53646,1.53494,1.53631,2355
2020.06.15,09:00,1.53622,1.53714,1.53503,1.53682,2974
2020.06.15,09:30,1.53682,1.53803,1.53488,1.53524,2725
2020.06.15,10:00,1.53525,1.53717,1.53503,1.53702,3757
2020.06.15,10:30,1.53705,1.53802,1.53604,1.538,3074
2020.06.15,11:00,1.53799,1.53927,1.53654,1.5366,3632
2020.06.15,11:30,1.53656,1.5373,1.53562,1.53688,2864
2020.06.15,12:00,1.53688,1.53702,1.53532,1.53577,2466
2020.06.15,12:30,1.53576,1.53644,1.53438,1.53454,2343
2020.06.15,13:00,1.53455,1.53619,1.53445,1.53556,2194
2020.06.15,13:30,1.53551,1.53684,1.53522,1.53656,1767
2020.06.15,14:00,1.53655,1.53701,1.53566,1.53628,1772
2020.06.15,14:30,1.53626,1.53668,1.53441,1.53499,2151
2020.06.15,15:00,1.53499,1.53567,1.53347,1.5348,2731
2020.06.15,15:30,1.5348,1.53623,1.53433,1.53554,2459
2020.06.15,16:00,1.53554,1.53577,1.53423,1.53517,2001
2020.06.15,16:30,1.53517,1.53679,1.5337,1.5358,4733
2020.06.15,17:00,1.53578,1.53669,1.53429,1.53464,3440
2020.06.15,17:30,1.53464,1.53612,1.53259,1.53585,3630
2020.06.15,18:00,1.53586,1.5359,1.53421,1.53513,3542
2020.06.15,18:30,1.53513,1.53582,1.53443,1.5345,3112
2020.06.15,19:00,1.5345,1.53499,1.53371,1.53483,3254
2020.06.15,19:30,1.53484,1.53537,1.53323,1.53323,2318
