date,ignore,open,high,low,close,volume
2020.08.03,00:00,1.34002,1.34033,1.33992,1.34027,83
2020.08.03,00:30,1.34018,1.34027,1.33994,1.34022,143
2020.08.03,01:00,1.34022,1.34059,1.33973,1.33985,600
2020.08.03,01:30,1.33985,1.34022,1.33919,1.33983,524
2020.08.03,02:00,1.33981,1.34038,1.33897,1.34008,838
2020.08.03,02:30,1.34008,1.3406,1.33962,1.34003,928
2020.08.03,03:00,1.34002,1.34204,1.33961,1.34144,1440
2020.08.03,03:30,1.34147,1.34193,1.34071,1.3413,1083
2020.08.03,04:00,1.3413,1.3416,1.33954,1.34,1135
2020.08.03,04:30,1.34,1.3406,1.33961,1.33965,973
2020.08.03,05:00,1.33966,1.34042,1.33962,1.34026,705
2020.08.03,05:30,1.34025,1.34035,1.33977,1.3403,545
2020.08.03,06:00,1.34026,1.34084,1.34007,1.34076,520
2020.08.03,06:30,1.34077,1.34109,1.34052,1.34073,510
2020.08.03,07:00,1.34073,1.34096,1.34037,1.34065,519
2020.08.03,07:30,1.34065,1.34116,1.34021,1.34041,473
2020.08.03,08:00,1.34041,1.34051,1.3401,1.34039,438
2020.08.03,08:30,1.34039,1.34055,1.33996,1.34025,484
2020.08.03,09:00,1.34025,1.34197,1.34005,1.34161,711
2020.08.03,09:30,1.34159,1.34313,1.34149,1.3424,704
2020.08.03,10:00,1.34239,1.34265,1.34157,1.34227,1354
2020.08.03,10:30,1.34226,1.34274,1.34166,1.34192,1139
2020.08.03,11:00,1.34192,1.3423,1.34139,1.34204,1129
2020.08.03,11:30,1.34204,1.34224,1.3413,1.34155,863
2020.08.03,12:00,1.34153,1.3426,1.3415,1.34204,846
2020.08.03,12:30,1.34204,1.34325,1.34204,1.34316,841
2020.08.03,13:00,1.34316,1.34411,1.34296,1.34377,934
2020.08.03,13:30,1.34377,1.34394,1.34305,1.34342,771
2020.08.03,14:00,1.34342,1.34368,1.34295,1.34314,719
2020.08.03,14:30,1.34315,1.34351,1.3424,1.3425,679
2020.08.03,15:00,1.34248,1.34438,1.34229,1.34396,1052
2020.08.03,15:30,1.34393,1.34491,1.34296,1.3432,1088
2020.08.03,16:00,1.34321,1.34387,1.34194,1.34228,1212
2020.08.03,16:30,1.3423,1.34509,1.3423,1.34419,1771
2020.08.03,17:00,1.34424,1.34428,1.34166,1.34252,2345
2020.08.03,17:30,1.34252,1.34278,1.34154,1.34241,2022
2020.08.03,18:00,1.34241,1.34243,1.33985,1.34036,1557
2020.08.03,18:30,1.34035,1.34164,1.3403,1.34072,1319
2020.08.03,19:00,1.34072,1.34099,1.33956,1.34043,762
