date,ignore,open,high,low,close,volume
2015.05.18,00:00,1.88976,1.89027,1.88796,1.88905,517
2015.05.18,00:30,1.88886,1.88942,1.88852,1.88891,149
2015.05.18,01:00,1.8891,1.89161,1.88886,1.89096,425
2015.05.18,01:30,1.89094,1.89213,1.89081,1.89122,239
2015.05.18,02:00,1.89121,1.89229,1.8912,1.89191,314
2015.05.18,02:30,1.89188,1.89192,1.89059,1.89065,475
2015.05.18,03:00,1.89066,1.89165,1.89049,1.89129,1132
2015.05.18,03:30,1.89129,1.89152,1.89073,1.89139,1169
2015.05.18,04:00,1.89139,1.8924,1.8912,1.89183,846
2015.05.18,04:30,1.89183,1.89252,1.89137,1.89177,1052
2015.05.18,05:00,1.89177,1.89302,1.89168,1.89275,1109
2015.05.18,05:30,1.89275,1.89293,1.89211,1.89239,835
2015.05.18,06:00,1.89236,1.89253,1.89185,1.89188,806
2015.05.18,06:30,1.89187,1.89229,1.89184,1.892,550
2015.05.18,07:00,1.89201,1.89245,1.8918,1.89235,422
2015.05.18,07:30,1.89235,1.89237,1.89168,1.89188,423
2015.05.18,08:00,1.89188,1.8921,1.89127,1.89164,629
2015.05.18,08:30,1.89164,1.89176,1.89025,1.89031,987
2015.05.18,09:00,1.89029,1.89168,1.88946,1.88961,1296
2015.05.18,09:30,1.88955,1.89025,1.88837,1.88952,2151
2015.05.18,10:00,1.88952,1.89041,1.88534,1.8865,2848
2015.05.18,10:30,1.88655,1.88924,1.88624,1.88893,2359
2015.05.18,11:00,1.88893,1.88907,1.88609,1.88702,2274
2015.05.18,11:30,1.88703,1.88833,1.88625,1.88628,1810
2015.05.18,12:00,1.88633,1.8874,1.88477,1.88602,1601
2015.05.18,12:30,1.88602,1.88951,1.88582,1.88937,1588
2015.05.18,13:00,1.88937,1.89043,1.88907,1.88953,1715
2015.05.18,13:30,1.88956,1.89121,1.8875,1.89003,1412
2015.05.18,14:00,1.89002,1.89066,1.88925,1.89016,1399
2015.05.18,14:30,1.89011,1.89127,1.88903,1.88925,1607
2015.05.18,15:00,1.88925,1.8917,1.88774,1.8912,1881
2015.05.18,15:30,1.89118,1.89335,1.89081,1.8933,2301
2015.05.18,16:00,1.89338,1.90218,1.8933,1.90192,2776
2015.05.18,16:30,1.902,1.90368,1.89877,1.89898,3011
2015.05.18,17:00,1.89895,1.90073,1.89767,1.90035,3042
2015.05.18,17:30,1.90033,1.90245,1.89811,1.90176,2567
2015.05.18,18:00,1.90178,1.90632,1.90154,1.90474,2631
2015.05.18,18:30,1.90476,1.90476,1.90294,1.90455,1652
2015.05.18,19:00,1.90463,1.90549,1.903,1.90388,1610
2015.05.18,19:30,1.90391,1.90436,1.90291,1.90297,1418
