date,ignore,open,high,low,close,volume
2017.10.02,00:00,1.17945,1.18077,1.1794,1.18019,321
2017.10.02,00:30,1.18015,1.18081,1.17982,1.18065,656
2017.10.02,01:00,1.18057,1.18151,1.18014,1.18144,1198
2017.10.02,01:30,1.18145,1.18149,1.18071,1.18109,783
2017.10.02,02:00,1.18109,1.18113,1.18065,1.18072,618
2017.10.02,02:30,1.18074,1.18101,1.18059,1.18079,519
2017.10.02,03:00,1.18078,1.18078,1.17971,1.17988,1342
2017.10.02,03:30,1.17986,1.18,1.17876,1.17891,1718
2017.10.02,04:00,1.17895,1.17913,1.17797,1.17833,2189
2017.10.02,04:30,1.17833,1.17838,1.17704,1.17741,2003
2017.10.02,05:00,1.17741,1.1777,1.17715,1.17731,1630
2017.10.02,05:30,1.17731,1.178,1.17731,1.17759,833
2017.10.02,06:00,1.17758,1.17773,1.17731,1.17742,730
2017.10.02,06:30,1.17742,1.17786,1.1774,1.17781,744
2017.10.02,07:00,1.17781,1.17801,1.17751,1.17752,642
2017.10.02,07:30,1.17752,1.17774,1.17735,1.17766,746
2017.10.02,08:00,1.17766,1.17766,1.17626,1.17642,1132
2017.10.02,08:30,1.17642,1.17664,1.17605,1.17631,1397
2017.10.02,09:00,1.1763,1.17686,1.17624,1.17648,1861
2017.10.02,09:30,1.17648,1.17653,1.17544,1.17643,2429
2017.10.02,10:00,1.17642,1.17657,1.17439,1.17463,3096
2017.10.02,10:30,1.17463,1.17467,1.17349,1.1742,3169
2017.10.02,11:00,1.17419,1.17444,1.17333,1.1741,2324
2017.10.02,11:30,1.17409,1.17524,1.17399,1.17453,2790
2017.10.02,12:00,1.1745,1.17483,1.17388,1.17388,2243
2017.10.02,12:30,1.17388,1.17427,1.17302,1.17313,2014
2017.10.02,13:00,1.17313,1.17363,1.17302,1.17312,1853
2017.10.02,13:30,1.17311,1.17462,1.1731,1.17454,1586
2017.10.02,14:00,1.17453,1.17511,1.17406,1.17459,1948
2017.10.02,14:30,1.17458,1.17479,1.17378,1.17383,1722
2017.10.02,15:00,1.17384,1.17596,1.17371,1.17563,2937
2017.10.02,15:30,1.17552,1.17631,1.17535,1.17576,2726
2017.10.02,16:00,1.17576,1.17597,1.17515,1.17547,2322
2017.10.02,16:30,1.17548,1.1761,1.17465,1.17513,2704
2017.10.02,17:00,1.17395,1.17555,1.17346,1.17543,5358
2017.10.02,17:30,1.1754,1.17584,1.1735,1.17352,3103
2017.10.02,18:00,1.17351,1.17398,1.17305,1.17385,3110
2017.10.02,18:30,1.17386,1.1746,1.17342,1.17443,2144
2017.10.02,19:00,1.17443,1.17485,1.17406,1.17424,1608
2017.10.02,19:30,1.17428,1.17478,1.17404,1.17429,1265
2017.10.02,20:00,1.17423,1.17441,1.17352,1.17356,1251
2017.10.02,20:30,1.17357,1.17396,1.17334,1.1739,926
2017.10.02,21:00,1.1739,1.17479,1.17368,1.17474,1394
2017.10.02,21:30,1.17473,1.17495,1.17422,1.17433,1371
2017.10.02,22:00,1.17433,1.17458,1.17386,1.17393,1255
2017.10.02,22:30,1.17394,1.17417,1.17329,1.1735,1241
2017.10.02,23:00,1.17346,1.17367,1.17338,1.17358,598
2017.10.02,23:30,1.17358,1.17358,1.17313,1.17326,741
2017.10.03,00:00,1.17326,1.17362,1.17309,1.1733,878
2017.10.03,00:30,1.1733,1.1735,1.17308,1.17336,1154
2017.10.03,01:00,1.17332,1.17374,1.17321,1.17373,2058
2017.10.03,01:30,1.17372,1.174,1.1736,1.17385,913
2017.10.03,02:00,1.17386,1.17397,1.17362,1.17367,470
2017.10.03,02:30,1.17367,1.1738,1.17311,1.17315,824
2017.10.03,03:00,1.17318,1.17334,1.17306,1.17312,1191
2017.10.03,03:30,1.17312,1.1734,1.17193,1.17198,2113
2017.10.03,04:00,1.17198,1.17204,1.17057,1.1706,2947
2017.10.03,04:30,1.17059,1.17155,1.17039,1.17058,2828
2017.10.03,05:00,1.17059,1.17095,1.17018,1.17095,1692
2017.10.03,05:30,1.17094,1.17135,1.17083,1.17123,1196
2017.10.03,06:00,1.17123,1.17145,1.17109,1.17117,743
2017.10.03,06:30,1.17119,1.17123,1.17036,1.17046,1768
2017.10.03,07:00,1.17047,1.17073,1.17041,1.17064,807
2017.10.03,07:30,1.17065,1.17089,1.17061,1.17066,515
2017.10.03,08:00,1.17068,1.1707,1.1696,1.16988,1295
2017.10.03,08:30,1.16988,1.17093,1.16983,1.17061,1637
2017.10.03,09:00,1.17061,1.17142,1.17024,1.17135,2208
2017.10.03,09:30,1.17135,1.17243,1.17123,1.1723,2542
2017.10.03,10:00,1.1723,1.17376,1.17196,1.17341,3320
2017.10.03,10:30,1.17342,1.17438,1.17315,1.1743,2802
2017.10.03,11:00,1.1743,1.17476,1.17393,1.17404,2296
2017.10.03,11:30,1.17407,1.17429,1.17329,1.17331,2396
2017.10.03,12:00,1.17331,1.17441,1.17326,1.17434,1956
2017.10.03,12:30,1.17436,1.17497,1.17357,1.1736,1700
2017.10.03,13:00,1.1736,1.17456,1.17358,1.17451,1784
2017.10.03,13:30,1.17454,1.17589,1.17443,1.17562,2347
2017.10.03,14:00,1.17565,1.17621,1.17548,1.17558,1427
2017.10.03,14:30,1.17558,1.17574,1.17492,1.17495,1651
2017.10.03,15:00,1.17497,1.17533,1.17458,1.17466,1850
2017.10.03,15:30,1.17464,1.17488,1.17377,1.17487,2105
2017.10.03,16:00,1.17486,1.17581,1.17474,1.17553,1797
2017.10.03,16:30,1.17554,1.17612,1.17526,1.17551,2620
2017.10.03,17:00,1.1755,1.17735,1.17537,1.17628,2978
2017.10.03,17:30,1.17628,1.17642,1.17529,1.17532,2350
2017.10.03,18:00,1.17531,1.17639,1.17531,1.1762,2146
2017.10.03,18:30,1.17621,1.17633,1.17581,1.17587,1146
2017.10.03,19:00,1.17588,1.17602,1.17505,1.17518,1598
2017.10.03,19:30,1.17516,1.17564,1.17498,1.1753,1384
2017.10.03,20:00,1.1753,1.17559,1.17504,1.17509,1073
2017.10.03,20:30,1.1751,1.17514,1.17448,1.17464,1093
2017.10.03,21:00,1.17466,1.17479,1.1744,1.17442,797
2017.10.03,21:30,1.17441,1.17499,1.17391,1.17498,1372
2017.10.03,22:00,1.17503,1.17529,1.17454,1.1746,1184
2017.10.03,22:30,1.17462,1.17494,1.17454,1.17492,1018
2017.10.03,23:00,1.17491,1.17506,1.1747,1.17486,526
2017.10.03,23:30,1.17485,1.17504,1.17431,1.17434,896
