date,ignore,open,high,low,close,volume
2018.06.04,00:00,82.787,82.854,82.768,82.843,309
2018.06.04,00:30,82.843,82.881,82.817,82.878,561
2018.06.04,01:00,82.877,82.906,82.855,82.858,961
2018.06.04,01:30,82.858,82.867,82.809,82.847,439
2018.06.04,02:00,82.847,82.884,82.814,82.843,782
2018.06.04,02:30,82.843,82.964,82.819,82.943,1239
2018.06.04,03:00,82.941,83.151,82.925,83.099,4181
2018.06.04,03:30,83.099,83.195,83.052,83.192,3152
2018.06.04,04:00,83.192,83.207,83.096,83.134,2466
2018.06.04,04:30,83.134,83.341,83.131,83.283,3104
2018.06.04,05:00,83.283,83.329,83.261,83.323,2096
2018.06.04,05:30,83.323,83.364,83.265,83.323,1167
2018.06.04,06:00,83.323,83.478,83.322,83.47,1399
2018.06.04,06:30,83.47,83.486,83.419,83.437,1338
2018.06.04,07:00,83.437,83.452,83.407,83.438,766
2018.06.04,07:30,83.438,83.455,83.396,83.436,946
2018.06.04,08:00,83.436,83.576,83.417,83.554,1402
2018.06.04,08:30,83.554,83.589,83.445,83.445,1363
2018.06.04,09:00,83.445,83.716,83.436,83.707,3104
2018.06.04,09:30,83.707,83.709,83.601,83.681,2483
2018.06.04,10:00,83.679,83.721,83.621,83.659,3348
2018.06.04,10:30,83.659,83.671,83.539,83.591,2051
2018.06.04,11:00,83.59,83.599,83.482,83.579,2206
2018.06.04,11:30,83.579,83.676,83.57,83.674,2193
2018.06.04,12:00,83.674,83.848,83.657,83.827,2322
2018.06.04,12:30,83.827,83.866,83.806,83.852,1582
2018.06.04,13:00,83.852,83.942,83.822,83.924,2190
2018.06.04,13:30,83.924,83.925,83.796,83.8,1602
2018.06.04,14:00,83.8,83.859,83.783,83.85,1387
2018.06.04,14:30,83.85,83.859,83.78,83.844,1302
2018.06.04,15:00,83.845,83.897,83.808,83.823,2527
2018.06.04,15:30,83.823,83.876,83.78,83.841,2638
2018.06.04,16:00,83.841,83.862,83.785,83.838,2863
2018.06.04,16:30,83.838,83.883,83.808,83.851,2610
2018.06.04,17:00,83.851,83.901,83.748,83.748,2669
2018.06.04,17:30,83.722,83.848,83.714,83.822,4107
2018.06.04,18:00,83.821,83.865,83.785,83.828,2865
2018.06.04,18:30,83.828,83.87,83.798,83.864,1902
2018.06.04,19:00,83.864,83.904,83.819,83.883,1224
2018.06.04,19:30,83.884,83.885,83.836,83.852,923
2018.06.04,20:00,83.852,83.934,83.852,83.934,910
2018.06.04,20:30,83.934,83.947,83.875,83.934,724
2018.06.04,21:00,83.932,83.963,83.925,83.933,627
2018.06.04,21:30,83.933,83.988,83.903,83.98,726
2018.06.04,22:00,83.98,83.984,83.953,83.957,703
2018.06.04,22:30,83.957,84.013,83.957,84.0,597
2018.06.04,23:00,84.0,84.018,83.978,83.989,418
2018.06.04,23:30,83.989,83.997,83.917,83.925,376
2018.06.05,00:00,83.924,83.981,83.902,83.962,725
2018.06.05,00:30,83.96,83.99,83.936,83.98,1076
2018.06.05,01:00,83.981,84.038,83.97,84.031,675
2018.06.05,01:30,84.031,84.11,84.026,84.101,876
2018.06.05,02:00,84.101,84.166,84.08,84.102,767
2018.06.05,02:30,84.101,84.151,84.083,84.139,987
2018.06.05,03:00,84.14,84.18,83.957,83.974,2413
2018.06.05,03:30,83.972,83.998,83.925,83.957,2165
2018.06.05,04:00,83.957,84.023,83.929,83.976,2043
2018.06.05,04:30,83.976,84.075,83.889,83.976,2617
2018.06.05,05:00,83.976,84.01,83.824,83.872,1999
2018.06.05,05:30,83.872,83.893,83.828,83.892,1226
2018.06.05,06:00,83.892,83.905,83.837,83.903,1249
2018.06.05,06:30,83.901,83.925,83.883,83.893,797
2018.06.05,07:00,83.893,83.91,83.862,83.891,973
2018.06.05,07:30,83.891,83.985,83.796,83.96,1970
2018.06.05,08:00,83.96,83.96,83.83,83.868,1797
2018.06.05,08:30,83.868,83.936,83.77,83.858,2271
2018.06.05,09:00,83.858,83.898,83.789,83.806,2386
2018.06.05,09:30,83.806,83.885,83.801,83.867,1639
2018.06.05,10:00,83.869,83.955,83.825,83.885,2932
2018.06.05,10:30,83.887,84.014,83.887,83.907,2317
2018.06.05,11:00,83.907,83.952,83.856,83.884,2124
2018.06.05,11:30,83.884,83.891,83.749,83.762,1988
2018.06.05,12:00,83.762,83.826,83.721,83.754,1642
2018.06.05,12:30,83.754,83.78,83.693,83.748,1771
2018.06.05,13:00,83.748,83.748,83.595,83.661,1290
2018.06.05,13:30,83.66,83.686,83.611,83.658,1395
2018.06.05,14:00,83.657,83.686,83.565,83.599,1320
2018.06.05,14:30,83.599,83.635,83.561,83.594,1094
2018.06.05,15:00,83.594,83.643,83.431,83.489,3677
2018.06.05,15:30,83.489,83.551,83.475,83.499,2240
2018.06.05,16:00,83.5,83.531,83.438,83.504,2701
2018.06.05,16:30,83.504,83.512,83.427,83.459,2357
2018.06.05,17:00,83.459,83.493,83.407,83.488,3526
2018.06.05,17:30,83.488,83.528,83.41,83.497,2930
2018.06.05,18:00,83.497,83.506,83.382,83.466,3649
2018.06.05,18:30,83.466,83.487,83.338,83.385,2179
2018.06.05,19:00,83.385,83.527,83.366,83.448,4240
2018.06.05,19:30,83.448,83.488,83.413,83.459,2037
2018.06.05,20:00,83.459,83.589,83.455,83.566,1662
2018.06.05,20:30,83.566,83.581,83.508,83.555,1227
2018.06.05,21:00,83.554,83.588,83.512,83.548,783
2018.06.05,21:30,83.548,83.577,83.537,83.573,635
2018.06.05,22:00,83.573,83.576,83.468,83.499,643
2018.06.05,22:30,83.499,83.538,83.468,83.525,578
2018.06.05,23:00,83.525,83.602,83.524,83.589,320
2018.06.05,23:30,83.588,83.632,83.566,83.595,433
