date,ignore,open,high,low,close,volume
2018.11.05,00:00,147.34,147.355,147.138,147.174,1459
2018.11.05,00:30,147.174,147.301,147.169,147.258,3042
2018.11.05,01:00,147.266,147.274,147.118,147.149,1825
2018.11.05,01:30,147.149,147.18,147.121,147.123,927
2018.11.05,02:00,147.125,147.2,147.061,147.122,2585
2018.11.05,02:30,147.122,147.186,147.104,147.174,1890
2018.11.05,03:00,147.174,147.185,147.072,147.082,1633
2018.11.05,03:30,147.082,147.124,146.947,146.993,2109
2018.11.05,04:00,146.994,147.101,146.935,147.039,2171
2018.11.05,04:30,147.039,147.063,146.962,146.989,1164
2018.11.05,05:00,146.989,147.022,146.93,147.0,969
2018.11.05,05:30,147.0,147.024,146.943,146.962,1152
2018.11.05,06:00,146.96,147.001,146.948,146.965,797
2018.11.05,06:30,146.966,147.043,146.962,147.011,842
2018.11.05,07:00,147.011,147.147,146.96,147.144,1365
2018.11.05,07:30,147.144,147.147,147.062,147.093,1333
2018.11.05,08:00,147.092,147.31,147.039,147.297,1347
2018.11.05,08:30,147.299,147.43,147.222,147.334,1508
2018.11.05,09:00,147.333,147.368,147.273,147.331,1800
2018.11.05,09:30,147.331,147.424,147.159,147.215,2523
2018.11.05,10:00,147.21,147.212,146.919,147.151,3868
2018.11.05,10:30,147.151,147.248,146.99,147.032,2631
2018.11.05,11:00,147.033,147.221,146.945,146.945,2677
2018.11.05,11:30,146.882,147.313,146.856,147.297,2899
2018.11.05,12:00,147.297,147.406,147.217,147.267,2337
2018.11.05,12:30,147.271,147.488,147.222,147.465,1999
2018.11.05,13:00,147.465,147.494,147.289,147.304,2029
2018.11.05,13:30,147.307,147.432,147.214,147.258,1839
2018.11.05,14:00,147.258,147.31,146.979,147.105,2643
2018.11.05,14:30,147.105,147.12,146.837,147.046,3567
2018.11.05,15:00,147.049,147.211,147.028,147.164,2834
2018.11.05,15:30,147.164,147.384,147.138,147.317,2895
2018.11.05,16:00,147.315,147.353,147.26,147.298,2073
2018.11.05,16:30,147.298,147.45,147.286,147.365,3797
2018.11.05,17:00,147.362,147.445,147.269,147.386,4251
2018.11.05,17:30,147.386,147.432,147.255,147.346,3793
2018.11.05,18:00,147.342,147.553,147.322,147.331,3181
2018.11.05,18:30,147.33,147.439,147.299,147.385,2508
2018.11.05,19:00,147.385,147.397,147.296,147.373,1853
2018.11.05,19:30,147.372,147.383,147.27,147.296,1250
2018.11.05,20:00,147.296,147.525,147.271,147.523,2103
2018.11.05,20:30,147.523,147.644,147.511,147.627,1494
2018.11.05,21:00,147.626,147.753,147.573,147.734,1567
2018.11.05,21:30,147.734,147.79,147.674,147.769,1443
2018.11.05,22:00,147.769,147.778,147.616,147.629,1462
2018.11.05,22:30,147.629,147.647,147.586,147.615,965
2018.11.05,23:00,147.613,147.659,147.598,147.648,481
2018.11.05,23:30,147.648,147.706,147.602,147.603,1346
2018.11.06,00:00,147.546,147.703,147.545,147.598,303
2018.11.06,00:30,147.599,147.91,147.528,147.819,4104
2018.11.06,01:00,147.823,147.932,147.767,147.906,1310
2018.11.06,01:30,147.904,147.926,147.848,147.874,959
2018.11.06,02:00,147.874,147.947,147.838,147.934,1742
2018.11.06,02:30,147.934,147.959,147.836,147.914,1867
2018.11.06,03:00,147.915,147.938,147.867,147.895,1473
2018.11.06,03:30,147.895,147.908,147.829,147.87,1947
2018.11.06,04:00,147.868,147.937,147.857,147.913,1402
2018.11.06,04:30,147.912,147.947,147.88,147.93,1220
2018.11.06,05:00,147.93,147.939,147.872,147.892,1024
2018.11.06,05:30,147.893,147.903,147.843,147.882,1197
