date,ignore,open,high,low,close,volume
2019.06.10,00:00,81.882,81.9,81.83,81.881,508
2019.06.10,00:30,81.881,81.888,81.795,81.796,1274
2019.06.10,01:00,81.796,81.832,81.767,81.824,1270
2019.06.10,01:30,81.824,81.827,81.728,81.735,699
2019.06.10,02:00,81.736,81.738,81.71,81.717,697
2019.06.10,02:30,81.716,81.738,81.694,81.722,672
2019.06.10,03:00,81.72,81.778,81.655,81.658,1454
2019.06.10,03:30,81.658,81.727,81.653,81.69,1564
2019.06.10,04:00,81.69,81.776,81.68,81.765,1484
2019.06.10,04:30,81.765,81.775,81.721,81.732,1653
2019.06.10,05:00,81.731,81.761,81.714,81.746,962
2019.06.10,05:30,81.746,81.755,81.704,81.714,745
2019.06.10,06:00,81.716,81.734,81.693,81.707,988
2019.06.10,06:30,81.707,81.773,81.702,81.768,599
2019.06.10,07:00,81.768,81.829,81.752,81.802,1014
2019.06.10,07:30,81.802,81.857,81.787,81.849,1166
2019.06.10,08:00,81.849,81.851,81.819,81.826,746
2019.06.10,08:30,81.826,81.855,81.826,81.843,911
2019.06.10,09:00,81.844,81.915,81.837,81.902,1384
2019.06.10,09:30,81.903,81.953,81.897,81.918,1587
2019.06.10,10:00,81.917,81.927,81.862,81.88,1764
2019.06.10,10:30,81.88,81.899,81.824,81.866,1359
2019.06.10,11:00,81.866,81.921,81.864,81.891,1590
2019.06.10,11:30,81.891,81.894,81.823,81.863,1688
2019.06.10,12:00,81.864,81.868,81.755,81.774,1500
2019.06.10,12:30,81.774,81.798,81.751,81.798,1061
2019.06.10,13:00,81.798,81.839,81.771,81.813,1249
2019.06.10,13:30,81.813,81.86,81.792,81.797,1470
2019.06.10,14:00,81.797,81.875,81.781,81.863,1587
2019.06.10,14:30,81.864,81.893,81.822,81.855,1464
2019.06.10,15:00,81.854,81.871,81.759,81.768,1566
2019.06.10,15:30,81.769,81.831,81.748,81.765,2180
2019.06.10,16:00,81.764,81.829,81.75,81.828,1793
2019.06.10,16:30,81.828,81.892,81.793,81.799,2320
2019.06.10,17:00,81.799,81.844,81.779,81.807,1926
2019.06.10,17:30,81.806,81.814,81.752,81.759,2799
2019.06.10,18:00,81.762,81.833,81.754,81.791,2086
2019.06.10,18:30,81.791,81.863,81.776,81.862,2098
2019.06.10,19:00,81.864,81.876,81.81,81.822,1742
2019.06.10,19:30,81.822,81.854,81.813,81.817,1338
2019.06.10,20:00,81.817,81.859,81.794,81.808,1338
2019.06.10,20:30,81.808,81.818,81.745,81.752,1095
2019.06.10,21:00,81.752,81.752,81.612,81.699,3057
2019.06.10,21:30,81.699,81.718,81.684,81.691,1589
2019.06.10,22:00,81.691,81.755,81.691,81.739,1477
2019.06.10,22:30,81.739,81.747,81.711,81.718,1283
2019.06.10,23:00,81.718,81.746,81.717,81.746,706
2019.06.10,23:30,81.748,81.766,81.701,81.701,576
2019.06.11,00:00,81.7,81.72,81.647,81.706,1158
2019.06.11,00:30,81.706,81.708,81.673,81.692,369
2019.06.11,01:00,81.696,81.722,81.695,81.721,321
2019.06.11,01:30,81.721,81.73,81.705,81.729,278
2019.06.11,02:00,81.729,81.732,81.679,81.694,454
2019.06.11,02:30,81.694,81.699,81.672,81.672,524
2019.06.11,03:00,81.672,81.729,81.667,81.706,1299
2019.06.11,03:30,81.706,81.773,81.703,81.754,1340
2019.06.11,04:00,81.754,81.88,81.747,81.872,2130
2019.06.11,04:30,81.872,81.873,81.804,81.846,1450
2019.06.11,05:00,81.846,81.861,81.826,81.858,650
2019.06.11,05:30,81.858,81.889,81.847,81.884,735
2019.06.11,06:00,81.884,81.885,81.84,81.848,835
2019.06.11,06:30,81.848,81.869,81.842,81.863,675
2019.06.11,07:00,81.863,81.88,81.843,81.86,364
2019.06.11,07:30,81.86,81.892,81.86,81.872,403
2019.06.11,08:00,81.872,81.902,81.855,81.862,434
2019.06.11,08:30,81.862,81.894,81.859,81.894,761
2019.06.11,09:00,81.894,81.917,81.873,81.909,1402
2019.06.11,09:30,81.909,81.93,81.851,81.854,948
2019.06.11,10:00,81.853,81.926,81.85,81.882,1986
2019.06.11,10:30,81.882,81.955,81.878,81.915,1500
2019.06.11,11:00,81.915,81.939,81.883,81.906,1483
2019.06.11,11:30,81.905,81.968,81.898,81.934,1616
2019.06.11,12:00,81.934,81.958,81.897,81.948,1547
2019.06.11,12:30,81.948,81.988,81.933,81.983,1223
2019.06.11,13:00,81.983,82.017,81.951,81.989,1472
2019.06.11,13:30,81.989,81.998,81.962,81.977,1312
2019.06.11,14:00,81.977,81.986,81.946,81.984,1598
2019.06.11,14:30,81.984,82.033,81.983,82.0,1258
2019.06.11,15:00,81.999,82.079,81.993,81.993,2716
2019.06.11,15:30,81.993,82.07,81.984,81.999,2546
2019.06.11,16:00,82.0,82.016,81.945,81.969,2435
2019.06.11,16:30,81.97,82.0,81.889,81.912,3711
2019.06.11,17:00,81.912,81.94,81.852,81.936,3011
2019.06.11,17:30,81.937,81.938,81.693,81.748,3706
2019.06.11,18:00,81.748,81.752,81.691,81.718,2739
2019.06.11,18:30,81.72,81.727,81.622,81.639,1941
2019.06.11,19:00,81.64,81.649,81.514,81.597,2616
2019.06.11,19:30,81.597,81.623,81.571,81.588,1644
2019.06.11,20:00,81.587,81.653,81.565,81.635,1941
2019.06.11,20:30,81.635,81.702,81.615,81.693,1413
2019.06.11,21:00,81.693,81.72,81.642,81.652,1481
2019.06.11,21:30,81.653,81.675,81.627,81.644,1773
2019.06.11,22:00,81.644,81.673,81.642,81.655,1248
2019.06.11,22:30,81.655,81.709,81.647,81.658,1024
2019.06.11,23:00,81.659,81.699,81.646,81.685,325
2019.06.11,23:30,81.686,81.688,81.655,81.655,341
2019.06.12,00:00,81.685,81.685,81.597,81.679,1446
2019.06.12,00:30,81.681,81.693,81.66,81.693,3717
2019.06.12,01:00,81.693,81.706,81.665,81.702,539
2019.06.12,01:30,81.702,81.705,81.685,81.689,225
2019.06.12,02:00,81.689,81.722,81.671,81.714,642
2019.06.12,02:30,81.714,81.715,81.661,81.669,884
2019.06.12,03:00,81.671,81.727,81.641,81.715,1198
2019.06.12,03:30,81.715,81.741,81.698,81.708,1236
2019.06.12,04:00,81.709,81.71,81.647,81.65,1192
2019.06.12,04:30,81.65,81.678,81.626,81.67,1889
2019.06.12,05:00,81.67,81.676,81.623,81.649,749
2019.06.12,05:30,81.649,81.669,81.609,81.654,851
2019.06.12,06:00,81.653,81.654,81.614,81.621,820
2019.06.12,06:30,81.621,81.647,81.616,81.626,736
2019.06.12,07:00,81.626,81.628,81.584,81.602,601
2019.06.12,07:30,81.602,81.628,81.602,81.625,383
2019.06.12,08:00,81.625,81.626,81.577,81.588,428
2019.06.12,08:30,81.588,81.596,81.533,81.535,1085
2019.06.12,09:00,81.536,81.541,81.446,81.5,1765
2019.06.12,09:30,81.5,81.513,81.451,81.507,1303
2019.06.12,10:00,81.507,81.544,81.466,81.526,1838
2019.06.12,10:30,81.526,81.557,81.506,81.52,1529
2019.06.12,11:00,81.52,81.572,81.39,81.427,2199
2019.06.12,11:30,81.427,81.455,81.355,81.382,1735
2019.06.12,12:00,81.382,81.426,81.342,81.395,1595
2019.06.12,12:30,81.395,81.425,81.356,81.376,1194
2019.06.12,13:00,81.376,81.485,81.366,81.484,1386
2019.06.12,13:30,81.484,81.503,81.446,81.484,1367
2019.06.12,14:00,81.485,81.516,81.459,81.48,1533
