date,ignore,open,high,low,close,volume
2019.11.18,0:00,1.292,1.292,1.29074,1.29164,361
2019.11.18,0:30,1.29144,1.29175,1.29108,1.29136,777
2019.11.18,1:00,1.29134,1.29214,1.29088,1.29195,1802
2019.11.18,1:30,1.29195,1.29211,1.29144,1.29191,387
2019.11.18,2:00,1.29191,1.29194,1.29157,1.29189,422
2019.11.18,2:30,1.29189,1.29191,1.29157,1.29179,893
2019.11.18,3:00,1.29179,1.29217,1.29169,1.29192,471
2019.11.18,3:30,1.29192,1.29218,1.29171,1.29199,429
2019.11.18,4:00,1.29199,1.29282,1.29199,1.29254,535
2019.11.18,4:30,1.29255,1.2926,1.29237,1.29258,498
2019.11.18,5:00,1.29258,1.29288,1.29244,1.29287,418
2019.11.18,5:30,1.29287,1.2932,1.29285,1.29301,583
2019.11.18,6:00,1.29302,1.29321,1.29257,1.29259,427
2019.11.18,6:30,1.29259,1.29263,1.29224,1.29224,500
2019.11.18,7:00,1.29224,1.29244,1.29212,1.29228,607
2019.11.18,7:30,1.29228,1.29256,1.29217,1.29242,444
2019.11.18,8:00,1.29241,1.29282,1.29233,1.29262,491
2019.11.18,8:30,1.29262,1.29291,1.2924,1.29291,459
2019.11.18,9:00,1.29291,1.29547,1.29291,1.29479,1815
2019.11.18,9:30,1.29477,1.29513,1.29443,1.29448,1061
2019.11.18,10:00,1.29448,1.29611,1.29428,1.29504,1513
2019.11.18,10:30,1.29505,1.29577,1.29467,1.29569,1434
2019.11.18,11:00,1.29569,1.29596,1.29517,1.29594,1202
2019.11.18,11:30,1.29594,1.29625,1.29576,1.29624,1144
2019.11.18,12:00,1.29624,1.2985,1.29573,1.29619,1823
2019.11.18,12:30,1.29619,1.29667,1.29557,1.29566,1112
2019.11.18,13:00,1.29566,1.29672,1.29559,1.29657,999
2019.11.18,13:30,1.29657,1.2968,1.29462,1.29487,883
2019.11.18,14:00,1.29487,1.29561,1.29419,1.29541,1475
2019.11.18,14:30,1.29542,1.29597,1.29519,1.2958,988
2019.11.18,15:00,1.29579,1.29629,1.29514,1.29514,1930
2019.11.18,15:30,1.29513,1.29631,1.29511,1.29595,1789
2019.11.18,16:00,1.29594,1.29635,1.29527,1.29596,1440
2019.11.18,16:30,1.29596,1.2965,1.29593,1.296,2117
2019.11.18,17:00,1.29597,1.29602,1.29484,1.29495,1685
2019.11.18,17:30,1.29496,1.2967,1.29433,1.29658,2088
2019.11.18,18:00,1.29658,1.29713,1.29626,1.29697,1850
2019.11.18,18:30,1.29697,1.29698,1.29606,1.2964,1172
2019.11.18,19:00,1.29639,1.29684,1.29632,1.2966,884
2019.11.18,19:30,1.2966,1.29674,1.29638,1.29665,507
2019.11.18,20:00,1.29664,1.29667,1.29639,1.29646,672
2019.11.18,20:30,1.29646,1.29663,1.29613,1.29648,563
2019.11.18,21:00,1.29648,1.2966,1.29604,1.29615,442
2019.11.18,21:30,1.29616,1.29617,1.29525,1.29541,761
2019.11.18,22:00,1.2954,1.29605,1.2954,1.29603,401
2019.11.18,22:30,1.29603,1.29604,1.29494,1.29502,638
2019.11.18,23:00,1.29502,1.29556,1.29497,1.29547,676
2019.11.18,23:30,1.29547,1.29547,1.29502,1.29507,512
2019.11.19,0:00,1.29503,1.29578,1.29406,1.2951,1050
2019.11.19,0:30,1.29513,1.29548,1.29456,1.29491,433
2019.11.19,1:00,1.29491,1.29534,1.29466,1.29531,728
2019.11.19,1:30,1.29531,1.29531,1.29479,1.2949,367
2019.11.19,2:00,1.2949,1.29542,1.29478,1.29524,690
2019.11.19,2:30,1.29524,1.29524,1.29456,1.29482,726
2019.11.19,3:00,1.29482,1.29482,1.29448,1.29459,877
2019.11.19,3:30,1.2946,1.29513,1.29445,1.2951,795
2019.11.19,4:00,1.29511,1.29532,1.29494,1.29526,549
2019.11.19,4:30,1.29526,1.29552,1.29518,1.29533,749
2019.11.19,5:00,1.29533,1.29547,1.29517,1.29541,579
2019.11.19,5:30,1.29541,1.29561,1.29519,1.29523,719
2019.11.19,6:00,1.29523,1.29542,1.29521,1.29531,453
2019.11.19,6:30,1.29531,1.29535,1.29518,1.29526,235
2019.11.19,7:00,1.29526,1.29546,1.29519,1.29541,493
2019.11.19,7:30,1.29541,1.29608,1.2954,1.29581,671
2019.11.19,8:00,1.29581,1.29645,1.29577,1.29639,619
2019.11.19,8:30,1.29638,1.29641,1.29614,1.29636,304
2019.11.19,9:00,1.29636,1.29696,1.29636,1.29663,806
2019.11.19,9:30,1.29661,1.29661,1.29525,1.2955,1052
2019.11.19,10:00,1.2955,1.29611,1.29508,1.29574,1510
2019.11.19,10:30,1.29575,1.29638,1.29533,1.29546,1471
2019.11.19,11:00,1.29546,1.29557,1.29489,1.29491,1306
2019.11.19,11:30,1.29491,1.29547,1.29423,1.29532,1433
2019.11.19,12:00,1.29532,1.29554,1.29355,1.29372,1128
2019.11.19,12:30,1.29373,1.29393,1.29315,1.2932,1033
2019.11.19,13:00,1.2932,1.29389,1.2926,1.29378,1227
2019.11.19,13:30,1.29378,1.29397,1.29288,1.29389,1085
2019.11.19,14:00,1.2939,1.29486,1.29349,1.29368,1202
2019.11.19,14:30,1.29367,1.29453,1.29305,1.29372,1339
2019.11.19,15:00,1.29372,1.29464,1.2936,1.29453,1555
2019.11.19,15:30,1.29455,1.29482,1.29392,1.29404,1287
2019.11.19,16:00,1.29404,1.29467,1.29343,1.29353,1357
2019.11.19,16:30,1.29354,1.29447,1.29339,1.29408,1651
2019.11.19,17:00,1.29406,1.29536,1.29387,1.29416,1774
2019.11.19,17:30,1.29416,1.29437,1.29288,1.29313,1673
2019.11.19,18:00,1.29313,1.29387,1.29282,1.29335,1440
2019.11.19,18:30,1.29335,1.29351,1.29244,1.29245,1490
2019.11.19,19:00,1.29245,1.29301,1.29199,1.29275,1313
2019.11.19,19:30,1.29275,1.2929,1.29244,1.29268,654
2019.11.19,20:00,1.29268,1.29272,1.2922,1.29241,1512
2019.11.19,20:30,1.2924,1.29254,1.29211,1.29224,993
2019.11.19,21:00,1.29225,1.29227,1.29101,1.29137,572
2019.11.19,21:30,1.29137,1.2915,1.29106,1.29114,544
2019.11.19,22:00,1.29115,1.29259,1.29108,1.29238,699
2019.11.19,22:30,1.29238,1.29308,1.29195,1.29286,1281
2019.11.19,23:00,1.29287,1.29287,1.29218,1.29262,456
2019.11.19,23:30,1.29262,1.29269,1.2923,1.29237,399
2019.11.20,0:00,1.29228,1.29274,1.29164,1.2923,495
2019.11.20,0:30,1.2923,1.29282,1.29222,1.29235,827
2019.11.20,1:00,1.29235,1.29289,1.29201,1.29284,1013
2019.11.20,1:30,1.29284,1.293,1.29271,1.29278,404
2019.11.20,2:00,1.29278,1.2928,1.29216,1.29217,615
2019.11.20,2:30,1.29216,1.29231,1.2914,1.29182,907
2019.11.20,3:00,1.29183,1.29201,1.29027,1.2904,802
2019.11.20,3:30,1.29043,1.29084,1.28999,1.29061,1090
2019.11.20,4:00,1.29061,1.2907,1.29035,1.2906,682
2019.11.20,4:30,1.2906,1.29139,1.29057,1.29123,954
2019.11.20,5:00,1.29123,1.29151,1.29095,1.29095,571
2019.11.20,5:30,1.29095,1.29107,1.29077,1.29086,309
2019.11.20,6:00,1.29088,1.29114,1.29078,1.29101,328
2019.11.20,6:30,1.29101,1.29142,1.29097,1.29119,389
2019.11.20,7:00,1.29119,1.29129,1.291,1.29111,365
2019.11.20,7:30,1.29111,1.29133,1.29049,1.29062,653
2019.11.20,8:00,1.29062,1.29087,1.29048,1.29075,368
2019.11.20,8:30,1.29075,1.29139,1.2907,1.29129,471
2019.11.20,9:00,1.29126,1.2915,1.29106,1.29115,738
2019.11.20,9:30,1.29115,1.29183,1.29109,1.2914,1185
2019.11.20,10:00,1.2914,1.29196,1.29011,1.29021,1680
2019.11.20,10:30,1.29022,1.2905,1.28868,1.28932,1649
2019.11.20,11:00,1.28931,1.29063,1.28931,1.29062,1731
2019.11.20,11:30,1.29062,1.29112,1.29026,1.29096,1397
2019.11.20,12:00,1.29096,1.29147,1.28991,1.29039,1210
2019.11.20,12:30,1.29036,1.29117,1.29,1.29014,909
2019.11.20,13:00,1.29014,1.2908,1.28971,1.29076,1055
2019.11.20,13:30,1.29077,1.29096,1.28971,1.28973,1187
2019.11.20,14:00,1.28973,1.29007,1.28884,1.29005,1217
2019.11.20,14:30,1.29004,1.29051,1.28991,1.28994,1146
2019.11.20,15:00,1.28994,1.2902,1.28936,1.28942,1237
2019.11.20,15:30,1.28942,1.29038,1.28908,1.29032,1142
2019.11.20,16:00,1.29032,1.29238,1.29031,1.29219,1572
2019.11.20,16:30,1.29218,1.29238,1.29127,1.29187,1626
2019.11.20,17:00,1.29187,1.29285,1.29024,1.29157,1741
2019.11.20,17:30,1.29156,1.29216,1.2906,1.29104,1993
2019.11.20,18:00,1.29104,1.29183,1.29073,1.29145,1812
2019.11.20,18:30,1.29145,1.29214,1.29102,1.29172,1299
2019.11.20,19:00,1.2917,1.29258,1.29159,1.29255,774
2019.11.20,19:30,1.29255,1.29269,1.29156,1.29209,1200
2019.11.20,20:00,1.29209,1.29242,1.2916,1.2923,1162
2019.11.20,20:30,1.2923,1.2924,1.29103,1.29132,1084
2019.11.20,21:00,1.29133,1.29229,1.29123,1.29197,1148
2019.11.20,21:30,1.29197,1.2923,1.29167,1.29206,930
2019.11.20,22:00,1.29206,1.29219,1.29177,1.29204,503
2019.11.20,22:30,1.29204,1.29223,1.29152,1.29221,531
2019.11.20,23:00,1.29221,1.29229,1.29177,1.29195,372
2019.11.20,23:30,1.29195,1.29233,1.29186,1.29215,429
2019.11.21,0:00,1.29211,1.29243,1.29156,1.29234,233
2019.11.21,0:30,1.29234,1.29253,1.29234,1.29249,267
2019.11.21,1:00,1.2925,1.29278,1.29242,1.29275,330
2019.11.21,1:30,1.29275,1.29281,1.29243,1.29253,409
2019.11.21,2:00,1.29253,1.29266,1.29244,1.2925,432
2019.11.21,2:30,1.2925,1.2928,1.29243,1.29266,563
2019.11.21,3:00,1.29266,1.29288,1.2926,1.2928,595
2019.11.21,3:30,1.2928,1.29295,1.29258,1.29263,718
2019.11.21,4:00,1.29264,1.29325,1.29261,1.2928,658
2019.11.21,4:30,1.2928,1.29318,1.2927,1.2931,891
2019.11.21,5:00,1.2931,1.29316,1.29275,1.29292,465
2019.11.21,5:30,1.29292,1.29311,1.29276,1.29298,600
2019.11.21,6:00,1.29298,1.29299,1.2925,1.2926,329
2019.11.21,6:30,1.2926,1.29279,1.29249,1.29261,429
2019.11.21,7:00,1.29262,1.29294,1.2926,1.29283,414
2019.11.21,7:30,1.29283,1.29293,1.29263,1.2928,583
2019.11.21,8:00,1.29281,1.29299,1.29275,1.29292,329
2019.11.21,8:30,1.29292,1.29301,1.29247,1.29258,429
2019.11.21,9:00,1.29258,1.29262,1.29237,1.29251,1067
2019.11.21,9:30,1.29251,1.29332,1.29234,1.29332,672
2019.11.21,10:00,1.29331,1.29398,1.2932,1.29371,1872
2019.11.21,10:30,1.29372,1.29414,1.29299,1.29407,1508
2019.11.21,11:00,1.29407,1.29457,1.29365,1.29394,1227
2019.11.21,11:30,1.29394,1.29441,1.29325,1.29435,1132
2019.11.21,12:00,1.29435,1.29494,1.29403,1.29491,1733
2019.11.21,12:30,1.29491,1.29495,1.29416,1.29417,1192
2019.11.21,13:00,1.29417,1.29467,1.29361,1.29367,1166
2019.11.21,13:30,1.29367,1.29536,1.29337,1.29527,1509
2019.11.21,14:00,1.29526,1.29566,1.29495,1.29523,1396
2019.11.21,14:30,1.29524,1.29645,1.29505,1.29594,1619
2019.11.21,15:00,1.29594,1.29698,1.29588,1.29631,2046
2019.11.21,15:30,1.29631,1.29677,1.29557,1.29586,1440
2019.11.21,16:00,1.29586,1.29617,1.29474,1.29487,1856
2019.11.21,16:30,1.29487,1.29562,1.29451,1.29474,1831
2019.11.21,17:00,1.29472,1.29485,1.29161,1.2918,2395
2019.11.21,17:30,1.2918,1.29291,1.2914,1.29241,1891
2019.11.21,18:00,1.29246,1.29262,1.29055,1.29063,2052
2019.11.21,18:30,1.29059,1.29182,1.28978,1.29141,1563
2019.11.21,19:00,1.29141,1.29145,1.29011,1.29048,991
2019.11.21,19:30,1.29047,1.29087,1.28995,1.29038,954
2019.11.21,20:00,1.29038,1.29038,1.28933,1.28943,813
2019.11.21,20:30,1.28942,1.29017,1.28931,1.28968,860
2019.11.21,21:00,1.28968,1.2903,1.28927,1.29024,904
2019.11.21,21:30,1.29024,1.29051,1.2901,1.29021,440
2019.11.21,22:00,1.29021,1.29033,1.29001,1.29022,412
2019.11.21,22:30,1.29023,1.29074,1.29018,1.29071,499
2019.11.21,23:00,1.29071,1.29082,1.29031,1.29053,395
2019.11.21,23:30,1.29053,1.29091,1.29044,1.29047,1115
2019.11.22,0:00,1.29051,1.29123,1.29025,1.29066,463
2019.11.22,0:30,1.29066,1.29109,1.29054,1.2908,226
2019.11.22,1:00,1.2908,1.29163,1.29074,1.29154,762
2019.11.22,1:30,1.29158,1.29191,1.29142,1.29185,675
2019.11.22,2:00,1.29185,1.29209,1.29145,1.29189,592
2019.11.22,2:30,1.29189,1.29189,1.29147,1.29154,437
2019.11.22,3:00,1.29153,1.29207,1.29152,1.29197,517
2019.11.22,3:30,1.29197,1.29223,1.29157,1.29183,485
2019.11.22,4:00,1.29184,1.29193,1.29157,1.29163,316
2019.11.22,4:30,1.29164,1.29182,1.29122,1.29127,468
2019.11.22,5:00,1.29127,1.29139,1.29103,1.29104,297
2019.11.22,5:30,1.29104,1.29137,1.29104,1.29117,269
2019.11.22,6:00,1.2912,1.29161,1.29117,1.29159,341
2019.11.22,6:30,1.29159,1.29175,1.29149,1.29163,248
2019.11.22,7:00,1.29163,1.29187,1.29156,1.29184,290
2019.11.22,7:30,1.29184,1.2922,1.29172,1.29208,456
2019.11.22,8:00,1.29208,1.29259,1.29159,1.2922,547
2019.11.22,8:30,1.2922,1.29266,1.29201,1.29213,765
2019.11.22,9:00,1.29209,1.29243,1.29121,1.29155,923
2019.11.22,9:30,1.29155,1.29158,1.29104,1.29156,745
2019.11.22,10:00,1.29156,1.29233,1.29118,1.29209,1694
2019.11.22,10:30,1.29209,1.2928,1.29132,1.29141,1903
2019.11.22,11:00,1.29141,1.29141,1.28901,1.28977,2275
2019.11.22,11:30,1.28976,1.28976,1.28628,1.28735,2728
