date,ignore,open,high,low,close,volume
2021.02.22,00:00,1.53826,1.53964,1.53799,1.53908,264
2021.02.22,00:30,1.53908,1.54017,1.53867,1.5398,331
2021.02.22,01:00,1.53979,1.54019,1.53876,1.53965,1237
2021.02.22,01:30,1.53968,1.53972,1.53651,1.53808,1449
2021.02.22,02:00,1.53808,1.53843,1.53626,1.5364,1212
2021.02.22,02:30,1.53638,1.5375,1.53525,1.53728,1164
2021.02.22,03:00,1.53728,1.5373,1.53436,1.53553,1924
2021.02.22,03:30,1.53558,1.53634,1.53542,1.53563,1888
2021.02.22,04:00,1.53563,1.53722,1.53563,1.53717,1704
2021.02.22,04:30,1.53718,1.53864,1.53698,1.53804,2085
2021.02.22,05:00,1.538,1.5391,1.53788,1.53835,1603
2021.02.22,05:30,1.53836,1.53901,1.53815,1.53835,1273
2021.02.22,06:00,1.53835,1.53912,1.53823,1.53892,807
2021.02.22,06:30,1.53891,1.53906,1.53815,1.53874,1131
2021.02.22,07:00,1.53875,1.53885,1.53703,1.53711,1305
2021.02.22,07:30,1.53708,1.53836,1.53699,1.53803,1076
2021.02.22,08:00,1.53799,1.53891,1.53786,1.53871,1080
2021.02.22,08:30,1.53873,1.53894,1.53761,1.53824,1120
2021.02.22,09:00,1.53825,1.54057,1.53787,1.54044,2675
2021.02.22,09:30,1.54044,1.54097,1.53749,1.53922,2285
2021.02.22,10:00,1.53922,1.54029,1.53863,1.53901,3423
2021.02.22,10:30,1.53901,1.53922,1.53774,1.53806,3009
2021.02.22,11:00,1.53806,1.53912,1.53742,1.53912,2633
2021.02.22,11:30,1.5391,1.53928,1.53744,1.53757,2125
2021.02.22,12:00,1.5376,1.53858,1.53741,1.53843,1173
2021.02.22,12:30,1.53848,1.54007,1.53822,1.53984,1645
2021.02.22,13:00,1.53984,1.53995,1.53824,1.53922,1628
2021.02.22,13:30,1.53921,1.53958,1.53851,1.53882,1432
2021.02.22,14:00,1.53883,1.539,1.53799,1.53846,1366
2021.02.22,14:30,1.53846,1.53939,1.53828,1.53862,1482
2021.02.22,15:00,1.53861,1.53951,1.53847,1.53895,2539
2021.02.22,15:30,1.53896,1.53932,1.53768,1.53773,2800
2021.02.22,16:00,1.53772,1.53939,1.53758,1.53928,2729
2021.02.22,16:30,1.53926,1.53928,1.53664,1.53689,4481
2021.02.22,17:00,1.53688,1.53718,1.53426,1.5353,4091
2021.02.22,17:30,1.5353,1.53642,1.53482,1.53541,3883
2021.02.22,18:00,1.53541,1.53714,1.53511,1.53565,2566
2021.02.22,18:30,1.53567,1.53581,1.53459,1.53539,1683
2021.02.22,19:00,1.53536,1.5363,1.53528,1.5361,1982
2021.02.22,19:30,1.53609,1.53661,1.53592,1.53599,1765
2021.02.22,20:00,1.53602,1.53625,1.53584,1.53594,850
2021.02.22,20:30,1.53591,1.53591,1.53478,1.53541,1043
2021.02.22,21:00,1.53541,1.53582,1.53448,1.53451,758
2021.02.22,21:30,1.53452,1.53553,1.53446,1.53538,1055
2021.02.22,22:00,1.53537,1.5362,1.53517,1.53571,1132
2021.02.22,22:30,1.53573,1.53599,1.53533,1.5355,1267
2021.02.22,23:00,1.5355,1.53554,1.53501,1.53539,835
2021.02.22,23:30,1.5354,1.53591,1.53509,1.53521,970
2021.02.23,00:00,1.5354,1.53628,1.53474,1.53566,321
2021.02.23,00:30,1.53562,1.53627,1.53561,1.53601,537
2021.02.23,01:00,1.536,1.537,1.53577,1.53613,922
2021.02.23,01:30,1.53612,1.537,1.53568,1.53685,843
2021.02.23,02:00,1.53685,1.53723,1.53589,1.53619,1081
2021.02.23,02:30,1.53619,1.53723,1.53613,1.53699,943
2021.02.23,03:00,1.53703,1.53728,1.53591,1.53591,2053
2021.02.23,03:30,1.53591,1.53612,1.53442,1.53483,2281
2021.02.23,04:00,1.53482,1.53597,1.53474,1.53582,1499
2021.02.23,04:30,1.53581,1.53754,1.53552,1.53714,1404
2021.02.23,05:00,1.5371,1.53807,1.53689,1.53754,1611
2021.02.23,05:30,1.53747,1.5378,1.53716,1.53716,875
2021.02.23,06:00,1.53715,1.53756,1.53667,1.53673,754
2021.02.23,06:30,1.53673,1.53678,1.53603,1.53625,877
2021.02.23,07:00,1.53629,1.53712,1.53621,1.53678,1048
2021.02.23,07:30,1.53678,1.53703,1.5362,1.53664,1090
2021.02.23,08:00,1.53664,1.53711,1.53634,1.53688,843
2021.02.23,08:30,1.53688,1.53733,1.53666,1.53726,999
2021.02.23,09:00,1.53726,1.53866,1.5371,1.53838,1557
2021.02.23,09:30,1.53837,1.5384,1.53676,1.53735,1539
2021.02.23,10:00,1.53736,1.53846,1.53694,1.53785,2711
2021.02.23,10:30,1.53787,1.5383,1.53612,1.53612,2080
2021.02.23,11:00,1.53612,1.53827,1.53592,1.53827,2141
2021.02.23,11:30,1.53828,1.53863,1.53716,1.53794,2373
2021.02.23,12:00,1.53794,1.53919,1.53789,1.53892,1815
2021.02.23,12:30,1.53893,1.53936,1.53785,1.53863,2137
2021.02.23,13:00,1.53863,1.53916,1.53798,1.53839,2142
2021.02.23,13:30,1.53838,1.53852,1.53703,1.53747,1929
2021.02.23,14:00,1.53746,1.5376,1.53685,1.53711,1755
2021.02.23,14:30,1.53711,1.53744,1.53583,1.53622,1704
2021.02.23,15:00,1.53621,1.53788,1.53621,1.53727,2352
2021.02.23,15:30,1.53727,1.53828,1.53695,1.53781,2036
2021.02.23,16:00,1.53781,1.53795,1.5366,1.53673,2258
2021.02.23,16:30,1.53672,1.54013,1.5367,1.53898,5048
2021.02.23,17:00,1.53893,1.53912,1.53631,1.53654,5860
2021.02.23,17:30,1.53654,1.5377,1.53581,1.53732,4321
2021.02.23,18:00,1.53735,1.53762,1.53572,1.53622,2669
2021.02.23,18:30,1.53622,1.53764,1.53615,1.53656,2857
2021.02.23,19:00,1.53653,1.53743,1.5359,1.53597,2016
2021.02.23,19:30,1.53594,1.53718,1.53589,1.53696,1693
2021.02.23,20:00,1.53696,1.53721,1.53606,1.53639,1298
2021.02.23,20:30,1.5364,1.53686,1.53589,1.53647,1419
2021.02.23,21:00,1.53647,1.53692,1.53602,1.53615,1092
2021.02.23,21:30,1.53617,1.53635,1.5347,1.53495,1150
2021.02.23,22:00,1.53496,1.53518,1.5342,1.53437,1225
2021.02.23,22:30,1.53435,1.5351,1.53418,1.53475,1646
2021.02.23,23:00,1.53474,1.53583,1.53452,1.53523,965
2021.02.23,23:30,1.53503,1.53575,1.53496,1.53538,811
2021.02.24,00:00,1.53537,1.53564,1.5338,1.53417,546
2021.02.24,00:30,1.534,1.53571,1.53394,1.53537,712
2021.02.24,01:00,1.53537,1.53684,1.53499,1.53657,1177
2021.02.24,01:30,1.53653,1.53663,1.5355,1.53656,975
2021.02.24,02:00,1.53658,1.53691,1.53563,1.5363,1700
2021.02.24,02:30,1.53632,1.53635,1.53414,1.53433,1523
2021.02.24,03:00,1.53432,1.53515,1.52963,1.53159,3951
2021.02.24,03:30,1.5316,1.53174,1.53011,1.53124,2480
2021.02.24,04:00,1.53122,1.53219,1.53088,1.53198,2114
2021.02.24,04:30,1.53199,1.53348,1.53194,1.53244,2497
2021.02.24,05:00,1.53244,1.53367,1.53184,1.53313,2201
2021.02.24,05:30,1.53313,1.5345,1.53235,1.53411,2216
2021.02.24,06:00,1.53411,1.53524,1.53402,1.53498,1524
2021.02.24,06:30,1.535,1.53572,1.53473,1.53529,1083
2021.02.24,07:00,1.5353,1.53646,1.53483,1.53515,1977
2021.02.24,07:30,1.53516,1.53599,1.53481,1.53552,1553
2021.02.24,08:00,1.53551,1.53622,1.53519,1.53525,1527
2021.02.24,08:30,1.53527,1.53614,1.5348,1.53581,1428
2021.02.24,09:00,1.53581,1.53591,1.53416,1.53483,2214
2021.02.24,09:30,1.53485,1.53604,1.53465,1.53533,2099
2021.02.24,10:00,1.53535,1.53648,1.53452,1.53641,3258
2021.02.24,10:30,1.53637,1.53741,1.53556,1.53576,2358
2021.02.24,11:00,1.53576,1.53695,1.53551,1.53619,2467
2021.02.24,11:30,1.53619,1.5365,1.53541,1.53596,1989
2021.02.24,12:00,1.53594,1.53684,1.53497,1.53505,1925
2021.02.24,12:30,1.53507,1.53647,1.53482,1.53603,1569
2021.02.24,13:00,1.53603,1.53694,1.53567,1.53588,1347
2021.02.24,13:30,1.53584,1.53601,1.53439,1.53469,1564
2021.02.24,14:00,1.5347,1.53496,1.5339,1.53453,1947
2021.02.24,14:30,1.53453,1.53511,1.53411,1.53443,2151
2021.02.24,15:00,1.53443,1.53457,1.53335,1.53439,3466
2021.02.24,15:30,1.53439,1.536,1.53352,1.53504,4505
2021.02.24,16:00,1.53502,1.53528,1.53366,1.53431,3426
2021.02.24,16:30,1.5343,1.5351,1.53361,1.53385,5520
2021.02.24,17:00,1.53384,1.53406,1.53086,1.53182,5718
2021.02.24,17:30,1.53184,1.53218,1.5299,1.53074,4605
2021.02.24,18:00,1.53073,1.53135,1.53028,1.53079,3444
2021.02.24,18:30,1.53082,1.5309,1.52959,1.53029,2649
2021.02.24,19:00,1.5303,1.53039,1.52936,1.53007,2192
2021.02.24,19:30,1.53002,1.5302,1.52853,1.52894,1732
2021.02.24,20:00,1.52893,1.52962,1.52879,1.52914,1478
2021.02.24,20:30,1.52914,1.52956,1.52809,1.52931,1404
2021.02.24,21:00,1.52931,1.52951,1.52902,1.52951,1591
2021.02.24,21:30,1.52952,1.52972,1.52875,1.52928,862
2021.02.24,22:00,1.52924,1.52974,1.52796,1.52802,1313
2021.02.24,22:30,1.528,1.52812,1.52707,1.52732,1616
2021.02.24,23:00,1.52733,1.52775,1.52631,1.52638,1017
2021.02.24,23:30,1.52638,1.52725,1.52615,1.5264,1370
2021.02.25,00:00,1.5264,1.52781,1.52607,1.52664,426
2021.02.25,00:30,1.52663,1.5279,1.52656,1.52735,1074
2021.02.25,01:00,1.52724,1.52826,1.52671,1.52701,2073
2021.02.25,01:30,1.52701,1.52714,1.52536,1.52562,1364
