date,ignore,open,high,low,close,volume
2021.05.03,00:00,1.47621,1.47824,1.47501,1.47748,234
2021.05.03,00:30,1.47748,1.47793,1.47711,1.47711,242
2021.05.03,01:00,1.47725,1.47761,1.47689,1.47717,388
2021.05.03,01:30,1.47719,1.47749,1.47696,1.47741,283
2021.05.03,02:00,1.47742,1.47744,1.47691,1.47712,328
2021.05.03,02:30,1.47711,1.47727,1.47691,1.47692,350
2021.05.03,03:00,1.47691,1.477,1.47627,1.47651,883
2021.05.03,03:30,1.47648,1.47677,1.47637,1.47672,532
2021.05.03,04:00,1.4767,1.47701,1.47638,1.47684,561
2021.05.03,04:30,1.47686,1.47728,1.47683,1.47702,613
2021.05.03,05:00,1.47702,1.4776,1.47692,1.47733,806
2021.05.03,05:30,1.47735,1.47812,1.47732,1.47797,524
2021.05.03,06:00,1.47799,1.47833,1.47771,1.47778,598
2021.05.03,06:30,1.47778,1.47783,1.47749,1.47755,302
2021.05.03,07:00,1.47755,1.47802,1.47753,1.4776,428
2021.05.03,07:30,1.4776,1.47795,1.47744,1.47777,323
2021.05.03,08:00,1.47779,1.47816,1.47769,1.47785,404
2021.05.03,08:30,1.47788,1.47863,1.4778,1.47856,576
2021.05.03,09:00,1.47854,1.47943,1.4783,1.47928,1394
2021.05.03,09:30,1.47929,1.48156,1.47898,1.48151,2176
2021.05.03,10:00,1.4815,1.48166,1.47959,1.47981,2108
2021.05.03,10:30,1.4798,1.4811,1.47957,1.4805,1437
2021.05.03,11:00,1.4805,1.4809,1.48021,1.48047,1331
2021.05.03,11:30,1.48045,1.48169,1.48035,1.48158,1174
2021.05.03,12:00,1.48159,1.48404,1.48141,1.48399,1414
2021.05.03,12:30,1.48398,1.48399,1.48299,1.4834,1140
2021.05.03,13:00,1.4834,1.48367,1.4828,1.4829,860
2021.05.03,13:30,1.48288,1.48293,1.48153,1.48237,1133
2021.05.03,14:00,1.4824,1.48241,1.48089,1.48117,1057
2021.05.03,14:30,1.48115,1.48155,1.4804,1.48051,1379
2021.05.03,15:00,1.48049,1.48114,1.48015,1.48099,1984
2021.05.03,15:30,1.48099,1.48206,1.47998,1.48125,2204
2021.05.03,16:00,1.48125,1.48151,1.48013,1.48132,1844
2021.05.03,16:30,1.48132,1.48198,1.4801,1.48162,2654
2021.05.03,17:00,1.48164,1.48312,1.4815,1.48255,3502
2021.05.03,17:30,1.48255,1.48288,1.48102,1.48134,3018
2021.05.03,18:00,1.48132,1.48208,1.48051,1.48124,2383
2021.05.03,18:30,1.48125,1.48129,1.4799,1.48025,1151
2021.05.03,19:00,1.48024,1.48129,1.47978,1.47978,1095
2021.05.03,19:30,1.47979,1.48026,1.47936,1.47964,1220
2021.05.03,20:00,1.47962,1.48045,1.47898,1.48023,1022
2021.05.03,20:30,1.48029,1.48059,1.47973,1.48037,909
2021.05.03,21:00,1.48035,1.48059,1.4802,1.48048,814
2021.05.03,21:30,1.48047,1.4811,1.48021,1.4811,1243
2021.05.03,22:00,1.48109,1.48111,1.48057,1.48075,826
2021.05.03,22:30,1.48075,1.48148,1.48056,1.48106,830
2021.05.03,23:00,1.48104,1.48156,1.48096,1.48149,627
2021.05.03,23:30,1.48147,1.48147,1.48062,1.4807,853
2021.05.04,00:00,1.48096,1.48108,1.48007,1.48028,234
2021.05.04,00:30,1.4803,1.48096,1.48023,1.48064,294
2021.05.04,01:00,1.48059,1.481,1.48046,1.48086,812
2021.05.04,01:30,1.48087,1.48092,1.48037,1.48055,291
2021.05.04,02:00,1.48057,1.48077,1.48037,1.48069,242
2021.05.04,02:30,1.48071,1.48086,1.4805,1.48086,218
2021.05.04,03:00,1.48087,1.48111,1.48059,1.48096,612
2021.05.04,03:30,1.48097,1.48103,1.48067,1.48094,367
2021.05.04,04:00,1.48095,1.48137,1.48065,1.48088,571
2021.05.04,04:30,1.48089,1.48104,1.48064,1.48088,688
2021.05.04,05:00,1.48088,1.48126,1.48079,1.48101,495
2021.05.04,05:30,1.48101,1.48119,1.48055,1.48065,594
2021.05.04,06:00,1.48084,1.48084,1.4802,1.48028,377
2021.05.04,06:30,1.48027,1.48041,1.48008,1.48027,332
2021.05.04,07:00,1.48019,1.48034,1.47997,1.48009,399
2021.05.04,07:30,1.4801,1.48018,1.47959,1.47981,632
2021.05.04,08:00,1.47981,1.47982,1.47919,1.47975,593
2021.05.04,08:30,1.47971,1.47993,1.47945,1.47945,421
2021.05.04,09:00,1.47949,1.48041,1.47917,1.48041,1031
2021.05.04,09:30,1.4804,1.48055,1.47989,1.48029,1160
