date,ignore,open,high,low,close,volume
2021.09.06,00:00,0.8949,0.89544,0.89477,0.89524,197
2021.09.06,00:30,0.89507,0.89644,0.89501,0.89591,202
2021.09.06,01:00,0.89591,0.89638,0.89559,0.89561,232
2021.09.06,01:30,0.89561,0.89584,0.89502,0.89511,213
2021.09.06,02:00,0.89511,0.89584,0.8951,0.89563,441
2021.09.06,02:30,0.89566,0.89603,0.89565,0.89578,413
2021.09.06,03:00,0.89577,0.89613,0.89569,0.89587,491
2021.09.06,03:30,0.89586,0.89641,0.8957,0.89588,459
2021.09.06,04:00,0.89586,0.89589,0.89505,0.89508,473
2021.09.06,04:30,0.89508,0.8952,0.89477,0.8949,534
2021.09.06,05:00,0.89491,0.89527,0.89491,0.89511,330
2021.09.06,05:30,0.89511,0.89543,0.89502,0.89527,346
2021.09.06,06:00,0.89528,0.89533,0.89498,0.89505,285
2021.09.06,06:30,0.89505,0.89523,0.89488,0.89515,282
2021.09.06,07:00,0.89516,0.89602,0.89508,0.89552,307
2021.09.06,07:30,0.89552,0.89567,0.89503,0.89512,272
2021.09.06,08:00,0.89516,0.89521,0.8949,0.89494,312
2021.09.06,08:30,0.89495,0.8957,0.89489,0.89534,343
2021.09.06,09:00,0.89534,0.89536,0.89494,0.89509,530
2021.09.06,09:30,0.8951,0.89514,0.89472,0.89492,329
2021.09.06,10:00,0.89492,0.89557,0.89491,0.89539,748
2021.09.06,10:30,0.89538,0.8957,0.89517,0.89526,542
2021.09.06,11:00,0.89526,0.89583,0.89523,0.89573,552
2021.09.06,11:30,0.89573,0.89575,0.89535,0.89545,515
2021.09.06,12:00,0.89545,0.8956,0.89503,0.89536,527
2021.09.06,12:30,0.89537,0.8954,0.89466,0.89475,478
2021.09.06,13:00,0.89476,0.89541,0.89468,0.89537,587
2021.09.06,13:30,0.89537,0.89587,0.89507,0.8958,385
2021.09.06,14:00,0.89578,0.89654,0.89574,0.89653,350
2021.09.06,14:30,0.89652,0.89675,0.89628,0.8964,375
2021.09.06,15:00,0.89638,0.89643,0.89523,0.89528,432
2021.09.06,15:30,0.89526,0.89534,0.89507,0.89509,360
2021.09.06,16:00,0.89507,0.89515,0.89423,0.89427,478
2021.09.06,16:30,0.89427,0.89457,0.89415,0.89419,492
