,names,week,needed_features,accuracy
0,USDCHF,50,['USDJPY'],80.0
1,EURUSD,50,['GBPUSD'],80.0
2,USDJPY,10,"['AUDUSD', 'NZDUSD', 'AUDCAD', 'EURUSD', 'AUDCHF']",100.0
3,NZDUSD,10,['EURCHF'],80.0
4,GBPCHF,10,"['CADJPY', 'EURJPY']",80.0
5,CADCHF,20,"['EURUSD', 'USDCHF', 'CHFJPY', 'AUDCAD', 'AUDUSD', 'AUDJPY', 'EURCAD', 'AUDNZD']",80.0
6,NZDCHF,50,"['AUDCHF', 'AUDUSD']",80.0
7,EURGBP,10,"['CADJPY', 'EURJPY']",80.0
8,GBPCAD,10,"['CADJPY', 'EURJPY', 'AUDJPY', 'GBPJPY', 'USDCAD']",100.0
9,EURCAD,10,"['AUDUSD', 'AUDJPY', 'EURUSD', 'NZDUSD']",80.0
10,EURAUD,30,['NZDJPY'],80.0
11,NZDJPY,10,['EURCHF'],80.0
12,AUDCAD,10,"['AUDUSD', 'EURUSD']",80.0
13,NZDCAD,10,"['AUDUSD', 'AUDJPY', 'EURUSD', 'NZDUSD']",100.0
