,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,"['EURUSD', 'NZDUSD', 'NZDCAD']",80.0,0.7989764682539716,B
1,1,EURUSD,15,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'AUDUSD', 'NZDUSD']",100.0,-0.6833504365079379,S
2,2,USDJPY,10,"['AUDCAD', 'NZDJPY']",100.0,0.9999,B
3,3,EURCHF,30,"['AUDNZD', 'NZDJPY', 'USDJPY']",80.0,0.5995439768564919,B
4,4,CHFJPY,15,"['EURCAD', 'CADCHF']",80.0,-0.4903806529581637,S
5,5,AUDCHF,10,['AUDCAD'],80.0,-0.9918099999999995,S
6,6,GBPAUD,20,['AUDCAD'],80.0,0.7490651685814037,B
7,7,EURCAD,10,"['EURNZD', 'NZDCAD', 'NZDUSD']",80.0,0.47878690476190866,B
8,8,EURAUD,20,['AUDCAD'],80.0,0.7472211626445281,B
9,9,CADJPY,10,['USDCAD'],80.0,-0.5962300000000206,S
10,10,AUDJPY,10,['AUDCAD'],80.0,-0.9917599999999999,S
11,11,NZDJPY,30,"['USDCHF', 'USDCAD', 'EURJPY', 'GBPCHF', 'GBPJPY']",80.0,-0.3733,S
12,12,AUDCAD,50,['EURJPY'],80.0,0.6267693758970486,B
13,13,NZDCAD,10,"['AUDCAD', 'AUDCHF']",100.0,-0.523177936507932,S
