timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.29 23:30,1841.000000000024,,2021.10.28 19:00,5208.000000000008,,2021.10.25 13:00,-2219.999999999981
2021.10.29 23:00,1835.0000000000282,,2021.10.28 18:30,5089.000000000062,,2021.10.25 12:30,-1923.9999999999495
2021.10.29 22:30,1465.000000000039,,2021.10.28 19:30,5002.000000000013,,2021.10.25 12:00,-1816.9999999999695
2021.10.29 22:00,1586.0000000000691,,2021.10.28 20:30,4828.000000000016,,2021.10.25 13:30,-1676.0000000000095
2021.10.29 21:30,1562.9999999999768,,2021.10.28 18:00,4680.0000000000455,,2021.10.25 15:30,-1617.9999999999964
2021.10.29 21:00,677.0000000000185,,2021.10.28 20:00,4630.000000000033,,2021.10.27 17:00,-1456.9999999999973
2021.10.29 20:30,622.0000000000322,,2021.10.28 21:00,4545.000000000053,,2021.10.26 17:00,-1361.99999999992
2021.10.29 20:00,1511.000000000026,,2021.10.28 17:00,4526.000000000029,,2021.10.25 14:30,-1322.9999999999702
2021.10.29 19:30,903.0000000000462,,2021.10.28 17:30,4444.000000000047,,2021.10.25 15:00,-1246.9999999999873
2021.10.29 19:00,716.0000000000126,,2021.10.28 23:30,4428.000000000038,,2021.10.26 18:30,-1223.9999999999118
2021.10.29 18:30,1175.0000000000182,,2021.10.29 00:30,4386.9999999999845,,2021.10.26 10:30,-1184.9999999999736
2021.10.29 18:00,491.00000000001353,,2021.10.28 21:30,4373.000000000018,,2021.10.26 18:00,-983.9999999999995
2021.10.29 17:30,1645.000000000052,,2021.10.29 01:30,4164.000000000032,,2021.10.25 14:00,-982.9999999999654
2021.10.29 17:00,111.00000000003274,,2021.10.28 22:30,4052.000000000013,,2021.10.26 20:00,-980.9999999999629
2021.10.29 16:30,297.0000000000548,,2021.10.29 00:00,4045.9999999999995,,2021.10.26 17:30,-967.9999999999634
2021.10.29 16:00,1175.000000000009,,2021.10.28 23:00,4020.0000000000496,,2021.10.26 19:30,-860.9999999999613
2021.10.29 15:30,1113.00000000001,,2021.10.29 01:00,3933.0000000000155,,2021.10.26 19:00,-768.9999999999859
2021.10.29 15:00,1439.0000000000002,,2021.10.29 02:00,3924.0000000000146,,2021.10.26 13:00,-745.9999999999746
2021.10.29 14:30,1214.000000000015,,2021.10.28 22:00,3895.000000000001,,2021.10.26 10:00,-744.9999999999925
2021.10.29 14:00,1117.0000000000346,,2021.10.29 02:30,3875.0000000000264,,2021.10.26 11:00,-676.9999999999886
2021.10.29 13:30,1583.0000000000268,,2021.10.27 16:00,3776.000000000022,,2021.10.26 11:30,-666.9999999999688
2021.10.29 13:00,1727.0000000000268,,2021.10.29 09:00,3698.0000000000105,,2021.10.26 12:00,-662.9999999999994
2021.10.29 12:30,2076.000000000035,,2021.10.29 03:00,3595.999999999991,,2021.10.26 16:30,-662.0000000000034
2021.10.29 12:00,2198.0000000000205,,2021.10.29 10:30,3539.0000000000437,,2021.10.25 05:30,-533.9999999999465
2021.10.29 11:30,3029.0000000000196,,2021.10.29 06:30,3441.9999999999986,,2021.10.26 12:30,-515.9999999999955
2021.10.29 11:00,2890.9999999999923,,2021.10.27 16:30,3384.000000000019,,2021.10.26 21:00,-514.9999999999461
2021.10.29 10:30,3539.0000000000437,,2021.10.29 05:30,3350.000000000031,,2021.10.25 05:00,-432.9999999999842
2021.10.29 10:00,3283.000000000049,,2021.10.29 04:30,3335.0000000000446,,2021.10.26 20:30,-412.99999999998494
2021.10.29 09:30,3316.000000000037,,2021.10.29 03:30,3321.0000000000337,,2021.10.27 05:00,-375.99999999997857
2021.10.29 09:00,3698.0000000000105,,2021.10.29 09:30,3316.000000000037,,2021.10.26 21:30,-364.99999999998226
2021.10.29 08:30,2916.9999999999914,,2021.10.28 16:30,3307.0000000000555,,2021.10.26 04:30,-360.999999999973
2021.10.29 08:00,3037.000000000012,,2021.10.29 10:00,3283.000000000049,,2021.10.26 13:30,-321.9999999999547
2021.10.29 07:30,2744.0000000000236,,2021.10.29 05:00,3278.000000000093,,2021.10.25 11:30,-298.00000000000455
2021.10.29 07:00,3024.0000000000437,,2021.10.29 04:00,3270.9999999999764,,2021.10.27 00:00,-286.99999999996834
2021.10.29 06:30,3441.9999999999986,,2021.10.27 15:30,3266.0000000000273,,2021.10.26 22:00,-255.00000000000597
2021.10.29 06:00,2974.000000000011,,2021.10.29 08:00,3037.000000000012,,2021.10.27 03:30,-239.99999999996578
2021.10.29 05:30,3350.000000000031,,2021.10.29 11:30,3029.0000000000196,,2021.10.27 05:30,-224.9999999999194
2021.10.29 05:00,3278.000000000093,,2021.10.29 07:00,3024.0000000000437,,2021.10.26 05:30,-221.99999999996004
2021.10.29 04:30,3335.0000000000446,,2021.10.29 06:00,2974.000000000011,,2021.10.26 23:00,-215.99999999994134
