,Unnamed: 0,Unnamed: 0.1,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,0,USDCHF,10,"['AUDCHF', 'EURCAD']",80.0,0.7025279761904789,B
1,1,1,GBPUSD,15,"['EURGBP', 'CADCHF', 'AUDCHF', 'USDJPY']",80.0,0.536,B
2,2,2,EURUSD,20,"['NZDUSD', 'CHFJPY', 'CADJPY', 'AUDUSD', 'NZDJPY', 'USDJPY', 'EURCAD']",100.0,-0.9444096031746021,S
3,3,3,USDJPY,15,"['EURNZD', 'EURGBP', 'NZDUSD', 'CADJPY']",100.0,-0.46,S
4,4,4,USDCAD,10,['NZDCAD'],80.0,0.9987199999999999,B
5,5,5,AUDUSD,10,"['GBPAUD', 'AUDJPY', 'EURAUD', 'EURJPY', 'USDCAD', 'GBPUSD']",80.0,-0.4235861904761904,S
6,6,6,NZDUSD,10,"['AUDUSD', 'GBPUSD', 'GBPAUD', 'AUDJPY']",80.0,-0.1449,S
7,7,7,GBPCHF,30,"['EURNZD', 'NZDCHF']",80.0,-0.20239988614585178,S
8,8,8,EURCHF,10,"['EURAUD', 'EURCAD']",100.0,-1.0,S
9,9,9,CADCHF,10,"['EURNZD', 'NZDUSD', 'NZDCAD', 'AUDUSD', 'NZDJPY', 'CHFJPY']",80.0,-0.5345,S
10,10,10,AUDCHF,10,"['AUDCHF', 'NZDCHF']",100.0,0.791,B
11,11,11,NZDCHF,10,['AUDNZD'],80.0,0.9924599999999997,B
12,12,12,GBPCAD,15,['GBPCHF'],80.0,0.551924963092458,B
13,13,13,EURJPY,10,['NZDCAD'],80.0,-0.9989299999999999,S
14,14,14,EURCAD,10,['EURNZD'],80.0,0.2890284126984087,B
15,15,15,EURAUD,15,"['USDCHF', 'NZDCAD']",80.0,0.9961,B
16,16,16,EURNZD,15,"['GBPUSD', 'CHFJPY']",80.0,0.8063209235209233,B
17,17,17,AUDJPY,15,['CHFJPY'],80.0,-0.497695264735253,S
18,18,18,NZDJPY,10,['GBPUSD'],80.0,0.9600399999999998,B
19,19,19,AUDCAD,15,"['USDCHF', 'GBPUSD', 'EURUSD', 'USDCAD', 'EURJPY']",100.0,-0.44012375596625186,S
20,20,20,NZDCAD,10,"['NZDUSD', 'EURAUD', 'GBPUSD', 'EURNZD']",80.0,0.08408757936508052,B
21,21,21,AUDNZD,10,"['EURGBP', 'GBPJPY', 'AUDCHF']",80.0,0.432,B
