date,ignore,open,high,low,close,volume
2015.01.19,00:00,0.71896,0.71896,0.71692,0.71787,580
2015.01.19,00:30,0.71779,0.71857,0.71777,0.71822,686
2015.01.19,01:00,0.71826,0.72023,0.71724,0.71991,1118
2015.01.19,01:30,0.71983,0.72006,0.71628,0.71684,1200
2015.01.19,02:00,0.71674,0.7174,0.7163,0.71716,1317
2015.01.19,02:30,0.71718,0.72032,0.71671,0.71956,1676
2015.01.19,03:00,0.7196,0.72059,0.71868,0.71987,1416
2015.01.19,03:30,0.71983,0.71993,0.71757,0.71778,1240
2015.01.19,04:00,0.71782,0.72081,0.71782,0.72071,1092
2015.01.19,04:30,0.72069,0.72332,0.72059,0.72332,1363
2015.01.19,05:00,0.72319,0.72396,0.72182,0.72237,1916
2015.01.19,05:30,0.72218,0.72439,0.72217,0.72424,1354
2015.01.19,06:00,0.72409,0.72597,0.72391,0.72577,1290
2015.01.19,06:30,0.72576,0.72577,0.72407,0.72515,1435
2015.01.19,07:00,0.7252,0.72527,0.72345,0.72436,2320
2015.01.19,07:30,0.7243,0.72451,0.7221,0.72261,1718
2015.01.19,08:00,0.72274,0.72386,0.7148,0.72107,2685
2015.01.19,08:30,0.72115,0.72572,0.72066,0.72559,2467
2015.01.19,09:00,0.72647,0.72653,0.722,0.72548,3169
2015.01.19,09:30,0.72535,0.72573,0.72188,0.72268,2406
2015.01.19,10:00,0.7226,0.72456,0.71921,0.72263,1918
2015.01.19,10:30,0.7226,0.72272,0.71615,0.71739,1770
2015.01.19,11:00,0.7175,0.72491,0.71675,0.72472,1835
2015.01.19,11:30,0.7247,0.72503,0.72167,0.72356,1561
2015.01.19,12:00,0.72351,0.72476,0.72164,0.72319,1281
2015.01.19,12:30,0.72305,0.72553,0.72216,0.72237,1236
2015.01.19,13:00,0.72248,0.72611,0.72239,0.72542,1130
2015.01.19,13:30,0.7254,0.72759,0.72399,0.72697,1315
2015.01.19,14:00,0.72698,0.73023,0.7259,0.7259,1098
2015.01.19,14:30,0.7259,0.7266,0.72503,0.72565,1037
2015.01.19,15:00,0.72562,0.72926,0.72408,0.72526,1564
2015.01.19,15:30,0.72531,0.72667,0.72436,0.72666,1061
2015.01.19,16:00,0.7267,0.72731,0.72529,0.72674,1134
2015.01.19,16:30,0.72675,0.72817,0.72447,0.72768,1127
2015.01.19,17:00,0.72769,0.73147,0.72743,0.73035,1178
2015.01.19,17:30,0.73034,0.73184,0.72836,0.73122,1624
2015.01.19,18:00,0.73123,0.7332,0.73031,0.73245,1423
2015.01.19,18:30,0.73248,0.73325,0.73019,0.73163,1088
2015.01.19,19:00,0.73164,0.73302,0.73164,0.73249,694
2015.01.19,19:30,0.73252,0.73417,0.73241,0.73394,722
2015.01.19,20:00,0.73392,0.73512,0.7332,0.73457,717
2015.01.19,20:30,0.73476,0.73485,0.73377,0.73468,685
2015.01.19,21:00,0.73471,0.73488,0.73399,0.73427,343
2015.01.19,21:30,0.73432,0.73563,0.73411,0.73536,489
2015.01.19,22:00,0.7353,0.73587,0.73488,0.73549,246
2015.01.19,22:30,0.73587,0.73596,0.73529,0.73583,281
2015.01.19,23:00,0.73583,0.73673,0.73565,0.73642,346
2015.01.19,23:30,0.73651,0.73659,0.73544,0.73574,218
2015.01.20,00:00,0.73621,0.73633,0.73534,0.73575,234
2015.01.20,00:30,0.73574,0.73619,0.73529,0.73534,251
2015.01.20,01:00,0.73551,0.73561,0.73354,0.73402,496
2015.01.20,01:30,0.73399,0.73575,0.73371,0.73563,362
2015.01.20,02:00,0.73564,0.73564,0.73354,0.73473,568
2015.01.20,02:30,0.7347,0.73534,0.7343,0.7348,401
2015.01.20,03:00,0.73463,0.73511,0.73376,0.73476,708
2015.01.20,03:30,0.73478,0.73489,0.73352,0.73356,584
2015.01.20,04:00,0.73368,0.73461,0.73273,0.73311,768
2015.01.20,04:30,0.7331,0.73481,0.73309,0.73467,479
2015.01.20,05:00,0.73463,0.73471,0.73393,0.73435,377
2015.01.20,05:30,0.73435,0.73488,0.73365,0.73447,319
2015.01.20,06:00,0.73445,0.73493,0.73394,0.73439,382
2015.01.20,06:30,0.73443,0.73469,0.73358,0.73417,373
2015.01.20,07:00,0.73425,0.73429,0.73218,0.73294,865
2015.01.20,07:30,0.73293,0.73424,0.73245,0.73276,755
2015.01.20,08:00,0.73277,0.73355,0.73195,0.73271,930
2015.01.20,08:30,0.7327,0.73609,0.73263,0.73593,856
2015.01.20,09:00,0.73612,0.73764,0.73469,0.73613,1396
2015.01.20,09:30,0.73612,0.73665,0.73318,0.7334,1355
2015.01.20,10:00,0.73337,0.73532,0.73291,0.73363,1126
2015.01.20,10:30,0.73365,0.73492,0.73334,0.73379,1225
2015.01.20,11:00,0.73376,0.7352,0.73022,0.73127,1506
2015.01.20,11:30,0.73126,0.73177,0.72936,0.73008,1579
2015.01.20,12:00,0.73025,0.73177,0.72935,0.72964,1565
2015.01.20,12:30,0.72965,0.73143,0.72919,0.73005,1266
2015.01.20,13:00,0.73006,0.73064,0.72741,0.72845,1224
2015.01.20,13:30,0.72848,0.73088,0.72692,0.72771,1435
2015.01.20,14:00,0.72768,0.72893,0.72557,0.72642,1352
2015.01.20,14:30,0.72641,0.72758,0.72592,0.72592,1217
2015.01.20,15:00,0.72592,0.72664,0.72379,0.7261,1332
2015.01.20,15:30,0.72608,0.72608,0.72203,0.72274,1383
2015.01.20,16:00,0.72283,0.72375,0.72244,0.72264,1443
2015.01.20,16:30,0.72263,0.72472,0.71952,0.72036,1993
2015.01.20,17:00,0.7205,0.72277,0.71941,0.72176,1992
2015.01.20,17:30,0.72174,0.72561,0.72089,0.72561,1965
2015.01.20,18:00,0.72559,0.72586,0.7229,0.72413,1993
2015.01.20,18:30,0.72411,0.72463,0.72182,0.72393,1266
2015.01.20,19:00,0.72401,0.72409,0.72261,0.72356,833
2015.01.20,19:30,0.72361,0.72551,0.72232,0.72431,905
2015.01.20,20:00,0.72433,0.72486,0.72327,0.72346,898
2015.01.20,20:30,0.72339,0.72524,0.72273,0.72517,766
2015.01.20,21:00,0.72519,0.7261,0.72507,0.72548,485
2015.01.20,21:30,0.72556,0.7259,0.72494,0.72533,581
2015.01.20,22:00,0.72534,0.7264,0.72393,0.72523,502
2015.01.20,22:30,0.72524,0.72569,0.72188,0.7233,585
2015.01.20,23:00,0.72323,0.72403,0.72321,0.72336,366
2015.01.20,23:30,0.72334,0.72344,0.72228,0.72228,496
2015.01.21,00:00,0.72257,0.72261,0.72138,0.72233,355
2015.01.21,00:30,0.72207,0.72245,0.72104,0.72163,845
2015.01.21,01:00,0.72179,0.72182,0.72036,0.72057,901
2015.01.21,01:30,0.72053,0.72159,0.72051,0.72156,285
2015.01.21,02:00,0.72155,0.72228,0.72145,0.7218,384
2015.01.21,02:30,0.72181,0.72227,0.72089,0.72114,448
2015.01.21,03:00,0.72114,0.72209,0.7211,0.72163,331
2015.01.21,03:30,0.72159,0.72178,0.72129,0.72169,319
2015.01.21,04:00,0.72169,0.72199,0.72141,0.72162,284
2015.01.21,04:30,0.72158,0.7221,0.72151,0.7217,255
2015.01.21,05:00,0.72168,0.72204,0.72157,0.7216,268
2015.01.21,05:30,0.72165,0.72199,0.72153,0.72184,507
2015.01.21,06:00,0.72182,0.72212,0.72173,0.72187,389
2015.01.21,06:30,0.72186,0.72227,0.72165,0.72189,298
2015.01.21,07:00,0.72189,0.7222,0.72168,0.72216,384
2015.01.21,07:30,0.72229,0.7223,0.7212,0.72185,520
2015.01.21,08:00,0.72181,0.72204,0.7205,0.72059,679
2015.01.21,08:30,0.72065,0.72123,0.72021,0.72108,505
2015.01.21,09:00,0.72113,0.72269,0.72082,0.72213,827
2015.01.21,09:30,0.72214,0.72532,0.72214,0.72532,1420
2015.01.21,10:00,0.72535,0.72557,0.72,0.72044,1914
2015.01.21,10:30,0.72046,0.7217,0.71753,0.71758,1504
2015.01.21,11:00,0.71762,0.7188,0.71568,0.71652,1337
2015.01.21,11:30,0.71644,0.71662,0.71417,0.7142,1422
2015.01.21,12:00,0.71424,0.71686,0.71343,0.71518,1426
2015.01.21,12:30,0.71517,0.71612,0.71415,0.71451,1378
2015.01.21,13:00,0.71455,0.71542,0.71374,0.71512,1376
2015.01.21,13:30,0.71515,0.71677,0.71481,0.71652,1083
2015.01.21,14:00,0.71658,0.71733,0.7152,0.71575,1332
2015.01.21,14:30,0.71576,0.71587,0.71455,0.71476,1041
2015.01.21,15:00,0.71479,0.71583,0.71229,0.71232,1766
2015.01.21,15:30,0.71228,0.71372,0.71027,0.71046,1716
2015.01.21,16:00,0.71044,0.71117,0.70863,0.70863,1658
2015.01.21,16:30,0.70862,0.70948,0.70415,0.70939,3129
2015.01.21,17:00,0.7096,0.70966,0.69526,0.7003,3608
2015.01.21,17:30,0.70031,0.70268,0.69888,0.70067,2903
2015.01.21,18:00,0.7007,0.70118,0.6955,0.69566,2600
2015.01.21,18:30,0.69564,0.69582,0.69408,0.69427,1875
2015.01.21,19:00,0.69429,0.69965,0.69429,0.69621,1828
2015.01.21,19:30,0.69623,0.69862,0.69616,0.69856,1266
2015.01.21,20:00,0.69851,0.69885,0.6966,0.69679,1240
2015.01.21,20:30,0.6968,0.69765,0.69474,0.69481,1028
2015.01.21,21:00,0.69479,0.69801,0.69376,0.69745,1333
2015.01.21,21:30,0.69745,0.69786,0.69584,0.69615,969
2015.01.21,22:00,0.69611,0.69865,0.69595,0.69776,948
2015.01.21,22:30,0.69774,0.69877,0.69527,0.69562,894
2015.01.21,23:00,0.69561,0.69797,0.69561,0.69568,592
2015.01.21,23:30,0.69569,0.69689,0.69565,0.69601,523
2015.01.22,00:00,0.69569,0.6973,0.69534,0.69715,342
2015.01.22,00:30,0.69715,0.69772,0.69672,0.69758,408
2015.01.22,01:00,0.69757,0.69799,0.69667,0.69684,686
2015.01.22,01:30,0.69679,0.69713,0.6959,0.69666,491
2015.01.22,02:00,0.69663,0.69775,0.69661,0.69763,602
2015.01.22,02:30,0.69762,0.69794,0.69665,0.69665,577
2015.01.22,03:00,0.69666,0.69742,0.69607,0.69731,639
2015.01.22,03:30,0.69737,0.69749,0.6969,0.69733,337
2015.01.22,04:00,0.69738,0.6976,0.69679,0.69727,388
2015.01.22,04:30,0.69731,0.69922,0.6972,0.69916,459
2015.01.22,05:00,0.69916,0.69946,0.69897,0.69923,380
2015.01.22,05:30,0.69922,0.69944,0.69766,0.69783,383
2015.01.22,06:00,0.69782,0.69805,0.69692,0.69698,491
2015.01.22,06:30,0.69696,0.69753,0.69682,0.69696,331
2015.01.22,07:00,0.69704,0.69905,0.69512,0.69544,878
2015.01.22,07:30,0.69543,0.69556,0.69432,0.6948,801
2015.01.22,08:00,0.69489,0.6959,0.69347,0.6959,702
2015.01.22,08:30,0.69592,0.69694,0.69506,0.69538,857
2015.01.22,09:00,0.69539,0.69555,0.69412,0.69471,905
2015.01.22,09:30,0.69468,0.69619,0.69205,0.69504,1294
2015.01.22,10:00,0.69501,0.69699,0.69196,0.69196,1717
