date,ignore,open,high,low,close,volume
2015.03.30,00:00,0.72578,0.72635,0.72531,0.72548,422
2015.03.30,00:30,0.72545,0.72625,0.72508,0.72601,527
2015.03.30,01:00,0.72598,0.72642,0.72574,0.72597,1162
2015.03.30,01:30,0.72557,0.72598,0.72544,0.72558,376
2015.03.30,02:00,0.72558,0.72673,0.72554,0.72556,966
2015.03.30,02:30,0.72555,0.72571,0.72438,0.72492,1169
2015.03.30,03:00,0.72489,0.72548,0.72412,0.72516,1677
2015.03.30,03:30,0.72518,0.72521,0.72339,0.72456,1356
2015.03.30,04:00,0.72456,0.72487,0.72387,0.72431,1240
2015.03.30,04:30,0.72432,0.72477,0.72391,0.72392,810
2015.03.30,05:00,0.72391,0.72459,0.72391,0.72441,1095
2015.03.30,05:30,0.72441,0.72479,0.72427,0.72453,973
2015.03.30,06:00,0.72453,0.7249,0.72426,0.72486,905
2015.03.30,06:30,0.72486,0.72526,0.72442,0.72518,803
2015.03.30,07:00,0.7252,0.72577,0.72435,0.72454,1123
2015.03.30,07:30,0.72453,0.72485,0.7242,0.72463,1079
2015.03.30,08:00,0.72461,0.72472,0.72412,0.72451,1129
2015.03.30,08:30,0.72451,0.72483,0.72399,0.72414,1119
2015.03.30,09:00,0.7242,0.72519,0.72372,0.72449,1677
2015.03.30,09:30,0.72447,0.72454,0.72323,0.72433,1591
2015.03.30,10:00,0.72438,0.72647,0.72374,0.72579,2423
2015.03.30,10:30,0.7258,0.7261,0.72527,0.72549,2181
2015.03.30,11:00,0.72548,0.72597,0.72488,0.72529,1980
2015.03.30,11:30,0.72531,0.72577,0.72485,0.72493,1732
2015.03.30,12:00,0.72501,0.72617,0.72481,0.72595,1575
2015.03.30,12:30,0.72592,0.72601,0.72503,0.7256,1637
2015.03.30,13:00,0.72558,0.72578,0.72473,0.72488,1221
2015.03.30,13:30,0.72482,0.72522,0.72435,0.72505,1740
2015.03.30,14:00,0.72509,0.72521,0.72284,0.72338,1708
2015.03.30,14:30,0.72338,0.72366,0.72294,0.72315,1474
2015.03.30,15:00,0.72314,0.72426,0.72239,0.72347,1620
2015.03.30,15:30,0.72351,0.72523,0.72351,0.72504,2157
2015.03.30,16:00,0.72508,0.72527,0.72407,0.72488,2138
2015.03.30,16:30,0.72492,0.72595,0.72478,0.72521,2285
2015.03.30,17:00,0.72526,0.72601,0.72495,0.72585,2193
2015.03.30,17:30,0.72594,0.7272,0.72552,0.72642,1972
2015.03.30,18:00,0.72641,0.72702,0.72599,0.72641,1972
2015.03.30,18:30,0.72647,0.72681,0.72532,0.7265,1770
