Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,USDCHF,15,['NZDUSD'],80.0,0.7715541125541125,B
1,GBPUSD,10,['AUDCAD'],80.0,1.0,B
2,EURUSD,15,"['AUDJPY', 'AUDUSD']",100.0,0.7465298590298591,B
3,USDJPY,10,['AUDCAD'],80.0,-0.986,S
4,USDCAD,30,"['AUDCAD', 'AUDJPY', 'AUDUSD']",80.0,-1.0,S
5,AUDUSD,15,['NZDCAD'],80.0,0.748217227217227,B
6,NZDUSD,10,"['EURJPY', 'EURCHF']",100.0,-1.0,S
7,GBPCHF,10,"['USDCHF', 'USDCAD', 'GBPJPY', 'NZDCHF']",80.0,0.98,B
8,EURCHF,30,"['EURGBP', 'GBPAUD', 'CADCHF']",100.0,-1.0,S
9,CHFJPY,30,['NZDUSD'],80.0,-0.5059481319334261,S
10,CADCHF,50,['NZDUSD'],80.0,0.6178057192514591,B
11,AUDCHF,30,['NZDUSD'],80.0,0.6194510114068941,B
12,NZDCHF,10,"['AUDJPY', 'AUDUSD']",80.0,-1.0,S
13,GBPJPY,50,"['EURCAD', 'AUDJPY', 'EURUSD']",100.0,0.6919664224664227,B
14,EURJPY,30,"['GBPAUD', 'NZDUSD', 'EURCHF']",80.0,-0.006428571428571431,S
15,EURCAD,20,['EURGBP'],80.0,-0.7696450216450214,S
16,EURAUD,30,['EURGBP'],100.0,-0.5575073388084228,S
17,EURNZD,10,"['EURUSD', 'EURCAD']",80.0,0.988,B
18,CADJPY,50,"['EURNZD', 'EURUSD', 'GBPJPY', 'AUDJPY', 'EURJPY', 'USDCHF']",100.0,0.9425,B
19,AUDJPY,15,['NZDCAD'],100.0,0.7159889554889556,B
20,NZDJPY,10,"['USDCHF', 'AUDUSD', 'AUDJPY', 'GBPJPY', 'USDCAD']",80.0,-0.98,S
21,AUDCAD,50,"['NZDCAD', 'NZDCHF']",80.0,0.33190496183096807,B
22,NZDCAD,10,"['NZDCHF', 'EURNZD']",80.0,-1.0,S
23,AUDNZD,20,"['GBPAUD', 'USDCAD', 'NZDCHF', 'GBPJPY', 'EURUSD', 'NZDCAD', 'CADJPY']",100.0,1.0,B
