date,ignore,open,high,low,close,volume
2015.10.05,00:00,1.58963,1.59112,1.58945,1.58968,1398
2015.10.05,00:30,1.5897,1.5909,1.58897,1.58921,3730
2015.10.05,01:00,1.58922,1.58955,1.58801,1.58871,6309
2015.10.05,01:30,1.5887,1.59069,1.5887,1.59057,3904
2015.10.05,02:00,1.59059,1.59108,1.58916,1.59044,2083
2015.10.05,02:30,1.59044,1.59333,1.59035,1.59202,2384
2015.10.05,03:00,1.59203,1.593,1.59056,1.59109,3936
2015.10.05,03:30,1.59108,1.59329,1.59085,1.59183,2402
2015.10.05,04:00,1.59187,1.59215,1.58759,1.58938,2553
2015.10.05,04:30,1.58941,1.59019,1.58758,1.58945,2602
2015.10.05,05:00,1.58945,1.58968,1.58756,1.58906,2577
2015.10.05,05:30,1.58909,1.58916,1.58763,1.58861,1781
2015.10.05,06:00,1.58861,1.58919,1.58768,1.58914,1694
2015.10.05,06:30,1.58916,1.58936,1.58768,1.5882,1531
2015.10.05,07:00,1.58818,1.58864,1.58732,1.58807,1702
2015.10.05,07:30,1.58807,1.59087,1.58754,1.59031,1846
2015.10.05,08:00,1.59031,1.59164,1.58945,1.59019,2521
2015.10.05,08:30,1.59021,1.59096,1.58889,1.58942,2152
2015.10.05,09:00,1.58935,1.5897,1.58764,1.5892,4260
2015.10.05,09:30,1.58925,1.59115,1.58915,1.59069,3331
2015.10.05,10:00,1.59068,1.59161,1.58771,1.58882,6713
2015.10.05,10:30,1.58885,1.59177,1.58774,1.58847,6708
2015.10.05,11:00,1.58847,1.58937,1.58622,1.58828,6151
2015.10.05,11:30,1.58835,1.58935,1.5864,1.58787,5447
2015.10.05,12:00,1.58785,1.58996,1.58703,1.58969,5430
2015.10.05,12:30,1.58966,1.58966,1.58626,1.58826,5970
2015.10.05,13:00,1.58825,1.58889,1.58671,1.58708,4367
2015.10.05,13:30,1.5872,1.58723,1.58229,1.584,5195
2015.10.05,14:00,1.58399,1.58601,1.58227,1.58321,4855
2015.10.05,14:30,1.58321,1.58449,1.5825,1.5842,4548
2015.10.05,15:00,1.5842,1.58579,1.58319,1.5844,4667
2015.10.05,15:30,1.58441,1.58562,1.58307,1.58446,5034
2015.10.05,16:00,1.58446,1.58891,1.58389,1.5869,4743
2015.10.05,16:30,1.58694,1.58735,1.58416,1.5854,5975
2015.10.05,17:00,1.5854,1.58884,1.58271,1.58374,6569
2015.10.05,17:30,1.58374,1.58574,1.58296,1.5835,4975
2015.10.05,18:00,1.58348,1.58364,1.58144,1.5828,5469
2015.10.05,18:30,1.58278,1.58294,1.58007,1.58007,4583
2015.10.05,19:00,1.58002,1.5809,1.57739,1.57921,4422
2015.10.05,19:30,1.57928,1.58047,1.57767,1.57939,3255
2015.10.05,20:00,1.57938,1.57971,1.57792,1.57927,2621
2015.10.05,20:30,1.57927,1.5794,1.57656,1.57662,2909
